https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所1,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
届出,7野菜果物販売業,きこりろ,上磯郡木古内町字本町545-1,01392-5-5511,林香葉,,,,2021年12月21日,,,,15,きこりろ,01392,01392-5-5511,,,,上磯郡木古内町字本町545-1,北海道上磯郡木古内町字本町５４５－１,,17284,1,1334,本町,,2021/12/21,,,,,林香葉 ,,,,,,,,,,,野菜果物販売業,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,58,582,,きこりろ01392-5-5511172841334,6befeb41-8bef-4eba-8e77-d037df896e1f,,personal,8576cb85-61f0-4771-aa8a-5808a132b9d5,2021/12/01,きこりろ,きこりろ,
届出,26集団給食施設,七飯町大中山保育所,亀田郡七飯町大中山3丁目289-2,0138-65-2343,七飯町,中宮安一,亀田郡七飯町本町6丁目1-1,0138-65-2511,2021/12/17,,,,15,七飯町大中山保育所,0138,0138-65-2343,,,,亀田郡七飯町大中山3丁目289-2,北海道亀田郡七飯町大中山３丁目２８９－２,,17241,1,1337,大中山３,,2021/12/17,,,,七飯町,中宮安一,0138-65-2511,亀田郡七飯町本町6丁目1-1,北海道亀田郡七飯町本町６丁目１－１,,17257,北海道,亀田郡七飯町,本町６,,,給食施設,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,M,77,,,七飯町大中山保育所0138-65-2343172411337,a621d98c-559f-4ac4-9432-691a5b1d75e6,17257,acec8445-ce30-438c-8160-b73765710033,abc7e201-3cec-4f81-a024-05cfda76f211,2021/12/01,七飯町大中山保育所,七飯町大中山保育所,
届出,13その他の食料・飲料販売業,株式会社ヤマニ盛田漁業部,茅部郡鹿部町字大岩105-11,,株式会社ヤマニ盛田漁業部,盛田州秀,茅部郡鹿部町字大岩105-11,,2021年12月17日,,,,15,株式会社ヤマニ盛田漁業部,01372,,,,,茅部郡鹿部町字大岩105-11,北海道茅部郡鹿部町字大岩１０５－１１,,17297,1,1343,大岩,,2021/12/17,,,,株式会社ヤマニ盛田漁業部,盛田州秀,,茅部郡鹿部町字大岩105-11,北海道茅部郡鹿部町字大岩１０５－１１,,17297,北海道,茅部郡鹿部町,大岩,,,食料品販売業,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,A,58,581,5811,株式会社ヤマニ盛田漁業部172971343,a0227dca-dff0-4bb2-abf4-299ec4a2ee97,株式会社ヤマニ盛田漁業部17297,6e6577aa-bff5-4cec-8b4d-7c7f7dcbc995,73b24997-7477-43e3-bbc6-e27882494385,2021/12/01,株式会社ヤマニ盛田漁業部,株式会社ヤマニ盛田漁業部,株式会社ヤマニ盛田漁業部
届出,11百貨店、総合スーパー,スーパー魚長桜町店,亀田郡七飯町桜町1丁目3-5,0138-65-7700,有限会社魚長,柳沢一弥,函館市西桔梗町589-54,0138-49-2662,2021年12月16日,,,,15,スーパー魚長桜町店,0138,0138-65-7700,,,,亀田郡七飯町桜町1丁目3-5,北海道亀田郡七飯町桜町１丁目３－５,,17260,1,1337,桜町１,,2021/12/16,,,,有限会社魚長,柳沢一弥,0138-49-2662,函館市西桔梗町589-54,北海道函館市西桔梗町５８９－５４,,6163,北海道,函館市,西桔梗町,,,百貨店、総合スーパー,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,56,561,5611,スパ魚長桜町店0138-65-7700172601337,a7719d91-cc50-4a49-afb4-6e08f00a313b,有限会社魚長6163,d072cc20-118f-4b3e-87ef-765b42a55dee,657e6dd1-5453-4896-88f6-8b7344bbafbb,2021/12/01,スーパー魚長桜町店,スパ魚長桜町店,有限会社魚長
届出,11百貨店、総合スーパー,㈲魚長希望ヶ丘店,亀田郡七飯町大川8丁目12-6,0138-66-2211,有限会社魚長,柳沢一弥,函館市西桔梗町589-54,0138-49-2662,2021年12月16日,,,,15,㈲魚長希望ヶ丘店,0138,0138-66-2211,,,,亀田郡七飯町大川8丁目12-6,北海道亀田郡七飯町大川８丁目１２－６,,17235,1,1337,大川８,,2021/12/16,,,,有限会社魚長,柳沢一弥,0138-49-2662,函館市西桔梗町589-54,北海道函館市西桔梗町５８９－５４,,6163,北海道,函館市,西桔梗町,,,百貨店、総合スーパー,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,56,561,5611,有限会社魚長希望ヶ丘店0138-66-2211172351337,da0f9bbd-7ace-4db3-8728-768629377097,有限会社魚長6163,d072cc20-118f-4b3e-87ef-765b42a55dee,c2b65afc-f6f0-4557-810f-2eff1f658d57,2021/12/01,有限会社魚長希望ヶ丘店,有限会社魚長希望ヶ丘店,有限会社魚長
届出,13その他の食料・飲料販売業,こもれび温泉,上磯郡知内町字元町103-2,01392-6-2323,社会福祉法人あすなろ福祉会,樋口英俊,檜山郡江差町字豊川町62-2,0139-52-5577,2021年12月13日,,,,15,こもれび温泉,01392,01392-6-2323,,,,上磯郡知内町字元町103-2,北海道上磯郡知内町字元町１０３－２,,17291,1,1333,元町,,2021/12/13,,,,社会福祉法人あすなろ福祉会,樋口英俊,0139-52-5577,檜山郡江差町字豊川町62-2,北海道桧山郡江差町豊川町６２－２,,17473,北海道,檜山郡江差町,豊川町,,,食料品販売業,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,A,58,581,5811,こもれび温泉01392-6-2323172911333,76dc6e58-ea47-4751-8a26-b32cd632c1aa,社会福祉法人あすなろ福祉会17473,71c4e9e7-c321-4bd3-b234-c72dbcd41763,09767601-d911-4e81-b86f-3a5cac763aca,2021/12/01,こもれび温泉,こもれび温泉,社会福祉法人あすなろ福祉会
届出,7野菜果物販売業,にじいろファーム,亀田郡七飯町桜町37-1,,西山健児,,,,2021年12月10日,,,,15,にじいろファーム,0138,,,,,亀田郡七飯町桜町37-1,北海道亀田郡七飯町桜町３７－１,,17215,1,1337,桜町,,2021/12/10,,,,,西山健児 ,,,,,,,,,,,野菜果物販売業,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,58,582,,にじいろファム172151337,ee9f9db8-718d-4ea7-9df1-854f7aba50ee,,personal,5b65d4ae-c24c-4788-9949-aa82a46bc7b2,2021/12/01,にじいろファーム,にじいろファム,
届出,11百貨店、総合スーパー,スーパー魚長久根別店,北斗市東浜2丁目14-8,0138-73-5881,有限会社魚長,柳沢一弥,函館市西桔梗町589-54,0138-49-2662,2021年12月10日,,,,15,スーパー魚長久根別店,0138,0138-73-5881,,,,北斗市東浜2丁目14-8,北海道北斗市東浜２丁目１４－８,,17122,1,1236,東浜２,,2021/12/10,,,,有限会社魚長,柳沢一弥,0138-49-2662,函館市西桔梗町589-54,北海道函館市西桔梗町５８９－５４,,6163,北海道,函館市,西桔梗町,,,百貨店、総合スーパー,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,56,561,5611,スパ魚長久根別店0138-73-5881171221236,6775a907-1d84-4279-90fa-3f7da0719709,有限会社魚長6163,d072cc20-118f-4b3e-87ef-765b42a55dee,296d77ed-3321-47f3-87d9-320710dde6a5,2021/12/01,スーパー魚長久根別店,スパ魚長久根別店,有限会社魚長
届出,13その他の食料・飲料販売業,合資会社曲ト斉藤商店,上磯郡知内町字元町224,01392-5-6003,合資会社曲ト斉藤商店,齊藤彌,上磯郡知内町字元町224,01392-5-6003,2021年12月8日,,,,15,合資会社曲ト斉藤商店,01392,01392-5-6003,,,,上磯郡知内町字元町224,北海道上磯郡知内町字元町２２４,,17291,1,1333,元町,,2021/12/08,,,,合資会社曲ト斉藤商店,齊藤彌,01392-5-6003,上磯郡知内町字元町224,北海道上磯郡知内町字元町２２４,,17291,北海道,上磯郡知内町,元町,,,食料品販売業,,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,A,58,581,5811,合資会社曲ト斉藤商店01392-5-6003172911333,172db4f8-072f-48fd-a896-8fa160786c56,合資会社曲ト斉藤商店17291,074d4809-6ce7-4229-a6a8-9d73c198321c,c7999d9e-831d-4719-b7c9-2e115e18cfe4,2021/12/01,合資会社曲ト斉藤商店,合資会社曲ト斉藤商店,合資会社曲ト斉藤商店
届出,16コーヒー製造・加工業（飲料の製造を除く）,森のくまさんファーム,茅部郡森町東森町130-16,,橋本英樹,,,,2021年12月7日,,,,15,森のくまさんファーム,01374,,,,,茅部郡森町東森町130-16,北海道茅部郡森町東森町１３０－１６,,17321,1,1345,東森町,,2021/12/07,,,,,橋本英樹 ,,,,,,,,,,,コーヒー製造・加工業,飲料の製造を除く,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,E,10,103,1032,森のくまさんファム173211345,fcb0d4cc-2260-4462-9ee0-3fe6e50c6fe4,,personal,254f1efa-11d5-46d3-b147-5c239ecc1d43,2021/12/01,森のくまさんファーム,森のくまさんファム,
