https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所0,施設-住所1,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台帳番号,許可番号,申請者法人名称,申請者氏名,営業施設所在地,,,営業施設名称,営業施設電話番号,営業の種類,業態,許可年月日,許可満了日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
91-001711,瀬生指令第91,株式会社　ダイエー,,横浜市瀬谷区三ツ境7-1,横浜市瀬谷区三ツ境７－１,,イオン　フードスタイル　三ツ境店 ,3640511,飲食店営業,,2021年11月22日,2028年11月21日,2021年11月22日,,141,イオン　フードスタイル　三ツ境店 ,045,045-364-0511,,,,横浜市瀬谷区三ツ境７－１,神奈川県横浜市瀬谷区三ツ境７－１,,79561,14,14114,三ツ境,,2021/11/22,2021/11/22,,2028/11/21,株式会社　ダイエー,,,,,,,,,,瀬生指令第91,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,イオンフドスタイル三ツ境店045-364-05117956114114,00141_cbee3416-9bd2-4ae5-b2ba-95fc2a7e87af,株式会社ダイエー,313f7ec1-a674-4be3-b980-2bfe917081d0,e5334b3e-df0a-492b-8075-8e2b26cfa2b1,2021/11/22,イオン　フードスタイル　三ツ境店　,イオンフドスタイル三ツ境店,株式会社ダイエー
91-002650,瀬生指令第93,合同会社　西友,,横浜市瀬谷区阿久和西1-25-1,横浜市瀬谷区阿久和西１－２５－１,,合同会社　西友　阿久和店　若菜 ,3922040,飲食店営業,,2021年11月25日,2028年11月24日,2021年11月25日,,141,合同会社　西友　阿久和店　若菜 ,045,045-392-2040,,,,横浜市瀬谷区阿久和西１－２５－１,神奈川県横浜市瀬谷区阿久和西１－２５－１,,79599,14,14114,阿久和西１,,2021/11/25,2021/11/25,,2028/11/24,合同会社　西友,,,,,,,,,,瀬生指令第93,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,合同会社西友阿久和店若菜045-392-20407959914114,1fcd6fff-8ce0-424e-b975-b3a46d1c9382,合同会社西友,6549e537-fd50-48e0-b63b-5de89ae95294,4a7f7092-5133-4878-a05d-200a3bd191b9,2021/11/25,合同会社西友　阿久和店　若菜　,合同会社西友阿久和店若菜,合同会社西友
91-030818,瀬生指令第81,,守屋 努,横浜市瀬谷区本郷3-24-7,横浜市瀬谷区本郷３－２４－７,,鯉八 ,3003085,飲食店営業,,2021年11月17日,2028年11月16日,2021年11月17日,,141,鯉八 ,045,045-300-3085,,,,横浜市瀬谷区本郷３－２４－７,神奈川県横浜市瀬谷区本郷３－２４－７,,79559,14,14114,本郷３,,2021/11/17,2021/11/17,,2028/11/16,,守屋 努,,,,,,,,,瀬生指令第81,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,鯉八045-300-30857955914114,afd4561b-857a-4101-9f30-701e805228ff,,personal,303f6769-c46c-4128-b30f-d27caf40ac7e,2021/11/17,鯉八　,鯉八,
91-031164,瀬生指令第85,株式会社太陽エンタープライズ,,横浜市瀬谷区二ツ橋町162,横浜市瀬谷区二ツ橋町１６２,,丸源ラーメン　三ツ境店 ,3601277,飲食店営業,,2021年11月19日,2027年11月18日,2021年11月19日,,141,丸源ラーメン　三ツ境店 ,045,045-360-1277,,,,横浜市瀬谷区二ツ橋町１６２,神奈川県横浜市瀬谷区二ツ橋町１６２,,79556,14,14114,二ツ橋町,,2021/11/19,2021/11/19,,2027/11/18,株式会社太陽エンタープライズ,,,,,,,,,,瀬生指令第85,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,丸源ラメン三ツ境店045-360-12777955614114,5e1c3b39-8b8a-4449-8c05-aef6d4adcef8,株式会社太陽エンタープライズ,bdcb47d6-7890-494a-a968-1074863b2db8,ee6de271-f3bd-4409-9514-94f8d5257751,2021/11/19,丸源ラーメン　三ツ境店　,丸源ラメン三ツ境店,株式会社太陽エンタープライズ
91-032167,瀬生指令第88,有限会社相澤良牧場,,横浜市瀬谷区阿久和南3-11-11,横浜市瀬谷区阿久和南３－１１－１１,,オーガスタミルクファーム ,4896211,菓子製造業,,2021年11月26日,2028年11月25日,2021年11月26日,,141,オーガスタミルクファーム ,045,045-489-6211,,,,横浜市瀬谷区阿久和南３－１１－１１,神奈川県横浜市瀬谷区阿久和南３－１１－１１,,79605,14,14114,阿久和南３,,2021/11/26,2021/11/26,,2028/11/25,有限会社相澤良牧場,,,,,,,,,,瀬生指令第88,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,オガスタミルクファム045-489-62117960514114,00141_434a9e62-8444-4d49-854c-d984b7e4a102,有限会社相澤良牧場,4e121e05-6cea-4795-b99b-8058058259e9,62d7f66c-bc36-4c65-b278-09f8d5fa51d2,2021/11/26,オーガスタミルクファーム　,オガスタミルクファム,有限会社相澤良牧場
91-032552,瀬生指令第89,有限会社　相澤良牧場,, 横浜市内一円, 横浜市内一円,,オーガスタミルクファーム２号 ,,飲食店営業,,2021年11月26日,2026年11月25日,2021年11月26日,,141,オーガスタミルクファーム２号 ,,,,,, 横浜市内一円,神奈川県横浜市内一円,,,14,,,,2021/11/26,2021/11/26,,2026/11/25,有限会社　相澤良牧場,,,,,,,,,,瀬生指令第89,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,オガスタミルクファム２号,c1a1ba37-6dd7-4385-ada4-193f84dfdcb4,有限会社相澤良牧場,4e121e05-6cea-4795-b99b-8058058259e9,48e761cd-f9f6-42ac-9237-8b0d4282fff8,2021/11/26,オーガスタミルクファーム２号　,オガスタミルクファム２号,有限会社相澤良牧場
91-033504,瀬生第8354,株式会社　成城石井,,横浜市瀬谷区三ツ境2-19 三ツ境ビルＡ棟2F,横浜市瀬谷区三ツ境２－１９,三ツ境ビルＡ棟２F,成城石井　相鉄ライフ三ツ境店 ,5203090,百貨店、総合スーパー,,2021年11月1日,2117年12月31日,2021年11月1日,,141,成城石井　相鉄ライフ三ツ境店 ,045,045-520-3090,,,,横浜市瀬谷区三ツ境２－１９,神奈川県横浜市瀬谷区三ツ境２－１９,三ツ境ビルＡ棟２F,79561,14,14114,三ツ境,,2021/11/01,2021/11/01,,2117/12/31,株式会社　成城石井,,,,,,,,,,瀬生第8354,,百貨店、総合スーパー,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,56,561,5611,成城石井相鉄ライフ三ツ境店045-520-30907956114114,36a19af6-38bf-4848-98ab-e45ef9021657,株式会社成城石井,aa6df645-d049-48d8-a648-f1ae0ff4132b,0758275f-a901-4057-b77c-a7709772ac87,2021/11/01,成城石井　相鉄ライフ三ツ境店　,成城石井相鉄ライフ三ツ境店,株式会社成城石井
91-033508,瀬生第8368,横浜市,,横浜市瀬谷区二ツ橋町527-2,横浜市瀬谷区二ツ橋町５２７－２,,横浜市　二ツ橋保育園 ,3665997,集団給食施設,,2021年11月4日,2117年12月31日,2021年11月4日,,141,横浜市　二ツ橋保育園 ,045,045-366-5997,,,,横浜市瀬谷区二ツ橋町５２７－２,神奈川県横浜市瀬谷区二ツ橋町５２７－２,,79556,14,14114,二ツ橋町,,2021/11/04,2021/11/04,,2117/12/31,,横浜市 ,,,,,,,,,瀬生第8368,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,横浜市二ツ橋保育園045-366-59977955614114,22e52be7-b0f1-477e-b497-901486b3e764,,personal,b21af8db-41e0-47ba-93a3-d6a5ff05158b,2021/11/04,横浜市　二ツ橋保育園　,横浜市二ツ橋保育園,
91-033509,瀬生第8371,富士シティオ株式会社,,横浜市瀬谷区橋戸2-36-1,横浜市瀬谷区橋戸２－３６－１,,ＦＵＪＩ　橋戸店 ,3062311,百貨店、総合スーパー,,2021年11月4日,2117年12月31日,2021年11月4日,,141,ＦＵＪＩ　橋戸店 ,045,045-306-2311,,,,横浜市瀬谷区橋戸２－３６－１,神奈川県横浜市瀬谷区橋戸２－３６－１,,79577,14,14114,橋戸２,,2021/11/04,2021/11/04,,2117/12/31,富士シティオ株式会社,,,,,,,,,,瀬生第8371,,百貨店、総合スーパー,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,56,561,5611,ＦＵＪＩ橋戸店045-306-23117957714114,00141_23c25acc-e9b5-4187-be17-f753dee5ac2d,富士シティオ株式会社,6834ba66-acc8-4fdc-ab2b-b1896ded3da7,438f06aa-04eb-4a38-9ce6-dc5057f4a8f4,2021/11/04,ＦＵＪＩ　橋戸店　,ＦＵＪＩ橋戸店,富士シティオ株式会社
