https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-住所1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設＿名称（屋号・商号）,所在地,,,施設＿電話番号（所在地）,業種,申請者＿申請者名,申請者＿住所,申請者＿電話番号,初回許可年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
コメダ珈琲生駒店,生駒市上町   ２５４８－１,生駒市上町,２５４８－１,0743-79-3120,飲食店営業,株式会社Ｆ＆Ｓ,京都市伏見区横大路菅本   ２－５８,075-644-5154,R03.09.30,R03.09.30,第421339号,,321,コメダ珈琲生駒店,0743,0743-79-3120,,,,生駒市上町,奈良県生駒市上町,２５４８－１,173482,29,29209,上町,,2021/09/30,2021/09/30,,,株式会社Ｆ＆Ｓ,,075-644-5154,京都市伏見区横大路菅本   ２－５８,京都府京都市伏見区横大路菅本２－５８,,147784,京都府,京都市伏見区,横大路菅本,第421339号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,コメダ珈琲生駒店0743-79-312017348229209,c14f2e1e-1f78-42b9-a98e-3b6e6c13f21f,株式会社Ｆ＆Ｓ147784,017033bd-1b4e-45db-89b9-e398e1007c12,faee3f3c-be7e-4e31-ad54-fcf7dec520ad,2021/09/30,コメダ珈琲生駒店,コメダ珈琲生駒店,株式会社Ｆ＆Ｓ
スーパーホテル奈良・大和郡山,大和郡山市杉町   ２０５－１,大和郡山市杉町,２０５－１,0743-57-9800,飲食店営業,株式会社スーパーホテル,大阪市西区江戸堀   ３－６－３５,06-6543-9000,R03.09.30,R03.09.30,第421340号,,321,スーパーホテル奈良・大和郡山,0743,0743-57-9800,,,,大和郡山市杉町,奈良県大和郡山市杉町,２０５－１,172868,29,29203,杉町,,2021/09/30,2021/09/30,,,株式会社スーパーホテル,,06-6543-9000,大阪市西区江戸堀   ３－６－３５,大阪府大阪市西区江戸堀３－６－３５,,154380,大阪府,大阪市西区,江戸堀３,第421340号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,スパホテル奈良大和郡山0743-57-980017286829203,95b5171c-7adb-4e28-b137-7403808784d3,株式会社スーパーホテル154380,6ed01039-8901-4014-a5e6-c59ac937c65d,28e1938b-7299-47cc-a193-ef7b76a66465,2021/09/30,スーパーホテル奈良・大和郡山,スパホテル奈良大和郡山,株式会社スーパーホテル
ファミリーマート郡山杉町店,大和郡山市杉町柿ノ内   ２０８－４,大和郡山市杉町柿ノ内 ２０８－４,,59-3311,飲食店営業,有限会社オオニシ,天理市布留町   １０３－１,0743-69-5051,R03.09.30,R03.09.30,第421341号,,321,ファミリーマート郡山杉町店,0743,0743-59-3311,,,,大和郡山市杉町柿ノ内 ２０８－４,奈良県大和郡山市杉町柿ノ内２０８－４,,172868,29,29203,杉町,,2021/09/30,2021/09/30,,,有限会社オオニシ,,0743-69-5051,天理市布留町   １０３－１,奈良県天理市布留町１０３－１,,173003,奈良県,天理市,布留町,第421341号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ファミリマト郡山杉町店0743-59-331117286829203,93717fd1-66de-4204-bd7e-fdc8ed281ecc,有限会社オオニシ173003,9a022327-6e52-4fcf-9a56-8ea5d4ec2b7e,b8cd69b6-5fe3-4d20-b5d9-31e90dd13186,2021/09/30,ファミリーマート郡山杉町店,ファミリマト郡山杉町店,有限会社オオニシ
居酒屋ごっこ   毬,大和郡山市泉原町   ９４７－１２,大和郡山市泉原町,９４７－１２,,飲食店営業,保富   麻理子,,,R03.09.30,R03.09.30,第421342号,,321,居酒屋ごっこ   毬,0743,,,,,大和郡山市泉原町,奈良県大和郡山市泉原町,９４７－１２,172824,29,29203,泉原町,,2021/09/30,2021/09/30,,,,保富   麻理子,,,,,,,,,第421342号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,居酒屋ごっこ毬17282429203,53173043-0978-42f7-8001-399e52246384,,personal,bee3bbdc-5eef-47c4-b150-53e9279da136,2021/09/30,居酒屋ごっこ　毬,居酒屋ごっこ毬,
門前おかげ楼喫茶部,生駒市門前町   １６－３,生駒市門前町,１６－３,0743-25-4083,飲食店営業,有限会社オーエムカンパニー,生駒市俵口   ５０６－７,0743-85-6266,R03.09.30,R03.09.30,第421344号,,321,門前おかげ楼喫茶部,0743,0743-25-4083,,,,生駒市門前町,奈良県生駒市門前町,１６－３,173535,29,29209,門前町,,2021/09/30,2021/09/30,,,有限会社オーエムカンパニー,,0743-85-6266,生駒市俵口   ５０６－７,奈良県生駒市俵口町５０６－７,,173506,奈良県,生駒市,俵口町,第421344号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,門前おかげ楼喫茶部0743-25-408317353529209,f8f529d6-898f-4de6-935a-d4f9271d3a1d,有限会社オーエムカンパニー173506,42ad6e1f-7070-4b35-8a79-67296596fe5f,ae2e102e-bbfd-43ee-8d2a-60c208117ff9,2021/09/30,門前おかげ楼喫茶部,門前おかげ楼喫茶部,有限会社オーエムカンパニー
ステーキのどん   大和郡山店,大和郡山市小林町西   ３－１－７,大和郡山市小林町西,３－１－７,0743-57-2941,飲食店営業,株式会社アークミール,さいたま市中央区上落合   ２－３－５,03-5651-8652,R03.09.30,R03.09.30,第421345号,,321,ステーキのどん   大和郡山店,0743,0743-57-2941,,,,大和郡山市小林町西,奈良県大和郡山市小林町西,３－１－７,172847,29,29203,小林町,,2021/09/30,2021/09/30,,,株式会社アークミール,,03-5651-8652,さいたま市中央区上落合   ２－３－５,埼玉県さいたま市中央区上落合２－３－５,,61714,埼玉県,さいたま市中央区,上落合２,第421345号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ステキのどん大和郡山店0743-57-294117284729203,311a39f3-70a7-4900-9d0a-fa65b0d4aa64,株式会社アークミール61714,7e83c9cb-044e-4291-9425-6860cf496312,7d5b4095-914d-4f3b-bc90-0cb655a8946e,2021/09/30,ステーキのどん　大和郡山店,ステキのどん大和郡山店,株式会社アークミール
北門,大和郡山市西田中町   ３１６－１－４６,大和郡山市西田中町,３１６－１－４６,0743-52-5759,飲食店営業,北門   恵子,,,R03.09.30,R03.09.30,第421346号,,321,北門,0743,0743-52-5759,,,,大和郡山市西田中町,奈良県大和郡山市西田中町,３１６－１－４６,172890,29,29203,西田中町,,2021/09/30,2021/09/30,,,,北門   恵子,,,,,,,,,第421346号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,北門0743-52-575917289029203,e2f81dff-d6d7-4f4e-8e7d-9105d51749c7,,personal,938b2087-1989-4a1a-901f-352c567461df,2021/09/30,北門,北門,
珈琲舘   ピノキオ,大和郡山市朝日町   ２－２３,大和郡山市朝日町,２－２３,0743-53-7143,飲食店営業,松浦   安子,,,R03.09.30,R03.09.30,第421347号,,321,珈琲舘   ピノキオ,0743,0743-53-7143,,,,大和郡山市朝日町,奈良県大和郡山市朝日町,２－２３,172819,29,29203,朝日町,,2021/09/30,2021/09/30,,,,松浦   安子,,,,,,,,,第421347号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,珈琲舘ピノキオ0743-53-714317281929203,160d491f-f2bf-4b2c-a14e-446257f81f9e,,personal,d31cf489-f8e2-4a59-9cd4-cd955164bfe8,2021/09/30,珈琲舘　ピノキオ,珈琲舘ピノキオ,
セブン－イレブン近鉄郡山駅前店,大和郡山市朝日町   ５２０－３１,大和郡山市朝日町,５２０－３１,0743-54-2377,飲食店営業,山田   慶一郎,,,R03.09.30,R03.09.30,第421348号,,321,セブン－イレブン近鉄郡山駅前店,0743,0743-54-2377,,,,大和郡山市朝日町,奈良県大和郡山市朝日町,５２０－３１,172819,29,29203,朝日町,,2021/09/30,2021/09/30,,,,山田   慶一郎,,,,,,,,,第421348号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,セブンイレブン近鉄郡山駅前店0743-54-237717281929203,03fd30fc-3454-4ebe-8dfc-6ac234fff397,,personal,1303a1ba-1d6a-4b9f-bd90-8ec8f183bebd,2021/09/30,セブンイレブン近鉄郡山駅前店,セブンイレブン近鉄郡山駅前店,
ナリコマエンタープライズ,大和郡山市田中町   ７６１ウエルライフ郡山内,大和郡山市田中町,７６１ウエルライフ郡山内,0743-54-6011,飲食店営業,株式会社ナリコマエンタープライズ,茨木市五日市   １－７－２７,06-6396-8020,R03.09.30,R03.09.30,第421349号,,321,ナリコマエンタープライズ,0743,0743-54-6011,,,,大和郡山市田中町,奈良県大和郡山市田中町,７６１ウエルライフ郡山内,172872,29,29203,田中町,,2021/09/30,2021/09/30,,,株式会社ナリコマエンタープライズ,,06-6396-8020,茨木市五日市   １－７－２７,大阪府茨木市五日市１－７－２７,,159023,大阪府,茨木市,五日市１,第421349号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ナリコマエンタプライズ0743-54-601117287229203,60ea4ed1-9316-4bc2-ba72-6c9d681b6748,株式会社ナリコマエンタープライズ159023,2114f2ce-2acc-47d2-ba0e-7edde1be15dd,c1ae9ca5-b611-4934-9fee-6f88acc09f17,2021/09/30,ナリコマエンタープライズ,ナリコマエンタプライズ,株式会社ナリコマエンタープライズ
