https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請者2,申請者3,申請-住所1,,申請-電話番号1,確認番号,許可年月日,許可期間終了日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業所名称,営業所所在地,営業所方書,営業所電話番号,業種,業態,名称,代表者肩書,代表者氏名,営業者住所,営業者方書,営業者電話番号,許可番号,許可決定日,許可期限,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
しゃぶしゃぶＢａｒ菩提,茅ヶ崎市元町３番１０号,進和第３ビル３Ｆ ３０１,,飲食店営業,飲食店,,,,,,,01-101-00158,令和3年11月1日,令和9年10月31日,新規,,146,しゃぶしゃぶＢａｒ菩提,0467,,,,,茅ヶ崎市元町３番１０号,神奈川県茅が崎市元町３番１０号,進和第３ビル３Ｆ ３０１,82068,14,14207,元町,,,2021/11/01,,2027/10/31,, ,,,,,,,,,01-101-00158,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,しゃぶしゃぶＢａｒ菩提82068,8bfd6828-c9db-4e9a-95cb-dc19c2becef9,,personal,03025147-e75a-4dd0-8db6-c3d69106225b,2021/11/01,しゃぶしゃぶＢａｒ菩提,しゃぶしゃぶＢａｒ菩提,
うさぎ,茅ヶ崎市幸町３番２６号,植辰ビル２Ｆ 西側,0467-57-8700,飲食店営業,簡易な営業,,,,,,,01-101-00157,令和3年11月1日,令和9年10月31日,新規,,146,うさぎ,0467,0467-57-8700,,,,茅ヶ崎市幸町３番２６号,神奈川県茅が崎市幸町３番２６号,植辰ビル２Ｆ 西側,81986,14,14207,幸町,,,2021/11/01,,2027/10/31,, ,,,,,,,,,01-101-00157,新規,飲食店営業, 簡易な営業,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,うさぎ0467-57-870081986,67f8f3a9-7a0c-41ea-ad86-08bdd8abc555,,personal,e2a607cc-acce-4684-89ac-777edd31decb,2021/11/01,うさぎ,うさぎ,
株式会社プレンティーズ,茅ヶ崎市東海岸北１丁目７番２８号,,0467-88-0013,菓子製造業,菓子,株式会社プレンティーズ,代表取締役,長谷川 裕,神奈川県茅ヶ崎市共恵二丁目５番６号,,0467-81-3524,01-111-00019,令和3年11月1日,令和9年10月31日,新規,,146,株式会社プレンティーズ,0467,0467-88-0013,,,,茅ヶ崎市東海岸北１丁目７番２８号,神奈川県茅が崎市東海岸北１丁目７番２８号,,82031,14,14207,東海岸北１,,,2021/11/01,,2027/10/31,株式会社プレンティーズ,代表取締役 長谷川 裕,0467-81-3524,神奈川県茅ヶ崎市共恵二丁目５番６号,神奈川県茅が崎市共恵２丁目５番６号,,82008,神奈川県,茅が崎市,共恵２,01-111-00019,新規,菓子製造業, 菓子,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,E,9,,,株式会社プレンティズ0467-88-001382031,66f9249a-4375-45ce-b7e5-d4052925f3e6,株式会社プレンティーズ82008,c25e7dce-f81b-4f7f-afe2-218473d2ac14,7d1fcdff-b1b1-4c53-b747-c32927deeb73,2021/11/01,株式会社プレンティーズ,株式会社プレンティズ,株式会社プレンティーズ
メゾンボングゥ,茅ヶ崎市松が丘１丁目１０番１号,,0467-53-9215,菓子製造業,"パン,菓子",合同会社メゾンボングゥ,代表社員,伊藤 雪子,神奈川県茅ヶ崎市松が丘１丁目１０番１号,,0467-53-9215,01-111-00020,令和3年11月1日,令和9年10月31日,新規,,146,メゾンボングゥ,0467,0467-53-9215,,,,茅ヶ崎市松が丘１丁目１０番１号,神奈川県茅が崎市松が丘１丁目１０番１号,,82059,14,14207,松が丘１,,,2021/11/01,,2027/10/31,合同会社メゾンボングゥ,代表社員 伊藤 雪子,0467-53-9215,神奈川県茅ヶ崎市松が丘１丁目１０番１号,神奈川県茅が崎市松が丘１丁目１０番１号,,82059,神奈川県,茅が崎市,松が丘１,01-111-00020,新規,菓子製造業," パン,菓子",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,E,9,,,メゾンボングゥ0467-53-921582059,43a5682c-fa1f-44bd-8c9a-3dd2466c5628,合同会社メゾンボングゥ82059,2de9096b-d62e-4e59-9e44-d94f4e63bf1e,a9885fa9-98d0-41a4-b1de-eb89d964445f,2021/11/01,メゾンボングゥ,メゾンボングゥ,合同会社メゾンボングゥ
Ｊｉｏｎ 初音,茅ヶ崎市幸町２３番１６号,,0467-83-0097,飲食店営業,飲食店,,,,,,,01-101-00160,令和3年11月2日,令和9年11月30日,新規,,146,Ｊｉｏｎ 初音,0467,0467-83-0097,,,,茅ヶ崎市幸町２３番１６号,神奈川県茅が崎市幸町２３番１６号,,81986,14,14207,幸町,,,2021/11/02,,2027/11/30,, ,,,,,,,,,01-101-00160,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,Ｊｉｏｎ初音0467-83-009781986,b1902776-9665-4c9a-9289-629325822ddf,,personal,c9b0ccb9-d201-4857-9057-870e82464ed0,2021/11/02,Ｊｉｏｎ　初音,Ｊｉｏｎ初音,
街路樹,茅ヶ崎市中海岸２丁目５番５号,マンション茅ヶ崎１１０号,,飲食店営業,飲食店,,,,,,,01-101-00162,令和3年11月2日,令和9年11月30日,新規,,146,街路樹,0467,,,,,茅ヶ崎市中海岸２丁目５番５号,神奈川県茅が崎市中海岸２丁目５番５号,マンション茅ヶ崎１１０号,82010,14,14207,中海岸２,,,2021/11/02,,2027/11/30,, ,,,,,,,,,01-101-00162,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,街路樹82010,35ba3239-55ce-4830-9e94-e8c718b349aa,,personal,d3069ff4-6f08-4ce5-a239-005b158f9d88,2021/11/02,街路樹,街路樹,
夢庵 茅ヶ崎西インター店,茅ヶ崎市下町屋２丁目１５番４６号,,0467-88-6921,飲食店営業,飲食店,株式会社すかいらーくレストランツ,代表取締役,大川原 利明,東京都武蔵野市西久保一丁目２５番８号,,0422-37-5218,01-101-00163,令和3年11月2日,令和10年11月30日,新規,,146,夢庵 茅ヶ崎西インター店,0467,0467-88-6921,,,,茅ヶ崎市下町屋２丁目１５番４６号,神奈川県茅が崎市下町屋２丁目１５番４６号,,81990,14,14207,下町屋２,,,2021/11/02,,2028/11/30,株式会社すかいらーくレストランツ,代表取締役 大川原 利明,0422-37-5218,東京都武蔵野市西久保一丁目２５番８号,東京都武蔵野市西久保１丁目２５番８号,,76312,東京都,武蔵野市,西久保１,01-101-00163,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,夢庵茅ヶ崎西インタ店0467-88-692181990,20535979-cb0a-43cb-856b-d064a1623110,株式会社すかいらーくレストランツ76312,096e5a40-3c9c-4cb8-82a7-75204bdd2395,0709cb6f-6908-4f83-8466-2e2f661c948f,2021/11/02,夢庵　茅ヶ崎西インター店,夢庵茅ヶ崎西インタ店,株式会社すかいらーくレストランツ
そば処 榮家,茅ヶ崎市香川４丁目１１番１４号,,0467-57-6539,飲食店営業,飲食店,株式会社Ｃａｓｔｌｅ Ｐｏｔ,代表取締役,鍋城 清,神奈川県茅ヶ崎市香川４丁目１１番１５号,,0467-57-6539,01-101-00161,令和3年11月2日,令和9年11月30日,新規,,146,そば処 榮家,0467,0467-57-6539,,,,茅ヶ崎市香川４丁目１１番１４号,神奈川県茅が崎市香川４丁目１１番１４号,,81977,14,14207,香川４,,,2021/11/02,,2027/11/30,株式会社Ｃａｓｔｌｅ Ｐｏｔ,代表取締役 鍋城 清,0467-57-6539,神奈川県茅ヶ崎市香川４丁目１１番１５号,神奈川県茅が崎市香川４丁目１１番１５号,,81977,神奈川県,茅が崎市,香川４,01-101-00161,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,そば処榮家0467-57-653981977,51db26c7-d293-4a98-a0e2-c59aabee8327,株式会社Ｃａｓｔｌｅ　Ｐｏｔ81977,7f51d998-b693-4b3d-801c-a4dc3e49ce31,178f0a30-d165-4b4b-a166-23ddc1ca9869,2021/11/02,そば処　榮家,そば処榮家,株式会社Ｃａｓｔｌｅ　Ｐｏｔ
ＢＡＲ ＳａＮＧｒｅｅＤ,茅ヶ崎市幸町２２番２０‐２０３号,,0467-86-0939,飲食店営業,簡易な営業,,,,,,,01-101-00165,令和3年11月8日,令和9年11月30日,新規,,146,ＢＡＲ ＳａＮＧｒｅｅＤ,0467,0467-86-0939,,,,茅ヶ崎市幸町２２番２０‐２０３号,神奈川県茅が崎市幸町２２番２０－２０３号,,81986,14,14207,幸町,,,2021/11/08,,2027/11/30,, ,,,,,,,,,01-101-00165,新規,飲食店営業, 簡易な営業,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,ＢＡＲＳａＮＧｒｅｅＤ0467-86-093981986,d8bbd252-2910-4918-acdc-b50404037e9c,,personal,7773b346-79be-4512-be6a-802e07430fbb,2021/11/08,ＢＡＲ　ＳａＮＧｒｅｅＤ,ＢＡＲＳａＮＧｒｅｅＤ,
マルエツ茅ヶ崎店,茅ヶ崎市香川１丁目１番３８号,,0467-54-5311,そうざい製造業,"そうざい,弁当",株式会社マルエツ,代表取締役,古瀬 良多,東京都豊島区東池袋五丁目５１番１２号,,03-3590-1110,01-125-00004,令和3年11月8日,令和10年11月30日,新規,,146,マルエツ茅ヶ崎店,0467,0467-54-5311,,,,茅ヶ崎市香川１丁目１番３８号,神奈川県茅が崎市香川１丁目１番３８号,,81974,14,14207,香川１,,,2021/11/08,,2028/11/30,株式会社マルエツ,代表取締役 古瀬 良多,03-3590-1110,東京都豊島区東池袋五丁目５１番１２号,東京都豊島区東池袋５丁目５１番１２号,,74834,東京都,豊島区,東池袋５,01-125-00004,新規,そうざい製造業," そうざい,弁当",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,E,9,,,マルエツ茅ヶ崎店0467-54-531181974,7d0ff48d-7c16-45d2-8610-1bfa6b6ae6d6,株式会社マルエツ74834,288122e9-b236-4144-82f3-204b431a5e0f,9d3df93f-6806-4e6d-a661-186bd4a7beb6,2021/11/08,マルエツ茅ヶ崎店,マルエツ茅ヶ崎店,株式会社マルエツ
