https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,施設名,施設-住所0,施設-住所1,施設-住所2,施設-電話番号1,業種,申請者1,申請者2,申請-住所0,施設-住所1,施設-住所2,許可期間開始日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,施設名,営業所在地_方書,,,営業所電話番号,営業種別,営業者氏名,代表者氏名,営業者住所_方書,,,許可開始日,許可満了日,初回許可開始年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
5086145,糧,岐阜県岐阜市西材木町４１－２,岐阜県岐阜市西材木町４１－２,,058-213-0386,菓子製造業,中根　理恵,,,,,20211110,20271130,20211110,,228,糧,058,058-213-0386,,,,岐阜県岐阜市西材木町４１－２　　　,岐阜県岐阜市西材木町４１－２,,104302,21,21201,西材木町,,2021/11/10,,2021/11/10,2027/11/30,,中根　理恵 ,,,,,,,,,5086145,,菓子製造業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,E,9,,,糧058-213-038610430221201,7576f300-0f8f-4c98-b1bb-d6840de2d899,,personal,7f12724b-a673-426f-b909-be2015544a82,2021/11/10,糧,糧,
5086195,自然派料理店　糧,岐阜県岐阜市西材木町４１－２,岐阜県岐阜市西材木町４１－２,,058-213-0386,飲食店営業,中根　正貴,,,,,20211110,20271130,20211110,,228,自然派料理店　糧,058,058-213-0386,,,,岐阜県岐阜市西材木町４１－２　　　,岐阜県岐阜市西材木町４１－２,,104302,21,21201,西材木町,,2021/11/10,,2021/11/10,2027/11/30,,中根　正貴 ,,,,,,,,,5086195,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,自然派料理店糧058-213-038610430221201,dcc20c2e-9657-4f33-9fed-754e8a28f58b,,personal,2a9e9fa7-f367-43f6-b5bc-e4d06c77a94a,2021/11/10,自然派料理店　糧,自然派料理店糧,
5087645,小塚屋,岐阜県岐阜市司町７　司ビル　１Ｆ２,岐阜県岐阜市司町７,司ビル １Ｆ２,050-8883-4226,飲食店営業,有限会社竜王産業,丁場　千鶴江,広島県府中市上下町小塚２９８,広島県府中市上下町小塚２９８,,20211116,20271130,20211116,,228,小塚屋,058,050-8883-4226,,,,岐阜県岐阜市司町７　司ビル １Ｆ２　広島県府中市上下町小塚２９８　,岐阜県岐阜市司町７司ビル１Ｆ２広島県府中市上下町小塚２９８,,104056,21,21201,司町,,2021/11/16,,2021/11/16,2027/11/30,有限会社竜王産業,丁場　千鶴江,,,,,,,,,5087645,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,小塚屋050-8883-422610405621201,06c739f3-ea41-41f3-bbf6-15c28f99f4ed,有限会社竜王産業,7391c0c3-aa8e-4c91-9614-59c5d77ae357,53885402-4565-4a92-a128-2544b347fdc6,2021/11/16,小塚屋,小塚屋,有限会社竜王産業
5087305,Ｒｙｏｋｏ,岐阜県岐阜市若宮町４丁目１０－１　イトヒラビル　２Ｆ北側,岐阜県岐阜市若宮町４丁目１０－１,イトヒラビル ２Ｆ北側,,飲食店営業,細井　良子,,,,,20211111,20261130,20211111,,228,Ｒｙｏｋｏ,058,,,,,岐阜県岐阜市若宮町４丁目１０－１　イトヒラビル ２Ｆ北側　　,岐阜県岐阜市若宮町４丁目１０－１イトヒラビル２Ｆ北側,,104805,21,21201,若宮町４,,2021/11/11,,2021/11/11,2026/11/30,,細井　良子 ,,,,,,,,,5087305,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,Ｒｙｏｋｏ10480521201,dae5fc6d-4769-4217-927f-ad8c04d05a2c,,personal,4155daf2-1be3-4645-abbf-255994cd95ee,2021/11/11,Ｒｙｏｋｏ,Ｒｙｏｋｏ,
5087625,ＢＡＲ　２ｎｄ,岐阜県岐阜市住吉町３４　タマヤビル　１Ｆ,岐阜県岐阜市住吉町３４,タマヤビル １Ｆ,,飲食店営業,眞鍋　柊汰,,,,,20211110,20261130,20211110,,228,ＢＡＲ　２ｎｄ,058,,,,,岐阜県岐阜市住吉町３４　タマヤビル １Ｆ　　,岐阜県岐阜市住吉町３４タマヤビル１Ｆ,,103870,21,21201,住吉町,,2021/11/10,,2021/11/10,2026/11/30,,眞鍋　柊汰 ,,,,,,,,,5087625,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,ＢＡＲ２ｎｄ10387021201,40c80372-6740-4abe-a8d6-c0f8ca5ca78d,,personal,2dea5b6a-1b98-4af0-8334-8cbbe4b8404d,2021/11/10,ＢＡＲ　２ｎｄ,ＢＡＲ２ｎｄ,
5087585,たわらや,岐阜県岐阜市住吉町３９,岐阜県岐阜市住吉町３９,,058-263-7535,飲食店営業,池戸　あゆみ,,,,,20211111,20261130,20211111,,228,たわらや,058,058-263-7535,,,,岐阜県岐阜市住吉町３９　　　,岐阜県岐阜市住吉町３９,,103870,21,21201,住吉町,,2021/11/11,,2021/11/11,2026/11/30,,池戸　あゆみ ,,,,,,,,,5087585,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,たわらや058-263-753510387021201,bd6eabdf-5b96-451d-a645-2aa4b909885e,,personal,562acd87-cc9e-44aa-b680-acbd60b24a74,2021/11/11,たわらや,たわらや,
5087805,ＬＯＶＥＹ,岐阜県岐阜市日ノ出町４丁目１５　ＲＯＡＴＯＷＥＲ　１Ｆ,岐阜県岐阜市日ノ出町４丁目１５,ＲＯＡＴＯＷＥＲ １Ｆ,,飲食店営業,西川　真子,,,,,20211112,20261130,20211112,,228,ＬＯＶＥＹ,058,,,,,岐阜県岐阜市日ノ出町４丁目１５　ＲＯＡＴＯＷＥＲ １Ｆ　　,岐阜県岐阜市日ノ出町４丁目１５ＲＯＡＴＯＷＥＲ１Ｆ,,104454,21,21201,日ノ出町４,,2021/11/12,,2021/11/12,2026/11/30,,西川　真子 ,,,,,,,,,5087805,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,ＬＯＶＥＹ10445421201,c1816072-3279-4bcc-929e-e538eb9c09dd,,personal,e4af3b0f-1250-4af4-beb1-b10ed60289c8,2021/11/12,ＬＯＶＥＹ,ＬＯＶＥＹ,
5087155,ＡＬＰＨＡ,岐阜県岐阜市日ノ出町４丁目１５　ロアタワービル　６Ｆ,岐阜県岐阜市日ノ出町４丁目１５,ロアタワービル ６Ｆ,058-213-2505,飲食店営業,清水　賢一,,,,,20211106,20271130,20211106,,228,ＡＬＰＨＡ,058,058-213-2505,,,,岐阜県岐阜市日ノ出町４丁目１５　ロアタワービル ６Ｆ　　,岐阜県岐阜市日ノ出町４丁目１５ロアタワ－ビル６Ｆ,,104454,21,21201,日ノ出町４,,2021/11/06,,2021/11/06,2027/11/30,,清水　賢一 ,,,,,,,,,5087155,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,ＡＬＰＨＡ058-213-250510445421201,298e029b-e596-471e-b1ed-7e13d6876bae,,personal,6f1a4d78-b999-4ac7-b4a1-3c5af4bd5c8b,2021/11/06,ＡＬＰＨＡ,ＡＬＰＨＡ,
5088355,ｓｉｎｃｅ　５０,岐阜県岐阜市日ノ出町４丁目２３　第５松葉ビル　３Ｆ,岐阜県岐阜市日ノ出町４丁目２３,第５松葉ビル ３Ｆ,,飲食店営業,合同会社フジツー商事,加藤　徹男,岐阜県岐阜市次木１８６－６,岐阜県岐阜市次木１８６－６,,20211130,20261130,20211130,,228,ｓｉｎｃｅ　５０,058,,,,,岐阜県岐阜市日ノ出町４丁目２３　第５松葉ビル ３Ｆ　岐阜県岐阜市次木１８６－６　,岐阜県岐阜市日ノ出町４丁目２３第５松葉ビル３Ｆ岐阜県岐阜市次木１８６－６,,104454,21,21201,日ノ出町４,,2021/11/30,,2021/11/30,2026/11/30,合同会社フジツー商事,加藤　徹男,,,,,,,,,5088355,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,ｓｉｎｃｅ５０10445421201,db2c72c2-5496-47e8-9991-a0370f1e0b84,合同会社フジツー商事,38016d81-2501-4929-a54b-5fcc07260b75,5efbfeaf-2c10-4432-aa08-0ed106dfb093,2021/11/30,ｓｉｎｃｅ　５０,ｓｉｎｃｅ５０,合同会社フジツー商事
5087635,ＣＬＵＢ　ＤＩＡ,岐阜県岐阜市八ツ寺町２丁目１９－１　６１０ビル　２Ｆ,岐阜県岐阜市八ツ寺町２丁目１９－１,６１０ビル ２Ｆ,,飲食店営業,ＤＥＬ　ＲＯＳＡＲＩＯ　ＭＨＥＬ　ＪＯＳＥＰＨ,,,,,20211110,20261130,20211110,,228,ＣＬＵＢ　ＤＩＡ,058,,,,,岐阜県岐阜市八ツ寺町２丁目１９－１　６１０ビル ２Ｆ　　,岐阜県岐阜市八ツ寺町２丁目１９－１６１０ビル２Ｆ,,104710,21,21201,八ツ寺町２,,2021/11/10,,2021/11/10,2026/11/30,,ＤＥＬ　ＲＯＳＡＲＩＯ　ＭＨＥＬ　ＪＯＳＥＰＨ ,,,,,,,,,5087635,,飲食店営業,,,,228_岐阜県_岐阜市保健所_食品衛生(許可)_2021年11月_末日_新規,M,76,,,ＣＬＵＢＤＩＡ10471021201,771d6bb7-c4ce-4fc1-a038-77762cdc8ac9,,personal,5e3be1bf-d98f-4791-bfab-01498b05c943,2021/11/10,ＣＬＵＢ　ＤＩＡ,ＣＬＵＢＤＩＡ,
