https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請-電話番号1,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,許可年月日,確認番号,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業者名,"営業者
電話番号",営業所名称,営業所所在地,,,"営業所
電話番号",業種,許可年月日,許可番号,許可の有効期限FROM,許可の有効期限TO,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
株式会社　まつりグループ 代表取締役　飯田　昌登,433-9239,炭焼きうなぎ・かしわ登河　池下店,名古屋市千種区高見二丁目９番１３号　,名古屋市千種区高見２丁目９番１３号, ,753-9158,漬物製造業,2021/11/16,3千保管第1-491号,2021/11/16,2028/8/20,,245,炭焼きうなぎ・かしわ登河　池下店,052,052-753-9158,,,,名古屋市千種区高見２丁目９番１３号,愛知県名古屋市千種区高見２丁目９番１３号, ,113798,23,23101,高見２,,,2021/11/16,2021/11/16,2028/08/20,株式会社　まつりグループ ,代表取締役　飯田　昌登,052-433-9239,,,,,,,,3千保管第1-491号,,漬物製造業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,E,9,,,炭焼きうなぎかしわ登河池下店052-753-915811379823101,a8309f98-fec4-4459-a8f6-ad3835e3b8cc,株式会社まつりグループ　,856357f8-c23d-4ccf-a6f4-4e8680cf7030,409477d9-482f-4366-9cfa-9ab18690a149,2021/11/16,炭焼きうなぎ・かしわ登河　池下店,炭焼きうなぎかしわ登河池下店,株式会社まつりグループ　
東海キヨスク株式会社 代表取締役　加藤　公一,562-6022,ベルマートキヨスク千種,名古屋市千種区内山三丁目２４番８号　ＪＲ千種駅構内,名古屋市千種区内山３丁目２４番８号, ＪＲ千種駅構内,744-0061,飲食店営業,2021/11/10,3千保管第1-464号,2021/11/21,2027/11/20,,245,ベルマートキヨスク千種,052,052-744-0061,,,,名古屋市千種区内山３丁目２４番８号,愛知県名古屋市千種区内山３丁目２４番８号, ＪＲ千種駅構内,113773,23,23101,内山３,,,2021/11/10,2021/11/21,2027/11/20,東海キヨスク株式会社 ,代表取締役　加藤　公一,052-562-6022,,,,,,,,3千保管第1-464号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,ベルマトキヨスク千種052-744-006111377323101,dcec7386-7006-4566-87e8-02bd1b6ca3f8,東海キヨスク株式会社,f284255b-9d92-4674-94b0-711b5ac02cea,476a5452-e32f-42ea-b2ed-01c228f57b44,2021/11/10,ベルマートキヨスク千種,ベルマトキヨスク千種,東海キヨスク株式会社
株式会社　サンパティック・ノワ 代表取締役　黒沢　一美,,ガーデンテラス東山,名古屋市千種区東山元町３丁目７０番地　東山動植物園内,名古屋市千種区東山元町３丁目７０番地, 東山動植物園内,789-1511,菓子製造業,2021/11/19,3千保管第1-486号,2021/11/19,2029/3/20,,245,ガーデンテラス東山,052,052-789-1511,,,,名古屋市千種区東山元町３丁目７０番地,愛知県名古屋市千種区東山元町３丁目７０番地, 東山動植物園内,113702,23,23101,東山元町３,,,2021/11/19,2021/11/19,2029/03/20,株式会社　サンパティック・ノワ ,代表取締役　黒沢　一美,,,,,,,,,3千保管第1-486号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,E,9,,,ガデンテラス東山052-789-151111370223101,5e594ffb-5c1d-4d9f-92de-25d1ea824837,株式会社サンパティック・ノワ　,9b391165-b03b-43b1-912d-2ffd0b1ef4ba,ee573b0f-5e37-431d-adaa-ec5bcf8a8dea,2021/11/19,ガーデンテラス東山,ガデンテラス東山,株式会社サンパティック・ノワ　
株式会社　サンパティック・ノワ 代表取締役　黒沢　一美,,ガーデンテラス東山,名古屋市千種区東山元町３丁目７０番地　東山動植物園内,名古屋市千種区東山元町３丁目７０番地, 東山動植物園内,789-1511,そうざい製造業,2021/11/19,3千保管第1-487号,2021/11/19,2029/3/20,,245,ガーデンテラス東山,052,052-789-1511,,,,名古屋市千種区東山元町３丁目７０番地,愛知県名古屋市千種区東山元町３丁目７０番地, 東山動植物園内,113702,23,23101,東山元町３,,,2021/11/19,2021/11/19,2029/03/20,株式会社　サンパティック・ノワ ,代表取締役　黒沢　一美,,,,,,,,,3千保管第1-487号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,E,9,,,ガデンテラス東山052-789-151111370223101,5e594ffb-5c1d-4d9f-92de-25d1ea824837,株式会社サンパティック・ノワ　,9b391165-b03b-43b1-912d-2ffd0b1ef4ba,b73fe4ad-d66f-4064-9697-a4029ffe9482,2021/11/19,ガーデンテラス東山,ガデンテラス東山,株式会社サンパティック・ノワ　
合同会社ファント 代表社員　三好　達也,265-6107,キライナトキ、キライナコト。,名古屋市千種区末盛通１丁目１７番地　覚王プラザＢ１Ｆ,名古屋市千種区末盛通１丁目１７番地, 覚王プラザＢ１Ｆ,750-2101,飲食店営業,2021/10/5,3千保管第1-384号,2021/10/8,2028/3/20,,245,キライナトキ、キライナコト。,052,052-750-2101,,,,名古屋市千種区末盛通１丁目１７番地,愛知県名古屋市千種区末盛通１丁目１７番地, 覚王プラザＢ１Ｆ,113617,23,23101,末盛通１,,,2021/10/05,2021/10/08,2028/03/20,合同会社ファント ,代表社員　三好　達也,052-265-6107,,,,,,,,3千保管第1-384号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,キライナトキキライナコト052-750-210111361723101,14fee4fd-df50-4761-84a4-be40ecf8ca4a,合同会社ファント　,9bbafaf9-53bf-46b6-9384-232badc5ed70,2b1ac529-0976-443b-b3ce-0738b5d6b823,2021/10/05,キライナトキ、キライナコト。,キライナトキキライナコト,合同会社ファント　
合同会社ファント 代表社員　三好　達也,265-6107,キライナトキ、キライナコト。,名古屋市千種区末盛通１丁目１７番地　覚王プラザＢ１Ｆ,名古屋市千種区末盛通１丁目１７番地, 覚王プラザＢ１Ｆ,750-2101,菓子製造業,2021/10/5,3千保管第1-333号,2021/10/8,2028/3/20,,245,キライナトキ、キライナコト。,052,052-750-2101,,,,名古屋市千種区末盛通１丁目１７番地,愛知県名古屋市千種区末盛通１丁目１７番地, 覚王プラザＢ１Ｆ,113617,23,23101,末盛通１,,,2021/10/05,2021/10/08,2028/03/20,合同会社ファント ,代表社員　三好　達也,052-265-6107,,,,,,,,3千保管第1-333号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,E,9,,,キライナトキキライナコト052-750-210111361723101,14fee4fd-df50-4761-84a4-be40ecf8ca4a,合同会社ファント　,9bbafaf9-53bf-46b6-9384-232badc5ed70,99088ed4-8513-477c-944f-dd1cfe0a31f1,2021/10/05,キライナトキ、キライナコト。,キライナトキキライナコト,合同会社ファント　
株式会社　ＳＩＮ 代表取締役　眞城　光章,762-8929,眞珠園,名古屋市千種区春岡通６丁目２４番地　,名古屋市千種区春岡通６丁目２４番地 ,,762-8929,飲食店営業,2021/10/1,3千保管第1-334号,2021/10/21,2027/10/20,,245,眞珠園,052,052-762-8929,,,,名古屋市千種区春岡通６丁目２４番地 ,愛知県名古屋市千種区春岡通６丁目２４番地,,113689,23,23101,春岡通６,,,2021/10/01,2021/10/21,2027/10/20,株式会社　ＳＩＮ ,代表取締役　眞城　光章,052-762-8929,,,,,,,,3千保管第1-334号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,眞珠園052-762-892911368923101,bfaf8237-b373-4613-949e-f3198907000e,株式会社ＳＩＮ　,3e6dc181-2b20-4036-8a31-41657c264afd,1602cd3f-7df1-4ae6-b405-d07a3a330666,2021/10/01,眞珠園,眞珠園,株式会社ＳＩＮ　
林　大介,,リストランテ　ネグラマーロ,名古屋市千種区春岡一丁目６番１４号　やかたベル小原　１Ｆ,名古屋市千種区春岡１丁目６番１４号,やかたベル小原 １Ｆ,752-1610,飲食店営業,2021/10/1,3千保管第1-378号,2021/10/21,2027/10/20,,245,リストランテ　ネグラマーロ,052,052-752-1610,,,,名古屋市千種区春岡１丁目６番１４号,愛知県名古屋市千種区春岡１丁目６番１４号,やかたベル小原 １Ｆ,113783,23,23101,春岡１,,,2021/10/01,2021/10/21,2027/10/20,,林　大介,,,,,,,,,3千保管第1-378号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,リストランテネグラマロ052-752-161011378323101,7285ebf7-9b4c-42cf-b093-63182e7d7fe3,,personal,b6fc861f-598e-4166-babd-9e397a478979,2021/10/01,リストランテ　ネグラマーロ,リストランテネグラマロ,
特定非営利活動法人　福心 理事長　福智　寿彦,745-5582,CAFE GALLERY　寸心　今池店,名古屋市千種区今池五丁目１９番１２号　,名古屋市千種区今池５丁目１９番１２号, ,733-3500,飲食店営業,2021/10/1,3千保管第1-382号,2021/10/21,2027/10/20,,245,CAFE GALLERY　寸心　今池店,052,052-733-3500,,,,名古屋市千種区今池５丁目１９番１２号,愛知県名古屋市千種区今池５丁目１９番１２号, ,113760,23,23101,今池５,,,2021/10/01,2021/10/21,2027/10/20,特定非営利活動法人　福心 ,理事長　福智　寿彦,052-745-5582,,,,,,,,3千保管第1-382号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,ＣＡＦＥＧＡＬＬＥＲＹ寸心今池店052-733-350011376023101,9af7c565-e23b-429c-971c-1295ce8b97e8,特定非営利活動法人福心　,9093cb97-fe61-469c-83ae-bee4e657e91d,bab00f30-b7b0-47b9-9b83-d29aa27d8ec9,2021/10/01,ＣＡＦＥ　ＧＡＬＬＥＲＹ　寸心　今池店,ＣＡＦＥＧＡＬＬＥＲＹ寸心今池店,特定非営利活動法人福心　
特定非営利活動法人　福心 理事長　福智　寿彦,745-5582,CAFE GALLERY　寸心　今池店,名古屋市千種区今池五丁目１９番１２号　,名古屋市千種区今池５丁目１９番１２号, ,733-3500,菓子製造業,2021/10/1,3千保管第1-383号,2021/10/21,2027/10/20,,245,CAFE GALLERY　寸心　今池店,052,052-733-3500,,,,名古屋市千種区今池５丁目１９番１２号,愛知県名古屋市千種区今池５丁目１９番１２号, ,113760,23,23101,今池５,,,2021/10/01,2021/10/21,2027/10/20,特定非営利活動法人　福心 ,理事長　福智　寿彦,052-745-5582,,,,,,,,3千保管第1-383号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,E,9,,,ＣＡＦＥＧＡＬＬＥＲＹ寸心今池店052-733-350011376023101,9af7c565-e23b-429c-971c-1295ce8b97e8,特定非営利活動法人福心　,9093cb97-fe61-469c-83ae-bee4e657e91d,554c2617-eb4c-4555-a66b-711e9e4f976a,2021/10/01,ＣＡＦＥ　ＧＡＬＬＥＲＹ　寸心　今池店,ＣＡＦＥＧＡＬＬＥＲＹ寸心今池店,特定非営利活動法人福心　
