https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,n処理終了,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,,業種,,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,その他,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都道府県コード又は市区町村コード,No,都道府県名,市区町村名,施設名称,施設名称_カナ,営業の種類,業態,施設所在地,施設方書,緯度,経度,施設電話番号,法人名,法人番号,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
232025,,愛知県,岡崎市,しゃぶしゃぶ・ステーキ 桂,シャブシャブ・ステーキ カツラ,飲食店営業,,愛知県岡崎市井田南町1-9,２０１ビル３Ｆ,,,(0564)22-6952,有限会社 和風レストラン桂,,428-01-501-0201,1987/10/24,2017/3/21,2017/4/1,2023/3/31,,,,,,247,しゃぶしゃぶ・ステーキ 桂,0564,0564-22-6952,,,,愛知県岡崎市井田南町1-9,愛知県岡崎市井田南町１－９,２０１ビル３Ｆ,118065,23,23202,井田南町,,1987/10/24,2017/03/21,2017/04/01,2023/03/31,有限会社 和風レストラン桂,,,,,,,,,,428-01-501-0201,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,しゃぶしゃぶステキ桂0564-22-695211806523202,66a1b47d-bd0a-4ce5-bd49-16f06df82f79,有限会社和風レストラン桂,39833b8f-aa9b-443c-b14a-97883ea02642,b3a42145-673c-48ed-bfa4-ee6cb9e4093e,2017/03/21,しゃぶしゃぶ・ステーキ　桂,しゃぶしゃぶステキ桂,有限会社和風レストラン桂
232025,,愛知県,岡崎市,バーミヤン 岡崎竜美ヶ丘店,バーミヤン オカザキタツミガオカテン,飲食店営業,,愛知県岡崎市東明大寺町10-1,,,,(0564)87-4488,株式会社 すかいらーくレストランツ,,430-01-501-0139,2001/1/24,2019/1/31,2019/2/1,2025/1/31,,,,,,247,バーミヤン 岡崎竜美ヶ丘店,0564,0564-87-4488,,,,愛知県岡崎市東明大寺町10-1,愛知県岡崎市東明大寺町１０－１,,118456,23,23202,東明大寺町,,2001/01/24,2019/01/31,2019/02/01,2025/01/31,株式会社 すかいらーくレストランツ,,,,,,,,,,430-01-501-0139,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,バミヤン岡崎竜美ヶ丘店0564-87-448811845623202,b77ef1ff-9c83-4714-8a26-8542f2ac0570,株式会社すかいらーくレストランツ,84c3a857-dd8b-4e4b-b19e-c58ff70d3fa5,d211d1d0-5ff9-40bb-9c02-ecd2a68d438f,2019/01/31,バーミヤン　岡崎竜美ヶ丘店,バミヤン岡崎竜美ヶ丘店,株式会社すかいらーくレストランツ
232025,,愛知県,岡崎市,㈱ジャパンビバレッジ アイシンＡＷ㈱岡崎東工場 ３Ｆ事務所,カブジャパンビバレッジ アイシンエイダブリュカブオカザキヒガシコウジョウ ３,喫茶店営業,,愛知県岡崎市大幡町大入1-1,アイシンＡＷ㈱ 岡崎東工場 ３Ｆ事務所,,,,株式会社 ジャパンビバレッジホールディングス,,428-01-508-0104,2007/1/19,2017/1/6,2017/2/1,2022/1/31,,,自動販売機による営業に限る,,,247,㈱ジャパンビバレッジ アイシンＡＷ㈱岡崎東工場 ３Ｆ事務所,0564,,,,,愛知県岡崎市大幡町大入1-1,愛知県岡崎市大幡町大入１－１,アイシンＡＷ㈱ 岡崎東工場 ３Ｆ事務所,118096,23,23202,大幡町,,2007/01/19,2017/01/06,2017/02/01,2022/01/31,株式会社 ジャパンビバレッジホールディングス,,,,,,,,,,428-01-508-0104,,喫茶店営業,,自動販売機による営業に限る,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,株式会社ジャパンビバレッジアイシンＡＷ㈱岡崎東工場３Ｆ事務所11809623202,c373c796-5a14-4139-a5fc-17e05f7c26bf,株式会社ジャパンビバレッジホールディングス,e49cfbeb-bd9b-41a4-bd71-145b76cc11ed,02dc8394-ca1a-4a28-83bd-b385bc93fe91,2017/01/06,株式会社ジャパンビバレッジ　アイシンＡＷ㈱岡崎東工場　３Ｆ事務所,株式会社ジャパンビバレッジアイシンＡＷ㈱岡崎東工場３Ｆ事務所,株式会社ジャパンビバレッジホールディングス
232025,,愛知県,岡崎市,ユニチカ岡崎事業所食堂,ユニチカオカザキジギョウショショクドウ,飲食店営業,,愛知県岡崎市日名北町4-1,,,,(0564)26-0506,コンパスグループ・ジャパン株式会社,,431-01-502-0013,2007/6/5,2019/6/28,2019/7/1,2025/6/30,,,,,,247,ユニチカ岡崎事業所食堂,0564,0564-26-0506,,,,愛知県岡崎市日名北町4-1,愛知県岡崎市日名北町４－１,,118260,23,23202,日名北町,,2007/06/05,2019/06/28,2019/07/01,2025/06/30,コンパスグループ・ジャパン株式会社,,,,,,,,,,431-01-502-0013,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ユニチカ岡崎事業所食堂0564-26-050611826023202,03933050-c873-4ac0-9f36-9445f26c3ac0,コンパスグループ・ジャパン株式会社,62c9e7fa-0e48-457a-8e48-b1af5a0e11fc,6643410a-6931-44fc-ac25-33c07e8d2dcb,2019/06/28,ユニチカ岡崎事業所食堂,ユニチカ岡崎事業所食堂,コンパスグループ・ジャパン株式会社
232025,,愛知県,岡崎市,丸亀製麺イオンモール岡崎,マルガメセイメンイオンモールオカザキ,飲食店営業,,愛知県岡崎市戸崎町字外山38-5,イオンモール岡崎３Ｆ,,,(0564)59-1270,株式会社 丸亀製麺,,502-01-501-0100,2008/11/20,2020/11/16,2020/12/1,2026/11/30,,,,,,247,丸亀製麺イオンモール岡崎,0564,0564-59-1270,,,,愛知県岡崎市戸崎町字外山38-5,愛知県岡崎市戸崎町字外山３８－５,イオンモール岡崎３Ｆ,118199,23,23202,戸崎町,,2008/11/20,2020/11/16,2020/12/01,2026/11/30,株式会社 丸亀製麺,,,,,,,,,,502-01-501-0100,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,丸亀製麺イオンモル岡崎0564-59-127011819923202,90961371-f2f7-4c5f-8bf2-9b0ad34d8ae4,株式会社丸亀製麺,1769d7c0-bd91-4a29-b7ea-4dbd4cfe48c3,17d24399-98ae-4dc0-96c4-a029b441f7ac,2020/11/16,丸亀製麺イオンモール岡崎,丸亀製麺イオンモル岡崎,株式会社丸亀製麺
232025,,愛知県,岡崎市,＆ｍｅ ｓｅｃｏｎｄ,アンドミー セカンド,飲食店営業,,愛知県岡崎市明大寺本町4-48,グロリアウエストビル２階西側,,,(0564)28-0016,ＷＯＲＬＤ－ＴＭ株式会社,,428-01-504-0017,2010/4/12,2016/4/28,2016/5/1,2022/4/30,,,,,,247,＆ｍｅ ｓｅｃｏｎｄ,0564,0564-28-0016,,,,愛知県岡崎市明大寺本町4-48,愛知県岡崎市明大寺本町４－４８,グロリアウエストビル２階西側,118295,23,23202,明大寺本町４,,2010/04/12,2016/04/28,2016/05/01,2022/04/30,ＷＯＲＬＤ－ＴＭ株式会社,,,,,,,,,,428-01-504-0017,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ｍｅｓｅｃｏｎｄ0564-28-001611829523202,14ff407c-f42d-4390-b2e5-780f5a68c0be,ＷＯＲＬＤ－ＴＭ株式会社,c34fa016-02aa-462e-bc14-8058d702bb69,63a59ef8-1b9e-423c-9483-0a5ce961eac7,2016/04/28,＆ｍｅ　ｓｅｃｏｎｄ,ｍｅｓｅｃｏｎｄ,ＷＯＲＬＤ－ＴＭ株式会社
232025,,愛知県,岡崎市,カラオケビーチハウス（串カツ 厚切ステーキと牡蠣 ＢＢＱ アホヤネン中庭）,カラオケビーチハウス（クシカツ アツギリステーキトカキ バーベキュー アホヤネンナカニワ）,飲食店営業,,愛知県岡崎市牧御堂町油田32,,,,(0564)58-9199,ＵＥＫＯ株式会社,,502-01-504-0079,2010/8/10,2020/8/31,2020/9/1,2025/8/31,,,,,,247,カラオケビーチハウス（串カツ 厚切ステーキと牡蠣 ＢＢＱ アホヤネン中庭）,0564,0564-58-9199,,,,愛知県岡崎市牧御堂町油田32,愛知県岡崎市牧御堂町油田３２,,118282,23,23202,牧御堂町,,2010/08/10,2020/08/31,2020/09/01,2025/08/31,ＵＥＫＯ株式会社,,,,,,,,,,502-01-504-0079,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,カラオケビチハウス串カツ厚切ステキと牡蠣ＢＢＱアホヤネン中庭0564-58-919911828223202,e4479832-9867-4913-806e-1ebffa5de2cd,ＵＥＫＯ株式会社,803c345a-f8dd-4e9d-8c5f-5c492ec69c0f,2c515ddc-42c5-49a8-91bd-70f820b19004,2020/08/31,カラオケビーチハウス（串カツ　厚切ステーキと牡蠣　ＢＢＱ　アホヤネン中庭）,カラオケビチハウス串カツ厚切ステキと牡蠣ＢＢＱアホヤネン中庭,ＵＥＫＯ株式会社
232025,,愛知県,岡崎市,伊勢和うどん店 開花屋楽麺荘店,イセワウドンテン カイカヤラクメンソウテン,飲食店営業,,愛知県岡崎市宮石町字六ﾂ田10-4,,,,(0564)64-1381,株式会社 マジェスティックダイニング,,427-01-001-0072,2016/2/2,2016/2/2,2016/2/2,2022/2/28,,,,,,247,伊勢和うどん店 開花屋楽麺荘店,0564,0564-64-1381,,,,愛知県岡崎市宮石町字六ﾂ田10-4,愛知県岡崎市宮石町字六ツ田１０－４,,118289,23,23202,宮石町,,2016/02/02,2016/02/02,2016/02/02,2022/02/28,株式会社 マジェスティックダイニング,,,,,,,,,,427-01-001-0072,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,伊勢和うどん店開花屋楽麺荘店0564-64-138111828923202,5992eec3-5a9f-441d-81d6-de39499448f2,株式会社マジェスティックダイニング,db1a8bc1-047c-4465-9595-1f5276b803d5,8cb8a301-6ea8-4fc2-aca3-30cb9e7e92b1,2016/02/02,伊勢和うどん店　開花屋楽麺荘店,伊勢和うどん店開花屋楽麺荘店,株式会社マジェスティックダイニング
232025,,愛知県,岡崎市,㈱いわきゅう㈱トヨトミ額田工場内厨房,カブイワキュウカブトヨトミヌカタコウジョウナイチュウボウ,飲食店営業,,愛知県岡崎市樫山町字陣ﾉ屋1,,,,,株式会社 いわきゅう,,428-01-002-0008,2016/8/1,2016/8/1,2016/8/1,2022/7/31,,,,,,247,㈱いわきゅう㈱トヨトミ額田工場内厨房,0564,,,,,愛知県岡崎市樫山町字陣ﾉ屋1,愛知県岡崎市樫山町字陣ノ屋１,,118515,23,23202,樫山町,,2016/08/01,2016/08/01,2016/08/01,2022/07/31,株式会社 いわきゅう,,,,,,,,,,428-01-002-0008,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,株式会社いわきゅう㈱トヨトミ額田工場内厨房11851523202,1e139212-740f-4a72-9a16-804892dac200,株式会社いわきゅう,3367e5a2-b703-43a4-9240-3cd2a9bd0e03,217534ac-97ed-421d-b458-d9432ea53dab,2016/08/01,株式会社いわきゅう㈱トヨトミ額田工場内厨房,株式会社いわきゅう㈱トヨトミ額田工場内厨房,株式会社いわきゅう
