,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,空欄,空欄,,,,,,マンション,なんだこいつ,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名のフリガナ,業種,業態,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,法人番号,申請-住所1,確認番号,許可年月日,許可年月日,許可期間開始日,許可期間終了日,廃業年月日,申請区分,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自治体コード,行番号,都道府県名,市区町村名,営業施設名称、屋号又は商号,営業施設名称、屋号又は商号（フリガナ）,営業の種類,業態,営業施設所在地,営業施設方書,緯度,経度,営業施設電話番号,法人名,法人番号,法人住所,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
10202,fBiz00000107420000000226,群馬県,高崎市,株式会社九州屋　スズラン高崎店,カブシキガイシャキュウシュウヤ　スズランタカサキテン,⑦ 野菜果物販売業,,群馬県高崎市宮元町13-1,スズラン百貨店高崎店　本館B1F,2/4/1900,5/18/1900,027-330-5615,株式会社九州屋,4010101000976 ,東京都八王子市越野24-1,,,,,,,届出,,,,高崎市保健所,株式会社九州屋　スズラン高崎店,027,027-330-5615,,,,群馬県高崎市宮元町13-1,群馬県高崎市宮元町１３－１,スズラン百貨店高崎店　本館B1F,60170,群馬県,高崎市,宮元町,,,,,,株式会社九州屋,,,東京都八王子市越野24-1,東京都八王子市越野２４－１,,76037,東京都,八王子市,越野,,届出,野菜果物販売業,,,4010101000976,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,野菜・果実小売業,,,,,,,,株式会社九州屋　スズラン高崎店,株式会社九州屋スズラン高崎店,株式会社九州屋,,1,,,,,カブシキガイシャキュウシュウヤ　スズランタカサキテン
10202,fBiz00000108060000000009,群馬県,高崎市,マタイ紙工株式会社,マタイシコウカブシキガイシャ,㉗ 器具、容器包装の製造・加工業（合成樹脂が使用された器具又は容器包装の製造、加工に限る。）,,群馬県高崎市神戸町35‐1,,2/4/1900,5/17/1900,273741121,日本マタイ株式会社,1010501016237 ,東京都台東区元浅草2丁目6-7,,,,,,,届出,,,,高崎市保健所,マタイ紙工株式会社,027,027-374-1121,,,,群馬県高崎市神戸町35‐1,群馬県高崎市神戸町３５－１,,60253,群馬県,高崎市,神戸町,,,,,,日本マタイ株式会社,,,東京都台東区元浅草2丁目6-7,東京都台東区元浅草２丁目６－７,,73478,東京都,台東区,元浅草２,,届出,器具・容器・おもちゃ製造業,,,1010501016237,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,製造業,プラスチック製品製造業（別掲を除く）,,,,,,,,,マタイ紙工株式会社,マタイ紙工株式会社,日本マタイ株式会社,,1,,,,,マタイシコウカブシキガイシャ
10202,fBiz00000114130000000001,群馬県,高崎市,群栄化学工業株式会社,グンエイカガクコウギョウカブシキガイシャ,⑲ 糖類製造・加工業,製造業,群馬県高崎市宿大類町700,,2/4/1900,5/18/1900,027-353-1815,群栄化学工業株式会社,7070001006735 ,群馬県高崎市宿大類町700,,,,,,,届出,,,,高崎市保健所,群栄化学工業株式会社,027,027-353-1815,,,,群馬県高崎市宿大類町700,群馬県高崎市宿大類町７００,,60107,群馬県,高崎市,宿大類町,,,,,,群栄化学工業株式会社,,,群馬県高崎市宿大類町700,群馬県高崎市宿大類町７００,,60107,群馬県,高崎市,宿大類町,,届出,糖類製造・加工業, 製造業,,7070001006735,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,製造業,食料品製造業,,,,,,,,,群栄化学工業株式会社,群栄化学工業株式会社,群栄化学工業株式会社,,1,,,,,グンエイカガクコウギョウカブシキガイシャ
10202,fBiz00000115920000000027,群馬県,高崎市,カルディコーヒーファーム　高崎オーパ店,カルディコーヒーファーム　タカサキオーパテン,⑬ その他の食料・飲料販売業,小売業,群馬県高崎市八島町46-1,高崎オーパ2F,2/4/1900,5/18/1900,273816684,株式会社キャメル珈琲,6010901003292 ,東京都世田谷区代田2-31-8,,,,,,,届出,,,,高崎市保健所,カルディコーヒーファーム　高崎オーパ店,027,027-381-6684,,,,群馬県高崎市八島町46-1,群馬県高崎市八島町４６－１,高崎オーパ2F,60174,群馬県,高崎市,八島町,,,,,,株式会社キャメル珈琲,,,東京都世田谷区代田2-31-8,東京都世田谷区代田２－３１－８,,74388,東京都,世田谷区,代田２,,届出,食料品販売業, 小売業,,6010901003292,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,カルディコーヒーファーム　高崎オーパ店,カルディコヒファム高崎オパ店,株式会社キャメル珈琲,,1,,,,,カルディコーヒーファーム　タカサキオーパテン
10202,fBiz00000115920000000032,群馬県,高崎市,カルディコーヒーファーム　イオンモール高崎店,カルディコーヒーファーム　イオンモールタカサキテン,⑬ その他の食料・飲料販売業,小売業,群馬県高崎市棟高町1400,イオンモール高崎　1F,2/4/1900,5/18/1900,027-310-9012,株式会社キャメル珈琲,6010901003292 ,東京都世田谷区代田2-31-8,,,,,,,届出,,,,高崎市保健所,カルディコーヒーファーム　イオンモール高崎店,027,027-310-9012,,,,群馬県高崎市棟高町1400,群馬県高崎市棟高町１４００,イオンモール高崎　1F,60249,群馬県,高崎市,棟高町,,,,,,株式会社キャメル珈琲,,,東京都世田谷区代田2-31-8,東京都世田谷区代田２－３１－８,,74388,東京都,世田谷区,代田２,,届出,食料品販売業, 小売業,,6010901003292,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,カルディコーヒーファーム　イオンモール高崎店,カルディコヒファムイオンモル高崎店,株式会社キャメル珈琲,,1,,,,,カルディコーヒーファーム　イオンモールタカサキテン
10202,fBiz00000121120000000001,群馬県,高崎市,日本ルナ株式会社高崎工場,ニッポンルナカブシキカイシャタカサキコウジョウ,㉗ 器具、容器包装の製造・加工業（合成樹脂が使用された器具又は容器包装の製造、加工に限る。）,工場,群馬県高崎市綿貫町1724番地,,2/4/1900,5/18/1900,273958710,日本ルナ株式会社高崎工場,1300-01039823,群馬県高崎市綿貫町1724番地,,,,,,,届出,,,,高崎市保健所,日本ルナ株式会社高崎工場 ,027,027-395-8710,,,,群馬県高崎市綿貫町1724番地,群馬県高崎市綿貫町１７２４番地,,60195,群馬県,高崎市,綿貫町,,,,,,日本ルナ株式会社高崎工場,,,群馬県高崎市綿貫町1724番地,群馬県高崎市綿貫町１７２４番地,,60195,群馬県,高崎市,綿貫町,,届出,器具・容器・おもちゃ製造業, 工場,,1300-01039823,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,製造業,プラスチック製品製造業（別掲を除く）,,,,,,,,,日本ルナ株式会社高崎工場　,日本ルナ株式会社高崎工場,日本ルナ株式会社高崎工場,,1,,,,,ニッポンルナカブシキカイシャタカサキコウジョウ 
10202,fBiz00000126830000000023,群馬県,高崎市,アミング高崎飯塚店,アミングタカサキイイヅカテン,⑬ その他の食料・飲料販売業,,群馬県高崎市飯塚町143番地1,,2/4/1900,5/17/1900,273703320,株式会社アミング,4220001001533 ,石川県金沢市無量寺５丁目５４番地３,,,,,,,届出,,,,高崎市保健所,アミング高崎飯塚店,027,027-370-3320,,,,群馬県高崎市飯塚町143番地1,群馬県高崎市飯塚町１４３番地１,,60044,群馬県,高崎市,飯塚町,,,,,,株式会社アミング,,,石川県金沢市無量寺５丁目５４番地３,石川県金沢市無量寺５丁目５４番地３,,94822,石川県,金沢市,無量寺５,,届出,食料品販売業,,,4220001001533,114_群馬県_高崎市保健所_食品衛生(届出)_2022年07月まで全件_末日,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,アミング高崎飯塚店,アミング高崎飯塚店,株式会社アミング,,1,,,,,アミングタカサキイイヅカテン
