,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,業態,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-電話番号1,その他,開業年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,業種大分類,業態,屋号,営業所所在地,,,電話番号,営業者,代表者,営業者住所,営業者電話番号,形態,許可日,許可始期年月日,満了年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
407,飲食店営業,自動車営業,PIZZA BUONO,高崎市内一円,高崎市内一円,,027-329-5811,株式会社メンテック,増谷 証,東京都渋谷区大山町19-17,,常設,R04/07/01,R04/07/01,R09/06/30,,高崎市保健所,PIZZA BUONO,,027-329-5811,,,,高崎市内一円,群馬県高崎市内一円,,60036,群馬県,高崎市,,,2022/07/01,,2022/07/01,2027/06/30,株式会社メンテック,増谷 証,,東京都渋谷区大山町19-17,東京都渋谷区大山町１９－１７,,74486,東京都,渋谷区,大山町,407,,飲食店営業, 自動車営業,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＰＩＺＺＡ　ＢＵＯＮＯ,ＰＩＺＺＡＢＵＯＮＯ,株式会社メンテック,,1,,,,,
408,飲食店営業,自動車営業,Kingpin Cafe,高崎市内一円,高崎市内一円,,,養田 祐紀,,北群馬郡吉岡町大久保3477-9,,常設,R04/07/04,R04/07/04,R10/06/30,,高崎市保健所,Kingpin Cafe,,,,,,高崎市内一円,群馬県高崎市内一円,,60036,群馬県,高崎市,,,2022/07/04,,2022/07/04,2028/06/30,,養田 祐紀,,北群馬郡吉岡町大久保3477-9,群馬県北群馬郡吉岡町大久保３４７７－９,,61112,群馬県,北群馬郡吉岡町,大久保,408,,飲食店営業, 自動車営業,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｋｉｎｇｐｉｎ　Ｃａｆｅ,ＫｉｎｇｐｉｎＣａｆｅ,,,1,,,,,
409,飲食店営業,自動車営業,81 LABO,高崎市内一円,高崎市内一円,,,新井 一成,,埼玉県熊谷市押切2571-4,,常設,R04/07/04,R04/07/04,R10/06/30,,高崎市保健所,81 LABO,,,,,,高崎市内一円,群馬県高崎市内一円,,60036,群馬県,高崎市,,,2022/07/04,,2022/07/04,2028/06/30,,新井 一成,,埼玉県熊谷市押切2571-4,埼玉県熊谷市押切２５７１－４,,62650,埼玉県,熊谷市,押切,409,,飲食店営業, 自動車営業,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,８１　ＬＡＢＯ,８１ＬＡＢＯ,,,1,,,,,
410,飲食店営業,カフェ・バー・キャバレー,Club Voir,高崎市寄合町28 おしゃれﾋﾞﾙ2階南,高崎市寄合町２８,おしゃれﾋﾞﾙ２階南,,狩野 亜也,,高崎市西島町16-5 ｳﾞｨﾗｺｽﾓｽ101,,常設,R04/07/05,R04/07/05,R11/03/31,,高崎市保健所,Club Voir,027,,,,,高崎市寄合町２８,群馬県高崎市寄合町２８,おしゃれﾋﾞﾙ２階南,60188,群馬県,高崎市,寄合町,,2022/07/05,,2022/07/05,2029/03/31,,狩野 亜也,,高崎市西島町16-5 ｳﾞｨﾗｺｽﾓｽ101,群馬県高崎市西島町１６－５ｳﾞｨﾗｺｽﾓｽ１０１,,60150,群馬県,高崎市,西島町,410,,飲食店営業, カフェ・バー・キャバレー,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃｌｕｂ　Ｖｏｉｒ,ＣｌｕｂＶｏｉｒ,,,1,,,,,
411,飲食店営業,大衆酒場,つくし野　高崎店,高崎市芝塚町1900-6 ,高崎市芝塚町１９００－６,,,髙橋 崇,,高崎市芝塚町1900-6,,常設,R04/07/06,R04/07/06,R10/12/31,,高崎市保健所,つくし野　高崎店,027,,,,,高崎市芝塚町１９００－６,群馬県高崎市芝塚町１９００－６,,60207,群馬県,高崎市,芝塚町,,2022/07/06,,2022/07/06,2028/12/31,,髙橋 崇,,高崎市芝塚町1900-6,群馬県高崎市芝塚町１９００－６,,60207,群馬県,高崎市,芝塚町,411,,飲食店営業, 大衆酒場,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,つくし野　高崎店,つくし野高崎店,,,1,,,,,
412,飲食店営業,一般飲食店,高崎吉井メモリードホール,高崎市吉井町本郷244-1,高崎市吉井町本郷２４４－１,,027-387-9400,株式会社メモリード,吉田 卓史,前橋市大友町1-2-11,027-255-1777,常設,R04/07/06,R04/07/06,R10/09/30,,高崎市保健所,高崎吉井メモリードホール,027,027-387-9400,,,,高崎市吉井町本郷２４４－１,群馬県高崎市吉井町本郷２４４－１,,60293,群馬県,高崎市,吉井町本郷,,2022/07/06,,2022/07/06,2028/09/30,株式会社メモリード,吉田 卓史,027-255-1777,前橋市大友町1-2-11,群馬県前橋市大友町１－２－１１,,59809,群馬県,前橋市,大友町１,412,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,高崎吉井メモリードホール,高崎吉井メモリドホル,株式会社メモリード,,1,,,,,
413,飲食店営業,喫茶,月白茶菓,高崎市並榎町147,高崎市並榎町１４７,,,吉井 美晴,,高崎市上中居町791-1,,常設,R04/07/06,R04/07/06,R11/03/31,,高崎市保健所,月白茶菓,027,,,,,高崎市並榎町１４７,群馬県高崎市並榎町１４７,,60148,群馬県,高崎市,並榎町,,2022/07/06,,2022/07/06,2029/03/31,,吉井 美晴,,高崎市上中居町791-1,群馬県高崎市上中居町７９１－１,,60070,群馬県,高崎市,上中居町,413,,飲食店営業, 喫茶,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,月白茶菓,月白茶菓,,,2,,,,,
