,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,申請者1,施設-住所0,施設-住所1,施設-マンション名,,施設名,申請-電話番号1,,業態,,確認番号,開業年月日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種名称,営業者氏名漢字,所在地1,,,所在地2,屋号漢字,電話番号1,仮設区分,,業態CD,許可番号,許可日,終期,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
飲食店営業,株式会社  磯部ガーデン,安中市磯部1-12-5,安中市磯部１－１２－５,,,磯部ガーデン（１F厨房),027-385-6311,0,一般飲食店,12,21,R04/07/01,R10/06/30,,安中保健所,磯部ガーデン（１F厨房),027,,,,,安中市磯部１－１２－５,群馬県安中市磯部１－１２－５,,61019,群馬県,安中市,磯部１,,2022/07/01,,,2028/06/30,株式会社  磯部ガーデン,,027-385-6311,,,,,,,,21,,飲食店営業, 一般飲食店,,,122_群馬県_安中保健所_食品衛生(許可)_2022年07月-2022年08月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,磯部ガーデン（１Ｆ厨房）,磯部ガデン１Ｆ厨房,株式会社磯部ガーデン,,1,,,,,
飲食店営業,山谷　和正,安中市安中３丁目２２－２０,安中市安中３丁目２２－２０,,,わくや,090-7269-5045,0,一般飲食店,12,37,R04/07/01,R10/12/31,,安中保健所,わくや,027,,,,,安中市安中３丁目２２－２０,群馬県安中市安中３丁目２２－２０,,61016,群馬県,安中市,安中３,,2022/07/01,,,2028/12/31,,山谷　和正,090-7269-5045,,,,,,,,37,,飲食店営業, 一般飲食店,,,122_群馬県_安中保健所_食品衛生(許可)_2022年07月-2022年08月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,わくや,わくや,,,1,,,,,
菓子製造業,有限会社高野商店,安中市磯部１－１４－２３,安中市磯部１－１４－２３,,,TARTANS　CAKE　STAND,027-358-6404,0,,0,38,R04/07/06,R11/06/30,,安中保健所,TARTANS　CAKE　STAND,027,,,,,安中市磯部１－１４－２３,群馬県安中市磯部１－１４－２３,,61019,群馬県,安中市,磯部１,,2022/07/06,,,2029/06/30,有限会社高野商店,,027-358-6404,,,,,,,,38,,菓子製造業,,,,122_群馬県_安中保健所_食品衛生(許可)_2022年07月-2022年08月_末日_新規,製造業,食料品製造業,,,,,,,,,ＴＡＲＴＡＮＳ　ＣＡＫＥ　ＳＴＡＮＤ,ＴＡＲＴＡＮＳＣＡＫＥＳＴＡＮＤ,有限会社高野商店,,1,,,,,
飲食店営業,櫻井　純子,安中市磯部一丁目２－３３　２F,安中市磯部１丁目２－３３,２F,,大衆酒場　こじぞう,,0,大衆酒場,19,39,R04/07/14,R11/06/30,,安中保健所,大衆酒場　こじぞう,027,,,,,安中市磯部１丁目２－３３,群馬県安中市磯部１丁目２－３３,２F,61019,群馬県,安中市,磯部１,,2022/07/14,,,2029/06/30,,櫻井　純子,,,,,,,,,39,,飲食店営業, 大衆酒場,,,122_群馬県_安中保健所_食品衛生(許可)_2022年07月-2022年08月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,大衆酒場　こじぞう,大衆酒場こじぞう,,,1,,,,,
飲食店営業,高橋　政樹,安中市中宿１－８９０－１,安中市中宿１－８９０－１,,,PIZZA工房　兎に角　,070-3885-3349,0,一般飲食店,12,40,R04/07/26,R10/12/31,,安中保健所,PIZZA工房　兎に角　,027,,,,,安中市中宿１－８９０－１,群馬県安中市中宿１－８９０－１,,61043,群馬県,安中市,中宿１,,2022/07/26,,,2028/12/31,,高橋　政樹,070-3885-3349,,,,,,,,40,,飲食店営業, 一般飲食店,,,122_群馬県_安中保健所_食品衛生(許可)_2022年07月-2022年08月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＰＩＺＺＡ工房　兎に角　,ＰＩＺＺＡ工房兎に角,,,1,,,,,
飲食店営業,富沢　美恵子,安中市板鼻８６４,安中市板鼻８６４,,,しげる農園,027-382-5468,0,一般飲食店,12,42,R04/08/10,R11/03/31,,安中保健所,しげる農園,027,,,,,安中市板鼻８６４,群馬県安中市板鼻８６４,,61023,群馬県,安中市,板鼻,,2022/08/10,,,2029/03/31,,富沢　美恵子,027-382-5468,,,,,,,,42,,飲食店営業, 一般飲食店,,,122_群馬県_安中保健所_食品衛生(許可)_2022年07月-2022年08月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,しげる農園,しげる農園,,,1,,,,,
飲食店営業,株式会社ヤオコー,安中市原市２丁目１０４２番９,安中市原市２丁目１０４２番９,,,ヤオコー　安中店　（惣菜厨房）,027-380-2311,0,そうざい,22,43,R04/08/12,R11/03/31,,安中保健所,ヤオコー　安中店　（惣菜厨房）,027,,,,,安中市原市２丁目１０４２番９,群馬県安中市原市２丁目１０４２番９,,61050,群馬県,安中市,原市２,,2022/08/12,,,2029/03/31,株式会社ヤオコー,,027-380-2311,,,,,,,,43,,飲食店営業, そうざい,,,122_群馬県_安中保健所_食品衛生(許可)_2022年07月-2022年08月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ヤオコー　安中店　（惣菜厨房）,ヤオコ安中店惣菜厨房,株式会社ヤオコー,,1,,,,,
食用油脂製造業,ｒｅｌｕｘａ合同会社,安中市安中１－１６－１３,安中市安中１－１６－１３,,,ｒｅｌｕｘａ,070-4408-7145,0,,0,46,R04/08/30,R10/12/31,,安中保健所,ｒｅｌｕｘａ,027,,,,,安中市安中１－１６－１３,群馬県安中市安中１－１６－１３,,61014,群馬県,安中市,安中１,,2022/08/30,,,2028/12/31,ｒｅｌｕｘａ合同会社,,070-4408-7145,,,,,,,,46,,食用油脂製造業,,,,122_群馬県_安中保健所_食品衛生(許可)_2022年07月-2022年08月_末日_新規,製造業,食料品製造業,,,,,,,,,ｒｅｌｕｘａ,ｒｅｌｕｘａ,ｒｅｌｕｘａ合同会社,,1,,,,,
飲食店営業,田村　康広,安中市下磯部542-1,安中市下磯部５４２－１,,,Sound　Ｔａｍ,027-385-3220,0,一般飲食店,12,26,R04/07/01,R10/06/30,,安中保健所,Sound　Ｔａｍ,027,,,,,安中市下磯部５４２－１,群馬県安中市下磯部５４２－１,,61037,群馬県,安中市,下磯部,,2022/07/01,,,2028/06/30,,田村　康広,027-385-3220,,,,,,,,26,,飲食店営業, 一般飲食店,,,122_群馬県_安中保健所_食品衛生(許可)_2022年07月-2022年08月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｓｏｕｎｄ　Ｔａｍ,ＳｏｕｎｄＴａｍ,,,1,,,,,
