,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設名2,施設名のフリガナ,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,,,,,,,業態,申請者1,,申請-住所1,開業年月日,許可年月日,許可期間終了日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号(漢字),屋号２(漢字),屋号(カナ),営業所住所,,,営業所電話番号,,許可業種名,業種細目名1,業種細目名2,業種細目名3,業種細目名4,業種細目名5,業態,申請者名(漢字),申請者名(カナ),申請者住所,最初の許可年月日,現在の許可年月日,現在の有効年月日,申請区分,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
ＢＲＡＮＤ,,ブランド,岐阜県羽島郡岐南町上印食８丁目１２５－１　シーザーパレスビル　２Ｆ,岐阜県羽島郡岐南町上印食８丁目１２５－１,シーザーパレスビル ２Ｆ,058-215-6003,飲食店営業 キャバレー    ,飲食店営業,キャバレー,,,,,,佐藤　栄家,ｻﾄｳ ﾖｼｲｴ,,R4.6.27,R4.6.27,R10.2.29,新規,51000661,,岐阜保健所,ＢＲＡＮＤ,058,058-215-6003,,,,岐阜県羽島郡岐南町上印食８丁目１２５－１,岐阜県羽島郡岐南町上印食８丁目１２５－１,シーザーパレスビル ２Ｆ,109206,岐阜県,羽島郡岐南町,上印食８,,2022/06/27,2022/06/27,,2028/02/29,,佐藤　栄家,,,,,,,,,51000661,新規,飲食店営業,キャバレー,,,229-235_岐阜県_岐阜県一括_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＲＡＮＤ,ＢＲＡＮＤ,,,1,,,,,ブランド
マルディータ,,マルディータ,岐阜県各務原市那加大東町１４－７　あやビル１階,岐阜県各務原市那加大東町１４－７,あやビル１階,058-382-6117,飲食店営業 バー  スナック  ,飲食店営業,バー,,スナック,,,バー・スナック,合同会社エクセレント,ｴｸｾﾚﾝﾄ,岐阜県各務原市蘇原吉野町４丁目３８,R4.6.27,R4.6.27,R9.8.31,新規,51000662,,岐阜保健所,マルディータ,058,058-382-6117,,,,岐阜県各務原市那加大東町１４－７,岐阜県各務原市那加大東町１４－７,あやビル１階,108056,岐阜県,各務原市,那加大東町,,2022/06/27,2022/06/27,,2027/08/31,合同会社エクセレント,,,岐阜県各務原市蘇原吉野町４丁目３８,岐阜県各務原市蘇原吉野町４丁目３８,,108003,岐阜県,各務原市,蘇原吉野町４,51000662,新規,飲食店営業,バー スナック バー・スナック,,,229-235_岐阜県_岐阜県一括_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,マルディータ,マルディタ,合同会社エクセレント,,1,,,,,マルディータ
伊太利厨房　Ｐｉｏ　,,イタリチュウボウピオ,岐阜県羽島郡岐南町伏屋１－１５０,岐阜県羽島郡岐南町伏屋１－１５０,,058-245-2267,飲食店営業 レストラン    ,飲食店営業,レストラン,,,,,レストラン,杉本　眞澄,ｽｷﾞﾓﾄ ﾏｽﾐ,,R4.6.24,R4.6.24,R10.2.29,新規,51000664,,岐阜保健所,伊太利厨房　Ｐｉｏ　,058,058-245-2267,,,,岐阜県羽島郡岐南町伏屋１－１５０,岐阜県羽島郡岐南町伏屋１－１５０,,109214,岐阜県,羽島郡岐南町,伏屋１,,2022/06/24,2022/06/24,,2028/02/29,,杉本　眞澄,,,,,,,,,51000664,新規,飲食店営業,レストラン レストラン,,,229-235_岐阜県_岐阜県一括_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,伊太利厨房　Ｐｉｏ　,伊太利厨房Ｐｉｏ,,,1,,,,,イタリチュウボウピオ
たこ焼き　かっちゃん,,タコヤキ　カッチャン,岐阜県各務原市前渡東町５－１４,岐阜県各務原市前渡東町５－１４,,058-386-9919,飲食店営業 たこやき    ,飲食店営業,たこやき,,,,,,丹羽　勝代,ﾆﾜ ｶﾂﾖ,,R4.7.5,R4.7.5,R9.8.31,新規,51000673,,岐阜保健所,たこ焼き　かっちゃん,058,058-386-9919,,,,岐阜県各務原市前渡東町５－１４,岐阜県各務原市前渡東町５－１４,,108127,岐阜県,各務原市,前渡東町５,,2022/07/05,2022/07/05,,2027/08/31,,丹羽　勝代,,,,,,,,,51000673,新規,飲食店営業,たこやき,,,229-235_岐阜県_岐阜県一括_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,たこ焼き　かっちゃん,たこ焼きかっちゃん,,,1,,,,,タコヤキ　カッチャン
ファミリーマート　羽島牧野店,,ファミリーマート　ハシママキノテン,岐阜県羽島市江吉良町字牧野郷中１２８７－１,岐阜県羽島市江吉良町字牧野郷中１２８７－１,,058-394-1506,飲食店営業 コンビニエンスストア    ,飲食店営業,コンビニエンスストア,,,,,,本田　朋一,ﾎﾝﾀﾞ ﾄﾓｶｽﾞ,,R4.7.12,R4.7.12,R9.11.30,新規,51000677,,岐阜保健所,ファミリーマート　羽島牧野店,058,058-394-1506,,,,岐阜県羽島市江吉良町字牧野郷中１２８７－１,岐阜県羽島市江吉良町字牧野郷中１２８７－１,,107073,岐阜県,羽島市,江吉良町,,2022/07/12,2022/07/12,,2027/11/30,,本田　朋一,,,,,,,,,51000677,新規,飲食店営業,コンビニエンスストア,,,229-235_岐阜県_岐阜県一括_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート　羽島牧野店,ファミリマト羽島牧野店,,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,ファミリーマート　ハシママキノテン
辻の茶屋,,ツジノチャヤ,岐阜県各務原市川島笠田町１５６４－１,岐阜県各務原市川島笠田町１５６４－１,,080-3611-9700,飲食店営業 軽食喫茶    ,飲食店営業,軽食喫茶,,,,,,若井トレーディング株式会社,ﾜｶｲﾄﾚｰﾃﾞｨﾝｸﾞ,愛知県みよし市三好町新屋２９－２,R4.7.13,R4.7.13,R10.2.29,新規,51000678,,岐阜保健所,辻の茶屋,0586,080-3611-9700,,,,岐阜県各務原市川島笠田町１５６４－１,岐阜県各務原市川島笠田町１５６４－１,,108273,岐阜県,各務原市,川島笠田町１,,2022/07/13,2022/07/13,,2028/02/29,若井トレーディング株式会社,,,愛知県みよし市三好町新屋２９－２,愛知県みよし市三好町新屋２９－２,,133236,愛知県,みよし市,三好町新屋,51000678,新規,飲食店営業,軽食喫茶,,,229-235_岐阜県_岐阜県一括_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,辻の茶屋,辻の茶屋,若井トレーディング株式会社,,1,,,,,ツジノチャヤ
ファミリーマート各務原上戸,,ファミリーマートカカミガハラジョウゴ,岐阜県各務原市上戸町２丁目２０－１,岐阜県各務原市上戸町２丁目２０－１,,058-380-2572,飲食店営業 コンビニエンスストア    ,飲食店営業,コンビニエンスストア,,,,,,前田　芳樹,ﾏｴﾀﾞ ﾖｼｷ,,R4.7.15,R4.7.15,R9.8.31,新規,51000679,,岐阜保健所,ファミリーマート各務原上戸,058,058-380-2572,,,,岐阜県各務原市上戸町２丁目２０－１,岐阜県各務原市上戸町２丁目２０－１,,107821,岐阜県,各務原市,上戸町２,,2022/07/15,2022/07/15,,2027/08/31,,前田　芳樹,,,,,,,,,51000679,新規,飲食店営業,コンビニエンスストア,,,229-235_岐阜県_岐阜県一括_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート各務原上戸,ファミリマト各務原上戸,,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,ファミリーマートカカミガハラジョウゴ
