,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,業種,,,確認番号,許可期間開始日,許可期間終了日,開業年月日,施設の郵便番号,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請-住所1,申請-住所2,申請-電話番号1,申請者1,申請者2,業態,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名称,業種,種目,廃止年月日,許可番号,許可（開始）年月日,許可終了年月日,初回許可年月日,施設郵便番号,施設所在地,施設気付,施設電話番号,申請者氏名,申請者住所（法人）,申請者気付（法人）,申請者電話番号（法人）,代表者役職,代表者氏名,業態,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
ＷＯＯＤ　ＢＥＲＲＹ　ＦＡＲＭ,菓子製造業,菓子製造業,,220597,R 4. 7. 1,R11. 2.28,R 4. 7. 1,4340004,静岡県浜松市浜北区宮口３９８８番地の８,,424-8107,株式会社　ＷＯＯＤ,静岡県浜松市中区広沢二丁目４０番２４号,,571-3137,代表取締役,倉田　隆右,菓子製造業,,浜松市保健所,ＷＯＯＤ　ＢＥＲＲＹ　ＦＡＲＭ,053,053-424-8107,4340004,,,静岡県浜松市浜北区宮口３９８８番地の８,静岡県浜松市浜北区宮口３９８８番地ノ８,,111097,静岡県,浜松市浜北区,宮口,,2022/07/01,,2022/07/01,2029/02/28,株式会社　ＷＯＯＤ,代表取締役 倉田　隆右,-571-3137,静岡県浜松市中区広沢二丁目４０番２４号　,静岡県浜松市中区広沢２丁目４０番２４号,,110787,静岡県,浜松市中区,広沢２,220597,,菓子製造業, 菓子製造業,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＷＯＯＤ　ＢＥＲＲＹ　ＦＡＲＭ,ＷＯＯＤＢＥＲＲＹＦＡＲＭ,株式会社ＷＯＯＤ,,1,,,,,
Ｆｏｏｄｔｒｕｃｋ　＆　Ｓｈｏｐ　ＢＡＮＤ　ＷＡＧＯＮ,飲食店営業,飲食店営業,,220600,R 4. 7. 1,R10. 2.29,R 4. 7. 1,,浜松市内一円,,0587-66-8870,株式会社　Ｄiｇ　ａｎｄ．,愛知県岩倉市中央町三丁目５１番地,,,代表取締役,明城　亜希子,キッチンカー,,浜松市保健所,Ｆｏｏｄｔｒｕｃｋ　＆　Ｓｈｏｐ　ＢＡＮＤ　ＷＡＧＯＮ,,0587-66-8870,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/01,,2022/07/01,2028/02/29,株式会社　Ｄiｇ　ａｎｄ．,代表取締役 明城　亜希子,,愛知県岩倉市中央町三丁目５１番地　,愛知県岩倉市中央町３丁目５１番地,,129909,愛知県,岩倉市,中央町３,220600,,飲食店営業, キッチンカー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｆｏｏｄｔｒｕｃｋ　＆　Ｓｈｏｐ　ＢＡＮＤ　ＷＡＧＯＮ,ＦｏｏｄｔｒｕｃｋＳｈｏｐＢＡＮＤＷＡＧＯＮ,株式会社Ｄｉｇ　ａｎｄ．,,1,,,,,
ｏｌｉｖｅ,飲食店営業,飲食店営業,,220601,R 4. 7. 1,R10. 2.29,R 4. 7. 1,,浜松市内一円,,,三浦　優子,,,,,,,,浜松市保健所,ｏｌｉｖｅ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/01,,2022/07/01,2028/02/29,,三浦　優子,,　,,,,,,,220601,,飲食店営業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｏｌｉｖｅ,ｏｌｉｖｅ,,,1,,,,,
おひさまＣＡＦＥ,飲食店営業,飲食店営業,,220599,R 4. 7. 1,R10. 2.29,R 4. 7. 1,,浜松市内一円,,,株式会社　映里砂,静岡県浜松市中区板屋町５９６番地,グランコートイースト２５・３０７号,454-8807,代表取締役,松井　泰樹,露店,,浜松市保健所,おひさまＣＡＦＥ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/01,,2022/07/01,2028/02/29,株式会社　映里砂,代表取締役 松井　泰樹,-454-8807,静岡県浜松市中区板屋町５９６番地　グランコートイースト２５・３０７号,静岡県浜松市中区板屋町５９６番地グランコ－トイ－スト２５・３０７号,,110648,静岡県,浜松市中区,板屋町,220599,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,おひさまＣＡＦＥ,おひさまＣＡＦＥ,株式会社映里砂,,1,,,,,
メロンショップマエシマ,飲食店営業,飲食店営業,,220602,R 4. 7. 4,R 9. 9.30,R 4. 7. 4,4338112,静岡県浜松市北区初生町１２０８番地の１,,488-5977,メロンショップマエシマ有限会社,静岡県浜松市北区初生町１２０８番地の１,,488-5977,代表取締役,鷹野　将和,,,浜松市保健所,メロンショップマエシマ,053,053-488-5977,4338112,,,静岡県浜松市北区初生町１２０８番地の１,静岡県浜松市北区初生町１２０８番地ノ１,,111024,静岡県,浜松市北区,初生町,,2022/07/04,,2022/07/04,2027/09/30,メロンショップマエシマ有限会社,代表取締役 鷹野　将和,-488-5977,静岡県浜松市北区初生町１２０８番地の１　,静岡県浜松市北区初生町１２０８番地ノ１,,111024,静岡県,浜松市北区,初生町,220602,,飲食店営業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,メロンショップマエシマ,メロンショップマエシマ,メロンショップマエシマ有限会社,,1,,,,,
ラーメン魁力屋　浜松有玉店,飲食店営業,飲食店営業,,220603,R 4. 7. 4,R10. 9.30,R 4. 7. 4,4313122,静岡県浜松市東区有玉南町１９２２番地の１,,545-7407,株式会社　魁力屋,京都府京都市中京区烏丸通錦小路上る手洗水町６７０番地,,075-211-3338,代表取締役,藤田　宗,ラーメン屋,,浜松市保健所,ラーメン魁力屋　浜松有玉店,053,053-545-7407,4313122,,,静岡県浜松市東区有玉南町１９２２番地の１,静岡県浜松市東区有玉南町１９２２番地ノ１,,110826,静岡県,浜松市東区,有玉南町,,2022/07/04,,2022/07/04,2028/09/30,株式会社　魁力屋,代表取締役 藤田　宗,075-211-3338,京都府京都市中京区烏丸通錦小路上る手洗水町６７０番地　,京都府京都市中京区烏丸通錦小路上る手洗水町６７０番地,,142584,京都府,京都市中京区,烏丸通錦小路,220603,,飲食店営業, ラーメン屋,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ラーメン魁力屋　浜松有玉店,ラメン魁力屋浜松有玉店,株式会社魁力屋,,1,,,,,
大平台高校食堂,飲食店営業,飲食店営業,,220606,R 4. 7. 4,R10.11.30,R 4. 7. 4,4328068,静岡県浜松市西区大平台四丁目２５番１号,,485-8280,株式会社　タカキュー,静岡県浜松市東区上西町１０１３番地,,461-8159,代表取締役,中村　伸宏,学校内食堂,,浜松市保健所,大平台高校食堂,053,053-485-8280,4328068,,,静岡県浜松市西区大平台四丁目２５番１号,静岡県浜松市西区大平台４丁目２５番１号,,110889,静岡県,浜松市西区,大平台４,,2022/07/04,,2022/07/04,2028/11/30,株式会社　タカキュー,代表取締役 中村　伸宏,-461-8159,静岡県浜松市東区上西町１０１３番地　,静岡県浜松市東区上西町１０１３番地,,110839,静岡県,浜松市東区,上西町,220606,,飲食店営業, 学校内食堂,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,大平台高校食堂,大平台高校食堂,株式会社タカキュー,,1,,,,,
相佐農園,飲食店営業,飲食店営業,,220604,R 4. 7. 4,R11. 2.28,R 4. 7. 4,4340004,静岡県浜松市浜北区宮口４８８７番地の７,,,相佐　茂樹,,,,,,カフェ,,浜松市保健所,相佐農園,053,,4340004,,,静岡県浜松市浜北区宮口４８８７番地の７,静岡県浜松市浜北区宮口４８８７番地ノ７,,111097,静岡県,浜松市浜北区,宮口,,2022/07/04,,2022/07/04,2029/02/28,,相佐　茂樹,,　,,,,,,,220604,,飲食店営業, カフェ,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,相佐農園,相佐農園,,,1,,,,,
Ｈａｍａｎａｋｏ　Ｄｅｓｔｉｎａｔｉｏｎ,飲食店営業,飲食店営業,,220605,R 4. 7. 4,R 9.11.30,R 4. 7. 4,,浜松市内一円,,401-1233,株式会社　Ｈａｍａｎａｋｏ　Ｄｅｓｔｉｎａｔｉｏｎ,静岡県浜松市西区舘山寺町３３１３－１,,401-1233,代表取締役,三井　いくみ,露店,,浜松市保健所,Ｈａｍａｎａｋｏ　Ｄｅｓｔｉｎａｔｉｏｎ,,-401-1233,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/04,,2022/07/04,2027/11/30,株式会社　Ｈａｍａｎａｋｏ　Ｄｅｓｔｉｎａｔｉｏｎ,代表取締役 三井　いくみ,-401-1233,静岡県浜松市西区舘山寺町３３１３－１　,静岡県浜松市西区館山寺町３３１３－１,,110893,静岡県,浜松市西区,館山寺町,220605,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｈａｍａｎａｋｏ　Ｄｅｓｔｉｎａｔｉｏｎ,ＨａｍａｎａｋｏＤｅｓｔｉｎａｔｉｏｎ,株式会社Ｈａｍａｎａｋｏ　Ｄｅｓｔｉｎａｔｉｏｎ,,1,,,,,
ｕｎｆａｍｏｕｓ,飲食店営業,飲食店営業,,220615,R 4. 7. 7,R10. 2.29,R 4. 7. 7,4300934,静岡県浜松市中区千歳町５４番地の１,,,松島　有輝,,,,,,居酒屋,,浜松市保健所,ｕｎｆａｍｏｕｓ,053,,4300934,,,静岡県浜松市中区千歳町５４番地の１,静岡県浜松市中区千歳町５４番地ノ１,,110736,静岡県,浜松市中区,千歳町,,2022/07/07,,2022/07/07,2028/02/29,,松島　有輝,,　,,,,,,,220615,,飲食店営業, 居酒屋,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｕｎｆａｍｏｕｓ,ｕｎｆａｍｏｕｓ,,,1,,,,,
