,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請-電話番号1,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,開業年月日,確認番号,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業者名,"営業者電話番号",営業所名称,営業所所在地,,,"営業所電話番号",業種,許可年月日,許可番号,許可の有効期限FROM,許可の有効期限TO,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
北村　龍青,,WARUNG　PHUAN,名古屋市千種区今池一丁目１４番８号　,名古屋市千種区今池１丁目１４番８号, ,,飲食店営業,2022/7/1,4千保管第1-154号,2022/7/1,2028/11/20,,名古屋市保健所,WARUNG　PHUAN,052,,,,,名古屋市千種区今池１丁目１４番８号,愛知県名古屋市千種区今池１丁目１４番８号, ,113756,愛知県,名古屋市千種区,今池１,,2022/07/01,,2022/07/01,2028/11/20,,北村　龍青,,,,,,,,,4千保管第1-154号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＷＡＲＵＮＧ　ＰＨＵＡＮ,ＷＡＲＵＮＧＰＨＵＡＮ,,,1,,,,,
株式会社　鼎勝商事 代表取締役　セキリョウギョウ,0562-85-1799,鼎順和,名古屋市千種区千種二丁目１６番１３号　イオンタウン千種,名古屋市千種区千種２丁目１６番１３号 ,イオンタウン千種,784-5999,飲食店営業,2022/7/6,4千保管第1-164号,2022/7/8,2029/6/20,,名古屋市保健所,鼎順和,052,052-784-5999,,,,名古屋市千種区千種２丁目１６番１３号 ,愛知県名古屋市千種区千種２丁目１６番１３号,イオンタウン千種,113765,愛知県,名古屋市千種区,千種２,,2022/07/06,,2022/07/08,2029/06/20,株式会社　鼎勝商事 ,代表取締役　セキリョウギョウ,0562-85-1799,,,,,,,,4千保管第1-164号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,鼎順和,鼎順和,株式会社鼎勝商事　,,1,,,,,
株式会社　アコラ 代表取締役　川島　直樹,753-7772,天ぷら食堂　たもん,名古屋市千種区今池五丁目９番１８号　衣笠ビル１階・２階,名古屋市千種区今池５丁目９番１８号, 衣笠ビル１階・２階,741-5005,飲食店営業,2022/7/1,4千保管第1-162号,2022/7/7,2028/10/20,,名古屋市保健所,天ぷら食堂　たもん,052,052-741-5005,,,,名古屋市千種区今池５丁目９番１８号,愛知県名古屋市千種区今池５丁目９番１８号, 衣笠ビル１階・２階,113760,愛知県,名古屋市千種区,今池５,,2022/07/01,,2022/07/07,2028/10/20,株式会社　アコラ ,代表取締役　川島　直樹,-753-7772,,,,,,,,4千保管第1-162号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,天ぷら食堂　たもん,天ぷら食堂たもん,株式会社アコラ　,,1,,,,,
松本　真理子,,ｔｒｏｉｓ　Ｍ,名古屋市千種区大久手町６丁目３番地２　藤ビル１F,名古屋市千種区大久手町６丁目３番地２,藤ビル１F,,菓子製造業,2022/7/5,4千保管第1-169号,2022/7/5,2028/12/20,,名古屋市保健所,ｔｒｏｉｓ　Ｍ,052,,,,,名古屋市千種区大久手町６丁目３番地２,愛知県名古屋市千種区大久手町６丁目３番地２,藤ビル１F,113528,愛知県,名古屋市千種区,大久手町６,,2022/07/05,,2022/07/05,2028/12/20,,松本　真理子,,,,,,,,,4千保管第1-169号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ｔｒｏｉｓ　Ｍ,ｔｒｏｉｓＭ,,,1,,,,,
吉田　重幸,,No.11,名古屋市千種区今池四丁目１０番１号　プロスパー第三ビル６Ｆ,名古屋市千種区今池４丁目１０番１号, プロスパー第三ビル６Ｆ,732-3377,飲食店営業,2022/7/6,4千保管第1-177号,2022/7/6,2028/11/20,,名古屋市保健所,No.11,052,052-732-3377,,,,名古屋市千種区今池４丁目１０番１号,愛知県名古屋市千種区今池４丁目１０番１号, プロスパー第三ビル６Ｆ,113759,愛知県,名古屋市千種区,今池４,,2022/07/06,,2022/07/06,2028/11/20,,吉田　重幸,,,,,,,,,4千保管第1-177号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｎｏ．１１,Ｎｏ１１,,,1,,,,,
エニタイム株式会社 代表取締役　中野　真央,,レモニズム＋サムシンググリーン,名古屋市千種区池下町２丁目２８番地　カルチェラタン３F,名古屋市千種区池下町２丁目２８番地, カルチェラタン３F,784-5400,飲食店営業,2022/7/8,4千保管第1-165号,2022/7/15,2028/8/20,,名古屋市保健所,レモニズム＋サムシンググリーン,052,052-784-5400,,,,名古屋市千種区池下町２丁目２８番地,愛知県名古屋市千種区池下町２丁目２８番地, カルチェラタン３F,113520,愛知県,名古屋市千種区,池下町２,,2022/07/08,,2022/07/15,2028/08/20,エニタイム株式会社 ,代表取締役　中野　真央,,,,,,,,,4千保管第1-165号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,レモニズム＋サムシンググリーン,レモニズムサムシンググリン,エニタイム株式会社,,2,,,,,
エニタイム株式会社 代表取締役　中野　真央,,レモニズム＋サムシンググリーン,名古屋市千種区池下町２丁目２８番地　カルチェラタン３F,名古屋市千種区池下町２丁目２８番地, カルチェラタン３F,784-5400,菓子製造業,2022/7/8,4千保管第1-166号,2022/7/15,2028/8/20,,名古屋市保健所,レモニズム＋サムシンググリーン,052,052-784-5400,,,,名古屋市千種区池下町２丁目２８番地,愛知県名古屋市千種区池下町２丁目２８番地, カルチェラタン３F,113520,愛知県,名古屋市千種区,池下町２,,2022/07/08,,2022/07/15,2028/08/20,エニタイム株式会社 ,代表取締役　中野　真央,,,,,,,,,4千保管第1-166号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,レモニズム＋サムシンググリーン,レモニズムサムシンググリン,エニタイム株式会社,,2,,,,,
山本　みさを,,人情酒場　みさを,名古屋市千種区松軒一丁目４番１７号　オンダマンション１ーＤ,名古屋市千種区松軒１丁目４番１７号, オンダマンション１ーＤ,712-3303,飲食店営業,2022/7/12,4千保管第1-178号,2022/7/20,2028/7/21,,名古屋市保健所,人情酒場　みさを,052,052-712-3303,,,,名古屋市千種区松軒１丁目４番１７号,愛知県名古屋市千種区松軒１丁目４番１７号, オンダマンション１ーＤ,113774,愛知県,名古屋市千種区,松軒１,,2022/07/12,,2022/07/20,2028/07/21,,山本　みさを,,,,,,,,,4千保管第1-178号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,人情酒場　みさを,人情酒場みさを,,,1,,,,,
前橋　一輝,,Ｐｏｎｔｅ,名古屋市千種区千種二丁目２２番１号　ソレイユ千種１Ｆ,名古屋市千種区千種２丁目２２番１号, ソレイユ千種１Ｆ,741-5137,飲食店営業,2022/7/15,4千保管第1-180号,2022/7/15,2029/1/20,,名古屋市保健所,Ｐｏｎｔｅ,052,052-741-5137,,,,名古屋市千種区千種２丁目２２番１号,愛知県名古屋市千種区千種２丁目２２番１号, ソレイユ千種１Ｆ,113765,愛知県,名古屋市千種区,千種２,,2022/07/15,,2022/07/15,2029/01/20,,前橋　一輝,,,,,,,,,4千保管第1-180号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｐｏｎｔｅ,Ｐｏｎｔｅ,,,1,,,,,
山崎　三紀,,喫茶　ひらき,名古屋市千種区山門町２丁目２３番地　,名古屋市千種区山門町２丁目２３番地 ,,751-6835,飲食店営業,2022/7/15,4千保管第1-96号,2022/7/29,2029/3/20,,名古屋市保健所,喫茶　ひらき,052,052-751-6835,,,,名古屋市千種区山門町２丁目２３番地 ,愛知県名古屋市千種区山門町２丁目２３番地,,113588,愛知県,名古屋市千種区,山門町２,,2022/07/15,,2022/07/29,2029/03/20,,山崎　三紀,,,,,,,,,4千保管第1-96号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,喫茶　ひらき,喫茶ひらき,,,1,,,,,
