,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
開業年月日,廃業年月日,業種,申請-住所1,申請者1,申請者2,申請-電話番号1,施設-住所0,施設-住所1,施設-マンション名,施設名,施設-電話番号1,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
初許可日,廃業年月日,業種,営業者住所,営業者氏名,営業者代表者,営業者電話番号,営業所住所,,,営業所屋号,営業所電話番号,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
2022/7/1,,飲食店営業,東京都港区港南２－１８－１,株式会社はま寿司,遠藤　哲郎,03-6833-8032,三重県四日市市羽津４４８０－１,三重県四日市市羽津４４８０－１,,はま寿司四日市羽津店,0570-020-722,3122010120,,四日市市保健所,はま寿司四日市羽津店,059,0570-020-722,,,,三重県四日市市羽津４４８０－１,三重県四日市市羽津４４８０－１,,135489,三重県,四日市市,羽津,,2022/07/01,,,,株式会社はま寿司,遠藤　哲郎,03-6833-8032,東京都港区港南２－１８－１,東京都港区港南２－１８－１,,73073,東京都,港区,港南２,3122010120,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,はま寿司四日市羽津店,はま寿司四日市羽津店,株式会社はま寿司,はま寿司,1,宿泊業，飲食サービス業,飲食店,食堂，レストラン（専門料理店を除く）,食堂，レストラン（専門料理店を除く）,
2022/7/1,,飲食店営業,,木村正浩,　,,三重県四日市市鵜の森２－９－６広瀬ビル１階,三重県四日市市鵜の森２－９－６,広瀬ビル１階,Ａｔｏｒｉ,356-0035,3122010156,,四日市市保健所,Ａｔｏｒｉ,059,059-356-0035,,,,三重県四日市市鵜の森２－９－６,三重県四日市市鵜ノ森２－９－６,広瀬ビル１階,135267,三重県,四日市市,鵜の森２,,2022/07/01,,,,,木村正浩,,,,,,,,,3122010156,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ａｔｏｒｉ,Ａｔｏｒｉ,,,1,,,,,
2022/7/1,,菓子製造業,,荒井　泉,　,394-4043,三重県四日市市札場町４３４,三重県四日市市札場町４３４,,焼菓子ピュイ・ダムール,338-2001,3122110011,,四日市市保健所,焼菓子ピュイ・ダムール,059,059-338-2001,,,,三重県四日市市札場町４３４,三重県四日市市札場町４３４,,135364,三重県,四日市市,札場町,,2022/07/01,,,,,荒井　泉,-394-4043,,,,,,,,3122110011,,菓子製造業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,製造業,食料品製造業,,,,,,,,,焼菓子ピュイ・ダムール,焼菓子ピュイダムル,,,1,,,,,
2022/7/1,,飲食店営業,三重県桑名市寿町３－４６,株式会社一期一会,多田　義郎,0594-22-5514,三重県四日市市山田町野田ノ谷１０２８－４,三重県四日市市山田町野田ノ谷１０２８－４,,パスタ＆カフェ福や,328-3133,3122010143,,四日市市保健所,パスタ＆カフェ福や,059,059-328-3133,,,,三重県四日市市山田町野田ノ谷１０２８－４,三重県四日市市山田町野田ノ谷１０２８－４,,135614,三重県,四日市市,山田町,,2022/07/01,,,,株式会社一期一会,多田　義郎,0594-22-5514,三重県桑名市寿町３－４６,三重県桑名市寿町３－４６,,136150,三重県,桑名市,寿町３,3122010143,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,パスタ＆カフェ福や,パスタカフェ福や,株式会社一期一会,,1,,,,,
2022/7/1,,飲食店営業,三重県四日市市浜旭町１,株式会社みなとや,酒井　益幸,345-1491,三重県四日市市芝田２－２－３７市立四日市病院２Ｆ,三重県四日市市芝田２－２－３７,市立四日市病院２Ｆ,市立四日市病院内職員互助会食堂みなとや,354-1111,3122010164,,四日市市保健所,市立四日市病院内職員互助会食堂みなとや,059,059-354-1111,,,,三重県四日市市芝田２－２－３７,三重県四日市市芝田２－２－３７,市立四日市病院２Ｆ,135374,三重県,四日市市,芝田２,,2022/07/01,,,,株式会社みなとや,酒井　益幸,-345-1491,三重県四日市市浜旭町１,三重県四日市市浜旭町１,,135500,三重県,四日市市,浜旭町,3122010164,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,市立四日市病院内職員互助会食堂みなとや,市立四日市病院内職員互助会食堂みなとや,株式会社みなとや,,1,,,,,
2022/7/1,,清涼飲料水製造業,三重県四日市市小古曽東２－４－６１,正和製菓株式会社,笠井　英毅,345-5100,三重県四日市市小古曽東２－４－６１,三重県四日市市小古曽東２－４－６１,,正和製菓株式会社　冷菓工場（清涼飲料水）,345-5100,3122140001,,四日市市保健所,正和製菓株式会社　冷菓工場（清涼飲料水）,059,059-345-5100,,,,三重県四日市市小古曽東２－４－６１,三重県四日市市小古曽東２－４－６１,,135296,三重県,四日市市,小古曽東２,,2022/07/01,,,,正和製菓株式会社,笠井　英毅,-345-5100,三重県四日市市小古曽東２－４－６１,三重県四日市市小古曽東２－４－６１,,135296,三重県,四日市市,小古曽東２,3122140001,,清涼飲料水製造業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,製造業,飲料・たばこ・飼料製造業,,,,,,,,,正和製菓株式会社冷菓工場（清涼飲料水）,正和製菓株式会社冷菓工場清涼飲料水,正和製菓株式会社,,1,,,,,
2022/7/1,,飲食店営業,,池田和子,　,,三重県四日市市松本３－１３－５,三重県四日市市松本３－１３－５,,カラオケ喫茶居酒屋和子,,3122010068,,四日市市保健所,カラオケ喫茶居酒屋和子,059,,,,,三重県四日市市松本３－１３－５,三重県四日市市松本３－１３－５,,135559,三重県,四日市市,松本３,,2022/07/01,,,,,池田和子,,,,,,,,,3122010068,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,カラオケ喫茶居酒屋和子,カラオケ喫茶居酒屋和子,,,1,,,,,
2022/7/1,,飲食店営業,東京都新宿区西新宿３－２０－２,ジー・エイチ・ホスピタリティフードサービス中部株式会社,岩東　光男,,三重県四日市市上海老町東大沢１６３３－２,三重県四日市市上海老町東大沢１６３３－２,,第４営業所,339-2152,3122010142,,四日市市保健所,第４営業所,059,059-339-2152,,,,三重県四日市市上海老町東大沢１６３３－２,三重県四日市市上海老町東大沢１６３３－２,,135311,三重県,四日市市,上海老町,,2022/07/01,,,,ジー・エイチ・ホスピタリティフードサービス中部株式会社,岩東　光男,,東京都新宿区西新宿３－２０－２,東京都新宿区西新宿３－２０－２,,73259,東京都,新宿区,西新宿３,3122010142,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,第４営業所,第４営業所,ジー・エイチ・ホスピタリティフードサービス中部株式会社,,1,,,,,
