,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請者2,申請-住所1,,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,店舗名（屋号）,施設所在地,,施設電話番号,業種,,営業者氏名,代表者名,営業者連絡先（住所）,,営業者連絡先（電話番号）,初回の許可年月日,最新の許可年月日,新規か更新か,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
1,ＧＲＥＥＮ,青森市本町５丁目９－１０,プラザ本町１０５号,,飲食店営業,その他（スナック等）,株式会社ＥＮ,代表取締役　三上美春,青森市本町５丁目６－１１,ウィズＲビル２Ｆ,090-2607-0131,2022/6/2,2022/6/2,新規,0122,,青森市保健所,ＧＲＥＥＮ,017,,,,,青森市本町５丁目９－１０,青森県青森市本町５丁目９－１０,プラザ本町１０５号,25420,青森県,青森市,本町５,,2022/06/02,2022/06/02,,,株式会社ＥＮ,代表取締役　三上美春,090-2607-0131,青森市本町５丁目６－１１,青森県青森市本町５丁目６－１１,,25420,青森県,青森市,本町５,0122,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＧＲＥＥＮ,ＧＲＥＥＮ,株式会社ＥＮ,,1,,,,,
7,デイリーヤマザキ　青森古川店,青森市古川２丁目９－１,,017-776-5215,飲食店営業,その他（スナック等）,株式会社工藤パン,代表取締役　工藤恭裕,青森市金沢３丁目２２－１,,017-776-1111,2022/6/8,2022/6/8,新規,0135,,青森市保健所,デイリーヤマザキ　青森古川店,017,017-776-5215,,,,青森市古川２丁目９－１,青森県青森市古川２丁目９－１,,25411,青森県,青森市,古川２,,2022/06/08,2022/06/08,,,株式会社工藤パン,代表取締役　工藤恭裕,017-776-1111,青森市金沢３丁目２２－１,青森県青森市金沢３丁目２２－１,,25288,青森県,青森市,金沢３,0135,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,デイリーヤマザキ　青森古川店,デイリヤマザキ青森古川店,株式会社工藤パン,デイリーヤマザキ,2,宿泊業，飲食サービス業,持ち帰り・配達飲食サービス業,持ち帰り飲食サービス業,持ち帰り飲食サービス業,
19,華れん,青森市本町２丁目６－７,未来館１０５,,飲食店営業,その他（スナック等）,高畑まゆみ,,,,,2022/6/20,2022/6/20,新規,0169,,青森市保健所,華れん,017,,,,,青森市本町２丁目６－７,青森県青森市本町２丁目６－７,未来館１０５,25417,青森県,青森市,本町２,,2022/06/20,2022/06/20,,,,,,,,,,,,,0169,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,華れん,華れん,,,1,,,,,
31,珈琲焙煎工房　函館美鈴　青森店,青森市浜田２丁目１５－９,１Ｆ,017-718-3270,飲食店営業,その他（スナック等）,美鈴コーヒー株式会社,代表取締役　鈴木修平,東京都世田谷区南烏山６丁目１８－２１,,03-6279-5821,2022/6/28,2022/6/28,新規,0193,,青森市保健所,珈琲焙煎工房　函館美鈴　青森店,017,017-718-3270,,,,青森市浜田２丁目１５－９,青森県青森市浜田２丁目１５－９,１Ｆ,25391,青森県,青森市,浜田２,,2022/06/28,2022/06/28,,,美鈴コーヒー株式会社,代表取締役　鈴木修平,03-6279-5821,東京都世田谷区南烏山６丁目１８－２１,東京都世田谷区南烏山６丁目１８－２１,,74459,東京都,世田谷区,南烏山６,0193,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,珈琲焙煎工房　函館美鈴　青森店,珈琲焙煎工房函館美鈴青森店,美鈴コーヒー株式会社,,1,,,,,
42,そば処　百恵,青森市大字新城字山田５８８－１７,,017-788-7689,飲食店営業,めん類（日本そば等）,大西幸博,,,,,2022/7/4,2022/7/4,新規,0219,,青森市保健所,そば処　百恵,017,017-788-7689,,,,青森市大字新城字山田５８８－１７,青森県青森市新城字山田５８８－１７,,25324,青森県,青森市,新城,,2022/07/04,2022/07/04,,,,,,,,,,,,,0219,新規,飲食店営業, めん類（日本そば等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,そば処　百恵,そば処百恵,,,1,,,,,
43,おかずとお弁当のお店　さち,青森市栄町２丁目４－１４,,,飲食店営業,仕出し屋・弁当屋,山宮幸子,,,,,2022/7/4,2022/7/4,新規,0221,,青森市保健所,おかずとお弁当のお店　さち,017,,,,,青森市栄町２丁目４－１４,青森県青森市栄町２丁目４－１４,,25315,青森県,青森市,栄町２,,2022/07/04,2022/07/04,,,,,,,,,,,,,0221,新規,飲食店営業, 仕出し屋・弁当屋,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,おかずとお弁当のお店　さち,おかずとお弁当のお店さち,,,1,,,,,
46,嘉門,青森市本町２丁目６－４,フェニックスビル３１４号室,,飲食店営業,その他（スナック等）,澤谷真奈,,,,,2022/7/5,2022/7/5,新規,0224,,青森市保健所,嘉門,017,,,,,青森市本町２丁目６－４,青森県青森市本町２丁目６－４,フェニックスビル３１４号室,25417,青森県,青森市,本町２,,2022/07/05,2022/07/05,,,,,,,,,,,,,0224,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,嘉門,嘉門,,,1,,,,,
