,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,申請者1,申請者2,,申請-住所1,申請-住所2,申請-住所3,申請-住所4,,申請-電話番号1,施設名,施設名のフリガナ,施設の郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,業態,申請年月日,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利用者管理ID,営業施設ID,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,郵便番号（申請・届出者）,都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,営業施設名称、屋号又は商号,営業施設名称、屋号又は商号フリガナ,郵便番号（営業施設）,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,営業の種類,業態,申請・届出年月日,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,許可条件,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
fBiz0000263693,1,三陸ブルーイング・カンパニー合同会社,南忠佑,0220002,岩手県,大船渡市,大船渡町字地ノ森,24-6,,090-5854-8574,三陸ビール,サンリクビール,0220002,岩手県,大船渡市,大船渡町字野々田,10-3,,090-5854-8574,① 飲食店営業,臨時営業,2022/7/1,大保第93-17号,2022/7/12,2022/7/12,2022/7/17,2023/7/16,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目はビール、シードル及びワインに限ること。,,大船渡保健所,三陸ビール,0192,090-5854-8574,0220002,,,岩手県　大船渡市　大船渡町字野々田　10-3,岩手県大船渡市大船渡町字野々田１０－３,,30465,岩手県,大船渡市,大船渡町,2022/07/01,2022/07/12,2022/07/12,2022/07/17,2023/07/16,三陸ブルーイング・カンパニー合同会社,南忠佑,090-5854-8574,岩手県　大船渡市　大船渡町字地ノ森　24-6,岩手県大船渡市大船渡町字地ノ森２４－６,,30465,岩手県,大船渡市,大船渡町,大保第93-17号,,飲食店営業, 臨時営業,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目はビール、シードル及びワインに限ること。,,044_岩手県_大船渡保健所_食品衛生(許可-届出)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,三陸ビール,三陸ビル,三陸ブルーイング・カンパニー合同会社,,1,,,,,サンリクビール
fBiz0000207249,2,株式会社村上商事,村上正彦,0220001,岩手県,大船渡市,末崎町字石浜,165番地1,,0192-55-3129,カラオケ招福亭クレヨン大船渡店,カラオケショウフクテイクレヨンオオフナトテン,0220006,岩手県,大船渡市,立根町字岩脇,23-1,,0192-26-7575,① 飲食店営業,臨時営業,2022/7/8,大保第93-21号,2022/7/12,2022/7/12,2022/7/16,2023/7/15,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目は焼きそば、ホタテ焼、ポテトフライ、フランクフルト、アメリカンドッグ、ピザ、からあげ、ジュース、ビール及びかき氷に限ること。,,大船渡保健所,カラオケ招福亭クレヨン大船渡店,0192,0192-26-7575,0220006,,,岩手県　大船渡市　立根町字岩脇　23-1,岩手県大船渡市立根町字岩脇２３－１,,30467,岩手県,大船渡市,立根町,2022/07/08,2022/07/12,2022/07/12,2022/07/16,2023/07/15,株式会社村上商事,村上正彦,0192-55-3129,岩手県　大船渡市　末崎町字石浜　165番地1,岩手県大船渡市末崎町字石浜１６５番地１,,30469,岩手県,大船渡市,末崎町,大保第93-21号,,飲食店営業, 臨時営業,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目は焼きそば、ホタテ焼、ポテトフライ、フランクフルト、アメリカンドッグ、ピザ、からあげ、ジュース、ビール及びかき氷に限ること。,,044_岩手県_大船渡保健所_食品衛生(許可-届出)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,カラオケ招福亭クレヨン大船渡店,カラオケ招福亭クレヨン大船渡店,株式会社村上商事,,1,,,,,カラオケショウフクテイクレヨンオオフナトテン
fBiz0000263717,1,佐藤節雄,,0220001,岩手県,大船渡市,末崎町字平林,75-3,,************,気仙大船渡街商組合,ケセンオオフナトガイショウクミアイ,0220001,岩手県,大船渡市,末崎町字平林,75-3,,0192-29-3899,① 飲食店営業,臨時営業,2022/7/8,大保第93-20号,2022/7/12,2022/7/12,2022/8/6,2023/8/5,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目はたこ焼き、やきとり、やきそば、フランクフルト及びカキ氷に限ること。,,大船渡保健所,気仙大船渡街商組合,0192,0192-29-3899,0220001,,,岩手県　大船渡市　末崎町字平林　75-3,岩手県大船渡市末崎町字平林７５－３,,30469,岩手県,大船渡市,末崎町,2022/07/08,2022/07/12,2022/07/12,2022/08/06,2023/08/05,,,,,,,,,,,大保第93-20号,,飲食店営業, 臨時営業,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目はたこ焼き、やきとり、やきそば、フランクフルト及びカキ氷に限ること。,,044_岩手県_大船渡保健所_食品衛生(許可-届出)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,気仙大船渡街商組合,気仙大船渡街商組合,,,1,,,,,ケセンオオフナトガイショウクミアイ
fBiz0000263710,1,木村琴恵,,0220211,岩手県,大船渡市,三陸町綾里字清水,54-4　AP201,,************,琴ちゃん,コトチャン,0220211,岩手県,大船渡市,三陸町綾里字清水,54-4　,AP201,,① 飲食店営業,臨時営業,2022/7/6,大保第93-19号,2022/7/12,2022/7/12,2022/7/30,2023/7/29,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目はほたてのどんどん焼き、やきだんご、ほたて焼き、ジュース、コーラ、酒、ビール及びレモンサワーに限ること。,,大船渡保健所,琴ちゃん,0192,,0220211,,,岩手県　大船渡市　三陸町綾里字清水　54-4　,岩手県大船渡市三陸町綾里字清水５４－４,AP201,30472,岩手県,大船渡市,三陸町綾里,2022/07/06,2022/07/12,2022/07/12,2022/07/30,2023/07/29,,,,,,,,,,,大保第93-19号,,飲食店営業, 臨時営業,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目はほたてのどんどん焼き、やきだんご、ほたて焼き、ジュース、コーラ、酒、ビール及びレモンサワーに限ること。,,044_岩手県_大船渡保健所_食品衛生(許可-届出)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,琴ちゃん,琴ちゃん,,,1,,,,,コトチャン
fBiz0000056534,3,紺野学,,0292207,岩手県,陸前高田市,小友町字茗荷,83,,************,海の家,ウミノイエ,0292205,岩手県,陸前高田市,高田町,　,高田松原海水浴場,,① 飲食店営業,,2022/7/11,大保第93-22号,2022/7/14,2022/7/14,2022/7/16,2023/7/15,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目はやきそば、フランク、かき氷、からあげ、フライドポテト及び飲料に限ること。,,大船渡保健所,海の家,0192,,0292205,,,岩手県　陸前高田市　高田町　　,岩手県陸前高田市高田町,高田松原海水浴場,33955,岩手県,陸前高田市,高田町,2022/07/11,2022/07/14,2022/07/14,2022/07/16,2023/07/15,,,,,,,,,,,大保第93-22号,,飲食店営業,,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目はやきそば、フランク、かき氷、からあげ、フライドポテト及び飲料に限ること。,,044_岩手県_大船渡保健所_食品衛生(許可-届出)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,海の家,海の家,,,1,,,,,ウミノイエ
fBiz0000217831,2,ロッツ株式会社,富山泰庸,0220004,岩手県,大船渡市,猪川町字前田,9-28,,0192-47-3982,玉乃湯,タマノユ,0292203,岩手県,陸前高田市,竹駒町字上壺,104-8,,0192-55-6866,① 飲食店営業,旅館、食堂,2022/7/12,大保第91-45号,2022/7/15,2022/7/15,2022/7/21,2027/7/20,,,大船渡保健所,玉乃湯,0192,0192-55-6866,0292203,,,岩手県　陸前高田市　竹駒町字上壺　104-8,岩手県陸前高田市竹駒町字上壺１０４－８,,33956,岩手県,陸前高田市,竹駒町,2022/07/12,2022/07/15,2022/07/15,2022/07/21,2027/07/20,ロッツ株式会社,富山泰庸,0192-47-3982,岩手県　大船渡市　猪川町字前田　9-28,岩手県大船渡市猪川町字前田９－２８,,30464,岩手県,大船渡市,猪川町,大保第91-45号,,飲食店営業, 旅館、食堂,,,044_岩手県_大船渡保健所_食品衛生(許可-届出)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,玉乃湯,玉乃湯,ロッツ株式会社,,1,,,,,タマノユ
fBiz0000263742,1,株式会社胡口精肉店,胡口穣,0220003,岩手県,大船渡市,盛町字木町,5-3,,0192-27-2330,胡口精肉店サンリア店「ミートショップこぐち」,コグチセイニクテンサンリアテン　ミートショップコグチ,0220003,岩手県,大船渡市,盛町字町,10-11,,0192-27-2330,① 飲食店営業,臨時営業,2022/7/11,大保第93-23号,2022/7/15,2022/7/15,2022/8/7,2023/8/6,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目は焼鳥、ホットドック、アメリカンドック及びフランクフルトに限ること。,,大船渡保健所,胡口精肉店サンリア店「ミートショップこぐち」,0192,0192-27-2330,0220003,,,岩手県　大船渡市　盛町字町　10-11,岩手県大船渡市盛町字町１０－１１,,30466,岩手県,大船渡市,盛町,2022/07/11,2022/07/15,2022/07/15,2022/08/07,2023/08/06,株式会社胡口精肉店,胡口穣,0192-27-2330,岩手県　大船渡市　盛町字木町　5-3,岩手県大船渡市盛町字木町５－３,,30466,岩手県,大船渡市,盛町,大保第93-23号,,飲食店営業, 臨時営業,営業は、縁日、祭礼及び各種催事等に限ること。営業区域は県内一円（盛岡市を除く）。提供品目は焼鳥、ホットドック、アメリカンドック及びフランクフルトに限ること。,,044_岩手県_大船渡保健所_食品衛生(許可-届出)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,胡口精肉店サンリア店「ミートショップこぐち」,胡口精肉店サンリア店ミトショップこぐち,株式会社胡口精肉店,,1,,,,,コグチセイニクテンサンリアテン　ミートショップコグチ
