,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請-住所1,申請-電話番号1,申請者1,申請者2,施設-住所1,施設-電話番号1,施設名,,,業種,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業者住所,営業者電話番号,営業者氏名,法人代表者氏名,営業所所在地住所,営業所所在地電話番号,営業所の名称等,営業の種類コード,営業の種類細分類コード,,許可番号,許可年月日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
米沢市中央３丁目４番２１号,0238264629,有限会社肉のさかの,坂野和弘,米沢市中央三丁目4-21,0238264629,有限会社　肉のさかの,38,3801,漬物製造業,2186,2022/7/1,2022/7/1,,置賜保健所,有限会社　肉のさかの,0238,0238-26-4629,,,,米沢市中央三丁目4-21,山形県米沢市中央３丁目４－２１,,46838,山形県,米沢市,中央３,,2022/07/01,2022/07/01,,,有限会社肉のさかの,坂野和弘,0238-26-4629,米沢市中央３丁目４番２１号,山形県米沢市中央３丁目４番２１号,,46838,山形県,米沢市,中央３,2186,,漬物製造業,,,,069_山形県_置賜保健所_食品衛生(許可)_2022年07月_末日_新規、廃止,製造業,食料品製造業,,,,,,,,,有限会社肉のさかの,有限会社肉のさかの,有限会社肉のさかの,,1,,,,,
港区港南２丁目１８番１号,03-5783-8850,株式会社すき家,笹川直樹,米沢市徳町9番5号,05033682297,すき家　121号米沢徳町店,1,101,飲食店営業（一般食堂・レストラン）,2187,2022/7/6,2022/7/6,,置賜保健所,すき家　121号米沢徳町店,0238,050-3368-2297,,,,米沢市徳町9番5号,山形県米沢市徳町９番５号,,46854,山形県,米沢市,徳町,,2022/07/06,2022/07/06,,,株式会社すき家,笹川直樹,03-5783-8850,港区港南２丁目１８番１号,東京都港区港南２丁目１８番１号,,73073,東京都,港区,港南２,2187,,飲食店営業,,,,069_山形県_置賜保健所_食品衛生(許可)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,すき家　１２１号米沢徳町店,すき家１２１号米沢徳町店,株式会社すき家,すき家,1,宿泊業，飲食サービス業,飲食店,そば・うどん店,そば・うどん店,
,,鈴木弘,,米沢市中央一丁目３－１０,09033674250,酔処　縁,1,111,飲食店営業（居酒屋）,2189,2022/7/12,2022/7/12,,置賜保健所,酔処　縁,0238,090-3367-4250,,,,米沢市中央一丁目３－１０,山形県米沢市中央１丁目３－１０,,46836,山形県,米沢市,中央１,,2022/07/12,2022/07/12,,,,,,,,,,,,,2189,,飲食店営業,,,,069_山形県_置賜保健所_食品衛生(許可)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,酔処　縁,酔処縁,,,1,,,,,
,,大西麗子,,南陽市赤湯字横町８３８－２８,08033789111,楽楽,1,109,飲食店営業（スナック・バー）,2190,2022/7/12,2022/7/12,,置賜保健所,楽楽,0238,080-3378-9111,,,,南陽市赤湯字横町８３８－２８,山形県南陽市赤湯字横町８３８－２８,,48302,山形県,南陽市,赤湯,,2022/07/12,2022/07/12,,,,,,,,,,,,,2190,,飲食店営業,カフェ・バー・キャバレー,,,069_山形県_置賜保健所_食品衛生(許可)_2022年07月_末日_新規、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,楽楽,楽楽,,,1,,,,,
東置賜郡高畠町元和田1566,0238562244,株式会社セゾンファクトリー,齋藤雅一,東置賜郡高畠町大字元和田1566,0238562244,株式会社セゾンファクトリー,38,3801,漬物製造業,2191,2022/7/8,2022/7/8,,置賜保健所,株式会社セゾンファクトリー,0238,0238-56-2244,,,,東置賜郡高畠町大字元和田1566,山形県東置賜郡高畠町元和田１５６６,,48643,山形県,東置賜郡高畠町,元和田,,2022/07/08,2022/07/08,,,株式会社セゾンファクトリー,齋藤雅一,0238-56-2244,東置賜郡高畠町元和田1566,山形県東置賜郡高畠町元和田１５６６,,48643,山形県,東置賜郡高畠町,元和田,2191,,漬物製造業,,,,069_山形県_置賜保健所_食品衛生(許可)_2022年07月_末日_新規、廃止,製造業,食料品製造業,,,,,,,,,株式会社セゾンファクトリー,株式会社セゾンファクトリ,株式会社セゾンファクトリー,,4,,,,,
西置賜郡飯豊町松原1898,0238-86-3939,飯豊めざみの里株式会社,後藤幸平,西置賜郡飯豊町松原１８９９－１,0238-72-3963,ローソン道の駅いいで店,1,114,飲食店営業（コンビニエンス）,2193,2022/7/13,2022/7/13,,置賜保健所,ローソン道の駅いいで店,0238,0238-72-3963,,,,西置賜郡飯豊町松原１８９９－１,山形県西置賜郡飯豊町松原１８９９－１,,48670,山形県,西置賜郡飯豊町,松原,,2022/07/13,2022/07/13,,,飯豊めざみの里株式会社,後藤幸平,0238-86-3939,西置賜郡飯豊町松原1898,山形県西置賜郡飯豊町松原１８９８,,48670,山形県,西置賜郡飯豊町,松原,2193,,コンビニエンスストア,,,,069_山形県_置賜保健所_食品衛生(許可)_2022年07月_末日_新規、廃止,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,,,,,,,ローソン道の駅いいで店,ロソン道の駅いいで店,飯豊めざみの里株式会社,ローソン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
,,大野裕見子,,東置賜郡高畠町高安８２０,0238-52-2587,大野農園「高尾屋」,32,3201,そうざい製造業,2194,2022/7/13,2022/7/13,,置賜保健所,大野農園「高尾屋」,0238,0238-52-2587,,,,東置賜郡高畠町高安８２０,山形県東置賜郡高畠町高安８２０,,48622,山形県,東置賜郡高畠町,高安,,2022/07/13,2022/07/13,,,,,,,,,,,,,2194,,そうざい製造業,,,,069_山形県_置賜保健所_食品衛生(許可)_2022年07月_末日_新規、廃止,製造業,食料品製造業,,,,,,,,,大野農園「高尾屋」,大野農園高尾屋,,,1,,,,,
