,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,n06_replace_industry,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請者2,申請-住所0,申請-住所1,,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号・商号,営業所所在地,,,営業所電話番号,業種分類,業種名,申請者名称,申請代表者名,申請者住所,,,申請者電話番号,初回許可年月日,許可年月日,許可指令番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
四川料理　四季香,茨城県日立市鮎川町６－６－２２,茨城県日立市鮎川町６－６－２２,,0294-87-9001,飲食店営業,中華料理店,鑫龍株式会社,菅谷　瑞冬,茨城県水戸市白梅１－２－２８杉山ビル,茨城県水戸市白梅１－２－２８,杉山ビル,029-233-1210,2022/07/01,2022/07/01,日保指令法第220262号,,日立保健所,四川料理　四季香,0294,0294-87-9001,,,,茨城県日立市鮎川町６－６－２２,茨城県日立市鮎川町６－６－２２,,53957,茨城県,日立市,鮎川町６,,2022/07/01,2022/07/01,,,鑫龍株式会社,菅谷　瑞冬,029-233-1210,茨城県水戸市白梅１－２－２８,茨城県水戸市白梅１－２－２８,,53563,茨城県,水戸市,白梅１,日保指令法第220262号,,飲食店営業, 中華料理店,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,四川料理　四季香,四川料理四季香,鑫龍株式会社,,1,,,,,
あずまや,茨城県日立市会瀬町２－２２－１２,茨城県日立市会瀬町２－２２－１２,,,そうざい製造業,そうざい製造業,ワンワールドアズマ株式会社,白田　伸幸,茨城県日立市東大沼町３－７－２０,茨城県日立市東大沼町３－７－２０,,0294-36-7141,2022/07/01,2022/07/01,日保指令法第220263号,,日立保健所,あずまや,0294,,,,,茨城県日立市会瀬町２－２２－１２,茨城県日立市会瀬町２－２２－１２,,53754,茨城県,日立市,会瀬町２,,2022/07/01,2022/07/01,,,ワンワールドアズマ株式会社,白田　伸幸,0294-36-7141,茨城県日立市東大沼町３－７－２０,茨城県日立市東大沼町３－７－２０,,53895,茨城県,日立市,東大沼町３,日保指令法第220263号,,そうざい製造業, そうざい製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,あずまや,あずまや,ワンワールドアズマ株式会社,,1,,,,,
有限会社レジャー・クリエイト　セントラルキッチン,茨城県鹿嶋市鉢形台2-18-18,茨城県鹿嶋市鉢形台２－１８－１８,,,食肉処理業,食肉処理業,有限会社レジャー・クリエイト,代表取締役　藤井　健司,茨城県鹿嶋市宮中359-2,茨城県鹿嶋市宮中３５９－２,,0299-83-3119,2022/07/01,2022/07/01,潮保指令法第220449号,,潮来保健所,有限会社レジャー・クリエイト　セントラルキッチン,0299,,,,,茨城県鹿嶋市鉢形台２－１８－１８,茨城県鹿嶋市鉢形台２－１８－１８,,55816,茨城県,鹿嶋市,鉢形台２,,2022/07/01,2022/07/01,,,有限会社レジャー・クリエイト,代表取締役　藤井　健司,0299-83-3119,茨城県鹿嶋市宮中３５９－２,茨城県鹿嶋市宮中３５９－２,,55777,茨城県,鹿嶋市,宮中３,潮保指令法第220449号,,食肉販売業, 食肉処理業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,有限会社レジャー・クリエイト　セントラルキッチン,有限会社レジャクリエイトセントラルキッチン,有限会社レジャー・クリエイト,,2,,,,,
有限会社レジャー・クリエイト　セントラルキッチン,茨城県鹿嶋市鉢形台2-18-18,茨城県鹿嶋市鉢形台２－１８－１８,,,そうざい製造業,そうざい製造業,有限会社レジャー・クリエイト,代表取締役　藤井　健司,茨城県鹿嶋市宮中359-2,茨城県鹿嶋市宮中３５９－２,,0299-83-3119,2022/07/01,2022/07/01,潮保指令法第220450号,,潮来保健所,有限会社レジャー・クリエイト　セントラルキッチン,0299,,,,,茨城県鹿嶋市鉢形台２－１８－１８,茨城県鹿嶋市鉢形台２－１８－１８,,55816,茨城県,鹿嶋市,鉢形台２,,2022/07/01,2022/07/01,,,有限会社レジャー・クリエイト,代表取締役　藤井　健司,0299-83-3119,茨城県鹿嶋市宮中３５９－２,茨城県鹿嶋市宮中３５９－２,,55777,茨城県,鹿嶋市,宮中３,潮保指令法第220450号,,そうざい製造業, そうざい製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,有限会社レジャー・クリエイト　セントラルキッチン,有限会社レジャクリエイトセントラルキッチン,有限会社レジャー・クリエイト,,2,,,,,
ミニストップ　龍ヶ崎緑町店,茨城県龍ケ崎市緑町26-1,茨城県龍ケ崎市緑町２６－１,,0297-64-3668,飲食店営業,その他,ミニストップ株式会社,藤本　明裕,千葉県千葉市美浜区中瀬一丁目5番地1,千葉県千葉市美浜区中瀬１丁目５番地１,,043-212-6477,2022/07/01,2022/07/01,竜保指令法第220370号,,竜ケ崎保健所,ミニストップ　龍ヶ崎緑町店,0297,0297-64-3668,,,,茨城県龍ケ崎市緑町２６－１,茨城県竜が崎市緑町２６－１,,54540,茨城県,龍ケ崎市,緑町,,2022/07/01,2022/07/01,,,ミニストップ株式会社,藤本　明裕,043-212-6477,千葉県千葉市美浜区中瀬１丁目５番地１,千葉県千葉市美浜区中瀬１丁目５番地１,,67424,千葉県,千葉市美浜区,中瀬１,竜保指令法第220370号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ミニストップ　龍ヶ崎緑町店,ミニストップ龍ヶ崎緑町店,ミニストップ株式会社,ミニストップ,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
ＴＡＩＲＡＹＡ関本店,茨城県筑西市関本中1064-1,茨城県筑西市関本中１０６４－１,,0296-37-2222,飲食店営業,そうざい,株式会社エコス,平　邦雄,東京都昭島市中神町1160-1,東京都昭島市中神町１１６０－１,,042-546-3711,2022/07/04,2022/07/04,筑保指令法第220291号,,筑西保健所,ＴＡＩＲＡＹＡ関本店,0296,0296-37-2222,,,,茨城県筑西市関本中１０６４－１,茨城県筑西市関本中１０６４－１,,56197,茨城県,筑西市,関本中,,2022/07/04,2022/07/04,,,株式会社エコス,平　邦雄,042-546-3711,東京都昭島市中神町１１６０－１,東京都昭島市中神町１１６０－１,,76714,東京都,昭島市,中神町１,筑保指令法第220291号,,飲食店営業, そうざい,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＴＡＩＲＡＹＡ関本店,ＴＡＩＲＡＹＡ関本店,株式会社エコス,,3,,,,,
ＴＡＩＲＡＹＡ関本店,茨城県筑西市関本中1064-1,茨城県筑西市関本中１０６４－１,,0296-37-2222,魚介類販売業,魚介類販売業,株式会社エコス,平　邦雄,東京都昭島市中神町1160-1,東京都昭島市中神町１１６０－１,,042-546-3711,2022/07/04,2022/07/04,筑保指令法第220293号,,筑西保健所,ＴＡＩＲＡＹＡ関本店,0296,0296-37-2222,,,,茨城県筑西市関本中１０６４－１,茨城県筑西市関本中１０６４－１,,56197,茨城県,筑西市,関本中,,2022/07/04,2022/07/04,,,株式会社エコス,平　邦雄,042-546-3711,東京都昭島市中神町１１６０－１,東京都昭島市中神町１１６０－１,,76714,東京都,昭島市,中神町１,筑保指令法第220293号,,魚介類販売業, 魚介類販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,,,,,,,,,ＴＡＩＲＡＹＡ関本店,ＴＡＩＲＡＹＡ関本店,株式会社エコス,,3,,,,,
ＴＡＩＲＡＹＡ関本店,茨城県筑西市関本中1064-1,茨城県筑西市関本中１０６４－１,,0296-37-2222,食肉販売業,食肉販売業,株式会社エコス,平　邦雄,東京都昭島市中神町1160-1,東京都昭島市中神町１１６０－１,,042-546-3711,2022/07/04,2022/07/04,筑保指令法第220292号,,筑西保健所,ＴＡＩＲＡＹＡ関本店,0296,0296-37-2222,,,,茨城県筑西市関本中１０６４－１,茨城県筑西市関本中１０６４－１,,56197,茨城県,筑西市,関本中,,2022/07/04,2022/07/04,,,株式会社エコス,平　邦雄,042-546-3711,東京都昭島市中神町１１６０－１,東京都昭島市中神町１１６０－１,,76714,東京都,昭島市,中神町１,筑保指令法第220292号,,食肉販売業, 食肉販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,ＴＡＩＲＡＹＡ関本店,ＴＡＩＲＡＹＡ関本店,株式会社エコス,,3,,,,,
スパイスカレー　ｍｙｕｕーｔｏｎ,茨城県ひたちなか市勝田中央3-13安ビル2F,茨城県ひたちなか市勝田中央３－１３,安ビル２F,,飲食店営業,一般食堂・レストラン,中陳　美代子,,,,,,2022/07/05,2022/07/05,ひ保指令法第220459号,,ひたちなか保健所,スパイスカレー　ｍｙｕｕーｔｏｎ,029,,,,,茨城県ひたちなか市勝田中央３－１３,茨城県ひたちなか市勝田中央３－１３,安ビル２F,55629,茨城県,ひたちなか市,勝田中央,,2022/07/05,2022/07/05,,,,,,,,,,,,,ひ保指令法第220459号,,飲食店営業, 一般食堂・レストラン,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,スパイスカレー　ｍｙｕｕーｔｏｎ,スパイスカレｍｙｕｕｔｏｎ,,,1,,,,,
ボードゲームカフェＭＩＮＯ,茨城県神栖市知手中央5-9-44　知手ロイヤルハイツ103,茨城県神栖市知手中央５－９－４４,知手ロイヤルハイツ１０３,,飲食店営業,その他,箕輪　拓美,,,,,,2022/07/05,2022/07/05,潮保指令法第220454号,,潮来保健所,ボードゲームカフェＭＩＮＯ,0299,,,,,茨城県神栖市知手中央５－９－４４,茨城県神栖市知手中央５－９－４４,知手ロイヤルハイツ１０３,56623,茨城県,神栖市,知手中央５,,2022/07/05,2022/07/05,,,,,,,,,,,,,潮保指令法第220454号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ボードゲームカフェＭＩＮＯ,ボドゲムカフェＭＩＮＯ,,,1,,,,,
合同会社　鮨小野,茨城県稲敷市江戸崎甲455番地2,茨城県稲敷市江戸崎甲４５５番地２,,029-892-4239,飲食店営業,すし屋,合同会社　鮨小野,小野　勝人,茨城県稲敷市江戸崎甲455番地2,茨城県稲敷市江戸崎甲４５５番地２,,029-892-4239,2022/07/05,2022/07/05,竜保指令法第220374号,,竜ケ崎保健所,合同会社　鮨小野,029,029-892-4239,,,,茨城県稲敷市江戸崎甲４５５番地２,茨城県稲敷市江戸崎甲４５５番地２,,56347,茨城県,稲敷市,江戸崎,,2022/07/05,2022/07/05,,,合同会社　鮨小野,小野　勝人,029-892-4239,茨城県稲敷市江戸崎甲４５５番地２,茨城県稲敷市江戸崎甲４５５番地２,,56347,茨城県,稲敷市,江戸崎,竜保指令法第220374号,,飲食店営業, すし屋,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,合同会社鮨小野,合同会社鮨小野,合同会社鮨小野,,1,,,,,
デリカキッチン　ルル,茨城県つくば市天久保1-10-18　リッチモンド1番街102,茨城県つくば市天久保１－１０－１８,リッチモンド１番街１０２,,飲食店営業,一般食堂・レストラン,糸井　洋介,,,,,,2022/07/05,2022/07/05,つ保指令法第220393号,,つくば保健所,デリカキッチン　ルル,029,,,,,茨城県つくば市天久保１－１０－１８,茨城県つくば市天久保１－１０－１８,リッチモンド１番街１０２,55298,茨城県,つくば市,天久保１,,2022/07/05,2022/07/05,,,,,,,,,,,,,つ保指令法第220393号,,飲食店営業, 一般食堂・レストラン,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,デリカキッチン　ルル,デリカキッチンルル,,,1,,,,,
ＴＡＩＲＡＹＡつくば桜店,茨城県つくば市桜3-5-2,茨城県つくば市桜３－５－２,,029-863-5711,飲食店営業,そうざい,株式会社マスダ,代表取締役社長　千羽　一郎,茨城県常総市水海道宝町2771,茨城県常総市水海道宝町２７７１,,0297-74-1321,2022/07/05,2022/07/05,つ保指令法第220394号,,つくば保健所,ＴＡＩＲＡＹＡつくば桜店,029,029-863-5711,,,,茨城県つくば市桜３－５－２,茨城県つくば市桜３－５－２,,55517,茨城県,つくば市,桜３,,2022/07/05,2022/07/05,,,株式会社マスダ,代表取締役社長　千羽　一郎,0297-74-1321,茨城県常総市水海道宝町２７７１,茨城県常総市水海道宝町２７７１,,54728,茨城県,常総市,水海道宝町,つ保指令法第220394号,,飲食店営業, そうざい,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＴＡＩＲＡＹＡつくば桜店,ＴＡＩＲＡＹＡつくば桜店,株式会社マスダ,,3,,,,,
