11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-電話番号1,申請者1,申請者2,業態,業種,その他,申請年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業施設名称、屋号又は商号,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,電話番号（営業施設）,氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,主として取り扱う食品又は添加物,営業の種類,備考（営業の種類）,受理年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
ドラッグストア　マツモトキヨシ大波止店,長崎県,五島市,東浜町,3-1-1,0959-75-0723,株式会社マツモトキヨシ九州販売,上村浩司,その他の食料品,⑬ その他の食料・飲料販売業,,2022/7/1,,五島保健所,ドラッグストア　マツモトキヨシ大波止店,0959,0959-75-0723,,,,長崎県　五島市　東浜町　3-1-1,長崎県五島市東浜町３－１－１,,207426,長崎県,五島市,東浜町３,2022/07/01,,,,,株式会社マツモトキヨシ九州販売,上村浩司,,,,,,,,,,,食料品販売業, その他の食料品,,,415-422_長崎県_五島保健所_食品衛生(届出)_2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ドラッグストア　マツモトキヨシ大波止店,ドラッグストアマツモトキヨシ大波止店,株式会社マツモトキヨシ九州販売,,1,,,,,
真鳥餅店,長崎県,五島市,三尾野,一丁目１番８号,,株式会社真鳥餅店,眞鳥浩次,菓子類,⑬ その他の食料・飲料販売業,菓子の販売,2022/7/1,,五島保健所,真鳥餅店,0959,,,,,長崎県　五島市　三尾野　一丁目１番８号,長崎県五島市三尾野１丁目１番８号,,207447,長崎県,五島市,三尾野１,2022/07/01,,,,,株式会社真鳥餅店,眞鳥浩次,,,,,,,,,,,食料品販売業, 菓子類,菓子の販売,,415-422_長崎県_五島保健所_食品衛生(届出)_2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,真鳥餅店,真鳥餅店,株式会社真鳥餅店,,1,,,,,
みどり丘保育園,長崎県,五島市,大荒町,530-1,0959-72-3061,社会福祉法人若葉会,大貝明治,調理食品,㉖ 集団給食施設,,2022/7/1,,五島保健所,みどり丘保育園,0959,0959-72-3061,,,,長崎県　五島市　大荒町　530-1,長崎県五島市大荒町５３０－１,,207361,長崎県,五島市,大荒町,2022/07/01,,,,,社会福祉法人若葉会,大貝明治,,,,,,,,,,,給食施設, 調理食品,,,415-422_長崎県_五島保健所_食品衛生(届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,持ち帰り・配達飲食サービス業,,,,,,,,,みどり丘保育園,みどり丘保育園,社会福祉法人若葉会,,1,,,,,
介護老人保健施設五島福寿園,長崎県,五島市,吉久木町,908番地1,0959-74-2131,社会福祉法人五島会,谷川順一,調理食品,㉖ 集団給食施設,,2022/7/1,,五島保健所,介護老人保健施設五島福寿園,0959,0959-74-2131,,,,長崎県　五島市　吉久木町　908番地1,長崎県五島市吉久木町９０８番地１,,207453,長崎県,五島市,吉久木町,2022/07/01,,,,,社会福祉法人五島会,谷川順一,,,,,,,,,,,給食施設, 調理食品,,,415-422_長崎県_五島保健所_食品衛生(届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,持ち帰り・配達飲食サービス業,,,,,,,,,介護老人保健施設五島福寿園,介護老人保健施設五島福寿園,社会福祉法人五島会,,1,,,,,
株式会社ディサービスセンターやまうち,長崎県,五島市,岐宿町中嶽,1493番地1,0959-83-1520,株式会社ディサービスセンターやまうち,井上隆志,調理食品,㉖ 集団給食施設,,2022/7/1,,五島保健所,株式会社ディサービスセンターやまうち,0959,0959-83-1520,,,,長崎県　五島市　岐宿町中嶽　1493番地1,長崎県五島市岐宿町中岳１４９３番地１,,207372,長崎県,五島市,岐宿町中岳,2022/07/01,,,,,株式会社ディサービスセンターやまうち,井上隆志,,,,,,,,,,,給食施設, 調理食品,,,415-422_長崎県_五島保健所_食品衛生(届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,持ち帰り・配達飲食サービス業,,,,,,,,,株式会社ディサービスセンターやまうち,株式会社ディサビスセンタやまうち,株式会社ディサービスセンターやまうち,,1,,,,,
白百合愛児園,長崎県,五島市,岐宿町楠原,735番2,0959-82-0034,社会福祉法人　白百合会,奈切博,調理食品,㉖ 集団給食施設,,2022/7/1,,五島保健所,白百合愛児園,0959,0959-82-0034,,,,長崎県　五島市　岐宿町楠原　735番2,長崎県五島市岐宿町楠原７３５番２,,207368,長崎県,五島市,岐宿町楠原,2022/07/01,,,,,社会福祉法人　白百合会,奈切博,,,,,,,,,,,給食施設, 調理食品,,,415-422_長崎県_五島保健所_食品衛生(届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,持ち帰り・配達飲食サービス業,,,,,,,,,白百合愛児園,白百合愛児園,社会福祉法人白百合会,,1,,,,,
なし,長崎県,五島市,岐宿町中嶽,1073-1,,宮崎岳大,,鶏卵,㉓ 卵選別包装業,,2022/7/3,,五島保健所,なし,0959,,,,,長崎県　五島市　岐宿町中嶽　1073-1,長崎県五島市岐宿町中岳１０７３－１,,207372,長崎県,五島市,岐宿町中岳,2022/07/03,,,,,,,,,,,,,,,,,卵選別包装業, 鶏卵,,,415-422_長崎県_五島保健所_食品衛生(届出)_2022年07月_末日_新規,分類不能の産業,,,,,,,,,,なし,なし,,,1,,,,,
五島きくに農園,長崎県,五島市,富江町岳,1925番地,0959-86-0969,川元末人,,ジャム，マーマレード及び果実バター（気密容器入と否とを問わない。）,㉔ その他の食料品製造・加工業,,2022/7/18,,五島保健所,五島きくに農園,0959,0959-86-0969,,,,長崎県　五島市　富江町岳　1925番地,長崎県五島市富江町岳１９２５番地,,207409,長崎県,五島市,富江町岳,2022/07/18,,,,,,,,,,,,,,,,,その他の食料品製造・加工業, ジャム，マーマレード及び果実バター（気密容器入と否とを問わない。）,,,415-422_長崎県_五島保健所_食品衛生(届出)_2022年07月_末日_新規,製造業,食料品製造業,その他の食料品製造業,,,,,,,,五島きくに農園,五島きくに農園,,,1,,,,,
