11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,業種,業態,許可期間開始日,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,営業所所在地,,,営業所℡,申請者名,代表者名,業種名,種別名,許可開始日,許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
岐宿町加工センター,五島市岐宿町川原3475-2,五島市岐宿町川原３４７５－２,,,福島　まゆみ,,菓子製造業,,令和４年７月６日,令和４年７月６日,,五島保健所,岐宿町加工センター,0959,,,,,五島市岐宿町川原３４７５－２,長崎県五島市岐宿町川原３４７５－２,,207366,長崎県,五島市,岐宿町川原,,,2022/07/06,2022/07/06,,,,,,,,,,,,,,菓子製造業,,,,415-422_長崎県_五島保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,岐宿町加工センター,岐宿町加工センタ,,,1,,,,,
Ｍｅｒｒｙ,五島市三尾野１丁目１－１３　橋本ビル２階,五島市三尾野１丁目１－１３,橋本ビル２階,,平川　千泰,,飲食店,スナックバー,令和４年７月６日,令和４年７月６日,,五島保健所,Ｍｅｒｒｙ,0959,,,,,五島市三尾野１丁目１－１３,長崎県五島市三尾野１丁目１－１３,橋本ビル２階,207447,長崎県,五島市,三尾野１,,,2022/07/06,2022/07/06,,,,,,,,,,,,,,飲食店営業, スナックバー,,,415-422_長崎県_五島保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｍｅｒｒｙ,Ｍｅｒｒｙ,,,1,,,,,
としまる水産,五島市三井楽町濱ノ畔2119-1,五島市三井楽町濱ノ畔２１１９－１,,,合同会社　としまる水産,代表社員　吉川　郁恵,水産製品製造業,,令和４年７月６日,令和４年７月６日,,五島保健所,としまる水産,0959,,,,,五島市三井楽町濱ノ畔２１１９－１,長崎県五島市三井楽町浜ノ畔２１１９－１,,207445,長崎県,五島市,三井楽町浜ノ畔,,,2022/07/06,2022/07/06,,合同会社　としまる水産,代表社員　吉川　郁恵,,,,,,,,,,,水産製品製造業,,,,415-422_長崎県_五島保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,水産食料品製造業,,,,,,,,としまる水産,としまる水産,合同会社としまる水産,,1,,,,,
五島リトリートｒａｙ,五島市上崎山町2877,五島市上崎山町２８７７,,,双日五島開発株式会社,代表取締役　池田　尚真,飲食店,レストラン・バー,令和４年７月６日,令和４年７月６日,,五島保健所,五島リトリートｒａｙ,0959,,,,,五島市上崎山町２８７７,長崎県五島市上崎山町２８７７,,207365,長崎県,五島市,上崎山町,,,2022/07/06,2022/07/06,,双日五島開発株式会社,代表取締役　池田　尚真,,,,,,,,,,,飲食店営業, レストラン・バー,,,415-422_長崎県_五島保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,五島リトリートｒａｙ,五島リトリトｒａｙ,双日五島開発株式会社,,1,,,,,
中山鮮魚店,五島市新港町17-19,五島市新港町１７－１９,,,中山　一博,,水産製品製造業,,令和４年７月６日,令和４年７月６日,,五島保健所,中山鮮魚店,0959,,,,,五島市新港町１７－１９,長崎県五島市新港町１７－１９,,207385,長崎県,五島市,新港町,,,2022/07/06,2022/07/06,,,,,,,,,,,,,,水産製品製造業,,,,415-422_長崎県_五島保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,水産食料品製造業,,,,,,,,中山鮮魚店,中山鮮魚店,,,1,,,,,
株式会社ＩＮＯＭＩＲＩＺ,五島市新港町3-23,五島市新港町３－２３,,,株式会社ＩＮＯＭＩＲＩＺ,代表取締役　野口　晴之,水産製品製造業,,令和４年７月１５日,令和４年７月１５日,,五島保健所,株式会社ＩＮＯＭＩＲＩＺ,0959,,,,,五島市新港町３－２３,長崎県五島市新港町３－２３,,207385,長崎県,五島市,新港町,,,2022/07/15,2022/07/15,,株式会社ＩＮＯＭＩＲＩＺ,代表取締役　野口　晴之,,,,,,,,,,,水産製品製造業,,,,415-422_長崎県_五島保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,水産食料品製造業,,,,,,,,株式会社ＩＮＯＭＩＲＩＺ,株式会社ＩＮＯＭＩＲＩＺ,株式会社ＩＮＯＭＩＲＩＺ,,1,,,,,
カラリト五島列島,五島市浜町546-2,五島市浜町５４６－２,,0959-78-5110,株式会社カラリト,代表取締役　平﨑　雄也,飲食店,ホテル・レストラン,令和４年７月２２日,令和４年７月２２日,,五島保健所,カラリト五島列島,0959,0959-78-5110,,,,五島市浜町５４６－２,長崎県五島市浜町５４６－２,,207423,長崎県,五島市,浜町,,,2022/07/22,2022/07/22,,株式会社カラリト,代表取締役　平﨑　雄也,,,,,,,,,,,飲食店営業, ホテル・レストラン,,,415-422_長崎県_五島保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,カラリト五島列島,カラリト五島列島,株式会社カラリト,,1,,,,,
えあちゃんの居酒屋Ｃａｆｅ,五島市三尾野1丁目1-12 橋本ビル2F,五島市三尾野１丁目１－１２,橋本ビル２F,,餌網代　美沙,,飲食店,居酒屋・喫茶店,令和４年７月２２日,令和４年７月２２日,,五島保健所,えあちゃんの居酒屋Ｃａｆｅ,0959,,,,,五島市三尾野１丁目１－１２,長崎県五島市三尾野１丁目１－１２,橋本ビル２F,207447,長崎県,五島市,三尾野１,,,2022/07/22,2022/07/22,,,,,,,,,,,,,,飲食店営業, 居酒屋・喫茶店,,,415-422_長崎県_五島保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,えあちゃんの居酒屋Ｃａｆｅ,えあちゃんの居酒屋Ｃａｆｅ,,,1,,,,,
