11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,業種,業態,許可期間開始日,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号名,所在地,施設-マンション名,所在地電話番号,申請者,代表者,業種名,種別名,許可開始年月日,許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
株式会社エムピーフーズ,雲仙市愛野町乙３６３８－１,,0957-51-6541,株式会社エムピーフーズ,宮本達也,密封包装食品製造業,,令和４年7月４日,令和４年7月４日,,県南保健所,株式会社エムピーフーズ,0957,0957-51-6541,,,,雲仙市愛野町乙３６３８－１,長崎県雲仙市愛野町乙３６３８－１,,207511,長崎県,雲仙市,愛野町乙,,,2022/07/04,2022/07/04,,株式会社エムピーフーズ,宮本達也,,,,,,,,,,,密封包装食品製造業,,,,415-422_長崎県_県南保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,株式会社エムピーフーズ,株式会社エムピフズ,株式会社エムピーフーズ,,1,,,,,
液卵工場,雲仙市愛野町乙５２８７番地の１,,0957-27-5580,株式会社落水正商店,落水日朗,液卵製造業,,令和４年７月１１日,令和４年７月１１日,,県南保健所,液卵工場,0957,0957-27-5580,,,,雲仙市愛野町乙５２８７番地の１,長崎県雲仙市愛野町乙５２８７番地ノ１,,207511,長崎県,雲仙市,愛野町乙,,,2022/07/11,2022/07/11,,株式会社落水正商店,落水日朗,,,,,,,,,,,液卵製造業,,,,415-422_長崎県_県南保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,その他の食料品製造業,,,,,,,,液卵工場,液卵工場,株式会社落水正商店,,1,,,,,
Ｋａｋｋｏｎ　Ｃａｆｅ,南島原市西有家町須川１６６６－３,,0957-61-1522,株式会社　亀山薬局,亀山貴康,飲食店営業,軽食・喫茶,令和４年７月１１日,令和４年７月１１日,,県南保健所,Ｋａｋｋｏｎ　Ｃａｆｅ,0957,0957-61-1522,,,,南島原市西有家町須川１６６６－３,長崎県南島原市西有家町須川１６６６－３,,207609,長崎県,南島原市,西有家町須川,,,2022/07/11,2022/07/11,,株式会社　亀山薬局,亀山貴康,,,,,,,,,,,飲食店営業, 軽食・喫茶,,,415-422_長崎県_県南保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｋａｋｋｏｎ　Ｃａｆｅ,ＫａｋｋｏｎＣａｆｅ,株式会社亀山薬局,,1,,,,,
風の時代,南島原市深江町戊３９１２－１４０－１,,,株式会社コスモ,小谷和裕,飲食店営業,一般食堂,令和４年７月１１日,令和４年７月１１日,,県南保健所,風の時代,0957,,,,,南島原市深江町戊３９１２－１４０－１,長崎県南島原市深江町戊３９１２－１４０－１,,207617,長崎県,南島原市,深江町戊,,,2022/07/11,2022/07/11,,株式会社コスモ,小谷和裕,,,,,,,,,,,飲食店営業, 一般食堂,,,415-422_長崎県_県南保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,風の時代,風の時代,株式会社コスモ,,1,,,,,
Rin café & bar,島原市堀町１９９,,,竹田　里菜,,飲食店営業,一般食堂,令和４年７月１４日,令和４年７月１４日,,県南保健所,Rin café & bar,0957,,,,,島原市堀町１９９,長崎県島原市堀町１９９,,206592,長崎県,島原市,堀町,,,2022/07/14,2022/07/14,,,竹田　里菜,,,,,,,,,,,飲食店営業, 一般食堂,,,415-422_長崎県_県南保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｒｉｎ　ｃａｆé　＆　ｂａｒ,Ｒｉｎｃａｆeｂａｒ,,,1,,,,,
はぜの木,島原市有明町湯江乙２４７８,,,前田　義明,,菓子製造業,,令和４年７月１４日,令和４年７月１４日,,県南保健所,はぜの木,0957,,,,,島原市有明町湯江乙２４７８,長崎県島原市有明町湯江乙２４７８,,206652,長崎県,島原市,有明町湯江乙,,,2022/07/14,2022/07/14,,,前田　義明,,,,,,,,,,,菓子製造業,,,,415-422_長崎県_県南保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,はぜの木,はぜの木,,,1,,,,,
来ｍｏｒｅ人,長崎県内一円,長崎市・佐世保市を除く,,久保　潤史,,飲食店営業,自動車営業（長崎８００す・６６０）,令和４年７月２１日,令和４年７月２１日,,県南保健所,来ｍｏｒｅ人,,,,,,長崎県内一円,長崎県内一円,長崎市・佐世保市を除く,,長崎県,,,,,2022/07/21,2022/07/21,,,久保　潤史,,,,,,,,,,,飲食店営業, 自動車営業（長崎８００す・６６０）,,,415-422_長崎県_県南保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,来ｍｏｒｅ人,来ｍｏｒｅ人,,,1,,,,,
トリコ,島原市下折橋町３８３９番地３,,,村吉　穣,,飲食店営業,テイクアウト（揚げ物）,令和４年７月２５日,令和４年７月２５日,,県南保健所,トリコ,0957,,,,,島原市下折橋町３８３９番地３,長崎県島原市下折橋町３８３９番地３,,206547,長崎県,島原市,下折橋町,,,2022/07/25,2022/07/25,,,村吉　穣,,,,,,,,,,,飲食店営業, テイクアウト（揚げ物）,,,415-422_長崎県_県南保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,トリコ,トリコ,,,1,,,,,
こうのとり,島原市城見町４８９６－２,,,小渕　賢治,,飲食店営業,やき鳥・弁当,令和４年７月２８日,令和４年７月２８日,,県南保健所,こうのとり,0957,,,,,島原市城見町４８９６－２,長崎県島原市城見町４８９６－２,,206551,長崎県,島原市,城見町,,,2022/07/28,2022/07/28,,,小渕　賢治,,,,,,,,,,,飲食店営業, やき鳥・弁当,,,415-422_長崎県_県南保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,こうのとり,こうのとり,,,1,,,,,
