,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,施設名,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業態,業種,確認番号,開業年月日,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名（法人の場合は法人名）（申請・届出者）,営業施設名称、屋号又は商号,都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,電話番号（営業施設）,業態,営業の種類,許可番号,初回許可年月日,許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
南阿蘇鉄道株式会社,高森駅売店,熊本県,阿蘇郡高森町,大字高森,1537番地2,,0967-62-0058,固定施設,① 飲食店営業,熊本県指令阿保第食1-1-32号,2022/7/6,2022/7/6,,阿蘇保健所,高森駅売店,0967,0967-62-0058,,,,熊本県　阿蘇郡高森町　大字高森　1537番地2,熊本県阿蘇郡高森町高森１５３７番地２,,209915,熊本県,阿蘇郡高森町,高森,,2022/07/06,2022/07/06,,,南阿蘇鉄道株式会社,,,,,,,,,,熊本県指令阿保第食1-1-32号,,飲食店営業, 固定施設,,,424-433_熊本県_熊本県一括_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,高森駅売店,高森駅売店,南阿蘇鉄道株式会社,,1,,,,,
松岡洋則,手打ちそば　まつ,熊本県,阿蘇郡高森町,上色見,2580-4,,090-5489-5918,固定店舗,① 飲食店営業,熊本県指令阿保第食1-1-44号,2022/7/29,2022/7/29,,阿蘇保健所,手打ちそば　まつ,0967,,,,,熊本県　阿蘇郡高森町　上色見　2580-4,熊本県阿蘇郡高森町上色見２５８０－４,,209908,熊本県,阿蘇郡高森町,上色見,,2022/07/29,2022/07/29,,,,,,,,,,,,,熊本県指令阿保第食1-1-44号,,飲食店営業, 固定店舗,,,424-433_熊本県_熊本県一括_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,手打ちそば　まつ,手打ちそばまつ,,,1,,,,,
株式会社うぶやま,ヒゴタイ公園ビジターセンター,熊本県,阿蘇郡産山村,田尻,771,,,固定施設,① 飲食店営業,熊本県指令阿保第食1-1-43号,2022/7/29,2022/7/29,,阿蘇保健所,ヒゴタイ公園ビジターセンター,0967,,,,,熊本県　阿蘇郡産山村　田尻　771,熊本県阿蘇郡産山村田尻７７１,,209897,熊本県,阿蘇郡産山村,田尻,,2022/07/29,2022/07/29,,,株式会社うぶやま,,,,,,,,,,熊本県指令阿保第食1-1-43号,,飲食店営業, 固定施設,,,424-433_熊本県_熊本県一括_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ヒゴタイ公園ビジターセンター,ヒゴタイ公園ビジタセンタ,株式会社うぶやま,,1,,,,,
西嶋堅,みるくりぃむ,熊本県,阿蘇郡西原村,布田,1169-9,,,固定施設,① 飲食店営業,熊本県指令阿保第食1-1-31号,2022/7/6,2022/7/6,,阿蘇保健所,みるくりぃむ,096,,,,,熊本県　阿蘇郡西原村　布田　1169-9,熊本県阿蘇郡西原村布田１１６９－９,,209925,熊本県,阿蘇郡西原村,布田,,2022/07/06,2022/07/06,,,,,,,,,,,,,熊本県指令阿保第食1-1-31号,,飲食店営業, 固定施設,,,424-433_熊本県_熊本県一括_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,みるくりぃむ,みるくりぃむ,,,1,,,,,
小山和樹,セブンーイレブン阿蘇西原布田店,熊本県,阿蘇郡西原村,布田,１０１５－４,,,,① 飲食店営業,熊本県指令阿保第食1-1-38号,2022/7/20,2022/7/20,,阿蘇保健所,セブンーイレブン阿蘇西原布田店,096,,,,,熊本県　阿蘇郡西原村　布田　１０１５－４,熊本県阿蘇郡西原村布田１０１５－４,,209925,熊本県,阿蘇郡西原村,布田,,2022/07/20,2022/07/20,,,,,,,,,,,,,熊本県指令阿保第食1-1-38号,,飲食店営業,,,,424-433_熊本県_熊本県一括_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,セブンイレブン阿蘇西原布田店,セブンイレブン阿蘇西原布田店,,セブンイレブン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
櫟本裕太郎,海鮮食堂七屋　西原店,熊本県,阿蘇郡西原村,小森,1801の9,グリーン西原　110号,080-3184-9380,固定施設,① 飲食店営業,熊本県指令阿保第食1-1-40号,2022/7/22,2022/7/22,,阿蘇保健所,海鮮食堂七屋　西原店,096,,,,,熊本県　阿蘇郡西原村　小森　1801の9,熊本県阿蘇郡西原村小森１８０１ノ９,グリーン西原　110号,209923,熊本県,阿蘇郡西原村,小森,,2022/07/22,2022/07/22,,,,,,,,,,,,,熊本県指令阿保第食1-1-40号,,飲食店営業, 固定施設,,,424-433_熊本県_熊本県一括_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,海鮮食堂七屋　西原店,海鮮食堂七屋西原店,,,1,,,,,
山下美恵子,Milky,熊本県,阿蘇郡西原村,小森,1801-9,,,固定店舗,① 飲食店営業,熊本県指令阿保第食1-1-41号,2022/7/22,2022/7/22,,阿蘇保健所,Milky,096,,,,,熊本県　阿蘇郡西原村　小森　1801-9,熊本県阿蘇郡西原村小森１８０１－９,,209923,熊本県,阿蘇郡西原村,小森,,2022/07/22,2022/07/22,,,,,,,,,,,,,熊本県指令阿保第食1-1-41号,,飲食店営業, 固定店舗,,,424-433_熊本県_熊本県一括_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｍｉｌｋｙ,Ｍｉｌｋｙ,,,1,,,,,
