11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設の郵便番号,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,,申請-住所0,申請-住所1,申請-住所2,申請-電話番号1,業種,業態,許可年月日,開業年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,営業所_郵便番号,営業所_所在地,施設-住所1,施設-マンション名,営業所_電話番号,申請者_氏名,代表者氏名,申請者_郵便番号,申請者_住所,,,申請者_電話番号,業種,種目,許可年月日,初回許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
Ｂｉｓｔｒｏ  Ｔｓｕｍｕｇｕ,8800121,宮崎県宮崎市大字島之内５６１９－１,宮崎県宮崎市大字島之内５６１９－１,,72-3492,井野  聖一郎,,,,,,,飲食店営業,03:飲食店営業（西洋料理店）,R 4. 7. 1,R 4. 7. 1,01-311,,宮崎市保健所,Ｂｉｓｔｒｏ  Ｔｓｕｍｕｇｕ,0985,0985-72-3492,8800121,,,宮崎県宮崎市大字島之内５６１９－１,宮崎県宮崎市島ノ内５６１９－１,,212268,宮崎県,宮崎市,島ノ内,,2022/07/01,2022/07/01,,,,,,　,,,,,,,01-311,,飲食店営業, 03:飲食店営業（西洋料理店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｂｉｓｔｒｏ　Ｔｓｕｍｕｇｕ,ＢｉｓｔｒｏＴｓｕｍｕｇｕ,,,1,,,,,
こころ,8800001,宮崎県宮崎市橘通西２－７－１３  六番街１Ｆ,宮崎県宮崎市橘通西２－７－１３,六番街１Ｆ,,青田  幸男,,,,,,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7. 1,R 4. 7. 1,01-296,,宮崎市保健所,こころ,0985,,8800001,,,宮崎県宮崎市橘通西２－７－１３,宮崎県宮崎市橘通西２－７－１３,六番街１Ｆ,212300,宮崎県,宮崎市,橘通西２,,2022/07/01,2022/07/01,,,,,,　,,,,,,,01-296,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,こころ,こころ,,,1,,,,,
まるいわ工房,8800804,宮崎県宮崎市宮田町６－９,宮崎県宮崎市宮田町６－９,,25-8316,有限会社  丸岩石油,代表取締役  岩切  紀幸,8800804,宮崎県宮崎市宮田町６－１２,宮崎県宮崎市宮田町６－１２,,25-8316,そうざい製造業,71:そうざい製造業（１回３００/１日７５０未満）,R 4. 7. 1,R 4. 7. 1,26-19,,宮崎市保健所,まるいわ工房,0985,0985-25-8316,8800804,,,宮崎県宮崎市宮田町６－９,宮崎県宮崎市宮田町６－９,,212406,宮崎県,宮崎市,宮田町,,2022/07/01,2022/07/01,,,有限会社  丸岩石油,代表取締役  岩切  紀幸,25-8316,宮崎県宮崎市宮田町６－１２　,宮崎県宮崎市宮田町６－１２,,212406,宮崎県,宮崎市,宮田町,26-19,,そうざい製造業, 71:そうざい製造業（１回３００/１日７５０未満）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,まるいわ工房,まるいわ工房,有限会社丸岩石油,,1,,,,,
４０５,8800001,宮崎県宮崎市橘通西３－２－１３  ダイヤモンドビル３Ｆ,宮崎県宮崎市橘通西３－２－１３,ダイヤモンドビル３Ｆ,,藤野  将伍,,,,,,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7. 4,R 4. 7. 4,01-317,,宮崎市保健所,４０５,0985,,8800001,,,宮崎県宮崎市橘通西３－２－１３,宮崎県宮崎市橘通西３－２－１３,ダイヤモンドビル３Ｆ,212301,宮崎県,宮崎市,橘通西３,,2022/07/04,2022/07/04,,,,,,　,,,,,,,01-317,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,４０５,４０５,,,1,,,,,
Ｄａｌ  Ｌａｔｔｅ,8800056,宮崎県宮崎市神宮東３－４－２９  後藤ビル５,宮崎県宮崎市神宮東３－４－２９,後藤ビル５,,永井  倫太郎,,,,,,,菓子製造業,48:菓子製造業（菓子類）,R 4. 7. 4,R 4. 7. 4,12-33,,宮崎市保健所,Ｄａｌ  Ｌａｔｔｅ,0985,,8800056,,,宮崎県宮崎市神宮東３－４－２９,宮崎県宮崎市神宮東３－４－２９,後藤ビル５,212287,宮崎県,宮崎市,神宮東３,,2022/07/04,2022/07/04,,,,,,　,,,,,,,12-33,,菓子製造業, 48:菓子製造業（菓子類）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｄａｌ　Ｌａｔｔｅ,ＤａｌＬａｔｔｅ,,,1,,,,,
ｍｅｌｌｏｗｄａｙｓ  ｗｉｎｅ＆ｄｉｎｅｒ,8892162,宮崎県宮崎市青島１－４－９,宮崎県宮崎市青島１－４－９,,72-8230,株式会社パピーユ,代表取締役  藤丸  智史,5420082,大阪府大阪市中央区島之内１－１－１４ 三和ビル２０１,大阪府大阪市中央区島之内１－１－１４, 三和ビル２０１,06-6643-2330,飲食店営業,03:飲食店営業（西洋料理店）,R 4. 7. 6,R 4. 7. 6,01-318,,宮崎市保健所,ｍｅｌｌｏｗｄａｙｓ  ｗｉｎｅ＆ｄｉｎｅｒ,0985,0985-72-8230,8892162,,,宮崎県宮崎市青島１－４－９,宮崎県宮崎市青島１－４－９,,212499,宮崎県,宮崎市,青島１,,2022/07/06,2022/07/06,,,株式会社パピーユ,代表取締役  藤丸  智史,06-6643-2330,大阪府大阪市中央区島之内１－１－１４　 三和ビル２０１,大阪府大阪市中央区島ノ内１－１－１４三和ビル２０１,,156027,大阪府,大阪市中央区,島ノ内１,01-318,,飲食店営業, 03:飲食店営業（西洋料理店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｍｅｌｌｏｗｄａｙｓ　ｗｉｎｅ＆ｄｉｎｅｒ,ｍｅｌｌｏｗｄａｙｓｗｉｎｅｄｉｎｅｒ,株式会社パピーユ,,1,,,,,
個室韓流酒場,8800805,宮崎県宮崎市橘通東３－２－７  平吉ビル１Ｆ,宮崎県宮崎市橘通東３－２－７,平吉ビル１Ｆ,,株式会社  ＭＩＭ,代表取締役  藤田  斉弥,8800805,宮崎県宮崎市橘通東３－２－７  平吉ビル１Ｆ,宮崎県宮崎市橘通東３－２－７,平吉ビル１Ｆ,,飲食店営業,05:飲食店営業（東洋料理店）,R 4. 7. 6,R 4. 7. 6,01-325,,宮崎市保健所,個室韓流酒場,0985,,8800805,,,宮崎県宮崎市橘通東３－２－７,宮崎県宮崎市橘通東３－２－７,平吉ビル１Ｆ,212306,宮崎県,宮崎市,橘通東３,,2022/07/06,2022/07/06,,,株式会社  ＭＩＭ,代表取締役  藤田  斉弥,,宮崎県宮崎市橘通東３－２－７　平吉ビル１Ｆ,宮崎県宮崎市橘通東３－２－７平吉ビル１Ｆ,,212306,宮崎県,宮崎市,橘通東３,01-325,,飲食店営業, 05:飲食店営業（東洋料理店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,個室韓流酒場,個室韓流酒場,株式会社ＭＩＭ,,1,,,,,
スーパーセンタートライアル宮崎恒久店,8800916,宮崎県宮崎市大字恒１５２７－１,宮崎県宮崎市大字恒１５２７－１,,63-3330,株式会社トライアルカンパニー,代表取締役  石橋  亮太,8130034,福岡県福岡市東区多の津一丁目12番2号,福岡県福岡市東区多の津１丁目１２番２号,,092-626-5550,食肉販売業,38:食肉販売業,R 4. 7. 6,R 4. 7. 6,04-4,,宮崎市保健所,スーパーセンタートライアル宮崎恒久店,0985,0985-63-3330,8800916,,,宮崎県宮崎市大字恒１５２７－１,宮崎県宮崎市恒１５２７－１,,212174,宮崎県,宮崎市,,,2022/07/06,2022/07/06,,,株式会社トライアルカンパニー,代表取締役  石橋  亮太,092-626-5550,福岡県福岡市東区多の津１丁目１２番２号　,福岡県福岡市東区多ノ津１丁目１２番２号,,199830,福岡県,福岡市東区,多の津１,04-4,,食肉販売業, 38:食肉販売業,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,スーパーセンタートライアル宮崎恒久店,スパセンタトライアル宮崎恒久店,株式会社トライアルカンパニー,,1,,,,,
ＳＷＥＥＴ’Ｓ  ＫＩＳＳ－ＶＥＮＤＯＲ－,8800916,宮崎県宮崎市大字恒久５６６,宮崎県宮崎市大字恒久５６６,,,田邊  ゆかり,,,,,,,菓子製造業,48:菓子製造業（菓子類）,R 4. 7. 6,R 4. 7. 6,12-34,,宮崎市保健所,ＳＷＥＥＴ’Ｓ  ＫＩＳＳ－ＶＥＮＤＯＲ－,0985,,8800916,,,宮崎県宮崎市大字恒久５６６,宮崎県宮崎市恒久５６６,,212334,宮崎県,宮崎市,恒久５,,2022/07/06,2022/07/06,,,,,,　,,,,,,,12-34,,菓子製造業, 48:菓子製造業（菓子類）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＳＷＥＥＴ＇Ｓ　ＫＩＳＳ－ＶＥＮＤＯＲ－,ＳＷＥＥＴＳＫＩＳＳＶＥＮＤＯＲ,,,1,,,,,
山王手羽舗,8800822,宮崎県宮崎市権現町１１９－２,宮崎県宮崎市権現町１１９－２,,,永友  裕也,,,,,,,飲食店営業,01:飲食店営業（一般食堂）,R 4. 7. 8,R 4. 7. 8,01-285,,宮崎市保健所,山王手羽舗,0985,,8800822,,,宮崎県宮崎市権現町１１９－２,宮崎県宮崎市権現町１１９－２,,212264,宮崎県,宮崎市,権現町,,2022/07/08,2022/07/08,,,,,,　,,,,,,,01-285,,飲食店営業, 01:飲食店営業（一般食堂）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,山王手羽舗,山王手羽舗,,,1,,,,,
○八ホルモン  １号店,8800002,宮崎県宮崎市中央通２－２５,宮崎県宮崎市中央通２－２５,,27-0807,清武  友樹,,,,,,,飲食店営業,05:飲食店営業（東洋料理店）,R 4. 7. 8,R 4. 7.11,01-312,,宮崎市保健所,○八ホルモン  １号店,0985,0985-27-0807,8800002,,,宮崎県宮崎市中央通２－２５,宮崎県宮崎市中央通２－２５,,212320,宮崎県,宮崎市,中央通,,2022/07/11,2022/07/08,,,,,,　,,,,,,,01-312,,飲食店営業, 05:飲食店営業（東洋料理店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,○八ホルモン　１号店,八ホルモン１号店,,,1,,,,,
