11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請者2,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-住所5,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１　営業施設名称、屋号又は商号,２　都道府県（営業施設）,市区町村（営業施設）,町域（営業施設）,番地等（営業施設）,マンション名等（営業施設）,３　電話番号（営業施設）,４　営業の種類,５　氏名（法人の場合は法人名）（申請・届出者）,法人の代表者の氏名（申請・届出者）,６　都道府県（申請・届出者）,市区町村（申請・届出者）,町域（申請・届出者）,番地等（申請・届出者）,マンション名等（申請・届出者）,電話番号（申請・届出者）,７　初回許可年月日,８　許可年月日,９　許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
麺場 田所商店 都城店,宮崎県,都城市,平江町,１３−１９,,0986222444,① 飲食店営業,株式会社トライ・インターナショナル,田所史之,千葉県,千葉市美浜区,中瀬２丁目６番地１,,,0432399977,2022/7/13,2022/7/13,４０４３－１－１１３,,都城保健所,麺場 田所商店 都城店,0986,0986-22-2444,,,,宮崎県　都城市　平江町　１３−１９,宮崎県都城市平江町１３−１９,,212702,宮崎県,都城市,平江町,,2022/07/13,2022/07/13,,,株式会社トライ・インターナショナル,田所史之,043-239-9977,千葉県　千葉市美浜区　中瀬２丁目６番地１　　,千葉県千葉市美浜区中瀬２丁目６番地１,,67425,千葉県,千葉市美浜区,中瀬２,４０４３－１－１１３,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,麺場　田所商店　都城店,麺場田所商店都城店,株式会社トライ・インターナショナル,蔵出し味噌 麺場 田所商店,1,宿泊業，飲食サービス業,飲食店,専門料理店,その他の専門料理店,
KFCサンキュー小林店,宮崎県,小林市,堤,３００５番地１２,,0984-48-7122,① 飲食店営業,ＪＲ九州ファーストフーズ株式会社,永田史朗,福岡県,福岡市博多区,博多駅東１丁目１０番７号,,,0924512054,2016/8/1,2022/7/25,４０４４－２－２７,,小林保健所,KFCサンキュー小林店,0984,0984-48-7122,,,,宮崎県　小林市　堤　３００５番地１２,宮崎県小林市堤３００５番地１２,,213195,宮崎県,小林市,堤,,2016/08/01,2022/07/25,,,ＪＲ九州ファーストフーズ株式会社,永田史朗,092-451-2054,福岡県　福岡市博多区　博多駅東１丁目１０番７号　　,福岡県福岡市博多区博多駅東１丁目１０番７号,,200143,福岡県,福岡市博多区,博多駅東１,４０４４－２－２７,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＫＦＣサンキュー小林店,ＫＦＣサンキュ小林店,ＪＲ九州ファーストフーズ株式会社,,1,,,,,
Aコープ大束店,宮崎県,串間市,大字奈留,５２２３番地１,,0987-74-1186,④ 魚介類販売業,株式会社エーコープみやざき,安川雄一郎,宮崎県,宮崎市,富吉,1223番地,,0985-89-6100,2022/7/21,2022/7/21,4042-27-4,,日南保健所,Aコープ大束店,0987,0987-74-1186,,,,宮崎県　串間市　大字奈留　５２２３番地１,宮崎県串間市奈留５２２３番地１,,213323,宮崎県,串間市,奈留,,2022/07/21,2022/07/21,,,株式会社エーコープみやざき,安川雄一郎,0985-89-6100,宮崎県　宮崎市　富吉　1223番地　,宮崎県宮崎市富吉１２２３番地,,212348,宮崎県,宮崎市,富吉,4042-27-4,,魚介類販売業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,Ａコープ大束店,Ａコプ大束店,株式会社エーコープみやざき,,1,,,,,
できたてや,宮崎県,日南市,南郷町東町,２－１１ ２F,,090-8669-3207,㉕ そうざい製造業,長倉弘騎,,,,,,,,2022/7/20,2022/7/20,4042-55-6,,日南保健所,できたてや,0987,090-8669-3207,,,,宮崎県　日南市　南郷町東町　２－１１ ２F,宮崎県日南市南郷町東町２－１１２F,,213186,宮崎県,日南市,南郷町東町,,2022/07/20,2022/07/20,,,,,,　　　　,,,,,,,4042-55-6,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,できたてや,できたてや,,,1,,,,,
都農ワイナリー,宮崎県,児湯郡都農町,大字川北,１４６０９－２０,,0983-25-5501,⑭ 清涼飲料水製造業,株式会社都農ワイン,小畑曉,宮崎県,児湯郡都農町,大字川北,１４６０９－２０,,0983-25-5501,2022/7/7,2022/7/7,４０４５－３７－１,,高鍋保健所,都農ワイナリー,0983,0983-25-5501,,,,宮崎県　児湯郡都農町　大字川北　１４６０９－２０,宮崎県児湯郡都農町川北１４６０９－２０,,213510,宮崎県,児湯郡都農町,川北,,2022/07/07,2022/07/07,,,株式会社都農ワイン,小畑曉,0983-25-5501,宮崎県　児湯郡都農町　大字川北　１４６０９－２０　,宮崎県児湯郡都農町川北１４６０９－２０,,213510,宮崎県,児湯郡都農町,川北,４０４５－３７－１,,清涼飲料水製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,飲料・たばこ・飼料製造業,,,,,,,,,都農ワイナリー,都農ワイナリ,株式会社都農ワイン,,3,,,,,
都農ワイナリー,宮崎県,児湯郡都農町,大字川北,１４６０９番地２０,,0983-25-5501,① 飲食店営業,株式会社都農ワイン,小畑曉,宮崎県,児湯郡都農町,大字川北,１４６０９－２０,,0983-25-5501,2022/7/19,2022/7/19,４０４５－１－５９,,高鍋保健所,都農ワイナリー,0983,0983-25-5501,,,,宮崎県　児湯郡都農町　大字川北　１４６０９番地２０,宮崎県児湯郡都農町川北１４６０９番地２０,,213510,宮崎県,児湯郡都農町,川北,,2022/07/19,2022/07/19,,,株式会社都農ワイン,小畑曉,0983-25-5501,宮崎県　児湯郡都農町　大字川北　１４６０９－２０　,宮崎県児湯郡都農町川北１４６０９－２０,,213510,宮崎県,児湯郡都農町,川北,４０４５－１－５９,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,都農ワイナリー,都農ワイナリ,株式会社都農ワイン,,3,,,,,
都農ワイナリー,宮崎県,児湯郡都農町,大字川北,１４６０９番地２０,,0983-25-5501,⑪ 菓子製造業,株式会社都農ワイン,小畑曉,宮崎県,児湯郡都農町,大字川北,１４６０９－２０,,0983-25-5501,2022/7/19,2022/7/19,４０４５－８－１０,,高鍋保健所,都農ワイナリー,0983,0983-25-5501,,,,宮崎県　児湯郡都農町　大字川北　１４６０９番地２０,宮崎県児湯郡都農町川北１４６０９番地２０,,213510,宮崎県,児湯郡都農町,川北,,2022/07/19,2022/07/19,,,株式会社都農ワイン,小畑曉,0983-25-5501,宮崎県　児湯郡都農町　大字川北　１４６０９－２０　,宮崎県児湯郡都農町川北１４６０９－２０,,213510,宮崎県,児湯郡都農町,川北,４０４５－８－１０,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,都農ワイナリー,都農ワイナリ,株式会社都農ワイン,,3,,,,,
ＵＤＯＮ．バーⅡ,宮崎県,都城市,牟田町,１８－５,,0986-23-5665,① 飲食店営業,木場雄一,,,,,,,,2022/7/25,2022/7/25,４０４３ー１ー１７８,,都城保健所,ＵＤＯＮ．バーⅡ,0986,0986-23-5665,,,,宮崎県　都城市　牟田町　１８－５,宮崎県都城市牟田町１８－５,,212716,宮崎県,都城市,牟田町,,2022/07/25,2022/07/25,,,,,,　　　　,,,,,,,４０４３ー１ー１７８,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＵＤＯＮ．バーⅡ,ＵＤＯＮバⅡ,,,1,,,,,
