11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請-電話番号1,施設-住所1,施設-マンション名,施設-電話番号1,施設名,業種,業態,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者名,申請者電話番号,施設所在地１,施設所在地２,施設電話番号,店舗名（屋号）,業種,種目,許可番号,最新許可年月日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
株式会社 ＳＨＩＰ,090-9702-4593 ,宮古島市平良字下里562－1　４Ｆ,,0980-75-5515  ,ＡＩＬＡＮＤ,飲食店営業,キャバレー,第06202200093号,R04.06.20,R04.06.20,,宮古保健所,ＡＩＬＡＮＤ,0980,0980-75-5515,,,,宮古島市平良字下里562－1　４Ｆ,沖縄県宮古島市平良字下里５６２－１４Ｆ,,216116,沖縄県,宮古島市,平良下里,,2022/06/20,2022/06/20,,,株式会社 ＳＨＩＰ,,090-9702-4593 ,,,,,,,,第06202200093号,,飲食店営業, キャバレー,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＩＬＡＮＤ,ＡＩＬＡＮＤ,株式会社ＳＨＩＰ,,1,,,,,
平良　愛稀,,宮古島市平良字西里311-5（1Ｆ）,,              ,宮古農場　愛楽友,飲食店営業,居酒屋,第06202200108号,R04.06.30,H28.06.29,,宮古保健所,宮古農場　愛楽友,0980,,,,,宮古島市平良字西里311-5（1Ｆ）,沖縄県宮古島市平良字西里３１１－５（１Ｆ）,,216118,沖縄県,宮古島市,平良西里,,2016/06/29,2022/06/30,,,,,,,,,,,,,第06202200108号,,飲食店営業, 居酒屋,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,宮古農場　愛楽友,宮古農場愛楽友,,,1,,,,,
合同会社　エルエスシー,0980-79-5477  ,宮古島市平良字下里10,,,銀座食堂,飲食店営業,弁当屋,第06202200109号,R04.06.30,H28.06.21,,宮古保健所,銀座食堂,0980,,,,,宮古島市平良字下里10,沖縄県宮古島市平良字下里１０,,216116,沖縄県,宮古島市,平良下里,,2016/06/21,2022/06/30,,,合同会社　エルエスシー,,0980-79-5477  ,,,,,,,,第06202200109号,,飲食店営業, 弁当屋,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,銀座食堂,銀座食堂,合同会社エルエスシー,,1,,,,,
株式会社アットブレイン,03-5600-8681  ,宮古島市平良字西里224-2F,,0980-73-1522  ,キッチン＠まんが館,飲食店営業,食堂,第06202200111号,R04.06.30,H22.06.29,,宮古保健所,キッチン＠まんが館,0980,0980-73-1522,,,,宮古島市平良字西里224-2F,沖縄県宮古島市平良字西里２２４－２F,,216118,沖縄県,宮古島市,平良西里,,2010/06/29,2022/06/30,,,株式会社アットブレイン,,03-5600-8681  ,,,,,,,,第06202200111号,,飲食店営業, 食堂,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,キッチン＠まんが館,キッチンまんが館,株式会社アットブレイン,,1,,,,,
高橋　幸枝,,宮古島市平良字久貝880－9,,,さっちゃん餃子,そうざい製造業,そうざい製造業,第06202200107号,R04.06.30,H22.06.24,,宮古保健所,さっちゃん餃子,0980,,,,,宮古島市平良字久貝880－9,沖縄県宮古島市平良字久貝８８０－９,,216114,沖縄県,宮古島市,平良久貝,,2010/06/24,2022/06/30,,,,,,,,,,,,,第06202200107号,,そうざい製造業, そうざい製造業,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,さっちゃん餃子,さっちゃん餃子,,,1,,,,,
友利　寿実,,宮古島市上野字野原７９６－１,,              ,食・宿　寿々　ひさびさ～,飲食店営業,居酒屋,第06202200110号,R04.06.30,H16.08.02,,宮古保健所,食・宿　寿々　ひさびさ～,0980,,,,,宮古島市上野字野原７９６－１,沖縄県宮古島市上野字野原７９６－１,,216093,沖縄県,宮古島市,上野野原,,2004/08/02,2022/06/30,,,,,,,,,,,,,第06202200110号,,飲食店営業, 居酒屋,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,食・宿　寿々　ひさびさ～,食宿寿ひさびさ,,,1,,,,,
下里　恵良,,宮古島市平良字下里６３７－１　１F,,0980-72-9445  ,うなぎ　たいよう,飲食店営業,レストラン,第06202200106号,R04.06.30,H16.06.18,,宮古保健所,うなぎ　たいよう,0980,0980-72-9445,,,,宮古島市平良字下里６３７－１　１F,沖縄県宮古島市平良字下里６３７－１１F,,216116,沖縄県,宮古島市,平良下里,,2004/06/18,2022/06/30,,,,,,,,,,,,,第06202200106号,,飲食店営業, レストラン,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,うなぎ　たいよう,うなぎたいよう,,,1,,,,,
鈴木　雅彦,,宮古島市平良字下里338番地11,,              ,焼きもんや,飲食店営業,居酒屋,第06202200105号,R04.07.04,R04.07.04,,宮古保健所,焼きもんや,0980,,,,,宮古島市平良字下里338番地11,沖縄県宮古島市平良字下里３３８番地１１,,216116,沖縄県,宮古島市,平良下里,,2022/07/04,2022/07/04,,,,,,,,,,,,,第06202200105号,,飲食店営業, 居酒屋,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,焼きもんや,焼きもんや,,,1,,,,,
