11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設名2,施設の郵便番号,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請-電話番号1,許可年月日,開業年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設＿名称（屋号・商号）１,施設＿名称（屋号・商号）２,施設＿郵便番号,所在地１,所在地２,施設＿所在地電話番号,業種,種目（営業の種類）,申請者＿申請者名,申請者＿電話番号,許可年月日,開業年月日初回許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
夜風にアイス,,904-0011,沖縄市照屋１－２８－１９,１階の１部,              ,飲食店営業,その他,合同会社ＡＰＯＲＯ,,R04.06.01,R04.06.01,第03202200333号,,中部保健所,夜風にアイス,098,,904-0011,,,沖縄市照屋１－２８－１９,沖縄県沖縄市照屋１－２８－１９,１階の１部,215880,沖縄県,沖縄市,照屋１,,2022/06/01,2022/06/01,,,合同会社ＡＰＯＲＯ,,,,,,,,,,第03202200333号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,夜風にアイス,夜風にアイス,合同会社ＡＰＯＲＯ,,1,,,,,
Ｄｉｎｉｎｇ　Ｂａｒ　ＭＩＸＧＡＲＡＧＥ,,901-2215,宜野湾市真栄原３－８－３,大光不動産ＢＬＤＧ．Ⅲ　地下１階,              ,飲食店営業,レストラン,伊守,,R04.06.01,R04.06.01,第03202200334号,,中部保健所,Ｄｉｎｉｎｇ　Ｂａｒ　ＭＩＸＧＡＲＡＧＥ,098,,901-2215,,,宜野湾市真栄原３－８－３,沖縄県宜野湾市真栄原３－８－３,大光不動産ＢＬＤＧ．Ⅲ　地下１階,215606,沖縄県,宜野湾市,真栄原３,,2022/06/01,2022/06/01,,,,,,,,,,,,,第03202200334号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｄｉｎｉｎｇ　Ｂａｒ　ＭＩＸＧＡＲＡＧＥ,ＤｉｎｉｎｇＢａｒＭＩＸＧＡＲＡＧＥ,,,1,,,,,
Ｅｇｇ　Ｆａｒｍ　ＴＯＲＩＴＡＭＡ　大謝名店,,        ,宜野湾市大謝名５－１６－８,,098-943-4232  ,飲食店営業,レストラン,株式会社みたのクリエイト,098-895-6002  ,R04.06.01,R04.06.01,第03202200337号,,中部保健所,Ｅｇｇ　Ｆａｒｍ　ＴＯＲＩＴＡＭＡ　大謝名店,098,098-943-4232,        ,,,宜野湾市大謝名５－１６－８,沖縄県宜野湾市大謝名５－１６－８,,215557,沖縄県,宜野湾市,大謝名５,,2022/06/01,2022/06/01,,,株式会社みたのクリエイト,,098-895-6002  ,,,,,,,,第03202200337号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｅｇｇ　Ｆａｒｍ　ＴＯＲＩＴＡＭＡ　大謝名店,ＥｇｇＦａｒｍＴＯＲＩＴＡＭＡ大謝名店,株式会社みたのクリエイト,,1,,,,,
スナック貴,,901-2215,宜野湾市真栄原３－１－５,国吉ビル２Ｆ（西）,098-897-5058  ,飲食店営業,ﾅｲﾄｽﾅｯｸ,山城学,,R04.06.02,R04.06.02,第03202200338号,,中部保健所,スナック貴,098,098-897-5058,901-2215,,,宜野湾市真栄原３－１－５,沖縄県宜野湾市真栄原３－１－５,国吉ビル２Ｆ（西）,215606,沖縄県,宜野湾市,真栄原３,,2022/06/02,2022/06/02,,,,,,,,,,,,,第03202200338号,,飲食店営業, ﾅｲﾄｽﾅｯｸ,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック貴,スナック貴,,,1,,,,,
ＡＮＤＥＳ　ｇａｒｄｅｎ,,904-1201,金武町金武１１２１０,,              ,菓子製造業,菓子製造業,農業生産法人ＡＮＤＥＳｆａｒｍ合同会社,              ,R04.06.02,R04.06.02,第03202200344号,,中部保健所,ＡＮＤＥＳ　ｇａｒｄｅｎ,098,,904-1201,,,金武町金武１１２１０,沖縄県国頭郡金武町金武１１２１０,,216168,沖縄県,国頭郡金武町,金武,,2022/06/02,2022/06/02,,,農業生産法人ＡＮＤＥＳｆａｒｍ合同会社,,-undefined-    ,,,,,,,,第03202200344号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＡＮＤＥＳ　ｇａｒｄｅｎ,ＡＮＤＥＳｇａｒｄｅｎ,農業生産法人ＡＮＤＥＳｆａｒｍ合同会社,,3,,,,,
ＡＮＤＥＳ　ｇａｒｄｅｎ,,904-1201,金武町金武１１２１０,,              ,飲食店営業,レストラン,農業生産法人ＡＮＤＥＳｆａｒｍ合同会社,              ,R04.06.02,R04.06.02,第03202200345号,,中部保健所,ＡＮＤＥＳ　ｇａｒｄｅｎ,098,,904-1201,,,金武町金武１１２１０,沖縄県国頭郡金武町金武１１２１０,,216168,沖縄県,国頭郡金武町,金武,,2022/06/02,2022/06/02,,,農業生産法人ＡＮＤＥＳｆａｒｍ合同会社,,-undefined-    ,,,,,,,,第03202200345号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＮＤＥＳ　ｇａｒｄｅｎ,ＡＮＤＥＳｇａｒｄｅｎ,農業生産法人ＡＮＤＥＳｆａｒｍ合同会社,,3,,,,,
ローソン恩納インブビーチ前店,,904-0401,恩納村名嘉真伊武部２２４０－２．２２３３－１．２２４３,,              ,飲食店営業,その他,スピリットビーイング合同会社,,R04.06.02,R04.06.02,第03202200346号,,中部保健所,ローソン恩納インブビーチ前店,098,,904-0401,,,恩納村名嘉真伊武部２２４０－２．２２３３－１．２２４３,沖縄県国頭郡恩納村名嘉真伊武部２２４０－２．２２３３－１．２２４３,,216161,沖縄県,国頭郡恩納村,名嘉真,,2022/06/02,2022/06/02,,,スピリットビーイング合同会社,,,,,,,,,,第03202200346号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ローソン恩納インブビーチ前店,ロソン恩納インブビチ前店,スピリットビーイング合同会社,ローソン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
Ｐａｌｍ　ｔｒｅｅ,,904-0116,北谷町北谷１－１－５,シティコーワビル４－Ｂ,              ,飲食店営業,カフェー,比嘉巧,,R04.06.02,R04.06.02,第03202200349号,,中部保健所,Ｐａｌｍ　ｔｒｅｅ,098,,904-0116,,,北谷町北谷１－１－５,沖縄県中頭郡北谷町北谷１－１－５,シティコーワビル４－Ｂ,216292,沖縄県,中頭郡北谷町,北谷１,,2022/06/02,2022/06/02,,,,,,,,,,,,,第03202200349号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｐａｌｍ　ｔｒｅｅ,Ｐａｌｍｔｒｅｅ,,,1,,,,,
Ｔｈｅ　Ｅａｇｌｅ　Ｆａｍｉｌｙ　Ｃａｆｅ,,        ,北谷町伊平４５８,,098-911-7802  ,飲食店営業,カフェー,山口メディナ,,R04.06.02,R04.06.02,第03202200350号,,中部保健所,Ｔｈｅ　Ｅａｇｌｅ　Ｆａｍｉｌｙ　Ｃａｆｅ,098,098-911-7802,        ,,,北谷町伊平４５８,沖縄県中頭郡北谷町伊平４５８,,216278,沖縄県,中頭郡北谷町,伊平,,2022/06/02,2022/06/02,,,,,,,,,,,,,第03202200350号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｔｈｅ　Ｅａｇｌｅ　Ｆａｍｉｌｙ　Ｃａｆｅ,ＴｈｅＥａｇｌｅＦａｍｉｌｙＣａｆｅ,,,1,,,,,
パフェと果実酒,,901-2224,宜野湾市真志喜５８４－３,１階,              ,菓子製造業,菓子製造業,松本貴広,,R04.06.02,R04.06.02,第03202200351号,,中部保健所,パフェと果実酒,098,,901-2224,,,宜野湾市真志喜５８４－３,沖縄県宜野湾市真志喜５８４－３,１階,215607,沖縄県,宜野湾市,真志喜,,2022/06/02,2022/06/02,,,,,,,,,,,,,第03202200351号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,パフェと果実酒,パフェと果実酒,,,2,,,,,
パフェと果実酒,,901-2224,宜野湾市真志喜５８４－３,１階,              ,飲食店営業,その他,松本貴広,,R04.06.02,R04.06.02,第03202200352号,,中部保健所,パフェと果実酒,098,,901-2224,,,宜野湾市真志喜５８４－３,沖縄県宜野湾市真志喜５８４－３,１階,215607,沖縄県,宜野湾市,真志喜,,2022/06/02,2022/06/02,,,,,,,,,,,,,第03202200352号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,パフェと果実酒,パフェと果実酒,,,2,,,,,
Ｃｒｏｃｕｓ３２,,904-1105,うるま市石川白浜２－３－２４,,              ,飲食店営業,バー,伊波健人,,R04.06.03,R04.06.03,第03202200354号,,中部保健所,Ｃｒｏｃｕｓ３２,098,,904-1105,,,うるま市石川白浜２－３－２４,沖縄県うるま市石川白浜２－３－２４,,216043,沖縄県,うるま市,石川白浜２,,2022/06/03,2022/06/03,,,,,,,,,,,,,第03202200354号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃｒｏｃｕｓ３２,Ｃｒｏｃｕｓ３２,,,1,,,,,
