https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,n処理終了,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,,,,,,,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,,,申請-住所1,申請-マンション名,申請-電話番号1,申請年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,施設＿名称（屋号・商号）,所在地,,,,,,,,,施設＿電話番号（所在地）,種目（営業の種類）,申請者＿申請者名,,,申請者＿住所,,申請者＿電話番号,届出年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3243,マールブランシュ    キッチンカー,生駒郡斑鳩町他県内一円（奈良市を除く）,,生駒郡斑鳩町他県内一円,,,生駒郡斑鳩町他県内一円,,生駒郡斑鳩町他県内一円,（奈良市を除く）,075-593-6464,行商,株式会社ロマンライフ,,,京都市山科区大塚北溝町    ３０,,075-593-6464,R03.08.02,,321,マールブランシュ    キッチンカー,0745,075-593-6464,,,,生駒郡斑鳩町他県内一円,奈良県生駒郡斑鳩町他県内一円,（奈良市を除く）,173907,29,29344,,2021/08/02,,,,,株式会社ロマンライフ,,075-593-6464,京都市山科区大塚北溝町    ３０,京都府京都市山科区大塚北溝町３０,,147861,京都府,京都市山科区,大塚北溝町,,,行商,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,61,619,,マルブランシュキッチンカ075-593-646417390729344,3acb7971-de02-461e-89f4-427bf89ffc24,株式会社ロマンライフ147861,4fe88970-8494-4e10-a185-6a24dd311910,84618765-87cc-4ec5-8c16-608543ab0b83,2021/08/02,マールブランシュ　キッチンカー,マルブランシュキッチンカ,株式会社ロマンライフ
3244,マールブランシュ    赤マール号,生駒郡斑鳩町他県内一円（奈良市を除く）,,生駒郡斑鳩町他県内一円,,,生駒郡斑鳩町他県内一円,,生駒郡斑鳩町他県内一円,（奈良市を除く）,075-593-6464,行商,株式会社ロマンライフ,,,京都市山科区大塚北溝町    ３０,,075-593-6464,R03.08.02,,321,マールブランシュ    赤マール号,0745,075-593-6464,,,,生駒郡斑鳩町他県内一円,奈良県生駒郡斑鳩町他県内一円,（奈良市を除く）,173907,29,29344,,2021/08/02,,,,,株式会社ロマンライフ,,075-593-6464,京都市山科区大塚北溝町    ３０,京都府京都市山科区大塚北溝町３０,,147861,京都府,京都市山科区,大塚北溝町,,,行商,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,61,619,,マルブランシュ赤マル号075-593-646417390729344,2aa0db62-fd19-4068-85d2-4e7e3e48b975,株式会社ロマンライフ147861,4fe88970-8494-4e10-a185-6a24dd311910,fc21e93a-f23a-4e90-a88f-dfd8f8a5c159,2021/08/02,マールブランシュ　赤マール号,マルブランシュ赤マル号,株式会社ロマンライフ
3245,サンディ南生駒店,生駒市小瀬町    ４５,,生駒市小瀬町,,４５,生駒市小瀬町４５,,生駒市小瀬町４５,,0743-85-6550,百貨店、総合スーパー,株式会社サンディ,,,大阪市淀川区西宮原    ２－７－５０,,06-6394-0090,R03.08.03,,321,サンディ南生駒店,0743,0743-85-6550,,,,生駒市小瀬町４５,奈良県生駒市小瀬町４５,,173479,29,29209,小瀬町,2021/08/03,,,,,株式会社サンディ,,06-6394-0090,大阪市淀川区西宮原    ２－７－５０,大阪府大阪市淀川区西宮原２－７－５０,,155493,大阪府,大阪市淀川区,西宮原２,,,百貨店、総合スーパー,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,I,56,561,5611,サンディ南生駒店0743-85-655017347929209,c944485e-1056-4e99-9aef-be0ebd343c99,株式会社サンディ155493,b00c7a94-8e82-4ef4-8bab-9e9adf8b7a82,a65334f3-7103-4621-9427-ecf9e49da9f4,2021/08/03,サンディ南生駒店,サンディ南生駒店,株式会社サンディ
3248,モリのカフェ,山辺郡山添村他県内一円（奈良市を除く）,,山辺郡山添村他県内一円,,,山辺郡山添村他県内一円,,山辺郡山添村他県内一円,（奈良市を除く）,,その他の食料・飲料販売業,株式会社冒険の森,,,豊能郡能勢町宿野    ４３７－１,,072-734-2500,R03.08.06,,321,モリのカフェ,0743,,,,,山辺郡山添村他県内一円,奈良県山辺郡山添村他県内一円,（奈良市を除く）,173868,29,29322,,2021/08/06,,,,,株式会社冒険の森,,072-734-2500,豊能郡能勢町宿野    ４３７－１,大阪府豊能郡能勢町宿野４３７－１,,162723,大阪府,豊能郡能勢町,宿野,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,モリのカフェ17386829322,0a9aea64-f069-413e-8210-8ee4176c993a,株式会社冒険の森162723,40313d45-75e6-428d-9ce7-b935cc5da6b6,9ca8d625-390e-4cec-b482-34b98ca6f146,2021/08/06,モリのカフェ,モリのカフェ,株式会社冒険の森
3250,株式会社    Ｎａｔｕｒａｌ    Ｆｒａｍｅ,生駒市鹿ノ台東    １－１３－４９,,生駒市鹿ノ台東,,１－１３－４９,生駒市鹿ノ台東１－１３－４９,,生駒市鹿ノ台東１－１３－４９,,0743-25-9881,その他の食料品製造・加工業,株式会社    Ｎａｔｕｒａｌ    Ｆｒａｍｅ,,,生駒市鹿ノ台東    １－１３－４９,,0743-25-9881,R03.08.06,,321,株式会社    Ｎａｔｕｒａｌ    Ｆｒａｍｅ,0743,0743-25-9881,,,,生駒市鹿ノ台東１－１３－４９,奈良県生駒市鹿ノ台東１－１３－４９,,173496,29,29209,鹿ノ台東１,2021/08/06,,,,,株式会社    Ｎａｔｕｒａｌ    Ｆｒａｍｅ,,0743-25-9881,生駒市鹿ノ台東    １－１３－４９,奈良県生駒市鹿ノ台東１－１３－４９,,173496,奈良県,生駒市,鹿ノ台東１,,,その他の食料品製造・加工業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,株式会社ＮａｔｕｒａｌＦｒａｍｅ0743-25-988117349629209,6170cc23-7c22-4e85-b905-33cac25d0400,株式会社　Ｎａｔｕｒａｌ　Ｆｒａｍｅ173496,f6676aae-09a0-4cd6-bd7a-4b715356e565,260f4e47-f91d-498f-9370-b73f08d24ffa,2021/08/06,株式会社　Ｎａｔｕｒａｌ　Ｆｒａｍｅ,株式会社ＮａｔｕｒａｌＦｒａｍｅ,株式会社　Ｎａｔｕｒａｌ　Ｆｒａｍｅ
3253,カッパ農園,生駒市あすか野北    １－７－４,,生駒市あすか野北,,１－７－４,生駒市あすか野北１－７－４,,生駒市あすか野北１－７－４,,0743-78-0885,その他の食料品製造・加工業,,,,,,,R03.08.11,,321,カッパ農園,0743,0743-78-0885,,,,生駒市あすか野北１－７－４,奈良県生駒市あすか野北１－７－４,,173468,29,29209,あすか野北１,2021/08/11,,,,,,,,,,,,,,,,,その他の食料品製造・加工業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,カッパ農園0743-78-088517346829209,dc1a0949-f79f-471f-ad8a-5a7c1d0d7892,,personal,ce06aca9-b7cf-49b2-909b-3c89642c1ed1,2021/08/11,カッパ農園,カッパ農園,
3256,スターバックスコーヒー    イオンモール大和郡山店,大和郡山市下三橋町    ７４１    イオンモール大和郡山１Ｆ,,大和郡山市下三橋町 ７４１    ,,,大和郡山市下三橋町 ７４１    ,,大和郡山市下三橋町 ７４１    ,イオンモール大和郡山１Ｆ,58-5123,その他の食料・飲料販売業,スターバックスコーヒージャパン株式会社,,,品川区上大崎    ２－２５－２,,03-5745-5510,R03.08.18,,321,スターバックスコーヒー    イオンモール大和郡山店,0743,0743-58-5123,,,,大和郡山市下三橋町 ７４１    ,奈良県大和郡山市下三橋町７４１,イオンモール大和郡山１Ｆ,172855,29,29203,下三橋町,2021/08/18,,,,,スターバックスコーヒージャパン株式会社,,03-5745-5510,品川区上大崎    ２－２５－２,東京都品川区上大崎２－２５－２,,73782,東京都,品川区,上大崎２,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,スタバックスコヒイオンモル大和郡山店0743-58-512317285529203,7928562e-e56f-4e68-a4d8-805acde1df9f,スターバックスコーヒージャパン株式会社73782,1a0aab2e-e859-49c0-8d9d-9dca1dab9699,7ab2ba01-f5b4-4151-ad2b-bf1f61ae0e73,2021/08/18,スターバックスコーヒー　イオンモール大和郡山店,スタバックスコヒイオンモル大和郡山店,スターバックスコーヒージャパン株式会社
3257,タコス屋サリー,生駒市あすか野北    １－１－２,,生駒市あすか野北,,１－１－２,生駒市あすか野北１－１－２,,生駒市あすか野北１－１－２,,,その他の食料品製造・加工業,,,,,,,R03.08.19,,321,タコス屋サリー,0743,,,,,生駒市あすか野北１－１－２,奈良県生駒市あすか野北１－１－２,,173468,29,29209,あすか野北１,2021/08/19,,,,,,,,,,,,,,,,,その他の食料品製造・加工業,,,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,タコス屋サリ17346829209,388117f1-f883-43a9-911b-95af1772c99c,,personal,bb32d568-7eb5-4a84-b21e-c855cae43322,2021/08/19,タコス屋サリー,タコス屋サリ,
3259,スターバックスコーヒー    北生駒ならやま大通り店,生駒市上町    ３４２３－１,,生駒市上町,,３４２３－１,生駒市上町３４２３－１,,生駒市上町３４２３－１,,0743-70-0153,その他の食料・飲料販売業,スターバックスコーヒージャパン株式会社,,,品川区上大崎    ２－２５－２,,03-5745-5510,R03.08.19,,321,スターバックスコーヒー    北生駒ならやま大通り店,0743,0743-70-0153,,,,生駒市上町３４２３－１,奈良県生駒市上町３４２３－１,,173482,29,29209,上町,2021/08/19,,,,,スターバックスコーヒージャパン株式会社,,03-5745-5510,品川区上大崎    ２－２５－２,東京都品川区上大崎２－２５－２,,73782,東京都,品川区,上大崎２,,,その他の食料品製造・加工業,(包装),,,321-324_奈良県_奈良県一括_食品衛生(届出)_2021年09月まで全件_末日,E,9,99,,スタバックスコヒ北生駒ならやま大通り店0743-70-015317348229209,dd3df3f3-d2fa-49c2-b9d5-fbc66203b07a,スターバックスコーヒージャパン株式会社73782,1a0aab2e-e859-49c0-8d9d-9dca1dab9699,35789748-67bc-4297-b908-f8659875d582,2021/08/19,スターバックスコーヒー　北生駒ならやま大通り店,スタバックスコヒ北生駒ならやま大通り店,スターバックスコーヒージャパン株式会社
