https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請-電話番号1,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,許可年月日,確認番号,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業者名,"営業者
電話番号",営業所名称,営業所所在地,,,"営業所
電話番号",業種,許可年月日,許可番号,許可の有効期限FROM,許可の有効期限TO,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
株式会社　すき家 代表取締役　浅沼幹典,03-5783-8850,すき家　１５３号千種本町店,名古屋市千種区千種一丁目２１番３号　,名古屋市千種区千種１丁目２１番３号, ,732-3577,飲食店営業,2021/12/23,3千保管第1-562号,2022/1/21,2028/1/20,,245,すき家　１５３号千種本町店,052,052-732-3577,,,,名古屋市千種区千種１丁目２１番３号,愛知県名古屋市千種区千種１丁目２１番３号, ,113764,23,23101,千種１,,,2021/12/23,2022/01/21,2028/01/20,株式会社　すき家 ,代表取締役　浅沼幹典,03-5783-8850,,,,,,,,3千保管第1-562号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,すき家１５３号千種本町店052-732-357711376423101,79b279c6-2e2d-49a9-908e-7440bf4f401e,株式会社すき家　,c7b6fbed-bd7a-49bc-809e-36eca60a1976,ae292f15-1bfd-4459-b47a-a39cb8482404,2021/12/23,すき家　１５３号千種本町店,すき家１５３号千種本町店,株式会社すき家　
梁　康,,京華亭,名古屋市千種区千種三丁目２７番１８号　,名古屋市千種区千種３丁目２７番１８号, ,744-0098,飲食店営業,2021/12/2,3千保管第1-509号,2021/12/21,2027/12/20,,245,京華亭,052,052-744-0098,,,,名古屋市千種区千種３丁目２７番１８号,愛知県名古屋市千種区千種３丁目２７番１８号, ,113766,23,23101,千種３,,,2021/12/02,2021/12/21,2027/12/20,,梁　康,,,,,,,,,3千保管第1-509号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,京華亭052-744-009811376623101,49d80e36-be7a-44ad-b9b8-60e2caa36184,,personal,2b1e5788-be66-4b4d-885c-0dc3f29a3101,2021/12/02,京華亭,京華亭,
城　英隆,,セブン‐イレブン名古屋今池３丁目店,名古屋市千種区今池三丁目５番１３号　,名古屋市千種区今池３丁目５番１３号, ,732-9175,飲食店営業,2021/12/6,3千保管第1-508号,2021/12/21,2027/12/20,,245,セブン‐イレブン名古屋今池３丁目店,052,052-732-9175,,,,名古屋市千種区今池３丁目５番１３号,愛知県名古屋市千種区今池３丁目５番１３号, ,113758,23,23101,今池３,,,2021/12/06,2021/12/21,2027/12/20,,城　英隆,,,,,,,,,3千保管第1-508号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,セブンイレブン名古屋今池３丁目店052-732-917511375823101,eb511e3c-5853-4770-9524-16fa94af5cbe,,personal,34212163-1541-42cd-979b-dc7e95382fea,2021/12/06,セブンイレブン名古屋今池３丁目店,セブンイレブン名古屋今池３丁目店,
タイヨウ株式会社 代表取締役　宮川　力,0568-32-4076,鉄板ダイニング　天,名古屋市千種区内山三丁目２５番６号　一光千種ターミナルビル　B1,名古屋市千種区内山３丁目２５番６号,一光千種ターミナルビル B１,741-7717,飲食店営業,2021/12/6,3千保管第1-500号,2021/12/7,2028/11/20,,245,鉄板ダイニング　天,052,052-741-7717,,,,名古屋市千種区内山３丁目２５番６号,愛知県名古屋市千種区内山３丁目２５番６号,一光千種ターミナルビル B１,113773,23,23101,内山３,,,2021/12/06,2021/12/07,2028/11/20,タイヨウ株式会社 ,代表取締役　宮川　力,0568-32-4076,,,,,,,,3千保管第1-500号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,鉄板ダイニング天052-741-771711377323101,7bba0a40-9691-416b-b52a-392bdf098983,タイヨウ株式会社,2ff69cdc-06c6-453d-af42-183dfb7d402e,5823bb81-62ed-4268-a2be-93cc94e84c8f,2021/12/06,鉄板ダイニング　天,鉄板ダイニング天,タイヨウ株式会社
一冨士フードサービス株式会社 代表取締役　大西　博史,06-6458-8801,吉岡電気工業　独身寮,名古屋市千種区今池三丁目２７番７号　,名古屋市千種区今池３丁目２７番７号, ,731-2461,飲食店営業,2021/12/6,3千保管第1-522号,2021/12/21,2027/12/20,,245,吉岡電気工業　独身寮,052,052-731-2461,,,,名古屋市千種区今池３丁目２７番７号,愛知県名古屋市千種区今池３丁目２７番７号, ,113758,23,23101,今池３,,,2021/12/06,2021/12/21,2027/12/20,一冨士フードサービス株式会社 ,代表取締役　大西　博史,06-6458-8801,,,,,,,,3千保管第1-522号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,吉岡電気工業独身寮052-731-246111375823101,0c27f249-df56-4904-a43d-9220f3efe007,一冨士フードサービス株式会社,8a13d929-4ba2-4d27-95dd-8dbed4f19b9c,f5581d2a-c768-407e-b4e5-eb48d4db3bb9,2021/12/06,吉岡電気工業　独身寮,吉岡電気工業独身寮,一冨士フードサービス株式会社
合同会社　ＡＸＬ 代表社員　高木　俊輔,,ＳＯＤＡ　ＵＰ　ＮＡＧＯＹＡ,名古屋市千種区星が丘元町１４番７１号　０２／ＨＭ　２階,名古屋市千種区星が丘元町１４番７１号,０２／ＨＭ ２階,783-2783,飲食店営業,2021/12/7,3千保管第1-488号,2021/12/9,2028/3/20,,245,ＳＯＤＡ　ＵＰ　ＮＡＧＯＹＡ,052,052-783-2783,,,,名古屋市千種区星が丘元町１４番７１号,愛知県名古屋市千種区星が丘元町１４番７１号,０２／ＨＭ ２階,113819,23,23101,星が丘元町,,,2021/12/07,2021/12/09,2028/03/20,合同会社　ＡＸＬ ,代表社員　高木　俊輔,,,,,,,,,3千保管第1-488号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＳＯＤＡＵＰＮＡＧＯＹＡ052-783-278311381923101,1fec7e3f-18c2-4dfe-9c97-60867126b04a,合同会社ＡＸＬ　,92534fa0-1058-4f62-a797-9d1fc37d39e7,82194980-476a-489f-9bac-6439521abb14,2021/12/07,ＳＯＤＡ　ＵＰ　ＮＡＧＯＹＡ,ＳＯＤＡＵＰＮＡＧＯＹＡ,合同会社ＡＸＬ　
有限会社　漁場 代表取締役　増田　精一,932-2229,博多　今池本店(本館),名古屋市千種区今池三丁目４番４号　,名古屋市千種区今池３丁目４番４号, ,733-5529,飲食店営業,2021/12/9,3千保管第1-524号,2021/12/21,2027/12/20,,245,博多　今池本店(本館),052,052-733-5529,,,,名古屋市千種区今池３丁目４番４号,愛知県名古屋市千種区今池３丁目４番４号, ,113758,23,23101,今池３,,,2021/12/09,2021/12/21,2027/12/20,有限会社　漁場 ,代表取締役　増田　精一,052-932-2229,,,,,,,,3千保管第1-524号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,博多今池本店本館052-733-552911375823101,934e27dd-f599-4c0c-b302-d15d87b5ab94,有限会社漁場　,23523edf-90ef-49cb-b38a-f1c81941774b,d67659c2-b9ba-406b-8a52-966bbaa9da25,2021/12/09,博多　今池本店（本館）,博多今池本店本館,有限会社漁場　
有限会社　漁場 代表取締役　増田　精一,932-2229,博多　今池本店(別館),名古屋市千種区今池三丁目４番６号　,名古屋市千種区今池３丁目４番６号, ,733-5529,飲食店営業,2021/12/9,3千保管第1-525号,2021/12/21,2027/12/20,,245,博多　今池本店(別館),052,052-733-5529,,,,名古屋市千種区今池３丁目４番６号,愛知県名古屋市千種区今池３丁目４番６号, ,113758,23,23101,今池３,,,2021/12/09,2021/12/21,2027/12/20,有限会社　漁場 ,代表取締役　増田　精一,052-932-2229,,,,,,,,3千保管第1-525号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,博多今池本店別館052-733-552911375823101,ff780708-5ea6-4820-ab26-e742a2f8a557,有限会社漁場　,23523edf-90ef-49cb-b38a-f1c81941774b,5a0c8e63-cc2d-45f7-8e4f-79ec429f68bf,2021/12/09,博多　今池本店（別館）,博多今池本店別館,有限会社漁場　
日本マクドナルド株式会社 代表取締役社長　日色　保,03-6911-5000,マクドナルド　茶屋ヶ坂店,名古屋市千種区茶屋坂通２丁目４９番地６　,名古屋市千種区茶屋坂通２丁目４９番地６,,739-6230,飲食店営業,2021/12/9,3千保管第1-529号,2021/12/17,2029/9/20,,245,マクドナルド　茶屋ヶ坂店,052,052-739-6230,,,,名古屋市千種区茶屋坂通２丁目４９番地６,愛知県名古屋市千種区茶屋坂通２丁目４９番地６,,113636,23,23101,茶屋坂通２,,,2021/12/09,2021/12/17,2029/09/20,日本マクドナルド株式会社 ,代表取締役社長　日色　保,03-6911-5000,,,,,,,,3千保管第1-529号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,マクドナルド茶屋ヶ坂店052-739-623011363623101,e03d2283-98c4-491d-97e6-a8e91a051e03,日本マクドナルド株式会社,edff8881-cedc-4eda-8be8-7513e7773883,acd2bff4-038a-413c-958e-feb493149498,2021/12/09,マクドナルド　茶屋ヶ坂店,マクドナルド茶屋ヶ坂店,日本マクドナルド株式会社
株式会社　イートクリエイト 代表取締役　加藤　寛之,,横浜家系ラーメン　ええが家,名古屋市千種区今池一丁目４番２号　,名古屋市千種区今池１丁目４番２号, ,733-5757,飲食店営業,2021/12/9,3千保管第1-518号,2021/12/11,2028/11/20,,245,横浜家系ラーメン　ええが家,052,052-733-5757,,,,名古屋市千種区今池１丁目４番２号,愛知県名古屋市千種区今池１丁目４番２号, ,113756,23,23101,今池１,,,2021/12/09,2021/12/11,2028/11/20,株式会社　イートクリエイト ,代表取締役　加藤　寛之,,,,,,,,,3千保管第1-518号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,横浜家系ラメンええが家052-733-575711375623101,67f5c975-bda4-4b9a-90ff-a71f7a20bd98,株式会社イートクリエイト　,32a99f99-ddc6-47cd-a88a-f8bcbec5c216,029f912b-b61e-4a5b-b487-0b00fd366a5f,2021/12/09,横浜家系ラーメン　ええが家,横浜家系ラメンええが家,株式会社イートクリエイト　
