https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,業種,申請者1,開業年月日,許可年月日,確認番号,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名（屋号）,施設の住所（所在地）,,,業種,開設者情報,初回の許可年月日,最新の許可年月日,許可番号,区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ＣＡＦＥ＆ＢＡＲ　ＴＲＥＭＯＲＯ,愛知県一宮市真清田１丁目３－１　成和ビル１Ｆ,愛知県一宮市真清田１丁目３－１,成和ビル１Ｆ,飲食店営業,近藤　剛史,R 3.12. 2,R 3.12. 2,3一宮保衛第7001-336号,許可,,249,ＣＡＦＥ＆ＢＡＲ　ＴＲＥＭＯＲＯ,0586,,,,,愛知県一宮市真清田１丁目３－１,愛知県一宮市真清田１丁目３－１,成和ビル１Ｆ,118832,23,23203,真清田１,,2021/12/02,2021/12/02,,,,近藤　剛史,,,,,,,,,3一宮保衛第7001-336号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ＣＡＦＥＢＡＲＴＲＥＭＯＲＯ11883223203,7353c145-1998-4f16-aa3d-b984d37dd047,,personal,5aabe098-7087-4a68-9e47-d1f4f929f838,2021/12/02,ＣＡＦＥ＆ＢＡＲ　ＴＲＥＭＯＲＯ,ＣＡＦＥＢＡＲＴＲＥＭＯＲＯ,
一宮市立第三中学校給食室,愛知県一宮市開明字村上５４　,愛知県一宮市開明字村上５４,,飲食店営業,栄屋食品株式会社,R 3.12.15,R 3.12.15,3一宮保衛第7001-346号,許可,,249,一宮市立第三中学校給食室,0586,,,,,愛知県一宮市開明字村上５４,愛知県一宮市開明字村上５４,,118924,23,23203,開明,,2021/12/15,2021/12/15,,,栄屋食品株式会社,,,,,,,,,,3一宮保衛第7001-346号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,一宮市立第三中学校給食室11892423203,33fe6248-46c9-43c6-8da7-0522f17af5f8,栄屋食品株式会社,aa4e57eb-5ed2-4395-bf5a-14c30bd82f76,cceb3bc6-c9dc-4dfb-9088-98eda1a34f39,2021/12/15,一宮市立第三中学校給食室,一宮市立第三中学校給食室,栄屋食品株式会社
ピザハット　一宮富士店,愛知県一宮市富士３丁目２－３１　デジコンビル１Ｆ,愛知県一宮市富士３丁目２－３１,デジコンビル１Ｆ,飲食店営業,日本ピザハット株式会社,R 3.12. 2,R 3.12. 2,3一宮保衛第7001-347号,許可,,249,ピザハット　一宮富士店,0586,,,,,愛知県一宮市富士３丁目２－３１,愛知県一宮市富士３丁目２－３１,デジコンビル１Ｆ,118809,23,23203,富士３,,2021/12/02,2021/12/02,,,日本ピザハット株式会社,,,,,,,,,,3一宮保衛第7001-347号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ピザハット一宮富士店11880923203,871b976a-854e-4bbf-aa5c-dfdae08ff59e,日本ピザハット株式会社,42d072f7-736d-48ef-8c7e-498c266c28be,327c50eb-b763-40a1-9794-42756d7b5dd4,2021/12/02,ピザハット　一宮富士店,ピザハット一宮富士店,日本ピザハット株式会社
長崎ちゃんぽん　圓家　木曽川店,愛知県一宮市木曽川町黒田一ノ通り５４－１　,愛知県一宮市木曽川町黒田一ノ通り５４－１,,飲食店営業,株式会社タスト,R 3.12.16,R 3.12.16,3一宮保衛第7001-351号,許可,,249,長崎ちゃんぽん　圓家　木曽川店,0586,,,,,愛知県一宮市木曽川町黒田一ノ通り５４－１,愛知県一宮市木曽川町黒田一ノ通り５４－１,,118933,23,23203,木曽川町黒田,,2021/12/16,2021/12/16,,,株式会社タスト,,,,,,,,,,3一宮保衛第7001-351号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,長崎ちゃんぽん圓家木曽川店11893323203,9703b0f0-ee15-4f14-9cfb-c6d5740db8c8,株式会社タスト,6c69f933-23d4-4e35-9e21-876c84f99591,d6a86697-3a54-45ba-8dff-e1b5ffd37857,2021/12/16,長崎ちゃんぽん　圓家　木曽川店,長崎ちゃんぽん圓家木曽川店,株式会社タスト
らーめん　つけ麺　二家風亭　麺楽,愛知県一宮市奥町字宮東２８－１　高木住居付貸店舗２－Ｃ,愛知県一宮市奥町字宮東２８－１,高木住居付貸店舗２－Ｃ,飲食店営業,日比野　泰宏,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-356号,許可,,249,らーめん　つけ麺　二家風亭　麺楽,0586,,,,,愛知県一宮市奥町字宮東２８－１,愛知県一宮市奥町字宮東２８－１,高木住居付貸店舗２－Ｃ,118596,23,23203,奥町,,2021/12/08,2021/12/08,,,,日比野　泰宏,,,,,,,,,3一宮保衛第7001-356号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,らめんつけ麺二家風亭麺楽11859623203,647678ad-e694-49ee-8669-d653ed51da3f,,personal,2baa74d1-1318-4794-8677-aca4531fa523,2021/12/08,らーめん　つけ麺　二家風亭　麺楽,らめんつけ麺二家風亭麺楽,
セブンーイレブン　一宮千秋町小山店,愛知県一宮市千秋町小山字東六反１５－１　,愛知県一宮市千秋町小山字東六反１５－１,,飲食店営業,棚橋　保仁,R 3.12.10,R 3.12.10,3一宮保衛第7001-357号,許可,,249,セブンーイレブン　一宮千秋町小山店,0586,,,,,愛知県一宮市千秋町小山字東六反１５－１,愛知県一宮市千秋町小山字東六反１５－１,,118724,23,23203,千秋町小山,,2021/12/10,2021/12/10,,,,棚橋　保仁,,,,,,,,,3一宮保衛第7001-357号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,セブンイレブン一宮千秋町小山店11872423203,c8db3f4b-2139-48c9-8a87-70ec9cbbe228,,personal,1e2692a2-ff47-4bca-a64e-31ad10333b6f,2021/12/10,セブンイレブン　一宮千秋町小山店,セブンイレブン一宮千秋町小山店,
ひし川,愛知県一宮市木曽川町黒田六ノ通り１５８－２　,愛知県一宮市木曽川町黒田六ノ通り１５８－２,,飲食店営業,菱川　勝久,R 3.12. 9,R 3.12. 9,3一宮保衛第7001-358号,許可,,249,ひし川,0586,,,,,愛知県一宮市木曽川町黒田六ノ通り１５８－２,愛知県一宮市木曽川町黒田六ノ通り１５８－２,,118933,23,23203,木曽川町黒田,,2021/12/09,2021/12/09,,,,菱川　勝久,,,,,,,,,3一宮保衛第7001-358号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ひし川11893323203,1bd598af-cab0-4e08-8323-f0752ebd6fb6,,personal,5ae001c7-7cbd-484f-bfcc-6163cc147510,2021/12/09,ひし川,ひし川,
お食事処　池前,愛知県一宮市丹陽町九日市場字六反農４４９－１　,愛知県一宮市丹陽町九日市場字六反農４４９－１,,飲食店営業,河合　武司,R 3.12. 6,R 3.12. 6,3一宮保衛第7001-359号,許可,,249,お食事処　池前,0586,,,,,愛知県一宮市丹陽町九日市場字六反農４４９－１,愛知県一宮市丹陽町九日市場字六反農４４９－１,,118711,23,23203,丹陽町九日市場,,2021/12/06,2021/12/06,,,,河合　武司,,,,,,,,,3一宮保衛第7001-359号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,お食事処池前11871123203,1c172c67-1999-4ff8-9951-f927701fa903,,personal,dc33728d-281f-41c7-b2cb-1d42f332a93a,2021/12/06,お食事処　池前,お食事処池前,
喫茶ドリーム,愛知県一宮市木曽川町里小牧字山方１－４　,愛知県一宮市木曽川町里小牧字山方１－４,,飲食店営業,水野　俊和,R 3.12. 9,R 3.12. 9,3一宮保衛第7001-361号,許可,,249,喫茶ドリーム,0586,,,,,愛知県一宮市木曽川町里小牧字山方１－４,愛知県一宮市木曽川町里小牧字山方１－４,,118934,23,23203,木曽川町里小牧,,2021/12/09,2021/12/09,,,,水野　俊和,,,,,,,,,3一宮保衛第7001-361号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,喫茶ドリム11893423203,520fe7aa-5169-42c5-b2ad-73517a210efd,,personal,900f0f7a-9856-4ce4-91ff-ba43dcfbfb2a,2021/12/09,喫茶ドリーム,喫茶ドリム,
食事処　よさこい,愛知県一宮市東島町１丁目３０－１　,愛知県一宮市東島町１丁目３０－１,,飲食店営業,泓　まゆみ,R 3.12.14,R 3.12.14,3一宮保衛第7001-362号,許可,,249,食事処　よさこい,0586,,,,,愛知県一宮市東島町１丁目３０－１,愛知県一宮市東島町１丁目３０－１,,118798,23,23203,東島町１,,2021/12/14,2021/12/14,,,,泓　まゆみ,,,,,,,,,3一宮保衛第7001-362号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,食事処よさこい11879823203,6f63b882-5b79-48c4-a7e4-e2b49f674f13,,personal,63b13e89-49fc-4936-8a7f-977306856bf9,2021/12/14,食事処　よさこい,食事処よさこい,
