https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,業態,施設名,施設-住所1,施設-マンション名,申請者1,申請-住所1,申請-マンション名,施設-電話番号1,申請-電話番号1,許可期間開始日,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業の種類,細業種,施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業者住所ビル名,施設電話番号,営業者電話番号,有効期間始期,有効期間終期,施行年月日,初回施行日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3瀬保第901-112号,飲食店営業,一般食堂・レストラン等,りえの焼そばチントンシャン～ぱんだ家～,瀬戸市朝日町２３,,古池 寿浩,,,,,2021/12/14,2027/12/31,2021/12/14,2021/12/14,,250,りえの焼そばチントンシャン～ぱんだ家～,0561,,,,,瀬戸市朝日町２３,愛知県瀬戸市朝日町２３,,118965,23,23204,朝日町,,2021/12/14,2021/12/14,2021/12/14,2027/12/31,,古池 寿浩,,,,,,,,,3瀬保第901-112号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,りえの焼そばチントンシャンぱんだ家11896523204,f2302f28-4a43-4389-affd-c0109dcf01cf,,personal,2df55d0d-6f82-416d-9437-719ad677f00b,2021/12/14,りえの焼そばチントンシャン～ぱんだ家～,りえの焼そばチントンシャンぱんだ家,
3瀬保第911-156号,飲食店営業,一般食堂・レストラン等,珈琲 松山,瀬戸市上松山町１－６０,,加藤 貴子,,,0561-83-4034,,2022/01/01,2027/12/31,2021/12/03,2021/12/03,,250,珈琲 松山,0561,0561-83-4034,,,,瀬戸市上松山町１－６０,愛知県瀬戸市上松山町１－６０,,119315,23,23204,上松山町１,,2021/12/03,2021/12/03,2022/01/01,2027/12/31,,加藤 貴子,,,,,,,,,3瀬保第911-156号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,珈琲松山0561-83-403411931523204,90d8765b-5519-49de-b01b-cef55f242be1,,personal,f51d9fe6-ed2a-4ce0-8902-788b33a495ce,2021/12/03,珈琲　松山,珈琲松山,
3瀬保第911-164号,飲食店営業,一般食堂・レストラン等,カスタードショップ ウオコー,瀬戸市五位塚町１１－５９,,伊藤 守,,,,,2022/01/01,2027/12/31,2021/12/09,2021/12/09,,250,カスタードショップ ウオコー,0561,,,,,瀬戸市五位塚町１１－５９,愛知県瀬戸市五位塚町１１－５９,,119042,23,23204,五位塚町,,2021/12/09,2021/12/09,2022/01/01,2027/12/31,,伊藤 守,,,,,,,,,3瀬保第911-164号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,カスタドショップウオコ11904223204,d5f1f4cc-400e-4fff-b7fe-2b01c557d0f4,,personal,2c4963fb-52b8-48de-bbf4-f2f47ea726dd,2021/12/09,カスタードショップ　ウオコー,カスタドショップウオコ,
3瀬保第914-17号,菓子製造業,一般,カスタードショップ ウオコー,瀬戸市五位塚町１１－５９,,伊藤 守,,,,,2022/01/01,2027/12/31,2021/12/09,2021/12/09,,250,カスタードショップ ウオコー,0561,,,,,瀬戸市五位塚町１１－５９,愛知県瀬戸市五位塚町１１－５９,,119042,23,23204,五位塚町,,2021/12/09,2021/12/09,2022/01/01,2027/12/31,,伊藤 守,,,,,,,,,3瀬保第914-17号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,カスタドショップウオコ11904223204,d5f1f4cc-400e-4fff-b7fe-2b01c557d0f4,,personal,a5c4adcb-65f2-4fcd-9800-9efcba52de83,2021/12/09,カスタードショップ　ウオコー,カスタドショップウオコ,
3瀬保第901-114号,飲食店営業,その他,ＴＵＮＡ館,瀬戸市陶本町１－３－３,,森 友宏,,,,,2021/12/15,2027/12/31,2021/12/15,2021/12/15,,250,ＴＵＮＡ館,0561,,,,,瀬戸市陶本町１－３－３,愛知県瀬戸市陶本町１－３－３,,119107,23,23204,陶本町１,,2021/12/15,2021/12/15,2021/12/15,2027/12/31,,森 友宏,,,,,,,,,3瀬保第901-114号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＴＵＮＡ館11910723204,2101bb00-865e-45aa-8589-f28e29e12bd2,,personal,4365297e-907e-4fb7-91b6-8176822f9976,2021/12/15,ＴＵＮＡ館,ＴＵＮＡ館,
3瀬保第911-162号,飲食店営業,一般食堂・レストラン等,定食屋 なすび,瀬戸市西追分町１６１－１,,鈴木 良彦,,,0561-83-2220,,2022/01/01,2027/12/31,2021/12/07,2021/12/07,,250,定食屋 なすび,0561,0561-83-2220,,,,瀬戸市西追分町１６１－１,愛知県瀬戸市西追分町１６１－１,,119128,23,23204,西追分町,,2021/12/07,2021/12/07,2022/01/01,2027/12/31,,鈴木 良彦,,,,,,,,,3瀬保第911-162号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,定食屋なすび0561-83-222011912823204,50333ecb-08f0-40a5-b4b4-115ebd5c901d,,personal,02d2c5e7-ec5a-458c-9719-42adb5738303,2021/12/07,定食屋　なすび,定食屋なすび,
3瀬保第911-154号,飲食店営業,一般食堂・レストラン等,喫茶 アカダマ,瀬戸市追分町３５,,福原 雅子,,,0561-82-2086,,2022/01/01,2027/12/31,2021/12/02,2021/12/02,,250,喫茶 アカダマ,0561,0561-82-2086,,,,瀬戸市追分町３５,愛知県瀬戸市追分町３５,,118981,23,23204,追分町,,2021/12/02,2021/12/02,2022/01/01,2027/12/31,,福原 雅子,,,,,,,,,3瀬保第911-154号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,喫茶アカダマ0561-82-208611898123204,d315c196-a038-4dfb-8ccb-43aaf6c3f507,,personal,101ea3e5-5372-4e91-8b73-898ffce9863e,2021/12/02,喫茶　アカダマ,喫茶アカダマ,
3瀬保第911-152号,飲食店営業,その他,Ｃａｆｆé ｄｅｌ Ｄｕｏｍｏ,瀬戸市追分町６４－１,,特定非営利活動法人よつ葉,愛知県尾張旭市狩宿町１－４４－１,,,0561-76-1231,2022/01/01,2027/12/31,2021/12/02,2021/12/02,,250,Ｃａｆｆé ｄｅｌ Ｄｕｏｍｏ,0561,,,,,瀬戸市追分町６４－１,愛知県瀬戸市追分町６４－１,,118981,23,23204,追分町,,2021/12/02,2021/12/02,2022/01/01,2027/12/31,特定非営利活動法人よつ葉,,0561-76-1231,愛知県尾張旭市狩宿町１－４４－１,愛知県尾張旭市狩宿町１－４４－１,,129595,愛知県,尾張旭市,狩宿町１,3瀬保第911-152号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＣａｆｆeｄｅｌＤｕｏｍｏ11898123204,2a27eb9f-43fa-4847-a41e-c3c3609d8694,特定非営利活動法人よつ葉129595,deaba729-d8cb-451c-804a-c88adb6cc641,d269f286-7f86-4227-a935-606b6787bb16,2021/12/02,Ｃａｆｆé　ｄｅｌ　Ｄｕｏｍｏ,ＣａｆｆeｄｅｌＤｕｏｍｏ,特定非営利活動法人よつ葉
3瀬保第901-117号,飲食店営業,一般食堂・レストラン等,オーデザミー,瀬戸市末広町２－３０,,小泉 則之,,,0561-82-4413,,2021/12/23,2027/12/31,2021/12/23,2021/12/23,,250,オーデザミー,0561,0561-82-4413,,,,瀬戸市末広町２－３０,愛知県瀬戸市末広町２－３０,,119075,23,23204,末広町２,,2021/12/23,2021/12/23,2021/12/23,2027/12/31,,小泉 則之,,,,,,,,,3瀬保第901-117号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,オデザミ0561-82-441311907523204,d226327a-654f-4599-b19e-1e49adc985a5,,personal,4e8be464-c74f-4542-b649-3cab79e157ad,2021/12/23,オーデザミー,オデザミ,
3瀬保第911-153号,飲食店営業,一般食堂・レストラン等,具志堅,瀬戸市陶生町６,,水野 良則,,,0561-83-4934,,2022/01/01,2027/12/31,2021/12/02,2021/12/02,,250,具志堅,0561,0561-83-4934,,,,瀬戸市陶生町６,愛知県瀬戸市陶生町６,,119106,23,23204,陶生町,,2021/12/02,2021/12/02,2022/01/01,2027/12/31,,水野 良則,,,,,,,,,3瀬保第911-153号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,具志堅0561-83-493411910623204,b6946e3f-b65c-4c43-b360-dbe9e0baa964,,personal,8cd31cc4-885b-429f-a93a-59fee8a4c82e,2021/12/02,具志堅,具志堅,
