https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,施設名,施設-住所1,施設-マンション名,申請者1,申請者2,申請者3,申請-住所1,申請-マンション名,施設-電話番号1,許可期間開始日,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業の種類,施設の名称,施設所在地,施設所在地ビル名,営業者氏名,代表者肩書き,代表者氏名,営業者住所,営業者住所ビル名,施設電話番号,有効期間始期,有効期間終期,許可年月日,初回許可日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3令豊保衛第101-413号,飲食店営業,ＡＨブレーキ食堂,豊田市西広瀬町小麦生６３５番地２３,ＡＨブレーキ株式会社内食堂,新三商事株式会社,代表取締役,杉浦　正泰,愛知県安城市藤井町東長先１番地,,,2021/12/24,2027/12/31,2021/12/24,2021/12/24,,248,ＡＨブレーキ食堂,0565,,,,,豊田市西広瀬町小麦生６３５番地２３,愛知県豊田市西広瀬町小麦生６３５番地２３,,123909,23,23211,西広瀬町,,2021/12/24,2021/12/24,2021/12/24,2027/12/31,新三商事株式会社,代表取締役 杉浦　正泰,,愛知県安城市藤井町東長先１番地,愛知県安城市藤井町東長先１番地,,124769,愛知県,安城市,藤井町,3令豊保衛第101-413号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ＡＨブレキ食堂12390923211,bfe1f486-8928-45b6-acec-a58a8d36f23a,新三商事株式会社124769,5fb909be-b1c0-4d86-b14c-fe11d6ade359,deef88a7-5752-4114-bf1b-ddf6cc2101c1,2021/12/24,ＡＨブレーキ食堂,ＡＨブレキ食堂,新三商事株式会社
3令豊保衛第129-8号,漬物製造業,橋爪漬物店,豊田市西中山町稲場１１０,,橋爪　勝代,,,,,76-4346,2021/12/24,2027/12/31,2021/12/24,2021/12/24,,248,橋爪漬物店,0565,0565-76-4346,,,,豊田市西中山町稲場１１０,愛知県豊田市西中山町稲場１１０,,124626,23,23211,西中山町,,2021/12/24,2021/12/24,2021/12/24,2027/12/31,,橋爪　勝代  ,,,,,,,,,3令豊保衛第129-8号,,漬物製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,橋爪漬物店0565-76-434612462623211,ff05c03f-91fd-4b18-a770-c0f11c287a57,,personal,8a12e0d8-249c-47f4-a121-3a1625152c08,2021/12/24,橋爪漬物店,橋爪漬物店,
3令豊保衛第101-452号,飲食店営業,食事処　ニコ天,豊田市武節町ソト田８０－３,,樋口　雄士　,,,,,82-2326,2021/12/24,2027/12/31,2021/12/24,2021/12/24,,248,食事処　ニコ天,0565,0565-82-2326,,,,豊田市武節町ソト田８０－３,愛知県豊田市武節町ソト田８０－３,,124655,23,23211,武節町,,2021/12/24,2021/12/24,2021/12/24,2027/12/31,,樋口　雄士　  ,,,,,,,,,3令豊保衛第101-452号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,食事処ニコ天0565-82-232612465523211,978d79ac-7f5e-4bc3-b419-a494cd238c34,,personal,a6bd23d4-6223-433d-bc16-753365f9b264,2021/12/24,食事処　ニコ天,食事処ニコ天,
3令豊保衛第101-461号,飲食店営業,ナイトカフェ　ＭＯＮＤＯ,豊田市若宮町２丁目２５番１,Ｚビル４階,ｎａｎａｉｒｏエンタープライズ株式会社,代表取締役,小澤　一仁,愛知県豊田市若宮町二丁目２５番１,,,2021/12/22,2027/12/31,2021/12/22,2021/12/22,,248,ナイトカフェ　ＭＯＮＤＯ,0565,,,,,豊田市若宮町２丁目２５番１,愛知県豊田市若宮町２丁目２５番１,,124409,23,23211,若宮町２,,2021/12/22,2021/12/22,2021/12/22,2027/12/31,ｎａｎａｉｒｏエンタープライズ株式会社,代表取締役 小澤　一仁,,愛知県豊田市若宮町二丁目２５番１,愛知県豊田市若宮町２丁目２５番１,,124409,愛知県,豊田市,若宮町２,3令豊保衛第101-461号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ナイトカフェＭＯＮＤＯ12440923211,9bcb6c40-7491-4b49-b74f-fd9cce49e4a7,ｎａｎａｉｒｏエンタープライズ株式会社124409,7661fb53-e35b-431a-a3f0-04374f929710,78327ba9-4d4c-4d5d-94cf-989d72e0e947,2021/12/22,ナイトカフェ　ＭＯＮＤＯ,ナイトカフェＭＯＮＤＯ,ｎａｎａｉｒｏエンタープライズ株式会社
3令豊保衛第101-458号,飲食店営業,台湾料理　味香,豊田市前山町５丁目２１－１,,吉沢　亮,,,,,24-5666,2021/12/22,2027/12/31,2021/12/22,2021/12/22,,248,台湾料理　味香,0565,0565-24-5666,,,,豊田市前山町５丁目２１－１,愛知県豊田市前山町５丁目２１－１,,124186,23,23211,前山町５,,2021/12/22,2021/12/22,2021/12/22,2027/12/31,,吉沢　亮  ,,,,,,,,,3令豊保衛第101-458号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,台湾料理味香0565-24-566612418623211,126c981d-729d-4612-9fea-e8afad6de0f5,,personal,9c82bea8-ab2d-4b34-8d98-7d351b3f6f41,2021/12/22,台湾料理　味香,台湾料理味香,
3令豊保衛第101-431号,飲食店営業,漁師丼丸　豊田宮上店,豊田市三軒町１丁目１１,丸兼ビル１０５,勝伊台日貿易株式会社,代表取締役,夏目　秀光,愛知県豊田市大林町十四丁目１０番地１８,ラシーヌ大林１０２号室,35-1030,2021/12/22,2026/12/31,2021/12/22,2021/12/22,,248,漁師丼丸　豊田宮上店,0565,0565-35-1030,,,,豊田市三軒町１丁目１１,愛知県豊田市三軒町１丁目１１,丸兼ビル１０５,123559,23,23211,三軒町１,,2021/12/22,2021/12/22,2021/12/22,2026/12/31,勝伊台日貿易株式会社,代表取締役 夏目　秀光,,愛知県豊田市大林町十四丁目１０番地１８,愛知県豊田市大林町１４丁目１０番地１８,ラシーヌ大林１０２号室,123185,愛知県,豊田市,大林町１４,3令豊保衛第101-431号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,漁師丼丸豊田宮上店0565-35-103012355923211,250d6037-c48e-454e-b560-1a3db48d37c6,勝伊台日貿易株式会社123185,e8eb7de2-7cb7-4872-992d-452cd886701d,f38e3be0-4f7b-4808-b71b-afc16acb8ac9,2021/12/22,漁師丼丸　豊田宮上店,漁師丼丸豊田宮上店,勝伊台日貿易株式会社
3令豊保衛第101-453号,飲食店営業,カレーハウスＣｏＣｏ壱番屋　豊田田中町店,豊田市田中町３－９２－８,,株式会社クレエル,代表取締役,長谷川　政紀,愛知県豊田市田中町三丁目９２番地８,,74-1265,2021/12/21,2027/12/31,2021/12/21,2021/12/21,,248,カレーハウスＣｏＣｏ壱番屋　豊田田中町店,0565,0565-74-1265,,,,豊田市田中町３－９２－８,愛知県豊田市田中町３－９２－８,,123759,23,23211,田中町３,,2021/12/21,2021/12/21,2021/12/21,2027/12/31,株式会社クレエル,代表取締役 長谷川　政紀,,愛知県豊田市田中町三丁目９２番地８,愛知県豊田市田中町３丁目９２番地８,,123759,愛知県,豊田市,田中町３,3令豊保衛第101-453号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,カレハウスＣｏＣｏ壱番屋豊田田中町店0565-74-126512375923211,6c453823-c677-440e-9b83-186e82f754b1,株式会社クレエル123759,8b54c500-4591-457f-a087-6b6fc526b508,129778b5-b524-435b-8d1d-262544b480c3,2021/12/21,カレーハウスＣｏＣｏ壱番屋　豊田田中町店,カレハウスＣｏＣｏ壱番屋豊田田中町店,株式会社クレエル
3令豊保衛第101-449号,飲食店営業,うまいもん　珠玉や,豊田市豊栄町１丁目８８番地,プラザホテル豊田　３Ｆ,プラザ観光株式会社,代表取締役,松山　純大,愛知県豊田市豊栄町１丁目８８番地,,,2021/12/20,2027/12/31,2021/12/20,2021/12/20,,248,うまいもん　珠玉や,0565,,,,,豊田市豊栄町１丁目８８番地,愛知県豊田市豊栄町１丁目８８番地,,124124,23,23211,豊栄町１,,2021/12/20,2021/12/20,2021/12/20,2027/12/31,プラザ観光株式会社,代表取締役 松山　純大,,愛知県豊田市豊栄町１丁目８８番地,愛知県豊田市豊栄町１丁目８８番地,,124124,愛知県,豊田市,豊栄町１,3令豊保衛第101-449号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,うまいもん珠玉や12412423211,0436529f-2198-4876-9efa-d469fa97d48e,プラザ観光株式会社124124,5f4caa4c-e499-49a6-97ae-f15d010be9f6,ff805147-d339-4934-9cad-c32b0386d5fc,2021/12/20,うまいもん　珠玉や,うまいもん珠玉や,プラザ観光株式会社
3令豊保衛第101-450号,飲食店営業,げんき食堂　ＷＡＫＵ家,豊田市豊栄町１丁目８８番地,プラザホテル豊田　１、４Ｆ,プラザ観光株式会社,代表取締役,松山　純大,愛知県豊田市豊栄町１丁目８８番地,,29-1811,2021/12/20,2027/12/31,2021/12/20,2021/12/20,,248,げんき食堂　ＷＡＫＵ家,0565,0565-29-1811,,,,豊田市豊栄町１丁目８８番地,愛知県豊田市豊栄町１丁目８８番地,,124124,23,23211,豊栄町１,,2021/12/20,2021/12/20,2021/12/20,2027/12/31,プラザ観光株式会社,代表取締役 松山　純大,,愛知県豊田市豊栄町１丁目８８番地,愛知県豊田市豊栄町１丁目８８番地,,124124,愛知県,豊田市,豊栄町１,3令豊保衛第101-450号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,げんき食堂ＷＡＫＵ家0565-29-181112412423211,3a9d8734-1822-479b-893d-db49bb12a0ed,プラザ観光株式会社124124,5f4caa4c-e499-49a6-97ae-f15d010be9f6,8065673f-69a3-404e-9a61-0670d2917cdb,2021/12/20,げんき食堂　ＷＡＫＵ家,げんき食堂ＷＡＫＵ家,プラザ観光株式会社
3令豊保衛第101-448号,飲食店営業,ＤＵ ＰＡＳＴＥＬ ＪＡＰＡＮ,豊田市畝部東町馬場西１７番１,,ＮＡＣＣＡＲＡＴＯ ＮＡＫＡＭＡＴＳＵ　ＩＲＥＮＥ,,,,,,2021/12/17,2027/12/31,2021/12/17,2021/12/17,,248,ＤＵ ＰＡＳＴＥＬ ＪＡＰＡＮ,0565,,,,,豊田市畝部東町馬場西１７番１,愛知県豊田市畝部東町馬場西１７番１,,123080,23,23211,畝部東町馬場西,,2021/12/17,2021/12/17,2021/12/17,2027/12/31,,ＮＡＣＣＡＲＡＴＯ ＮＡＫＡＭＡＴＳＵ　ＩＲＥＮＥ  ,,,,,,,,,3令豊保衛第101-448号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ＤＵＰＡＳＴＥＬＪＡＰＡＮ12308023211,72066fd5-12e6-4d10-a858-6738f635b265,,personal,254a1de3-743d-437e-bf3a-02156c910ae4,2021/12/17,ＤＵ　ＰＡＳＴＥＬ　ＪＡＰＡＮ,ＤＵＰＡＳＴＥＬＪＡＰＡＮ,
