https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,n処理終了,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可,菓子製造業,ATELIER RUKION,雨竜郡雨竜町字満寿28番地147,雨竜郡雨竜町字満寿２８番地１４７,,  ,川越百加,,  , ,, ,2021.12.28,2021.12.28,2-180,,滝川保健所,ATELIER RUKION,0125,,,,,雨竜郡雨竜町字満寿２８番地１４７,北海道雨竜郡雨竜町字満寿２８番地１４７,,18876,北海道,雨竜郡雨竜町,満寿,,2021/12/28,2021/12/28,,,,川越百加 ,, ,,,,,,,2-180,,菓子製造業,,許可,,008-030_北海道_保健所_食品衛生()_2021年12月_末日,製造業,食料品製造業,,,,,,,,,ＡＴＥＬＩＥＲ　ＲＵＫＩＯＮ,ＡＴＥＬＩＥＲＲＵＫＩＯＮ,
許可,みそ又はしょうゆ製造業,ATELIER RUKION,雨竜郡雨竜町字満寿28番地147,雨竜郡雨竜町字満寿２８番地１４７,,  ,川越百加,,  , ,, ,2021.12.28,2021.12.28,2-180,,滝川保健所,ATELIER RUKION,0125,,,,,雨竜郡雨竜町字満寿２８番地１４７,北海道雨竜郡雨竜町字満寿２８番地１４７,,18876,北海道,雨竜郡雨竜町,満寿,,2021/12/28,2021/12/28,,,,川越百加 ,, ,,,,,,,2-180,,みそ製造業,,許可,,008-030_北海道_保健所_食品衛生()_2021年12月_末日,製造業,食料品製造業,,,,,,,,,ＡＴＥＬＩＥＲ　ＲＵＫＩＯＮ,ＡＴＥＬＩＥＲＲＵＫＩＯＮ,
許可,飲食店,lantern,空知郡奈井江町字奈井江町69－2,空知郡奈井江町字奈井江町６９－２,,  ,石岡隆一,,  , ,, ,2021.12.24,2021.12.24,2-179,,滝川保健所,lantern,0126,,,,,空知郡奈井江町字奈井江町６９－２,北海道空知郡奈井江町字奈井江町６９－２,,701197,北海道,空知郡奈井江町,奈井江,,2021/12/24,2021/12/24,,,,石岡隆一 ,, ,,,,,,,2-179,,飲食店営業,,許可,,008-030_北海道_保健所_食品衛生()_2021年12月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｌａｎｔｅｒｎ,ｌａｎｔｅｒｎ,
許可,飲食店,美緑の宿グリーンパークしんとつかわ（レストラン）,樺戸郡新十津川町字総進189番地1,樺戸郡新十津川町字総進１８９番地１,,0125-76-4000,株式会社グリーンパークしんとつかわ,西川雅浩,樺戸郡新十津川町字総進189番地1 ,樺戸郡新十津川町字総進１８９番地１,,0125-76-4000,2021.12.20,2021.12.20,2-176,,滝川保健所,美緑の宿グリーンパークしんとつかわ（レストラン）,0125,0125-76-4000,,,,樺戸郡新十津川町字総進１８９番地１,北海道樺戸郡新十津川町字総進１８９番地１,,18856,北海道,樺戸郡新十津川町,総進,,2021/12/20,2021/12/20,,,株式会社グリーンパークしんとつかわ,西川雅浩,0125-76-4000,樺戸郡新十津川町字総進１８９番地１,北海道樺戸郡新十津川町字総進１８９番地１,,18856,北海道,樺戸郡新十津川町,総進,2-176,,飲食店営業,,許可,,008-030_北海道_保健所_食品衛生()_2021年12月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,美緑の宿グリーンパークしんとつかわ（レストラン）,美緑の宿グリンパクしんとつかわレストラン,株式会社グリーンパークしんとつかわ
許可,飲食店,美緑の宿グリーンパークしんとつかわ（パントリー）,樺戸郡新十津川町字総進189番地1,樺戸郡新十津川町字総進１８９番地１,,0125-76-4000,株式会社グリーンパークしんとつかわ,西川雅浩,樺戸郡新十津川町字総進189番地1 ,樺戸郡新十津川町字総進１８９番地１,,0125-76-4000,2021.12.20,2021.12.20,2-177,,滝川保健所,美緑の宿グリーンパークしんとつかわ（パントリー）,0125,0125-76-4000,,,,樺戸郡新十津川町字総進１８９番地１,北海道樺戸郡新十津川町字総進１８９番地１,,18856,北海道,樺戸郡新十津川町,総進,,2021/12/20,2021/12/20,,,株式会社グリーンパークしんとつかわ,西川雅浩,0125-76-4000,樺戸郡新十津川町字総進１８９番地１,北海道樺戸郡新十津川町字総進１８９番地１,,18856,北海道,樺戸郡新十津川町,総進,2-177,,飲食店営業,,許可,,008-030_北海道_保健所_食品衛生()_2021年12月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,美緑の宿グリーンパークしんとつかわ（パントリー）,美緑の宿グリンパクしんとつかわパントリ,株式会社グリーンパークしんとつかわ
許可,飲食店,FOODTRUCK天肉,滝川市栄町2丁目2番20号,滝川市栄町２丁目２番２０号,,0125-74-5711,株式会社天肉,長谷川　新,滝川市栄町2丁目2番20号 ,滝川市栄町２丁目２番２０号, ,0125-74-5711,2021.12.20,2021.12.20,2-178,,滝川保健所,FOODTRUCK天肉,0125,0125-74-5711,,,,滝川市栄町２丁目２番２０号,北海道滝川市栄町２丁目２番２０号,,15407,北海道,滝川市,栄町２,,2021/12/20,2021/12/20,,,株式会社天肉,長谷川　新,0125-74-5711,滝川市栄町２丁目２番２０号,北海道滝川市栄町２丁目２番２０号, ,15407,北海道,滝川市,栄町２,2-178,,飲食店営業,,許可,,008-030_北海道_保健所_食品衛生()_2021年12月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＦＯＯＤＴＲＵＣＫ天肉,ＦＯＯＤＴＲＵＣＫ天肉,株式会社天肉
許可,飲食店,ごっこや,砂川市西2条北2丁目2番25号,砂川市西２条北２丁目２番２５号,,0125-54-2994,横山知之,,  , ,, ,2021.12.16,2021.12.16,2-175,,滝川保健所,ごっこや,0125,0125-54-2994,,,,砂川市西２条北２丁目２番２５号,北海道砂川市西二条北２丁目２番２５号,,15560,北海道,砂川市,西二条北２,,2021/12/16,2021/12/16,,,,横山知之 ,, ,,,,,,,2-175,,飲食店営業,,許可,,008-030_北海道_保健所_食品衛生()_2021年12月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ごっこや,ごっこや,
許可,飲食店,空知セレモニーホール,砂川市東1条北21丁目1-1,砂川市東１条北２１丁目１－１,,0125-53-1234,有限会社あんしん,白尾弘昭,滝川市大町4丁目7番21号 ,滝川市大町４丁目７番２１号, , ,2021.12.13,2021.12.13,2-173,,滝川保健所,空知セレモニーホール,0125,0125-53-1234,,,,砂川市東１条北２１丁目１－１,北海道砂川市東一条北２１丁目１－１,,15736,北海道,砂川市,東一条北２１,,2021/12/13,2021/12/13,,,有限会社あんしん,白尾弘昭,,滝川市大町４丁目７番２１号,北海道滝川市大町４丁目７番２１号, ,15387,北海道,滝川市,大町４,2-173,,飲食店営業,,許可,,008-030_北海道_保健所_食品衛生()_2021年12月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,空知セレモニーホール,空知セレモニホル,有限会社あんしん
許可,飲食店,東家そば店,砂川市東1条北2丁目1番24号,砂川市東１条北２丁目１番２４号,,  ,徳倉大介,,  , ,, ,2021.12.13,2021.12.13,2-168,,滝川保健所,東家そば店,0125,,,,,砂川市東１条北２丁目１番２４号,北海道砂川市東一条北２丁目１番２４号,,15717,北海道,砂川市,東一条北２,,2021/12/13,2021/12/13,,,,徳倉大介 ,, ,,,,,,,2-168,,飲食店営業,,許可,,008-030_北海道_保健所_食品衛生()_2021年12月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,東家そば店,東家そば店,
