https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,施設-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可,飲食店営業,ﾊﾟﾌﾞ&ｽﾅｯｸ涼,石狩市花川南1条4丁目262柳ﾋﾞﾙ2F,石狩市花川南１条４丁目２６２柳ﾋﾞﾙ２F,,  ,木村宏之,,,,,,2021/12/28,2021/12/28,464-54,,5,ﾊﾟﾌﾞ&ｽﾅｯｸ涼,0133,,,,,石狩市花川南１条４丁目２６２柳ﾋﾞﾙ２F,北海道石狩市花川南一条４丁目２６２柳ﾋﾞﾙ２F,,16878,1,1235,花川,,2021/12/28,2021/12/28,2021/12/28,,,木村宏之 ,,,,,,,,,464-54,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,パブスナック涼168781235,0106050c-ac2b-474a-8daa-37a375588626,,personal,af467f67-add9-4c88-9282-c5303b903094,2021/12/28,パブ＆スナック涼,パブスナック涼,
許可,飲食店営業,BarStReet,江別市野幌町57-17,江別市野幌町５７－１７,,  ,小山覚也,,,,,,2021/12/27,2021/12/27,464-53,,5,BarStReet,011,,,,,江別市野幌町５７－１７,北海道江別市野幌町５７－１７,,13490,1,1217,野幌町,,2021/12/27,2021/12/27,2021/12/27,,,小山覚也 ,,,,,,,,,464-53,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ＢａｒＳｔＲｅｅｔ134901217,d9441085-aca7-4a7c-975c-e34341fb9086,,personal,6de88f47-443a-44e7-b6a7-ac827bcec9a3,2021/12/27,ＢａｒＳｔＲｅｅｔ,ＢａｒＳｔＲｅｅｔ,
許可,飲食店営業,産直生鮮市場江別店(総菜作業室),江別市野幌代々木町77-2,江別市野幌代々木町７７－２,,011-385-8971,株式会社産直,湯浅徳昭,札幌市厚別区厚別西5条2丁目7-18,札幌市厚別区厚別西５条２丁目７－１８,,011-895-5013,2021/12/20,2021/12/20,464-51,,5,産直生鮮市場江別店(総菜作業室),011,011-385-8971,,,,江別市野幌代々木町７７－２,北海道江別市野幌代々木町７７－２,,13547,1,1217,野幌代々木町,,2021/12/20,2021/12/20,2021/12/20,,株式会社産直,湯浅徳昭,011-895-5013,札幌市厚別区厚別西５条２丁目７－１８,北海道札幌市厚別区厚別西五条２丁目７－１８,,5317,北海道,札幌市厚別区,厚別西,464-51,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,産直生鮮市場江別店総菜作業室011-385-8971135471217,f5ebb9aa-edda-4fcf-94a4-c83e2a2782c8,株式会社産直5317,9422ea24-1bb9-4836-9528-6b0b61651268,6fadd8b1-a08d-4f7b-9651-626695f8a13d,2021/12/20,産直生鮮市場江別店（総菜作業室）,産直生鮮市場江別店総菜作業室,株式会社産直
許可,飲食店営業,ｺﾞｰﾙﾃﾞﾝﾁｷﾝ江別野幌本店,江別市野幌松並町10-23,江別市野幌松並町１０－２３,,011-375-0533,KRH株式会社,熊沢賢一,札幌市中央区宮の森1条11丁目2-11,札幌市中央区宮の森１条１１丁目２－１１,,011-644-7422,2021/12/20,2021/12/20,464-52,,5,ｺﾞｰﾙﾃﾞﾝﾁｷﾝ江別野幌本店,011,011-375-0533,,,,江別市野幌松並町１０－２３,北海道江別市野幌松並町１０－２３,,13550,1,1217,野幌松並町,,2021/12/20,2021/12/20,2021/12/20,,KRH株式会社,熊沢賢一,011-644-7422,札幌市中央区宮の森１条１１丁目２－１１,北海道札幌市中央区宮ノ森一条１１丁目２－１１,,0994,北海道,札幌市中央区,宮の森一条１１,464-52,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ゴルデンチキン江別野幌本店011-375-0533135501217,b06cf12b-02a0-4b73-936e-1ff1010562fd,ＫＲＨ株式会社994,a295fe3e-4f24-4441-b89a-9d91d8df5beb,53830e92-1998-4495-830b-3ec0f8bc3abc,2021/12/20,ゴールデンチキン江別野幌本店,ゴルデンチキン江別野幌本店,ＫＲＨ株式会社
許可,飲食店営業,ﾊﾚﾙﾔ農産,石狩郡当別町字弁華別73-1,石狩郡当別町字弁華別７３－１,,  ,松田進,,,,,,2021/12/20,2021/12/20,464-51,,5,ﾊﾚﾙﾔ農産,0133,,,,,石狩郡当別町字弁華別７３－１,北海道石狩郡当別町弁華別７３－１,,701181,1,1303,弁華別,,2021/12/20,2021/12/20,2021/12/20,,,松田進 ,,,,,,,,,464-51,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ハレルヤ農産7011811303,6c2c6583-0832-4ec2-a142-0f60a9fbad9b,,personal,4c9d2315-352b-425e-9493-5687deceea8c,2021/12/20,ハレルヤ農産,ハレルヤ農産,
許可,菓子製造業,江別市都市と農村の交流ｾﾝﾀｰえみくる,江別市美原1445,江別市美原１４４５,,011-384-0285,田中彰人,,,,,,2021/12/20,2021/12/20,464-52,,5,江別市都市と農村の交流ｾﾝﾀｰえみくる,011,011-384-0285,,,,江別市美原１４４５,北海道江別市美原１４４５,,13503,1,1217,美原,,2021/12/20,2021/12/20,2021/12/20,,,田中彰人 ,,,,,,,,,464-52,,菓子製造業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,E,9,,,江別市都市と農村の交流センタえみくる011-384-0285135031217,2204d930-ecc7-4368-a156-646e9dfbffe3,,personal,d481792a-348c-48fe-a789-2486830ae67c,2021/12/20,江別市都市と農村の交流センターえみくる,江別市都市と農村の交流センタえみくる,
許可,飲食店営業,Le Calme,江別市新栄台45-12 ｼﾃｨﾊｲﾑ新栄台101,江別市新栄台４５－１２,ｼﾃｨﾊｲﾑ新栄台１０１,011-385-7799,保坂みゆき,,,,,,2021/12/17,2021/12/17,464-50,,5,Le Calme,011,011-385-7799,,,,江別市新栄台４５－１２,北海道江別市新栄台４５－１２,ｼﾃｨﾊｲﾑ新栄台１０１,13583,1,1217,新栄台,,2021/12/17,2021/12/17,2021/12/17,,,保坂みゆき ,,,,,,,,,464-50,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ＬｅＣａｌｍｅ011-385-7799135831217,de9ea9a7-be52-4f72-9a53-b354a0e07ca4,,personal,68995877-a091-4477-ab41-6c7227d5265c,2021/12/17,Ｌｅ　Ｃａｌｍｅ,ＬｅＣａｌｍｅ,
許可,飲食店営業,呑み喰い処太美飯場屋,石狩郡当別町太美町1495-10,石狩郡当別町太美町１４９５－１０,,0133-26-3080,髙橋正信,,,,,,2021/12/17,2021/12/17,27-59,,5,呑み喰い処太美飯場屋,0133,0133-26-3080,,,,石狩郡当別町太美町１４９５－１０,北海道石狩郡当別町太美町１４９５－１０,,17181,1,1303,太美町,,2021/12/17,2021/12/17,2021/12/17,,,髙橋正信 ,,,,,,,,,27-59,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,呑み喰い処太美飯場屋0133-26-3080171811303,6fe495cd-766a-45b4-ba0d-f246861e8e51,,personal,b651b204-1bd2-4acb-8210-d352de633581,2021/12/17,呑み喰い処太美飯場屋,呑み喰い処太美飯場屋,
許可,飲食店営業,焼肉なんこう園当別店,石狩郡当別町弥生52-28 佐々木商事ﾋﾞﾙ1F,石狩郡当別町弥生５２－２８,佐々木商事ﾋﾞﾙ１F,0133-22-1129,小川美節,,,,,,2021/12/17,2021/12/17,464-50,,5,焼肉なんこう園当別店,0133,0133-22-1129,,,,石狩郡当別町弥生５２－２８,北海道石狩郡当別町弥生５２－２８,佐々木商事ﾋﾞﾙ１F,17194,1,1303,弥生,,2021/12/17,2021/12/17,2021/12/17,,,小川美節 ,,,,,,,,,464-50,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,焼肉なんこう園当別店0133-22-1129171941303,144181c8-2e98-4b62-b357-a4039d972587,,personal,00eed88c-bd0f-45e3-9a8c-673468d93693,2021/12/17,焼肉なんこう園当別店,焼肉なんこう園当別店,
