https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所1,,,施設-電話番号1,申請者1,申請者2,申請-住所1,,,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,業種,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可年月日,許可（届出）年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可,飲食店営業,麺や麗,千歳市高台4丁目2-10,,,0123-27-3757,阿部　慎吾,,,,,,2021.12.27,2021.12.27,217-299,,6,麺や麗,0123,0123-27-3757,,,,千歳市高台4丁目2-10,北海道千歳市高台４丁目２－１０,,15223,1,1224,高台４,,2021/12/27,2021/12/27,,,,阿部　慎吾 ,,,,,,,,,217-299,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,麺や麗0123-27-3757152231224,ed79a3e0-7c85-4d52-b109-8299f5fd38c0,,personal,c165c0d5-0960-4824-8184-854a4a280484,2021/12/27,麺や麗,麺や麗,
許可,飲食店営業,リピエーニ,千歳市柏陽1丁目3-4,,,,輪嶋　正夫,,,,,,2021.12.23,2021.12.23,217-296,,6,リピエーニ,0123,,,,,千歳市柏陽1丁目3-4,北海道千歳市柏陽１丁目３－４,,15280,1,1224,柏陽１,,2021/12/23,2021/12/23,,,,輪嶋　正夫 ,,,,,,,,,217-296,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,リピエニ152801224,d162b320-5d14-48ce-8019-17508bea6047,,personal,9c5a1aa8-8178-4a99-be66-1279995cd7bc,2021/12/23,リピエーニ,リピエニ,
許可,菓子製造業,THE　DAY,北広島市共栄町1丁目1-18,,,,安井　実穂,,,,,,2021.12.23,2021.12.23,217-297,,6,THE　DAY,011,,,,,北広島市共栄町1丁目1-18,北海道北広島市共栄町１丁目１－１８,,16700,1,1234,共栄町１,,2021/12/23,2021/12/23,,,,安井　実穂 ,,,,,,,,,217-297,,菓子製造業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,E,9,,,ＴＨＥＤＡＹ167001234,907dc6b3-15c6-4196-aea6-f134b9f93815,,personal,6150d30f-ecbe-4e38-b051-a918b5b4b755,2021/12/23,ＴＨＥ　ＤＡＹ,ＴＨＥＤＡＹ,
許可,飲食店営業,刺身と日本酒の店しま,北広島市北進町1丁目2-4,,,,嶋田　篤史,,,,,,2021.12.23,2021.12.23,217-298,,6,刺身と日本酒の店しま,011,,,,,北広島市北進町1丁目2-4,北海道北広島市北進町１丁目２－４,,16764,1,1234,北進町１,,2021/12/23,2021/12/23,,,,嶋田　篤史 ,,,,,,,,,217-298,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,刺身と日本酒の店しま167641234,12af9e9c-0294-4eb0-a7c5-e97438a11f66,,personal,b7d304a8-f84d-4641-8ec5-c19b8883a09d,2021/12/23,刺身と日本酒の店しま,刺身と日本酒の店しま,
許可,飲食店営業,スターバックスコーヒーはなふる恵庭店,恵庭市南島松817-4,,,0123-36-0081,スターバックスコーヒージャパン株式会社,水口　貴文,東京都品川区上大崎2丁目25-2,,,03-5745-5799,2021.12.22,2021.12.22,217-291,,6,スターバックスコーヒーはなふる恵庭店,0123,0123-36-0081,,,,恵庭市南島松817-4,北海道恵庭市南島松８１７－４,,16476,1,1231,南島松,,2021/12/22,2021/12/22,,,スターバックスコーヒージャパン株式会社,水口　貴文,03-5745-5799,東京都品川区上大崎2丁目25-2,東京都品川区上大崎２丁目２５－２,,73782,東京都,品川区,上大崎２,217-291,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,スタバックスコヒはなふる恵庭店0123-36-0081164761231,688651f1-cd7b-4893-8ccb-48afe81bbe79,スターバックスコーヒージャパン株式会社73782,1a0aab2e-e859-49c0-8d9d-9dca1dab9699,3a6dfafb-64bd-4a22-a8e8-c3a51e576c96,2021/12/22,スターバックスコーヒーはなふる恵庭店,スタバックスコヒはなふる恵庭店,スターバックスコーヒージャパン株式会社
許可,飲食店営業,ラ・ステラ,恵庭市栄恵町53番地,,,,寺田　和弘,,,,,,2021.12.22,2021.12.22,217-292,,6,ラ・ステラ,0123,,,,,恵庭市栄恵町53番地,北海道恵庭市栄恵町５３番地,,16429,1,1231,栄恵町,,2021/12/22,2021/12/22,,,,寺田　和弘 ,,,,,,,,,217-292,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,ラステラ164291231,b51b430b-1d2b-4a96-abd5-363bae747b1a,,personal,b1d37a59-152f-464e-be49-5d848d47986a,2021/12/22,ラ・ステラ,ラステラ,
許可,魚介類販売業,恵千フーズ(マルマサ),千歳市上長都958,,,0123-40-1010,株式会社恵千フーズ,石川　雅人,千歳市上長都958,,,0123-40-1010,2021.12.22,2021.12.22,217-295,,6,恵千フーズ(マルマサ),0123,0123-40-1010,,,,千歳市上長都958,北海道千歳市上長都９５８,,15088,1,1224,上長都,,2021/12/22,2021/12/22,,,株式会社恵千フーズ,石川　雅人,0123-40-1010,千歳市上長都958,北海道千歳市上長都９５８,,15088,北海道,千歳市,上長都,217-295,,魚介類販売業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,I,58,,,恵千フズマルマサ0123-40-1010150881224,900ec6b9-4858-4480-a52e-fa8fbac7e38f,株式会社恵千フーズ15088,591fecb3-cef9-408a-a111-8c9198cf5d17,0109dec8-d215-4725-b0b5-8eafe88088ed,2021/12/22,恵千フーズ（マルマサ）,恵千フズマルマサ,株式会社恵千フーズ
許可,飲食店営業,燻匠煙焚,千歳市清水町2丁目22-3,,,,岩崎　英樹,,,,,,2021.12.22,2021.12.22,217-288,,6,燻匠煙焚,0123,,,,,千歳市清水町2丁目22-3,北海道千歳市清水町２丁目２２－３,,15117,1,1224,清水町２,,2021/12/22,2021/12/22,,,,岩崎　英樹 ,,,,,,,,,217-288,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,燻匠煙焚151171224,e4bc1c32-0168-4d66-957e-3caa7669c1f1,,personal,12ed861d-ef8e-471b-a9de-88bf79efc73c,2021/12/22,燻匠煙焚,燻匠煙焚,
許可,飲食店営業,宍戸ホルモン,千歳市清水町2丁目11-2,,,,宍戸　修,,,,,,2021.12.22,2021.12.22,217-289,,6,宍戸ホルモン,0123,,,,,千歳市清水町2丁目11-2,北海道千歳市清水町２丁目１１－２,,15117,1,1224,清水町２,,2021/12/22,2021/12/22,,,,宍戸　修 ,,,,,,,,,217-289,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,宍戸ホルモン151171224,741f9271-a45b-47f1-a819-77499e705355,,personal,34f1412c-2bc6-4d07-8ed3-442ba606abb3,2021/12/22,宍戸ホルモン,宍戸ホルモン,
許可,飲食店営業,ビストロマンジェ,千歳市幸町5丁目14-5,,,0123-42-5353,柿木　近司,,,,,,2021.12.22,2021.12.22,217-290,,6,ビストロマンジェ,0123,0123-42-5353,,,,千歳市幸町5丁目14-5,北海道千歳市幸町５丁目１４－５,,15097,1,1224,幸町５,,2021/12/22,2021/12/22,,,,柿木　近司 ,,,,,,,,,217-290,,飲食店営業,,許可,,006_北海道_千歳保健所_食品衛生()_2021年12月_末日,M,76,,,ビストロマンジェ0123-42-5353150971224,6a54c8ea-ac29-407d-b51e-04a3ab5af0bb,,personal,51c342fd-d072-44ba-9871-e793bdc528ba,2021/12/22,ビストロマンジェ,ビストロマンジェ,
