https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可,飲食店営業,ｊｅｌａｔｏ＆ｃｒｅｐｅ　ｐａｒｋ　ＮＯＫＯ,苫小牧市木場町1丁目6-1MEGAﾄﾞﾝｷﾎｰﾃ1F,苫小牧市木場町１丁目６－１,MEGAﾄﾞﾝｷﾎｰﾃ１F,,合同会社道南プランニング,長尾健次,苫小牧市泉町1丁目13番11号106,苫小牧市泉町１丁目１３番１１号,１０６,0144-36-7607,2021.12.27,2021.12.27,1-510,,18,ｊｅｌａｔｏ＆ｃｒｅｐｅ　ｐａｒｋ　ＮＯＫＯ,0144,,,,,苫小牧市木場町１丁目６－１,北海道苫小牧市木場町１丁目６－１,MEGAﾄﾞﾝｷﾎｰﾃ１F,12715,1,1213,木場町１,,2021/12/27,2021/12/27,,,合同会社道南プランニング,長尾健次,0144-36-7607,苫小牧市泉町１丁目１３番１１号,北海道苫小牧市泉町１丁目１３番１１号,１０６,12684,北海道,苫小牧市,泉町１,1-510,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ｊｅｌａｔｏｃｒｅｐｅｐａｒｋＮＯＫＯ127151213,7dd9a764-a387-4b06-99e1-6d38b7e1299b,合同会社道南プランニング12684,56850a20-200e-4c6e-9bf6-8d26d20f111d,324d8dd2-4751-470c-8e49-ff74ae0da6e6,2021/12/27,ｊｅｌａｔｏ＆ｃｒｅｐｅ　ｐａｒｋ　ＮＯＫＯ,ｊｅｌａｔｏｃｒｅｐｅｐａｒｋＮＯＫＯ,合同会社道南プランニング
許可,菓子製造業,ｊｅｌａｔｏ＆ｃｒｅｐｅ　ｐａｒｋ　ＮＯＫＯ,苫小牧市木場町1丁目6-1MEGAﾄﾞﾝｷﾎｰﾃ1F,苫小牧市木場町１丁目６－１,MEGAﾄﾞﾝｷﾎｰﾃ１F,,合同会社道南プランニング,長尾健次,苫小牧市泉町1丁目13番11号106,苫小牧市泉町１丁目１３番１１号,１０６,0144-36-7607,2021.12.27,2021.12.27,1-510,,18,ｊｅｌａｔｏ＆ｃｒｅｐｅ　ｐａｒｋ　ＮＯＫＯ,0144,,,,,苫小牧市木場町１丁目６－１,北海道苫小牧市木場町１丁目６－１,MEGAﾄﾞﾝｷﾎｰﾃ１F,12715,1,1213,木場町１,,2021/12/27,2021/12/27,,,合同会社道南プランニング,長尾健次,0144-36-7607,苫小牧市泉町１丁目１３番１１号,北海道苫小牧市泉町１丁目１３番１１号,１０６,12684,北海道,苫小牧市,泉町１,1-510,,菓子製造業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,E,9,,,ｊｅｌａｔｏｃｒｅｐｅｐａｒｋＮＯＫＯ127151213,7dd9a764-a387-4b06-99e1-6d38b7e1299b,合同会社道南プランニング12684,56850a20-200e-4c6e-9bf6-8d26d20f111d,5426e39a-f820-45d5-a8c3-7ed1226c17aa,2021/12/27,ｊｅｌａｔｏ＆ｃｒｅｐｅ　ｐａｒｋ　ＮＯＫＯ,ｊｅｌａｔｏｃｒｅｐｅｐａｒｋＮＯＫＯ,合同会社道南プランニング
許可,飲食店営業,株式会社東洋食品　苫小牧第２センター営業所,苫小牧市美原町3丁目9番10号,苫小牧市美原町３丁目９番１０号,,0144-82-7613,株式会社東洋食品,荻久保英男,東京都台東区東上野一丁目14番4号,東京都台東区東上野１丁目１４番４号,,03-3836-1291,2021.12.27,2021.12.27,1-509,,18,株式会社東洋食品　苫小牧第２センター営業所,0144,0144-82-7613,,,,苫小牧市美原町３丁目９番１０号,北海道苫小牧市美原町３丁目９番１０号,,12923,1,1213,美原町３,,2021/12/27,2021/12/27,,,株式会社東洋食品,荻久保英男,03-3836-1291,東京都台東区東上野１丁目１４番４号,東京都台東区東上野１丁目１４番４号,,73463,東京都,台東区,東上野１,1-509,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,株式会社東洋食品苫小牧第２センタ営業所0144-82-7613129231213,f76ae585-9b69-494c-8c34-3cc3b4ad94aa,株式会社東洋食品73463,6af4d2c8-60bc-4ec6-bdb7-b3051c829d2c,191937a8-44f0-48fe-b488-5822fbd4a36e,2021/12/27,株式会社東洋食品　苫小牧第２センター営業所,株式会社東洋食品苫小牧第２センタ営業所,株式会社東洋食品
許可,飲食店営業,山﨑商店,営業計画書に基づく苫小牧保健所管内一円,営業計画書に基づく苫小牧保健所管内一円,,,株式会社信和興業,山﨑修平,苫小牧市双葉町3丁目2-151階,苫小牧市双葉町３丁目２－１５１階,,,,2021.12.24,1-506,,18,山﨑商店,,,,,,営業計画書に基づく苫小牧保健所管内一円,北海道営業計画書に基づく苫小牧保健所管内一円,,,1,,,,,2021/12/24,,,株式会社信和興業,山﨑修平,,苫小牧市双葉町３丁目２－１５１階,北海道苫小牧市双葉町３丁目２－１５１階,,12798,北海道,苫小牧市,双葉町３,1-506,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,山﨑商店,a804ab50-027c-4575-bc71-bf04dab8afbd,株式会社信和興業12798,8af43c69-a008-4d1d-ac8d-98f859e7b45f,ad2cf705-f2f9-45b1-9518-379f5ace4a68,2021/12/24,山﨑商店,山﨑商店,株式会社信和興業
許可,飲食店営業,Ｌｏｕｎｇｅ　ＡＴＬＡＳ,苫小牧市錦町2丁目3-12ｸﾗｳﾝﾋﾞﾙ1F,苫小牧市錦町２丁目３－１２,ｸﾗｳﾝﾋﾞﾙ１F,,中山綾花,,,,,,2021.12.24,2021.12.24,1-508,,18,Ｌｏｕｎｇｅ　ＡＴＬＡＳ,0144,,,,,苫小牧市錦町２丁目３－１２,北海道苫小牧市錦町２丁目３－１２,ｸﾗｳﾝﾋﾞﾙ１F,12781,1,1213,錦町２,,2021/12/24,2021/12/24,,,,中山綾花 ,,,,,,,,,1-508,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ＬｏｕｎｇｅＡＴＬＡＳ127811213,9ce034ec-2dea-4d22-98b1-45136523af92,,personal,2d71f949-4bc8-4eed-96c3-c37e6e715967,2021/12/24,Ｌｏｕｎｇｅ　ＡＴＬＡＳ,ＬｏｕｎｇｅＡＴＬＡＳ,
許可,飲食店営業,樹（いつき）,白老郡白老町字萩野16-1,白老郡白老町字萩野１６－１,,,福澤正樹,,,,,,2021.12.24,2021.12.24,1-507,,18,樹（いつき）,0144,,,,,白老郡白老町字萩野１６－１,北海道白老郡白老町字萩野１６－１,,21578,1,1578,萩野,,2021/12/24,2021/12/24,,,,福澤正樹 ,,,,,,,,,1-507,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,樹いつき215781578,4c54fb3d-d687-46a1-919a-ffd4f1825a7e,,personal,b1f9df7f-f90f-45ad-afab-d363834ef81b,2021/12/24,樹（いつき）,樹いつき,
許可,飲食店営業,串し揚げ屋ぶっちゃん,苫小牧市音羽町2丁目15-5,苫小牧市音羽町２丁目１５－５,,,太田みつえ,,,,,,2021.12.23,2021.12.23,1-505,,18,串し揚げ屋ぶっちゃん,0144,,,,,苫小牧市音羽町２丁目１５－５,北海道苫小牧市音羽町２丁目１５－５,,12701,1,1213,音羽町２,,2021/12/23,2021/12/23,,,,太田みつえ ,,,,,,,,,1-505,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,串し揚げ屋ぶっちゃん127011213,9fd998e3-38f1-42db-b47c-5e2450ee2be3,,personal,7ef7182c-a789-471d-b43a-6cbde201bfb0,2021/12/23,串し揚げ屋ぶっちゃん,串し揚げ屋ぶっちゃん,
許可,飲食店営業,スパイストラバタ,苫小牧市新中野町2丁目7-19Bar Old内,苫小牧市新中野町２丁目７－１９,Bar Old内,,近藤学志,,,,,,2021.12.22,2021.12.22,1-504,,18,スパイストラバタ,0144,,,,,苫小牧市新中野町２丁目７－１９,北海道苫小牧市新中野町２丁目７－１９,Bar Old内,12752,1,1213,新中野町２,,2021/12/22,2021/12/22,,,,近藤学志 ,,,,,,,,,1-504,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,スパイストラバタ127521213,857ad598-c254-4d3f-83e3-0f6aa0a0c0f7,,personal,de763af7-0bed-4093-b46c-046e2208b48e,2021/12/22,スパイストラバタ,スパイストラバタ,
許可,飲食店営業,星野リゾート　界ポロト,白老郡白老町若草町1丁目1018番地94,白老郡白老町若草町１丁目１０１８番地９４,,0144-84-1009,株式会社白老ホテルマネジメント,中村海太,白老郡白老町若草町1丁目1018番地94,白老郡白老町若草町１丁目１０１８番地９４,,0144-84-1009,2021.12.22,2021.12.22,1-503,,18,星野リゾート　界ポロト,0144,0144-84-1009,,,,白老郡白老町若草町１丁目１０１８番地９４,北海道白老郡白老町若草町１丁目１０１８番地９４,,21597,1,1578,若草町１,,2021/12/22,2021/12/22,,,株式会社白老ホテルマネジメント,中村海太,0144-84-1009,白老郡白老町若草町１丁目１０１８番地９４,北海道白老郡白老町若草町１丁目１０１８番地９４,,21597,北海道,白老郡白老町,若草町１,1-503,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,星野リゾト界ポロト0144-84-1009215971578,1cd1b919-ee5b-4576-a5b4-2f69c450b40c,株式会社白老ホテルマネジメント21597,eefc601e-7a72-42c7-8186-aeab4a1064b9,3a2f3dad-f761-4ae5-be00-98e7b3c4c448,2021/12/22,星野リゾート　界ポロト,星野リゾト界ポロト,株式会社白老ホテルマネジメント
