020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可業種,飲食店営業,ピーチパイン,日高郡新ひだか町静内吉野町2-1-26タカビル2階,日高郡新ひだか町静内吉野町２－１－２６,タカビル２階,,田中照彦,,,,,,2021/12/23,2021/12/23,2-119,,20,ピーチパイン,0146,,,,,日高郡新ひだか町静内吉野町２－１－２６,北海道日高郡新ひだか町静内吉野町２－１－２６,タカビル２階,25224,1,1610,静内吉野町２,,2021/12/23,2021/12/23,,,,田中照彦 ,,,,,,,,,2-119,,飲食店営業,,許可業種,,020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ピチパイン252241610,2222ef37-12a0-40fb-afb2-ed66c5d8d8ac,,personal,1e6cc287-acd1-44af-b200-4a4b6a46fd57,2021/12/23,ピーチパイン,ピチパイン,
許可業種,飲食店営業,和風レストランふじかみ,沙流郡日高町本町東1丁目298-12,沙流郡日高町本町東１丁目２９８－１２,,,渕上　貴洋,,,,,,2021/12/22,2021/12/22,2-117,,20,和風レストランふじかみ,01457,,,,,沙流郡日高町本町東１丁目２９８－１２,北海道沙流郡日高町本町東１丁目２９８－１２,,21710,1,1601,本町東１,,2021/12/22,2021/12/22,,,,渕上　貴洋 ,,,,,,,,,2-117,,飲食店営業,,許可業種,,020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,和風レストランふじかみ217101601,a98782ab-1901-457f-8a27-196e3837c4d4,,personal,9a8efdbe-a620-4e7b-8943-8efc47813d98,2021/12/22,和風レストランふじかみ,和風レストランふじかみ,
許可業種,飲食店営業,味処さかえ,沙流郡平取町字荷菜15-10,沙流郡平取町字荷菜１５－１０,,01457-2-2896,吉田　光子,,,,,,2021/12/22,2021/12/22,2-116,,20,味処さかえ,01457,01457-2-2896,,,,沙流郡平取町字荷菜１５－１０,北海道沙流郡平取町字荷菜１５－１０,,21767,1,1602,荷菜,,2021/12/22,2021/12/22,,,,吉田　光子 ,,,,,,,,,2-116,,飲食店営業,,許可業種,,020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,味処さかえ01457-2-2896217671602,8b0a93b0-210d-42dd-9232-fb81e45c3361,,personal,2f60f5e7-e78d-465a-8629-998e61bcd00f,2021/12/22,味処さかえ,味処さかえ,
許可業種,麺類製造業,びらとり蕎楽同好会,沙流郡平取町本町88番地の1　平取町中央公民館内,沙流郡平取町本町８８番地の１,平取町中央公民館内,01457-2-2619,鈴木　茂,,,,,,2021/12/22,2021/12/22,2-118,,20,びらとり蕎楽同好会,01457,01457-2-2619,,,,沙流郡平取町本町８８番地の１,北海道沙流郡平取町本町８８番地ノ１,平取町中央公民館内,21772,1,1602,本町,,2021/12/22,2021/12/22,,,,鈴木　茂 ,,,,,,,,,2-118,,麺類製造業,,許可業種,,020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,E,9,,,びらとり蕎楽同好会01457-2-2619217721602,22db3681-b7c6-40e1-9426-f78524b5b043,,personal,bdc38c39-6bdf-4a30-93ea-ec9a81125836,2021/12/22,びらとり蕎楽同好会,びらとり蕎楽同好会,
許可業種,飲食店営業,ヴェルサイユリゾートファーム,沙流郡日高町庫富734,沙流郡日高町庫富７３４,,,ベルサイユステーブル株式会社,岩﨑崇文,沙流郡日高町字庫富734-3,沙流郡日高町字庫富７３４－３,,01456-2-5655,2021/12/22,2021/12/22,2-115,,20,ヴェルサイユリゾートファーム,01456,,,,,沙流郡日高町庫富７３４,北海道沙流郡日高町庫富７３４,,701194,1,1601,庫富,,2021/12/22,2021/12/22,,,ベルサイユステーブル株式会社,岩﨑崇文,01456-2-5655,沙流郡日高町字庫富７３４－３,北海道沙流郡日高町字庫富７３４－３,,701194,北海道,沙流郡日高町,庫富,2-115,,飲食店営業,,許可業種,,020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ヴェルサイユリゾトファム7011941601,bb25d34e-3d43-43f6-b8e0-3548a9cdf372,ベルサイユステーブル株式会社701194,eb3d1f31-da33-4f40-b69f-73b2ebfb5e97,40625268-a988-454f-8555-5ef6bbe16918,2021/12/22,ヴェルサイユリゾートファーム,ヴェルサイユリゾトファム,ベルサイユステーブル株式会社
許可業種,飲食店営業,やきとり　いかうし,日高郡新ひだか町静内御幸町2-5-63,日高郡新ひだか町静内御幸町２－５－６３,,,土屋元喜,,,,,,2021/12/21,2021/12/21,2-113,,20,やきとり　いかうし,0146,,,,,日高郡新ひだか町静内御幸町２－５－６３,北海道日高郡新ひだか町静内御幸町２－５－６３,,25212,1,1610,静内御幸町２,,2021/12/21,2021/12/21,,,,土屋元喜 ,,,,,,,,,2-113,,飲食店営業,,許可業種,,020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,やきとりいかうし252121610,c4e66517-e3ca-4aaf-86b9-0b606859c57a,,personal,56d43534-3155-4917-ab90-b6522b8a9f96,2021/12/21,やきとり　いかうし,やきとりいかうし,
許可業種,飲食店営業,ホテル日勝,沙流郡日高町本町西2丁目328-11,沙流郡日高町本町西２丁目３２８－１１,,,下笛　和代,,,,,,2021/12/21,2021/12/21,2-111,,20,ホテル日勝,01457,,,,,沙流郡日高町本町西２丁目３２８－１１,北海道沙流郡日高町本町西２丁目３２８－１１,,21708,1,1601,本町西２,,2021/12/21,2021/12/21,,,,下笛　和代 ,,,,,,,,,2-111,,飲食店営業,,許可業種,,020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ホテル日勝217081601,87686a75-5452-4e8b-9019-4adced911a9b,,personal,6dfa3661-6033-41bf-9de6-f32ef565eb5d,2021/12/21,ホテル日勝,ホテル日勝,
許可業種,飲食店営業,味の鳥天,沙流郡平取町本町41-1,沙流郡平取町本町４１－１,,,(有)うの,代表取締役　鵜野央樹,沙流郡平取町本町41-1,沙流郡平取町本町４１－１,,01457-2-2525,2021/12/21,2021/12/21,2-114,,20,味の鳥天,01457,,,,,沙流郡平取町本町４１－１,北海道沙流郡平取町本町４１－１,,21772,1,1602,本町,,2021/12/21,2021/12/21,,,(有)うの,代表取締役　鵜野央樹,01457-2-2525,沙流郡平取町本町４１－１,北海道沙流郡平取町本町４１－１,,21772,北海道,沙流郡平取町,本町,2-114,,飲食店営業,,許可業種,,020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,味の鳥天217721602,5b3d56f4-563b-4720-b6df-56183a396da6,有限会社うの21772,0aeeda2e-7f5c-4b22-9ac3-1b0d82602e4a,490f5c7b-28c5-47ba-9a19-5e1658ffe939,2021/12/21,味の鳥天,味の鳥天,有限会社うの
許可業種,飲食店営業,居酒屋　桂成,沙流郡平取町本町41-14,沙流郡平取町本町４１－１４,,,油谷　孝雄,,,,,,2021/12/21,2021/12/21,2-112,,20,居酒屋　桂成,01457,,,,,沙流郡平取町本町４１－１４,北海道沙流郡平取町本町４１－１４,,21772,1,1602,本町,,2021/12/21,2021/12/21,,,,油谷　孝雄 ,,,,,,,,,2-112,,飲食店営業,,許可業種,,020_北海道_静内保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,居酒屋桂成217721602,01853fc7-07f0-47a2-8bd0-ec6ecbab2e5b,,personal,689b805e-4b2b-451c-bdff-ae3775a4f65b,2021/12/21,居酒屋　桂成,居酒屋桂成,
