https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
届出,その他の食料・飲料販売業,サーティワン帯広イトーヨーカドー店,帯広市稲田町南８線西１０－１イトーヨ－カドー帯広店,帯広市稲田町南８線西１０－１,イトーヨーカドー帯広店,0155-48-0380,株式会社ルーキーファーム,加藤祐功,帯広市西５条南３４丁目１２番地,帯広市西５条南３４丁目１２番地,,0155-47-1032,2021.12.28,2021.12.28,,,21,サーティワン帯広イトーヨーカドー店,0155,0155-48-0380,,,,帯広市稲田町南８線西１０－１,北海道帯広市稲田町南８線西１０－１,イトーヨーカドー帯広店,9498,1,1207,稲田町,,2021/12/28,2021/12/28,,,株式会社ルーキーファーム,加藤祐功,0155-47-1032,帯広市西５条南３４丁目１２番地,北海道帯広市西五条南３４丁目１２番地,,9830,北海道,帯広市,西五条南３４,,,その他の食料品製造・加工業,(包装),届出,,021_北海道_帯広保健所_食品衛生()_2021年12月まで全件_末日,E,9,99,,サティワン帯広イトヨカド店0155-48-038094981207,021b0bab-cd23-4fc5-ad37-9763ed518995,株式会社ルーキーファーム9830,bdab1f1e-646c-4c86-a8bb-ca2afcbd1a9a,39248d65-c1b3-4de6-8d1a-858c5e236f40,2021/12/28,サーティワン帯広イトーヨーカドー店,サティワン帯広イトヨカド店,株式会社ルーキーファーム
許可,飲食店営業,３１（サブイチ）,足寄郡足寄町南３条１丁目３１番地,足寄郡足寄町南３条１丁目３１番地,,,沼田紀行,,,,,,2021.12.28,2021.12.28,十保生15-719,,21,３１（サブイチ）,0156,,,,,足寄郡足寄町南３条１丁目３１番地,北海道足寄郡足寄町南三条１丁目３１番地,,23989,1,1647,南三条１,,2021/12/28,2021/12/28,,,,沼田紀行 ,,,,,,,,,十保生15-719,,飲食店営業,,許可,,021_北海道_帯広保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,３１サブイチ239891647,118b2768-f4d5-4927-b2df-8c0127bfd6be,,personal,ed61f17a-eddc-49a6-b972-fa0ab5b24a7b,2021/12/28,３１（サブイチ）,３１サブイチ,
許可,飲食店営業,支邦そば寅丸,帯広市西１条南８丁目１２番地八丁堀内,帯広市西１条南８丁目１２番地,八丁堀内,,出口隆久,,,,,,2021.12.23,2021.12.23,十保生15-716,,21,支邦そば寅丸,0155,,,,,帯広市西１条南８丁目１２番地,北海道帯広市西一条南８丁目１２番地,八丁堀内,9633,1,1207,西一条南８,,2021/12/23,2021/12/23,,,,出口隆久 ,,,,,,,,,十保生15-716,,飲食店営業,,許可,,021_北海道_帯広保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,支邦そば寅丸96331207,735bb86b-01f5-4fe8-bcb4-8d5419d31dfd,,personal,ad295b39-3628-4550-a2c5-169a4976f59e,2021/12/23,支邦そば寅丸,支邦そば寅丸,
許可,飲食店営業,クレココ,帯広市西１条南１０丁目１，３，５番地五番館ビル２階,帯広市西１条南１０丁目１，３，５番地,五番館ビル２階,,徳村磨依,,,,,,2021.12.23,2021.12.23,十保生15-717,,21,クレココ,0155,,,,,帯広市西１条南１０丁目１，３，５番地,北海道帯広市西一条南１０丁目１，３，５番地,五番館ビル２階,9635,1,1207,西一条南１０,,2021/12/23,2021/12/23,,,,徳村磨依 ,,,,,,,,,十保生15-717,,飲食店営業,,許可,,021_北海道_帯広保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,クレココ96351207,08caebc1-fb75-4831-aef8-93661d764649,,personal,9f24a2df-d90f-4b44-be7c-8ddc3e8f65bc,2021/12/23,クレココ,クレココ,
許可,飲食店営業,Ｃｌａｎ,帯広市西１条南１０丁目１１番地ライオンビル福原館２階２０９号室,帯広市西１条南１０丁目１１番地,ライオンビル福原館２階２０９号室,,吉川祐太,,,,,,2021.12.23,2021.12.23,十保生15-718,,21,Ｃｌａｎ,0155,,,,,帯広市西１条南１０丁目１１番地,北海道帯広市西一条南１０丁目１１番地,ライオンビル福原館２階２０９号室,9635,1,1207,西一条南１０,,2021/12/23,2021/12/23,,,,吉川祐太 ,,,,,,,,,十保生15-718,,飲食店営業,,許可,,021_北海道_帯広保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,Ｃｌａｎ96351207,113a5e7c-0419-43f4-b50c-8ca5d534a6f4,,personal,5d237f2b-619d-4448-9640-cf6e37b56e24,2021/12/23,Ｃｌａｎ,Ｃｌａｎ,
届出,器具、容器包装の製造・加工業,大成ベルト工販株式会社,帯広市西９条南１丁目６番地,帯広市西９条南１丁目６番地,,0155-35-7161,大成ベルト工販株式会社,岸龍吉,帯広市西９条南１丁目６番地,帯広市西９条南１丁目６番地,,0155-35-7161,2021.12.23,2021.12.23,,,21,大成ベルト工販株式会社,0155,0155-35-7161,,,,帯広市西９条南１丁目６番地,北海道帯広市西九条南１丁目６番地,,9982,1,1207,西九条南１,,2021/12/23,2021/12/23,,,大成ベルト工販株式会社,岸龍吉,0155-35-7161,帯広市西９条南１丁目６番地,北海道帯広市西九条南１丁目６番地,,9982,北海道,帯広市,西九条南１,,,器具・容器・おもちゃ製造業,,届出,,021_北海道_帯広保健所_食品衛生()_2021年12月まで全件_末日,E,18,,,大成ベルト工販株式会社0155-35-716199821207,8e821f30-b9dc-4483-9d77-3efbefd73a11,大成ベルト工販株式会社9982,d8334945-ecd8-456a-a87b-50361df43718,615aff89-681d-480b-bef6-ec024f6266a7,2021/12/23,大成ベルト工販株式会社,大成ベルト工販株式会社,大成ベルト工販株式会社
届出,その他の食料・飲料販売業,マッシングワークス,河東郡鹿追町瓜幕西３１線２５,河東郡鹿追町瓜幕西３１線２５,,,滝田武志,,,,,,2021.12.23,2021.12.23,,,21,マッシングワークス,0156,,,,,河東郡鹿追町瓜幕西３１線２５,北海道河東郡鹿追町瓜幕西３１線２５,,23561,1,1634,瓜幕西３,,2021/12/23,2021/12/23,,,,滝田武志 ,,,,,,,,,,,その他の食料品製造・加工業,(包装),届出,,021_北海道_帯広保健所_食品衛生()_2021年12月まで全件_末日,E,9,99,,マッシングワクス235611634,c3d09eb2-171a-4a56-858b-07367cb06a54,,personal,b581cb8e-b41d-4b1a-b4d8-b9ae84135d3b,2021/12/23,マッシングワークス,マッシングワクス,
届出,集団給食施設,新得町立富村牛小中学校,上川郡新得町屈足トムラウシ２５７,上川郡新得町屈足トムラウシ２５７,,0156-65-3064,新得町,浜田正利,上川郡新得町３条南１丁目２６番地,上川郡新得町３条南１丁目２６番地,,0156-64-5111,2021.12.23,2021.12.23,,,21,新得町立富村牛小中学校,0156,0156-65-3064,,,,上川郡新得町屈足トムラウシ２５７,北海道上川郡新得町屈足トムラウシ２５７,,19112,1,1635,屈足,,2021/12/23,2021/12/23,,,新得町, 浜田正利,0156-64-5111,上川郡新得町３条南１丁目２６番地,北海道上川郡新得町三条南１丁目２６番地,,19643,北海道,上川郡新得町,三条南１,,,給食施設,,届出,,021_北海道_帯広保健所_食品衛生()_2021年12月まで全件_末日,M,77,,,新得町立富村牛小中学校0156-65-3064191121635,78c84c7b-cd50-4358-a451-80b8b1affb24,19643,4691e453-308d-468f-ba56-bf6de779f9a1,af6b9b18-5c40-498d-a7b2-4577804bcf5a,2021/12/23,新得町立富村牛小中学校,新得町立富村牛小中学校,
届出,コーヒー製造・加工業,ＪＩＲＯ　ＣＯＦＦＥＥ,上川郡新得町上佐幌西１線３８－１９,上川郡新得町上佐幌西１線３８－１９,,,石栗優,,,,,,2021.12.23,2021.12.23,,,21,ＪＩＲＯ　ＣＯＦＦＥＥ,0156,,,,,上川郡新得町上佐幌西１線３８－１９,北海道上川郡新得町上佐幌西１線３８－１９,,19111,1,1635,上佐幌,,2021/12/23,2021/12/23,,,,石栗優 ,,,,,,,,,,,コーヒー製造・加工業,,届出,,021_北海道_帯広保健所_食品衛生()_2021年12月まで全件_末日,E,10,103,1032,ＪＩＲＯＣＯＦＦＥＥ191111635,f4b6afd6-befa-4ca0-a52a-c0127564d949,,personal,80c133b9-985a-4c1c-8d9f-f0a0ea0cf982,2021/12/23,ＪＩＲＯ　ＣＯＦＦＥＥ,ＪＩＲＯＣＯＦＦＥＥ,
