https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可,飲食店営業,小林惣菜店,釧路市大川町８－２９  ,釧路市大川町８－２９,,0154-41-4944,合同会社小林惣菜店,菊田久美子,釧路市大川町８－２９ ,釧路市大川町８－２９,,0154-41-4944,2021.12.28,2021.12.28,7-511,,22,小林惣菜店,0154,0154-41-4944,,,,釧路市大川町８－２９,北海道釧路市大川町８－２９,,8999,1,1206,大川町,,2021/12/28,2021/12/28,,,合同会社小林惣菜店,菊田久美子,0154-41-4944,釧路市大川町８－２９,北海道釧路市大川町８－２９,,8999,北海道,釧路市,大川町,7-511,,飲食店営業,,許可,,022_北海道_釧路保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,小林惣菜店0154-41-494489991206,09f3498e-5c96-4ca1-9ba3-c14799cc8d59,合同会社小林惣菜店8999,f689ffb2-4a94-4410-9f0e-f5e8d3f1d10b,a0b0ed89-4c4b-4740-b304-36abaa6f2718,2021/12/28,小林惣菜店,小林惣菜店,合同会社小林惣菜店
許可,飲食店営業,外苑,釧路市栄町３丁目２番地  ニュー栄町銀座１Ｆ,釧路市栄町３丁目２番地, ニュー栄町銀座１Ｆ,  ,阿部匠一郎,  ,  , ,,  ,2021.12.28,2021.12.28,7-512,,22,外苑,0154,,,,,釧路市栄町３丁目２番地,北海道釧路市栄町３丁目２番地, ニュー栄町銀座１Ｆ,9105,1,1206,栄町３,,2021/12/28,2021/12/28,,,,阿部匠一郎   ,, ,,,,,,,7-512,,飲食店営業,,許可,,022_北海道_釧路保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,外苑91051206,25044278-682e-408d-8e3f-f1f8f2466095,,personal,482fc080-e7f9-4d0a-af35-22a75b7782ec,2021/12/28,外苑,外苑,
許可,飲食店営業,芋屋ＣoＣo,釧路市桜ヶ岡４丁目１番２２号  ,釧路市桜ヶ岡４丁目１番２２号, ,  ,斉藤正輝,  ,  , ,,  ,2021.12.27,2021.12.27,7-510,,22,芋屋ＣoＣo,0154,,,,,釧路市桜ヶ岡４丁目１番２２号,北海道釧路市桜が岡４丁目１番２２号, ,9118,1,1206,桜が岡４,,2021/12/27,2021/12/27,,,,斉藤正輝   ,, ,,,,,,,7-510,,飲食店営業,,許可,,022_北海道_釧路保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,芋屋ＣｏＣｏ91181206,6bca1b7b-04cd-4db2-a5d2-35760ebc08e0,,personal,c199abc0-c155-4184-92f4-c02c6df9c81a,2021/12/27,芋屋ＣｏＣｏ,芋屋ＣｏＣｏ,
許可,飲食店営業,ＮＩＧＨＴ　ＩＮ　Ｊ,釧路市末広町３丁目５番地  八千代ビル４Ｆ－Ｄ号,釧路市末広町３丁目５番地 ,八千代ビル４Ｆ－Ｄ号,0154-25-2545,（株）ＷＯＲＫ’Ｓ　ＢＥＬＬ,細江眞由美,釧路市共栄大通８丁目２番１２１号 ,釧路市共栄大通８丁目２番１２１号, ,0,2021.12.24,2021.12.24,7-508,,22,ＮＩＧＨＴ　ＩＮ　Ｊ,0154,0154-25-2545,,,,釧路市末広町３丁目５番地 ,北海道釧路市末広町３丁目５番地,八千代ビル４Ｆ－Ｄ号,9165,1,1206,末広町３,,2021/12/24,2021/12/24,,,（株）ＷＯＲＫ’Ｓ　ＢＥＬＬ,細江眞由美,,釧路市共栄大通８丁目２番１２１号,北海道釧路市共栄大通８丁目２番１２１号, ,9073,北海道,釧路市,共栄大通８,7-508,,飲食店営業,,許可,,022_北海道_釧路保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ＮＩＧＨＴＩＮＪ0154-25-254591651206,2ddfab86-39bd-4a9a-b0c8-0e0b74398061,株式会社ＷＯＲＫ＇Ｓ　ＢＥＬＬ9073,94b2ac22-4690-4015-976b-ce61e470974c,fc96146b-8f5d-4f9c-8f0d-705856516a0d,2021/12/24,ＮＩＧＨＴ　ＩＮ　Ｊ,ＮＩＧＨＴＩＮＪ,株式会社ＷＯＲＫ＇Ｓ　ＢＥＬＬ
許可,飲食店営業,居酒屋スナックゆりかご,釧路市桜ヶ岡７丁目６－６  ,釧路市桜ヶ岡７丁目６－６,,  ,菅原優子,  ,  , ,,  ,2021.12.24,2021.12.24,7-507,,22,居酒屋スナックゆりかご,0154,,,,,釧路市桜ヶ岡７丁目６－６,北海道釧路市桜が岡７丁目６－６,,9121,1,1206,桜が岡７,,2021/12/24,2021/12/24,,,,菅原優子   ,, ,,,,,,,7-507,,飲食店営業,,許可,,022_北海道_釧路保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,居酒屋スナックゆりかご91211206,83ce4b8b-df1f-4147-ac19-fc53134416d1,,personal,f2e5e551-f192-4692-ac7a-839e82c83b72,2021/12/24,居酒屋スナックゆりかご,居酒屋スナックゆりかご,
許可,飲食店営業,サービス付高齢者住宅すずらん,釧路市治水町２番２号  ,釧路市治水町２番２号, ,0154-24-6833,医療法人道東勤労者医療協会,黒川聰則,釧路市治水町３番５号 ,釧路市治水町３番５号, ,0154-25-6479,2021.12.24,2021.12.24,7-509,,22,サービス付高齢者住宅すずらん,0154,0154-24-6833,,,,釧路市治水町２番２号,北海道釧路市治水町２番２号, ,9162,1,1206,治水町,,2021/12/24,2021/12/24,,,医療法人道東勤労者医療協会,黒川聰則,0154-25-6479,釧路市治水町３番５号,北海道釧路市治水町３番５号, ,9162,北海道,釧路市,治水町,7-509,,飲食店営業,,許可,,022_北海道_釧路保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,サビス付高齢者住宅すずらん0154-24-683391621206,bc2d071d-7cbd-4d31-bc96-a6f588460410,医療法人道東勤労者医療協会9162,ca76d629-8ff2-4514-8de0-0e5a995658db,5e0d6581-3025-42ad-8cc6-d722fd879765,2021/12/24,サービス付高齢者住宅すずらん,サビス付高齢者住宅すずらん,医療法人道東勤労者医療協会
届出,コップ式自動販売機(自動洗浄・屋内設置）,釧路トヨタ自動車（株）芦野店　店内,釧路郡釧路町桂木３丁目６番1  ,釧路郡釧路町桂木３丁目６番１,,"0154-51-3,161",株式会社アペックス,森吉平,愛知県大府市柊山町２丁目４１８番地 ,愛知県大府市柊山町２丁目４１８番地 ,,0562-47-1218,,2021.12.22,,,22,釧路トヨタ自動車（株）芦野店　店内,0154,"0154-51-3,161",,,,釧路郡釧路町桂木３丁目６番１,北海道釧路郡釧路町桂木３丁目６番１,,21869,1,1661,桂木３,,,2021/12/22,,,株式会社アペックス,森吉平,0562-47-1218,愛知県大府市柊山町２丁目４１８番地 ,愛知県大府市柊山町２丁目４１８番地,,129047,愛知県,大府市,柊山町２,,,自動販売機,自動洗浄・屋内設置,届出,,022_北海道_釧路保健所_食品衛生()_2021年12月まで全件_末日,I,61,612,,"釧路トヨタ自動車株式会社芦野店店内0154-51-3,161218691661",d04c33a4-5385-4f98-80d5-02b1b0ab4e3b,株式会社アペックス129047,86bc290e-37b7-4729-bde3-95d625559d2c,307ba0af-03ad-4ab0-a607-25191106156e,2021/12/22,釧路トヨタ自動車株式会社芦野店　店内,釧路トヨタ自動車株式会社芦野店店内,株式会社アペックス
届出,コップ式自動販売機(自動洗浄・屋内設置）,釧路トヨタ自動車（株）桜ヶ岡店　店内,釧路市桜ヶ岡４丁目６番２号  ,釧路市桜ヶ岡４丁目６番２号, ,0154-91-1112,株式会社アペックス,森吉平,愛知県大府市柊山町２丁目４１８番地 ,愛知県大府市柊山町２丁目４１８番地 ,,0562-47-1218,,2021.12.22,,,22,釧路トヨタ自動車（株）桜ヶ岡店　店内,0154,0154-91-1112,,,,釧路市桜ヶ岡４丁目６番２号,北海道釧路市桜が岡４丁目６番２号, ,9118,1,1206,桜が岡４,,,2021/12/22,,,株式会社アペックス,森吉平,0562-47-1218,愛知県大府市柊山町２丁目４１８番地 ,愛知県大府市柊山町２丁目４１８番地,,129047,愛知県,大府市,柊山町２,,,自動販売機,自動洗浄・屋内設置,届出,,022_北海道_釧路保健所_食品衛生()_2021年12月まで全件_末日,I,61,612,,釧路トヨタ自動車株式会社桜ヶ岡店店内0154-91-111291181206,a3ae6677-49e8-4ced-ba1d-4296fbe02331,株式会社アペックス129047,86bc290e-37b7-4729-bde3-95d625559d2c,f8adfdd1-4a2c-4e78-97f2-0f6b2ef70cb4,2021/12/22,釧路トヨタ自動車株式会社桜ヶ岡店　店内,釧路トヨタ自動車株式会社桜ヶ岡店店内,株式会社アペックス
届出,コップ式自動販売機(自動洗浄・屋内設置）,釧路三慈会病院　釧路　１Ｆ外来,釧路市幣舞町４番３０号  ,釧路市幣舞町４番３０号, ,0154-41-5711,株式会社アペックス,森吉平,愛知県大府市柊山町２丁目４１９番地 ,愛知県大府市柊山町２丁目４１９番地 ,,0562-47-1219,,2021.12.22,,,22,釧路三慈会病院　釧路　１Ｆ外来,0154,0154-41-5711,,,,釧路市幣舞町４番３０号,北海道釧路市幣舞町４番３０号, ,9233,1,1206,幣舞町,,,2021/12/22,,,株式会社アペックス,森吉平,0562-47-1219,愛知県大府市柊山町２丁目４１９番地 ,愛知県大府市柊山町２丁目４１９番地,,129047,愛知県,大府市,柊山町２,,,自動販売機,自動洗浄・屋内設置,届出,,022_北海道_釧路保健所_食品衛生()_2021年12月まで全件_末日,I,61,612,,釧路三慈会病院釧路１Ｆ外来0154-41-571192331206,d54734b8-3963-4c1a-b48a-5ea95ae271ec,株式会社アペックス129047,86bc290e-37b7-4729-bde3-95d625559d2c,cca7ee57-7660-4e59-8766-d2c6fcc118de,2021/12/22,釧路三慈会病院　釧路　１Ｆ外来,釧路三慈会病院釧路１Ｆ外来,株式会社アペックス
