https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
届出,百貨店、総合スーパー,クリエ食鮮館,根室市大正町1丁目28番地,根室市大正町１丁目２８番地,,,株式会社　クリエ,早川雅史,根室市大正町1丁目28番地,根室市大正町１丁目２８番地,,0153-24-1211,,2021.12.27,,,23,クリエ食鮮館,0153,,,,,根室市大正町１丁目２８番地,北海道根室市大正町１丁目２８番地,,14948,1,1223,大正町１,,,2021/12/27,,,株式会社　クリエ,早川雅史,0153-24-1211,根室市大正町１丁目２８番地,北海道根室市大正町１丁目２８番地,,14948,北海道,根室市,大正町１,,,百貨店、総合スーパー,,届出,,023_北海道_根室保健所_食品衛生()_2021年12月まで全件_末日,I,56,561,5611,クリエ食鮮館149481223,f1cd6c37-d6fc-4b2a-a5b3-92f4ca34ed21,株式会社クリエ14948,3a6f62b3-b068-491f-a7a0-8972b12f203a,fa4119b7-2077-486c-8d49-f132e308335a,2021/12/27,クリエ食鮮館,クリエ食鮮館,株式会社クリエ
届出,その他の食料・飲料販売業,タイエー根室市役所売店,根室市常盤町2丁目27番地,根室市常盤町２丁目２７番地,,0153-23-6111,株式会社タイエー,田家徹,根室市曙町２丁目２番地,根室市曙町２丁目２番地,,0153-23-3398,,2021.12.27,,,23,タイエー根室市役所売店,0153,0153-23-6111,,,,根室市常盤町２丁目２７番地,北海道根室市常盤町２丁目２７番地,,14964,1,1223,常盤町２,,,2021/12/27,,,株式会社タイエー,田家徹,0153-23-3398,根室市曙町２丁目２番地,北海道根室市曙町２丁目２番地,,14884,北海道,根室市,曙町２,,,その他の食料品製造・加工業,(包装),届出,,023_北海道_根室保健所_食品衛生()_2021年12月まで全件_末日,E,9,99,,タイエ根室市役所売店0153-23-6111149641223,a02fd75d-736b-489c-b86f-e820cf5d84a0,株式会社タイエー14884,307596f9-5193-4d0d-af2e-e5b32e2168a1,e27eeaf8-4120-4479-ad3e-6403305acb8f,2021/12/27,タイエー根室市役所売店,タイエ根室市役所売店,株式会社タイエー
届出,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,スワン４４根室,根室市酪陽１番地,根室市酪陽１番地,,0153-25-3055,江崎グリコ株式会社,江崎勝久,大阪市西淀川区歌島4-6-5,大阪市西淀川区歌島４－６－５,,06-6477-8352,,2021.12.23,,,23,スワン４４根室,0153,0153-25-3055,,,,根室市酪陽１番地,北海道根室市酪陽１番地,,15058,1,1223,酪陽,,,2021/12/23,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪市西淀川区歌島４－６－５,大阪府大阪市西淀川区歌島４－６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,届出,,023_北海道_根室保健所_食品衛生()_2021年12月まで全件_末日,I,61,612,,スワン４４根室0153-25-3055150581223,daa33b7d-51b0-4588-a8d6-eef9812f4471,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,513c186f-9690-4084-a67c-7be1bc4b7406,2021/12/23,スワン４４根室,スワン４４根室,江崎グリコ株式会社
届出,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,パシフィック②,根室市花咲町３－１７,根室市花咲町３－１７,,0153-24-2101,江崎グリコ株式会社,江崎勝久,大阪市西淀川区歌島4-6-5,大阪市西淀川区歌島４－６－５,,06-6477-8352,,2021.12.23,,,23,パシフィック②,0153,0153-24-2101,,,,根室市花咲町３－１７,北海道根室市花咲町３－１７,,14988,1,1223,花咲町３,,,2021/12/23,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪市西淀川区歌島４－６－５,大阪府大阪市西淀川区歌島４－６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,届出,,023_北海道_根室保健所_食品衛生()_2021年12月まで全件_末日,I,61,612,,パシフィック②0153-24-2101149881223,1060212f-9e2f-4c70-bfd6-5b7a48f739d9,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,2e4412f2-90d9-4fb1-b0a9-c71954953bd3,2021/12/23,パシフィック②,パシフィック②,江崎グリコ株式会社
届出,⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）,根室市青少年センター,根室市牧の内１４６－１６,根室市牧の内１４６－１６,,0153-23-5982,江崎グリコ株式会社,江崎勝久,大阪市西淀川区歌島4-6-5,大阪市西淀川区歌島４－６－５,,06-6477-8352,,2021.12.23,,,23,根室市青少年センター,0153,0153-23-5982,,,,根室市牧の内１４６－１６,北海道根室市牧ノ内１４６－１６,,15033,1,1223,牧の内,,,2021/12/23,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪市西淀川区歌島４－６－５,大阪府大阪市西淀川区歌島４－６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,コップ式自動販売機,,届出,,023_北海道_根室保健所_食品衛生()_2021年12月まで全件_末日,I,61,612,,根室市青少年センタ0153-23-5982150331223,c5b44613-d9ba-4989-9904-8d1bd43f7f8d,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,e7cc5e2d-198c-4b09-aae0-c7fe9f34bd25,2021/12/23,根室市青少年センター,根室市青少年センタ,江崎グリコ株式会社
届出,⑬ その他の食料・飲料販売業,(有)ワタリ商店,根室市敷島町２丁目２１番地,根室市敷島町２丁目２１番地,,,有限会社　ワタリ商店,曰理美代子,根室市敷島町２丁目２１番地,根室市敷島町２丁目２１番地,,0153-24-4455,,2021.12.23,,,23,(有)ワタリ商店,0153,,,,,根室市敷島町２丁目２１番地,北海道根室市敷島町２丁目２１番地,,14940,1,1223,敷島町２,,,2021/12/23,,,有限会社　ワタリ商店,曰理美代子,0153-24-4455,根室市敷島町２丁目２１番地,北海道根室市敷島町２丁目２１番地,,14940,北海道,根室市,敷島町２,,,食料品販売業,,届出,,023_北海道_根室保健所_食品衛生()_2021年12月まで全件_末日,A,58,581,5811,有限会社ワタリ商店149401223,2e41776a-6f47-4318-ae3d-fb8c359b51d1,有限会社ワタリ商店14940,f3856eca-797e-412d-9f12-4a32789e9883,5a33e2be-ccd9-4bc6-b69d-38e4c1f593b3,2021/12/23,有限会社ワタリ商店,有限会社ワタリ商店,有限会社ワタリ商店
許可,飲食店営業,ビストロ　DO-EN,根室市緑町２丁目４番地,根室市緑町２丁目４番地,,0153-24-4889,佐藤　英治,,,,,,2021.12.22,2021.12.22,191-121,,23,ビストロ　DO-EN,0153,0153-24-4889,,,,根室市緑町２丁目４番地,北海道根室市緑町２丁目４番地,,15047,1,1223,緑町２,,2021/12/22,2021/12/22,,,,佐藤　英治 ,,,,,,,,,191-121,,飲食店営業,,許可,,023_北海道_根室保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ビストロＤＯＥＮ0153-24-4889150471223,edf1f7f7-28a5-4c03-b0cd-ec878df4ecfa,,personal,a1c7482e-84c3-4fba-8212-0bc0d9920f90,2021/12/22,ビストロ　ＤＯ－ＥＮ,ビストロＤＯＥＮ,
届出,⑬ その他の食料・飲料販売業,(有限会社）しんぱち佐藤商店,根室市緑町2－14,根室市緑町２－１４,,0153-23-3542,有限会社　しんぱち佐藤商店,小坂井見応,根室市緑町2丁目14番地,根室市緑町２丁目１４番地,,0153-23-3542,,2021.12.22,,,23,(有限会社）しんぱち佐藤商店,0153,0153-23-3542,,,,根室市緑町２－１４,北海道根室市緑町２－１４,,15047,1,1223,緑町２,,,2021/12/22,,,有限会社　しんぱち佐藤商店,小坂井見応,0153-23-3542,根室市緑町２丁目１４番地,北海道根室市緑町２丁目１４番地,,15047,北海道,根室市,緑町２,,,食料品販売業,,届出,,023_北海道_根室保健所_食品衛生()_2021年12月まで全件_末日,A,58,581,5811,有限会社しんぱち佐藤商店0153-23-3542150471223,83bd8fce-f342-4e03-9c5f-b3771819a274,有限会社しんぱち佐藤商店15047,979b2eea-f8ca-4bb8-b133-0fe38151870c,d1b7788b-7ccc-4c47-8511-a662046e38da,2021/12/22,（有限会社）しんぱち佐藤商店,有限会社しんぱち佐藤商店,有限会社しんぱち佐藤商店
届出,⑬ その他の食料・飲料販売業,新濱商店,根室市落石西９２番地,根室市落石西９２番地,,,新濱百合子,,,,,,,2021.12.22,,,23,新濱商店,0153,,,,,根室市落石西９２番地,北海道根室市落石西９２番地,,14896,1,1223,落石西,,,2021/12/22,,,,新濱百合子 ,,,,,,,,,,,食料品販売業,,届出,,023_北海道_根室保健所_食品衛生()_2021年12月まで全件_末日,A,58,581,5811,新濱商店148961223,023565a5-668e-4b36-adbf-abbe90435f1c,,personal,3f00d2e3-d89f-4bb0-acba-0bf0d4df8cf7,2021/12/22,新濱商店,新濱商店,
