https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可,魚介類販売業,Yショップサロマ渡辺商店,常呂郡佐呂間町字浜佐呂間２９２－９,常呂郡佐呂間町字浜佐呂間２９２－９,,01587-6-2025,渡邊　愉弥,,,,,,2021/12/28,2021/12/28,2-204,,27,Yショップサロマ渡辺商店,01587,01587-6-2025,,,,常呂郡佐呂間町字浜佐呂間２９２－９,北海道常呂郡佐呂間町字浜佐呂間２９２－９,,21319,1,1552,浜佐呂間,,2021/12/28,2021/12/28,,,,渡邊　愉弥 ,,,,,,,,,2-204,,魚介類販売業,,許可,,027_北海道_紋別保健所_食品衛生()_2021年12月まで全件_末日,I,58,,,Ｙショップサロマ渡辺商店01587-6-2025213191552,a50e7ba5-78fc-4fe5-8f7a-df42d3769be3,,personal,b3477501-d8fb-4158-9711-b31be11f2ebd,2021/12/28,Ｙショップサロマ渡辺商店,Ｙショップサロマ渡辺商店,
許可,飲食店,セイコーマート遠軽西町店,紋別郡遠軽町西町１丁目４－３３,紋別郡遠軽町西町１丁目４－３３,,0158-49-2135,株式会社　佐藤商店,代表取締役　佐藤　敏明,紋別郡遠軽町生田原安国９２番地,紋別郡遠軽町生田原安国９２番地,,0158-46-2040,2021/12/28,2021/12/28,2-199,,27,セイコーマート遠軽西町店,0158,0158-49-2135,,,,紋別郡遠軽町西町１丁目４－３３,北海道紋別郡遠軽町西町１丁目４－３３,,21361,1,1555,西町１,,2021/12/28,2021/12/28,,,株式会社　佐藤商店,代表取締役　佐藤　敏明,0158-46-2040,紋別郡遠軽町生田原安国９２番地,北海道紋別郡遠軽町生田原安国９２番地,,21528,北海道,紋別郡遠軽町,生田原安国,2-199,,飲食店営業,,許可,,027_北海道_紋別保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,セイコマト遠軽西町店0158-49-2135213611555,2acf2219-7c41-4f87-ae98-a8e6bd6a62cc,株式会社佐藤商店21528,f30f36ef-a983-48b5-a543-afdc1fb903c9,88165959-2a9a-4d79-9cb6-cef8c289a684,2021/12/28,セイコーマート遠軽西町店,セイコマト遠軽西町店,株式会社佐藤商店
許可,飲食店,居酒屋　炉ばた,紋別郡遠軽町大通北１丁目,紋別郡遠軽町大通北１丁目,,0158-42-4990,木村　知佐,,,,,,2021/12/28,2021/12/28,2-200,,27,居酒屋　炉ばた,0158,0158-42-4990,,,,紋別郡遠軽町大通北１丁目,北海道紋別郡遠軽町大通北１丁目,,21340,1,1555,大通北１,,2021/12/28,2021/12/28,,,,木村　知佐 ,,,,,,,,,2-200,,飲食店営業,,許可,,027_北海道_紋別保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,居酒屋炉ばた0158-42-4990213401555,3cfe8a33-8c5c-4000-adf9-a88736073f1f,,personal,4c114f62-48bf-4e56-ab6d-df6a53d23cfb,2021/12/28,居酒屋　炉ばた,居酒屋炉ばた,
許可,飲食店,寿しのみうら,紋別郡遠軽町南町２丁目７の８,紋別郡遠軽町南町２丁目７ー８,,,三浦　清二,,,,,,2021/12/28,2021/12/28,2-201,,27,寿しのみうら,0158,,,,,紋別郡遠軽町南町２丁目７ー８,北海道紋別郡遠軽町南町２丁目７－８,,21368,1,1555,南町２,,2021/12/28,2021/12/28,,,,三浦　清二 ,,,,,,,,,2-201,,飲食店営業,,許可,,027_北海道_紋別保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,寿しのみうら213681555,087a3dd4-c3c5-4bfa-a3bd-03f82566f855,,personal,bf352cc3-9561-4924-bfd1-0bc4334ec743,2021/12/28,寿しのみうら,寿しのみうら,
許可,飲食店,ビジネスホテル　タカハシイン,紋別郡遠軽町岩見通北１丁目２番地の２７,紋別郡遠軽町岩見通北１丁目２番地の２７,,0158-42-5251,株式会社　ティープラス,髙橋　義詔,紋別郡遠軽町岩見通北１丁目２番地の２７,紋別郡遠軽町岩見通北１丁目２番地の２７,,0158-42-5251,2021/12/28,2021/12/28,2-202,,27,ビジネスホテル　タカハシイン,0158,0158-42-5251,,,,紋別郡遠軽町岩見通北１丁目２番地の２７,北海道紋別郡遠軽町岩見通北１丁目２番地ノ２７,,21328,1,1555,岩見通北１,,2021/12/28,2021/12/28,,,株式会社　ティープラス,髙橋　義詔,0158-42-5251,紋別郡遠軽町岩見通北１丁目２番地の２７,北海道紋別郡遠軽町岩見通北１丁目２番地ノ２７,,21328,北海道,紋別郡遠軽町,岩見通北１,2-202,,飲食店営業,,許可,,027_北海道_紋別保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ビジネスホテルタカハシイン0158-42-5251213281555,815dbd41-92b9-4f9d-ba25-2f307a4fa3ec,株式会社ティープラス21328,febd80d1-ed44-4b61-a94e-e7fd74a574dc,762e1e33-8b85-4664-9d49-1cd1e1008cd2,2021/12/28,ビジネスホテル　タカハシイン,ビジネスホテルタカハシイン,株式会社ティープラス
許可,飲食店,漁村環境改善総合センター,常呂郡佐呂間町字富武士５４番地１,常呂郡佐呂間町字富武士５４番地１,,,佐呂間漁業協同組合,阿部　與志輝,常呂郡佐呂間町字富武士番外地,常呂郡佐呂間町字富武士番外地,,01587-2-3324,2021/12/28,2021/12/28,2-203,,27,漁村環境改善総合センター,01587,,,,,常呂郡佐呂間町字富武士５４番地１,北海道常呂郡佐呂間町字富武士５４番地１,,21313,1,1552,富武士,,2021/12/28,2021/12/28,,,佐呂間漁業協同組合,阿部　與志輝,01587-2-3324,常呂郡佐呂間町字富武士番外地,北海道常呂郡佐呂間町字富武士番外地,,21313,北海道,常呂郡佐呂間町,富武士,2-203,,飲食店営業,,許可,,027_北海道_紋別保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,漁村環境改善総合センタ213131552,daeab4d4-4949-4891-82af-7b857c899675,佐呂間漁業協同組合21313,b2821408-634f-4870-94f3-e6e9059e303a,32b46222-d326-4c58-8f83-cf273c8506ee,2021/12/28,漁村環境改善総合センター,漁村環境改善総合センタ,佐呂間漁業協同組合
許可,水産製品製造業,丸富渡辺水産　工場,紋別市北浜町２丁目８番１４号,紋別市北浜町２丁目８番１４号,,0158-23-3063,有限会社　丸富渡辺水産,代表取締役　渡辺　岳人,紋別市北浜町２丁目６番３６号,紋別市北浜町２丁目６番３６号,,0158-23-3063,2021/12/28,2021/12/28,2-205,,27,丸富渡辺水産　工場,0158,0158-23-3063,,,,紋別市北浜町２丁目８番１４号,北海道紋別市北浜町２丁目８番１４号,,13816,1,1219,北浜町２,,2021/12/28,2021/12/28,,,有限会社　丸富渡辺水産,代表取締役　渡辺　岳人,0158-23-3063,紋別市北浜町２丁目６番３６号,北海道紋別市北浜町２丁目６番３６号,,13816,北海道,紋別市,北浜町２,2-205,,水産製品製造業,,許可,,027_北海道_紋別保健所_食品衛生()_2021年12月まで全件_末日,E,9,92,,丸富渡辺水産工場0158-23-3063138161219,d8660a86-1924-42a2-9a1e-fb66b4d3f79c,有限会社丸富渡辺水産13816,a464247f-f362-460f-857e-407e7cf365f9,4869f815-82a6-4b2b-8bfa-62ebf3a4657f,2021/12/28,丸富渡辺水産　工場,丸富渡辺水産工場,有限会社丸富渡辺水産
許可,魚介類販売業,生活協同組合コープさっぽろ遠軽みなみ店,紋別郡遠軽町南町３丁目３－１２,紋別郡遠軽町南町３丁目３－１２,,0158-42-3100,生活協同組合コープさっぽろ,代表理事　大見　英明,札幌市西区発寒１１条５丁目１０番１号,札幌市西区発寒１１条５丁目１０番１号,,011-671-5601,2021/12/27,2021/12/27,2-190,,27,生活協同組合コープさっぽろ遠軽みなみ店,0158,0158-42-3100,,,,紋別郡遠軽町南町３丁目３－１２,北海道紋別郡遠軽町南町３丁目３－１２,,21369,1,1555,南町３,,2021/12/27,2021/12/27,,,生活協同組合コープさっぽろ,代表理事　大見　英明,011-671-5601,札幌市西区発寒１１条５丁目１０番１号,北海道札幌市西区発寒十一条５丁目１０番１号,,5093,北海道,札幌市西区,発寒十一条５,2-190,,魚介類販売業,,許可,,027_北海道_紋別保健所_食品衛生()_2021年12月まで全件_末日,I,58,,,生活協同組合コプさっぽろ遠軽みなみ店0158-42-3100213691555,02d75603-097f-4fbc-b2fa-a420caf4de4c,生活協同組合コープさっぽろ5093,5d2a6114-6538-460e-bebf-0eea11420272,0716d6fe-b679-4f11-a2ed-95d314003611,2021/12/27,生活協同組合コープさっぽろ遠軽みなみ店,生活協同組合コプさっぽろ遠軽みなみ店,生活協同組合コープさっぽろ
許可,食肉販売業,生活協同組合コープさっぽろ遠軽みなみ店,紋別郡遠軽町南町３丁目３－１２,紋別郡遠軽町南町３丁目３－１２,,0158-42-3100,生活協同組合コープさっぽろ,代表理事　大見　英明,札幌市西区発寒１１条５丁目１０番１号,札幌市西区発寒１１条５丁目１０番１号,,011-671-5601,2021/12/27,2021/12/27,2-190,,27,生活協同組合コープさっぽろ遠軽みなみ店,0158,0158-42-3100,,,,紋別郡遠軽町南町３丁目３－１２,北海道紋別郡遠軽町南町３丁目３－１２,,21369,1,1555,南町３,,2021/12/27,2021/12/27,,,生活協同組合コープさっぽろ,代表理事　大見　英明,011-671-5601,札幌市西区発寒１１条５丁目１０番１号,北海道札幌市西区発寒十一条５丁目１０番１号,,5093,北海道,札幌市西区,発寒十一条５,2-190,,食肉販売業,,許可,,027_北海道_紋別保健所_食品衛生()_2021年12月まで全件_末日,I,58,583,,生活協同組合コプさっぽろ遠軽みなみ店0158-42-3100213691555,02d75603-097f-4fbc-b2fa-a420caf4de4c,生活協同組合コープさっぽろ5093,5d2a6114-6538-460e-bebf-0eea11420272,8121d49b-88d5-45be-bb30-54dfcf5dcb86,2021/12/27,生活協同組合コープさっぽろ遠軽みなみ店,生活協同組合コプさっぽろ遠軽みなみ店,生活協同組合コープさっぽろ
