https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
更新,飲食店,サロン　砂の城,留萌市錦町２丁目１－１２,留萌市錦町２丁目１－１２,,0164-49-6010,稲寺　利子,,,,,,R312.23,2021.12.23,3-127,,29,サロン　砂の城,0164,0164-49-6010,,,,留萌市錦町２丁目１－１２,北海道留萌市錦町２丁目１－１２,,12562,1,1212,錦町２,,2021/12/23,2021/12/23,,,,稲寺　利子 ,,,,,,,,,3-127,,飲食店営業,,更新,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,サロン砂の城0164-49-6010125621212,676eb473-2f38-470e-b2ac-37ec6d5dc3af,,personal,16138f96-6387-4910-9154-e73cb899135f,2021/12/23,サロン　砂の城,サロン砂の城,
新規,食肉販売業,有限会社ムーミン農産,天塩郡天塩町字オヌプナイ３４６９－１１,天塩郡天塩町字オヌプナイ３４６９－１１,,01632-4-3457,有限会社ムーミン農産,横溝　勇一,天塩郡天塩町字オヌプナイ３７６１番地の２,天塩郡天塩町字オヌプナイ３７６１番地の２,,01632-4-3457,2021.12.24,2021.12.24,3-129,,29,有限会社ムーミン農産,01632,01632-4-3457,,,,天塩郡天塩町字オヌプナイ３４６９－１１,北海道天塩郡天塩町字オヌプナイ３４６９－１１,,701198,1,1487,オヌプナイ,,2021/12/24,2021/12/24,,,有限会社ムーミン農産,横溝　勇一,01632-4-3457,天塩郡天塩町字オヌプナイ３７６１番地の２,北海道天塩郡天塩町字オヌプナイ３７６１番地ノ２,,701198,北海道,天塩郡天塩町,オヌプナイ,3-129,,食肉販売業,,新規,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,I,58,583,,有限会社ムミン農産01632-4-34577011981487,bdfd2562-fd6e-483d-aa4e-c2cd2951de0a,有限会社ムーミン農産701198,d6aed7f3-6d10-4f13-9b49-01828defb216,e49d8a8d-cfc0-4443-bcaa-97f107658106,2021/12/24,有限会社ムーミン農産,有限会社ムミン農産,有限会社ムーミン農産
新規,飲食店,パーラージャイアンツ,留萌市花園町４丁目７－１８,留萌市花園町４丁目７－１８,,0164-42-5545,共立観光有限会社,李　東賢（リ・トンヒョン）,札幌市北区篠路３条６丁目４６番地１２５,札幌市北区篠路３条６丁目４６番地１２５,,011-773-8112,2021.12.23,2021.12.23,3-125,,29,パーラージャイアンツ,0164,0164-42-5545,,,,留萌市花園町４丁目７－１８,北海道留萌市花園町４丁目７－１８,,12569,1,1212,花園町４,,2021/12/23,2021/12/23,,,共立観光有限会社,李　東賢（リ・トンヒョン）,011-773-8112,札幌市北区篠路３条６丁目４６番地１２５,北海道札幌市北区篠路三条６丁目４６番地１２５,,1877,北海道,札幌市北区,篠路三条６,3-125,,飲食店営業,,新規,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,パラジャイアンツ0164-42-5545125691212,a1310a2e-1756-4ef6-a2c9-0ac1ab3b761f,共立観光有限会社1877,f47368d6-4cb4-42d8-a45e-c6c2ff9d41af,9f93f7e5-a7e3-48cf-a67f-791e0fd1cd39,2021/12/23,パーラージャイアンツ,パラジャイアンツ,共立観光有限会社
新規,飲食店,波乃家,留萌市旭町３丁目７０－４,留萌市旭町３丁目７０－４,,0164-42-6899,三浦　弘一,,,,,,2021.12.23,2021.12.23,3-126,,29,波乃家,0164,0164-42-6899,,,,留萌市旭町３丁目７０－４,北海道留萌市旭町３丁目７０－４,,12515,1,1212,旭町３,,2021/12/23,2021/12/23,,,,三浦　弘一 ,,,,,,,,,3-126,,飲食店営業,,新規,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,波乃家0164-42-6899125151212,9d8c2f5d-e185-4ff9-942a-27ea0b5e78fa,,personal,16fed13a-6cc8-4b08-8e11-1eac947e4a3d,2021/12/23,波乃家,波乃家,
新規,飲食店,Hello,留萌市錦町２丁目１－１２,留萌市錦町２丁目１－１２,,0164-56-4278,吉田　直人,,,,,,2021.12.23,2021.12.23,3-128,,29,Hello,0164,0164-56-4278,,,,留萌市錦町２丁目１－１２,北海道留萌市錦町２丁目１－１２,,12562,1,1212,錦町２,,2021/12/23,2021/12/23,,,,吉田　直人 ,,,,,,,,,3-128,,飲食店営業,,新規,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,Ｈｅｌｌｏ0164-56-4278125621212,a23638e7-380e-46d6-b89a-8e79e2161bdb,,personal,38279110-caf0-4af9-8628-3a6e522125ed,2021/12/23,Ｈｅｌｌｏ,Ｈｅｌｌｏ,
新規,飲食店,株式会社フレアサービスさくら園ましけサテライト,増毛郡増毛町南暑寒町９丁目１０５－２介護付有料老人ホームさくら園ましけ内,増毛郡増毛町南暑寒町９丁目１０５－２,介護付有料老人ホームさくら園ましけ内,,株式会社フレアサービス,西村　達一郎,旭川市永山北１条１０丁目４ー６,旭川市永山北１条１０丁目４ー６,,0166-47-8981,2021.12.23,2021.12.23,3-124,,29,株式会社フレアサービスさくら園ましけサテライト,0164,,,,,増毛郡増毛町南暑寒町９丁目１０５－２,北海道増毛郡増毛町南暑寒町９丁目１０５－２,介護付有料老人ホームさくら園ましけ内,20446,1,1481,南暑寒町９,,2021/12/23,2021/12/23,,,株式会社フレアサービス,西村　達一郎,0166-47-8981,旭川市永山北１条１０丁目４ー６,北海道旭川市永山北一条１０丁目４－６,,8822,北海道,旭川市,永山北一条１０,3-124,,飲食店営業,,新規,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,株式会社フレアサビスさくら園ましけサテライト204461481,d38cd38e-5ca5-42da-952f-5e5056551608,株式会社フレアサービス8822,4eb0efed-293f-4eb1-9243-e0486859e291,99621e8a-ba15-4e96-9e5a-732f72ab66a8,2021/12/23,株式会社フレアサービスさくら園ましけサテライト,株式会社フレアサビスさくら園ましけサテライト,株式会社フレアサービス
届出,その他の食料・飲料販売業,ツルハドラッグ羽幌店,苫前郡羽幌町栄町１１７番地５,苫前郡羽幌町栄町１１７番地５,,0164-69-2880,株式会社ツルハ,八幡　政浩,札幌市東区北２４条東２０丁目１番２１号,札幌市東区北２４条東２０丁目１番２１号,,011-783-2754,2021.12.13,,,,29,ツルハドラッグ羽幌店,0164,0164-69-2880,,,,苫前郡羽幌町栄町１１７番地５,北海道苫前郡羽幌町栄町１１７番地５,,20496,1,1484,栄町,,2021/12/13,,,,株式会社ツルハ,八幡　政浩,011-783-2754,札幌市東区北２４条東２０丁目１番２１号,北海道札幌市東区北二十四条東２０丁目１番２１号,,2504,北海道,札幌市東区,北二十四条東２０,,,その他の食料品製造・加工業,(包装),届出,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,E,9,99,,ツルハドラッグ羽幌店0164-69-2880204961484,1fd107d5-1d0f-4d11-a6bc-e06212ef9f04,株式会社ツルハ2504,80b4ac1c-c47b-419c-b2c8-584679759b41,c5c4e5c4-ca76-4376-bd14-16ece33f175c,2021/12/01,ツルハドラッグ羽幌店,ツルハドラッグ羽幌店,株式会社ツルハ
届出,集団給食施設,天塩町立天塩中学校,天塩郡天塩町川口５７０５－１,天塩郡天塩町川口５７０５－１,,01632-2-1522,天塩町,佐々木　裕之,天塩郡天塩町新栄通８丁目１４６６番地の１１３,天塩郡天塩町新栄通８丁目１４６６番地の１１３,,01632-2-1001,2021.12.9,,,,29,天塩町立天塩中学校,01632,01632-2-1522,,,,天塩郡天塩町川口５７０５－１,北海道天塩郡天塩町川口５７０５－１,,701199,1,1487,川口,,2021/12/09,,,,天塩町,佐々木　裕之,01632-2-1001,天塩郡天塩町新栄通８丁目１４６６番地の１１３,北海道天塩郡天塩町新栄通８丁目１４６６番地ノ１１３,,20658,北海道,天塩郡天塩町,新栄通８,,,給食施設,,届出,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,M,77,,,天塩町立天塩中学校01632-2-15227011991487,8de8c163-5152-4a0b-b5e2-def3260c7294,20658,632a2fc4-37da-4dd4-934a-00813f3146fb,f3a5b638-7ab1-4f38-951a-43d024ae2587,2021/12/01,天塩町立天塩中学校,天塩町立天塩中学校,
届出,集団給食施設,天塩町立天塩小学校,天塩郡天塩町新栄通４丁目,天塩郡天塩町新栄通４丁目,,01632-2-1046,天塩町,佐々木　裕之,天塩郡天塩町新栄通８丁目１４６６番地の１１３,天塩郡天塩町新栄通８丁目１４６６番地の１１３,,01632-2-1026,2021.12.9,,,,29,天塩町立天塩小学校,01632,01632-2-1046,,,,天塩郡天塩町新栄通４丁目,北海道天塩郡天塩町新栄通４丁目,,20622,1,1487,新栄通４,,2021/12/09,,,,天塩町,佐々木　裕之,01632-2-1026,天塩郡天塩町新栄通８丁目１４６６番地の１１３,北海道天塩郡天塩町新栄通８丁目１４６６番地ノ１１３,,20658,北海道,天塩郡天塩町,新栄通８,,,給食施設,,届出,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,M,77,,,天塩町立天塩小学校01632-2-1046206221487,9b450862-9a96-4b02-909d-050c519195a6,20658,632a2fc4-37da-4dd4-934a-00813f3146fb,8bba1c6b-4865-4c46-b60f-3d8558500b39,2021/12/01,天塩町立天塩小学校,天塩町立天塩小学校,
届出,集団給食施設,天塩町立啓徳小学校,天塩郡天塩町字オヌプナイ３４７０－１,天塩郡天塩町字オヌプナイ３４７０－１,,01632-4-3350,天塩町,佐々木　裕之,天塩郡天塩町新栄通８丁目１４６６番地の１１３,天塩郡天塩町新栄通８丁目１４６６番地の１１３,,01632-2-1001,2021.12.9,,,,29,天塩町立啓徳小学校,01632,01632-4-3350,,,,天塩郡天塩町字オヌプナイ３４７０－１,北海道天塩郡天塩町字オヌプナイ３４７０－１,,701198,1,1487,オヌプナイ,,2021/12/09,,,,天塩町,佐々木　裕之,01632-2-1001,天塩郡天塩町新栄通８丁目１４６６番地の１１３,北海道天塩郡天塩町新栄通８丁目１４６６番地ノ１１３,,20658,北海道,天塩郡天塩町,新栄通８,,,給食施設,,届出,,029_北海道_留萌保健所_食品衛生()_2021年12月まで全件_末日,M,77,,,天塩町立啓徳小学校01632-4-33507011981487,8ff906bf-eb0d-4550-957f-20a66efc4e13,20658,632a2fc4-37da-4dd4-934a-00813f3146fb,d86b8a0d-fafd-47eb-a306-794062d853a2,2021/12/01,天塩町立啓徳小学校,天塩町立啓徳小学校,
