https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,,,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
許可,飲食店営業,GARAGE BOX,上川郡東神楽町９号北３,上川郡東神楽町９号,北３,,佐渡誠一,,,,,,2021.12.22,2021.12.22,上保生第35-132号,,30,GARAGE BOX,0166,,,,,上川郡東神楽町９号,北海道上川郡東神楽町９号,北３,19296,1,1453,９号,,2021/12/22,2021/12/22,,,,佐渡誠一 ,,,,,,,,,上保生第35-132号,,飲食店営業,,許可,,030_北海道_上川保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ＧＡＲＡＧＥＢＯＸ192961453,3d650090-d632-4e85-a9f7-4901052318aa,,personal,33118140-def7-4702-ad92-60459d16e1a1,2021/12/22,ＧＡＲＡＧＥ　ＢＯＸ,ＧＡＲＡＧＥＢＯＸ,
届出,コーヒー製造・加工業（飲料の製造を除く。）,せんたく豆珈琲渥美屋,,,,,中川恭子,,,,,,2021.12.17,,,,30,せんたく豆珈琲渥美屋,,,,,,,北海道,,,1,,,,2021/12/17,,,,,中川恭子 ,,,,,,,,,,,コーヒー製造・加工業,（飲料の製造を除く。）,届出,,030_北海道_上川保健所_食品衛生()_2021年12月まで全件_末日,E,10,103,1032,せんたく豆珈琲渥美屋,81143bef-9ecc-4598-8e7b-e2da7c5220c0,,personal,680574eb-4961-4696-b77a-ca9fdd2161f1,2021/12/01,せんたく豆珈琲渥美屋,せんたく豆珈琲渥美屋,
届出,コンビニエンスストア,セブンイレブン上川当麻店,上川郡当麻町四条東２丁目1-1,上川郡当麻町四条東２丁目１－１,,0166-84-3065,有限会社エムエイ　ナカトミ,中富正弘,上川郡当麻町四条東2丁目1番1号,上川郡当麻町四条東２丁目１番１号,,0166-84-3065,2021.12.15,,,,30,セブンイレブン上川当麻店,0166,0166-84-3065,,,,上川郡当麻町四条東２丁目１－１,北海道上川郡当麻町四条東２丁目１－１,,19257,1,1454,四条東２,,2021/12/15,,,,有限会社エムエイ　ナカトミ,中富正弘,0166-84-3065,上川郡当麻町四条東２丁目１番１号,北海道上川郡当麻町四条東２丁目１番１号,,19257,北海道,上川郡当麻町,四条東２,,,コンビニエンスストア,,届出,,030_北海道_上川保健所_食品衛生()_2021年12月まで全件_末日,I,58,589,5891,セブンイレブン上川当麻店0166-84-3065192571454,d0446a16-0529-44a6-8d8f-b72066ac6b71,有限会社エムエイ　ナカトミ19257,26fac4cc-e3c0-4f9b-852f-b9bafc186079,0e894658-f4fa-4ecc-b482-ab6708a9b213,2021/12/01,セブンイレブン上川当麻店,セブンイレブン上川当麻店,有限会社エムエイ　ナカトミ
許可,飲食店営業,ぢま弁,上川郡鷹栖町１９線１１号２番地,上川郡鷹栖町１９線１１号,２番地,0166-87-3855,中島雅美,,,,,,2021.12.14,2021.12.14,上保生第35-128号,,30,ぢま弁,0166,0166-87-3855,,,,上川郡鷹栖町１９線１１号,北海道上川郡鷹栖町１９線１１号,２番地,19198,1,1452,１９線,,2021/12/14,2021/12/14,,,,中島雅美 ,,,,,,,,,上保生第35-128号,,飲食店営業,,許可,,030_北海道_上川保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ぢま弁0166-87-3855191981452,73aa5bc4-e07d-4bb2-8557-33ff64942f7d,,personal,cdcbf95b-5519-401e-bd1f-c6e21465ca66,2021/12/14,ぢま弁,ぢま弁,
許可,飲食店営業,キャンモアスキービレッジレストランアルバータ,上川郡東川町西５号北７線,上川郡東川町西５号,北７線,0166-82-2333,(株)北の恵,西川淳史,富良野市花園町３番６５号,富良野市花園町３番６５号,,0167-22-4664,2021.12.14,2021.12.14,上保生第35-129号,,30,キャンモアスキービレッジレストランアルバータ,0166,0166-82-2333,,,,上川郡東川町西５号,北海道上川郡東川町西５号北,７線,19376,1,1458,西５号北,,2021/12/14,2021/12/14,,,(株)北の恵,西川淳史,0167-22-4664,富良野市花園町３番６５号,北海道富良野市花園町３番６５号,,16194,北海道,富良野市,花園町,上保生第35-129号,,飲食店営業,,許可,,030_北海道_上川保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,キャンモアスキビレッジレストランアルバタ0166-82-2333193761458,52d06396-d1d8-4eb1-9a9a-22c95a55e7b3,株式会社北の恵16194,868ce473-ce69-4610-a8c2-adbdab2d8d4e,3c354f73-6253-4d49-aa1b-61c2e58511a1,2021/12/14,キャンモアスキービレッジレストランアルバータ,キャンモアスキビレッジレストランアルバタ,株式会社北の恵
許可,飲食店営業,(株)一久安原商事,上川郡東川町南町１丁目１－１,上川郡東川町南町１丁目１－１,,0166-82-2432,(株)一久安原商事,安原裕貴,上川郡東川町南町１丁目１番１号,上川郡東川町南町１丁目１番１号,,0166-82-2432,2021.12.14,2021.12.14,上保生第35-130号,,30,(株)一久安原商事,0166,0166-82-2432,,,,上川郡東川町南町１丁目１－１,北海道上川郡東川町南町１丁目１－１,,19415,1,1458,南町１,,2021/12/14,2021/12/14,,,(株)一久安原商事,安原裕貴,0166-82-2432,上川郡東川町南町１丁目１番１号,北海道上川郡東川町南町１丁目１番１号,,19415,北海道,上川郡東川町,南町１,上保生第35-130号,,飲食店営業,,許可,,030_北海道_上川保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,株式会社一久安原商事0166-82-2432194151458,fef95f30-d3c7-4c5a-b7c2-d59af68d0509,株式会社一久安原商事19415,f0e2384d-c30c-4fe9-8a52-12b5414701e2,3eb2c88c-5621-4690-9cc6-0178cdaba84a,2021/12/14,株式会社一久安原商事,株式会社一久安原商事,株式会社一久安原商事
許可,魚介類販売業,(株)一久安原商事,上川郡東川町南町１丁目１－１,上川郡東川町南町１丁目１－１,,0166-82-2432,(株)一久安原商事,安原裕貴,上川郡東川町南町１丁目１番１号,上川郡東川町南町１丁目１番１号,,0166-82-2432,2021.12.14,2021.12.14,上保生第35-131号,,30,(株)一久安原商事,0166,0166-82-2432,,,,上川郡東川町南町１丁目１－１,北海道上川郡東川町南町１丁目１－１,,19415,1,1458,南町１,,2021/12/14,2021/12/14,,,(株)一久安原商事,安原裕貴,0166-82-2432,上川郡東川町南町１丁目１番１号,北海道上川郡東川町南町１丁目１番１号,,19415,北海道,上川郡東川町,南町１,上保生第35-131号,,魚介類販売業,,許可,,030_北海道_上川保健所_食品衛生()_2021年12月まで全件_末日,I,58,,,株式会社一久安原商事0166-82-2432194151458,fef95f30-d3c7-4c5a-b7c2-d59af68d0509,株式会社一久安原商事19415,f0e2384d-c30c-4fe9-8a52-12b5414701e2,036f5680-e3ce-45ba-9527-218624289368,2021/12/14,株式会社一久安原商事,株式会社一久安原商事,株式会社一久安原商事
許可,飲食店営業,地域活動支援センターかたくり,上川郡東川町東町４丁目１５－１２,上川郡東川町東町４丁目１５－１２,,0166-82-6022,中條幸吉,,,,,,2021.12.13,2021.12.13,上保生第35-126号,,30,地域活動支援センターかたくり,0166,0166-82-6022,,,,上川郡東川町東町４丁目１５－１２,北海道上川郡東川町東町４丁目１５－１２,,19432,1,1458,東町４,,2021/12/13,2021/12/13,,,,中條幸吉 ,,,,,,,,,上保生第35-126号,,飲食店営業,,許可,,030_北海道_上川保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,地域活動支援センタかたくり0166-82-6022194321458,96032753-20d7-4253-b33d-c8a58864e7ed,,personal,bd24396b-441f-476f-84bd-17292bf7d3a4,2021/12/13,地域活動支援センターかたくり,地域活動支援センタかたくり,
許可,飲食店営業,ノマド,上川郡東川町東町２丁目３－２０,上川郡東川町東町２丁目３－２０,,,小畑吾郎,,,,,,2021.12.13,2021.12.13,上保生第35-127号,,30,ノマド,0166,,,,,上川郡東川町東町２丁目３－２０,北海道上川郡東川町東町２丁目３－２０,,19430,1,1458,東町２,,2021/12/13,2021/12/13,,,,小畑吾郎 ,,,,,,,,,上保生第35-127号,,飲食店営業,,許可,,030_北海道_上川保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ノマド194301458,659a10c3-40f1-4c42-a393-06deaa7904cd,,personal,23e6ea3f-3e3b-4b1d-a77c-0bc27ce32ef4,2021/12/13,ノマド,ノマド,
