№,営業所所在地,営業所方書,屋号,営業者名,代表者名,営業所電話,許可番号
,業種,,営業者住所,営業者電話,初回許可年月日,許可年月日,許可満了日
1,東京都中野区南台三丁目１３番１２号,１Ｆ,ケノヒノパン,鈴木  崇志,,,"3中健衛食第
2042号"
,飲食店営業,,※※※※※※※※※※,,R04/04/12,R04/04/12,R11/04/30
2,東京都中野区南台三丁目１３番１２号,１Ｆ,ケノヒノパン,鈴木  崇志,,,"3中健衛食第
2043号"
,菓子製造業,,※※※※※※※※※※,,R04/04/12,R04/04/12,R11/04/30
3,東京都中野区南台五丁目２２番１７号,,中野区立南中野中学校  給食室,株式会社藤江,益子  純子,03-5625-5811,"3中健衛食第
2050号"
,飲食店営業,,東京都墨田区両国一丁目１０番７号,03-5625-5811,R04/04/06,R04/04/06,R11/04/30
4,東京都中野区弥生町二丁目２２番５号,幸ビル２Ｆ,ニクスケ,岩淵  大樹,,,"4中健衛食第
102号"
,飲食店営業,,※※※※※※※※※※,,R04/05/25,R04/05/25,R11/05/31
5,東京都中野区弥生町二丁目２６番９号,地下１階,鳥貴族  中野新橋店,株式会社鳥貴族,江野澤  暢男,5342-9550,"3中健衛食第
2013号"
,飲食店営業,,大阪府大阪市浪速区立葉一丁目２番 １２号,06-6562-5333,R04/04/01,R04/04/01,R11/03/31
6,東京都中野区弥生町二丁目３２番１５号,三恵ＳＴビルＢ１階Ｂ号室,アニメバー  ノヴァ,株式会社エムズコンサルティング,中村  真人,03-6304-8093,"3中健衛食第
2053号"
,飲食店営業,,東京都千代田区鍛冶町二丁目１１番１ ８号,,R04/04/04,R04/04/04,R11/04/30
7,東京都中野区弥生町三丁目２７番１８号,,富士鮨,金丸  富美男,,3373-1568,"4中健衛食第
6号"
,飲食店営業,,※※※※※※※※※※,※※※※※,R04/04/11,R04/04/11,R10/04/30
8,東京都中野区弥生町三丁目３３番１号,弥生パレス１階,ＡＶＶＥＮＴＵＲＡ,株式会社ＡＶＶＥＮＴＵＲＡ,佐伯  敏也,03-5350-0657,"3中健衛食第
1995号"
,飲食店営業,,東京都中野区弥生町三丁目３３番１号,03-5350-0657,R04/04/01,R04/04/01,R11/03/31
9,東京都中野区弥生町五丁目２７番１号,Ａ号室,中華料理  酒當,株式会社魚水フードサービス,曹  亮,3380-0525,"4中健衛食第
49号"
,飲食店営業,,東京都中野区弥生町五丁目２７番１号協和ビル参番館１Ａ,,R04/04/22,R04/04/22,R11/04/30
10,東京都中野区本町一丁目２８番２号,,相生,尾形  裕子,,,"3中健衛食第
2049号"
,飲食店営業,,※※※※※,※※※※※,R04/04/11,R04/04/11,R11/04/30
11,東京都中野区本町二丁目４５番１４号,,中野たから幼稚園  アイコーメディカル,株式会社アイコーメディカル,加藤  弥生,,"3中健衛食第
1979号"
,飲食店営業,,愛知県小牧市高根一丁目２００番地,0568-78-0966,R04/04/07,R04/04/07,R11/04/30
