No,屋号,施設郵便番号,施設所在地（市区町村）,施設所在地（町域）,施設所在地（番地等）,施設所在地（マンション名等）,施設電話番号,業種,営業者氏名（個人又は法人名）,営業者電話番号（法人のみ）,初回許可年月日,許可年月日,許可開始日,許可番号
1,呑処　由花,8100034,福岡市中央区,笹丘,1-36-25,,,① 飲食店営業,株式会社イナミ,0929857442,2022.7.1,2022.7.1,2022.7.1,福中保衛第2022010232号
2,トレ　バンビーノ,8100012,福岡市中央区,白金2-15-7,,,092-534-4460,① 飲食店営業,株式会社ナガノ,092-534-4460,2022.7.4,2022.7.4,2022.7.4,福中保衛第2022010255号
3,ASAGI nomake,8100073,福岡市中央区,舞鶴1-8-38-603,,,092-707-3112,① 飲食店営業,株式会社ノーメイク,0927073112,2022.7.4,2022.7.4,2022.7.4,福中保衛第2022010270号
4,DogCafe＆BarCoins,8100004,福岡市中央区,渡辺通5丁目14番25号,,深町ビル302,,① 飲食店営業,株式会社K Coins Japan,,2022.7.5,2022.7.5,2022.7.5,福中保衛第2022010236号
5,①福岡三越【バラモン食堂】食品催事場,8108544,福岡市中央区,天神,2丁目1-1,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.5,2022.7.5,2022.7.5,福中保衛第2022010289号
6,②福岡三越【新羅】食品催事場,8108544,福岡市中央区,天神,2丁目1-1,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.5,2022.7.5,2022.7.5,福中保衛第2022010292号
7,まぐろ一番本舗,8100001,福岡市中央区,天神一丁目４番１号　東館B２　イベントステージ,,,,① 飲食店営業,株式会社博多大丸,092-712-8181,2022.7.6,2022.7.6,2022.7.6,福中保衛第2022010274号
8,②岩田屋本店【萌水産】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.6,2022.7.6,2022.7.6,福中保衛第2022010280号
9,①岩田屋本店【菜緒家】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.6,2022.7.6,2022.7.6,福中保衛第2022010288号
10,和牛　PINFU,8100074,福岡市中央区,大手門3丁目7番9-1号,,We大濠公園1F,092-753-9129,① 飲食店営業,株式会社NEXT EIGHT,092-753-7799,2022.7.6,2022.7.6,2022.7.6,福中保衛第2022010269号
11,和牛　PINFU,8100074,福岡市中央区,大手門3丁目7番9-1号,,We大濠公園1F,092-753-9129,③ 食肉販売業,株式会社NEXT EIGHT,092-753-7799,2022.7.6,2022.7.6,2022.7.6,福中保衛第2022010227号
12,ほっともっと港町店,8100075,福岡市中央区,港2丁目9番13号,,,092-713-0273,① 飲食店営業,合同会社Chodo-E,0927712321,2022.7.6,2022.7.6,2022.7.6,福中保衛第2022010222号
13,Stand by us,8100041,福岡市中央区,大名2丁目,1-17,ムラサキプレイス101,0927072081,① 飲食店営業,株式会社ＯＮＥ　ＤＲＯＰ,0927133315,2022.7.7,2022.7.7,2022.7.7,福中保衛第2022010277号
14,TAGSTÅ,8100003,福岡市中央区,春吉1-7-11,,スペースキューブビル1F,092-724-7721,① 飲食店営業,株式会社tagsta,092-724-7721,2022.7.8,2022.7.8,2022.7.8,福中保衛第2022010281号
15,BMCafe＆Bar,8100012,福岡市中央区,白金2丁目4-2,,,0927916723,① 飲食店営業,株式会社BMC,0927751586,2022.7.8,2022.7.8,2022.7.8,福中保衛第2022010249号
16,薬院店舗,8100022,福岡市中央区,薬院１丁目,１４−２１,白石第二アパート２３号,,⑪ 菓子製造業,株式会社ブルームロード,,2022.7.11,2022.7.11,2022.7.11,福中保衛第2022010230号
17,梵,8100002,福岡市中央区,西中洲1番21号6F,,,,① 飲食店営業,株式会社別天,,2022.7.12,2022.7.12,2022.7.12,福中保衛第2022010239号
18,star cheese,8100005,福岡市中央区,清川3丁目,29-2,,,① 飲食店営業,春野デザイン株式会社,0925318080,2022.7.12,2022.7.12,2022.7.12,福中保衛第2022010252号
19,福岡三越【佐近】食品催事場,8108544,福岡市中央区,天神,2丁目1-1,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.12,2022.7.12,2022.7.12,福中保衛第2022010295号
20,Melon de melon　六本松店,8100044,福岡市中央区,六本松2丁目10番24号,,サンド渡邊ビル101,092-716-2500,① 飲食店営業,株式会社isisホールディングス,0968578704,2022.7.12,2022.7.12,2022.7.12,福中保衛第2022010216号
21,Melon de melon　六本松店,8100044,福岡市中央区,六本松2丁目10番24号,,サンド渡邊ビル101,092-716-2500,⑪ 菓子製造業,株式会社isisホールディングス,0968578704,2022.7.12,2022.7.12,2022.7.12,福中保衛第2022010233号
22,SANDŌ SPACE,8100003,福岡市中央区,春吉2丁目12-5,,花扇ビル4F,,① 飲食店営業,株式会社gambler,,2022.7.13,2022.7.13,2022.7.13,福中保衛第2022010231号
23,歌舞多屋,8100001,福岡市中央区,天神一丁目４番１号　東館B２　イベントステージ,,,,① 飲食店営業,株式会社博多大丸,092-712-8181,2022.7.13,2022.7.13,2022.7.13,福中保衛第2022010272号
24,②岩田屋本店【新羅】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.13,2022.7.13,2022.7.13,福中保衛第2022010299号
25,①岩田屋本店【まるじゅう】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,⑪ 菓子製造業,株式会社岩田屋三越,0927211111,2022.7.13,2022.7.13,2022.7.13,福中保衛第2022210049号
26,TRIAXISヒルトン福岡シーホーク　SOTOCOCLUB,8108650,福岡市中央区,地行浜,2-2-3,TRIAXISヒルトン福岡シーホーク　5F,0928447700,① 飲食店営業,株式会社linkworks,0783276033,2022.7.15,2022.7.15,2022.7.15,福中保衛第2022010114号
27,居酒屋　えんや,8100001,福岡市中央区,天神二丁目8番22号,,ウエストサイド天神ビル5F,092-717-5321,① 飲食店営業,合同会社 DEA,,2022.7.15,2022.7.15,2022.7.15,福中保衛第2022010181号
