№,申請者＿申請者名,申請者＿役職名,申請者＿代表者,申請者＿電話番号,所在地１,所在地２,施設電話番号（所在地）,施設＿名称（屋号・商号）１,施設＿名称（屋号・商号）２,業種,確認番号（許可番号）,許可年月日（初回及び最新の許可年月日）,新規又は更新
1,有限会社  ゆがわら,取締役,萩原  丈太郎,0465-62-4151,足柄下郡箱根町,強羅１３００－２３８,0460-82-2229,源泉茶寮  玄  箱根強羅,４階  調理場,飲食店営業,第2022-001-0136号,R04.07.01,新規
2,岡本  和人,,,*,小田原市栢山２５５４－２,,*,岡本豆腐店,,豆腐製造業,第2022-029-0003号,R04.07.01,新規
3,パートナーズ株式会社,代表取締役,笠立  富士夫,0465-20-9880,小田原市国府津２６１９－１,,0465-43-8885,小田原食堂,,飲食店営業,第2022-001-0131号,R04.07.01,新規
4,ＡＮＵＰＡＭ合同会社,代表社員,カレルキリシュナ・プロサド,*,小田原市中里１８５－３１,,0465-49-5188,ＤＡＬ  ＭＡＳＡＬＡ,,飲食店営業,第2022-001-0155号,R04.07.01,新規
5,青木  繁,,,*,足柄下郡真鶴町,岩７３２、７２３－２、７２４－１,*,ペンション  奥,,飲食店営業,第2022-001-0119号,R04.07.01,新規
6,中村  博子,,,*,足柄下郡湯河原町土肥１－４－３０,,0465-62-3076,う乃,,飲食店営業,第2022-001-0120号,R04.07.01,新規
7,株式会社  平塚富士キッチン,代表取締役,岩田  直樹,0463-54-9388,小田原市下大井４７２－１,,0465-38-1281,海鮮問屋  ふじ丸水産,,水産製品製造業,第2022-071-0006号,R04.07.01,新規
8,株式会社  平塚富士キッチン,代表取締役,岩田  直樹,0463-54-9388,小田原市下大井４７２－１,,0465-38-1281,海鮮問屋  ふじ丸水産,,そうざい製造業,第2022-032-0004号,R04.07.01,新規
9,株式会社  海風屋,代表取締役,矢野  晃,0460-85-5258,足柄下郡箱根町湯本２０３,湯本マンション１０３号室,0460-83-8350,フライングチキン,,飲食店営業,第2022-001-0164号,R04.07.01,新規
10,俵石ホテルアンドリゾート株式会社,代表取締役,中田  眞司,0460-83-9090,足柄下郡箱根町仙石原１２９０,,0460-83-9090,箱根リトリート  ベーカリー,,菓子製造業,第2022-003-0017号,R04.07.04,新規
11,株式会社  音流,代表取締役,衛藤  昌弘,03-3446-6646,足柄下郡真鶴町真鶴１９４７－９８,,0465-68-5888,ＡＭＡＹＡ,,菓子製造業,第2022-003-0018号,R04.07.04,新規
12,俵石ホテルアンドリゾート株式会社,代表取締役,中田  眞司,0460-83-9090,足柄下郡箱根町仙石原１２９０,,0460-83-9090,ウッドサイドレストラン,,飲食店営業,第2022-001-0133号,R04.07.04,新規
13,畠山  良巳,,,*,小田原市酒匂２－３５－１１,,*,バーディー,,飲食店営業,第2022-001-0138号,R04.07.05,新規
14,青柳  広美,,,,小田原市中曽根４５－１,,0465-46-7872,スナックきらら,,飲食店営業,第2022-001-0135号,R04.07.05,新規
15,有限会社  ホウユウ,取締役,中西  陽一郎,0465-24-1811,足柄下郡箱根町湯本茶屋１３９－５,,0460-85-8403,箱根パークス吉野  従業員食堂,（有）ホウユウ,飲食店営業,第2022-001-0150号,R04.07.06,新規
16,箱根湖畔開発株式会社,代表取締役,石村  隆生,0460-84-5656,足柄下郡箱根町仙石原１２４２,,0460-84-8661,箱根湖畔開発株式会社,グリーンショップ５,飲食店営業,第2022-001-0141号,R04.07.06,新規
17,箱根湖畔開発株式会社,代表取締役,石村  隆生,0460-84-5656,足柄下郡箱根町仙石原１２４２,,0460-84-8661,箱根湖畔開発株式会社,グリーンショップ１４,飲食店営業,第2022-001-0142号,R04.07.06,新規
18,有限会社十勝,取締役,大滝  靖生,0465-20-4440,足柄下郡箱根町強羅１３００－４０７,,0460-83-8118,箱根の森のパンケーキ,,飲食店営業,第2022-001-0117号,R04.07.06,新規
19,有限会社  蒲寅,代表取締役,廣田  則弘,0465-62-2876,足柄下郡湯河原町宮上３６６－８,,0465-62-2876,有限会社  蒲寅,,魚介類販売業,第2022-014-0011号,R04.07.07,新規
20,有限会社  蒲寅,代表取締役,廣田  則弘,0465-62-2876,足柄下郡湯河原町宮上３６６－８,,0465-62-2876,有限会社  蒲寅,,菓子製造業,第2022-003-0014号,R04.07.07,新規
21,合同会社  ＫＩＮＹＡ  ＯＦＦＩＣＥ,代表社員,結城  金也,045-878-1717,足柄下郡湯河原町土肥６－７－４,,0465-62-7010,スナック２１（トニーワン）,,飲食店営業,第2022-001-0166号,R04.07.07,新規
22,水野  孝幸,,,*,足柄下郡湯河原町中央３－８－２,,*,酒菜みずの,,飲食店営業,第2022-001-0160号,R04.07.07,新規
23,伊藤  洋子,,,*,小田原市前川１９１－２,,*,こころ亭,,飲食店営業,第2022-001-0153号,R04.07.07,新規
24,豊岡  敬子,,,*,小田原市蓮正寺１３３－１,Ｋ・Ｒプラザ１０３,0465-37-8580,パティスリー  プティ  タ  プティ,,菓子製造業,第2022-003-0016号,R04.07.07,新規
25,有限会社  風間豆富店,代表取締役,風間  亨,0465-22-3424,小田原市板橋８２,,0465-22-3424,キッチン  かざま舎,,菓子製造業,第2022-003-0015号,R04.07.08,新規
26,コンパスグループ・ジャパン株式会社,代表取締役,石田  隆嗣,03-3984-0795,小田原市風祭２４５,,0465-23-0181,鈴廣蒲鉾本店食堂,,飲食店営業,第2022-001-0168号,R04.07.08,新規
27,小倉  武史,,,*,足柄下郡箱根町宮城野９２０－１,,*,おぐら屋,,飲食店営業,第2022-001-0158号,R04.07.08,新規
28,株式会社  エステルノ,代表取締役,北野  寧音,*,小田原市扇町２－１６－１０,味のプラザ２０２,*,ＢＡＲ  ｅｄｅｎ,,飲食店営業,第2022-001-0137号,R04.07.08,新規
29,伊藤  真樹美,,,*,小田原市栢山２０９７,大野ビル１Ｆ,*,エプーゼ,,飲食店営業,第2022-001-0159号,R04.07.11,新規
30,岩田  康代,,,*,小田原市栢山２５８０－４,,*,和カフェ  ＣｈａＣｈａ,,飲食店営業,第2022-001-0167号,R04.07.12,新規
31,株式会社  いしい,代表取締役,石井  安江,0465-20-7362,小田原市矢作１１－１,,0465-20-7362,株式会社  いしい,,食品の小分け業,第2022-079-0001号,R04.07.13,新規
32,清水  勇也,,,*,小田原市鴨宮１３８,みつゆきコーポ１０２号,*,名古屋メシ  居酒屋  清水屋,,飲食店営業,第2022-001-0157号,R04.07.13,新規
33,北村  智昭,,,*,足柄下郡湯河原町吉浜２０３０－２９,,*,ボン・ファーム農園,,菓子製造業,第2022-003-0019号,R04.07.15,新規
34,Ｃ－Ｕｎｉｔｅｄ株式会社,代表取締役,友成  勇樹,03-6432-0083,小田原市栄町２－８－２０宮澤商事ビル１Ｆ,,0465-20-2520,カフェ．ベローチェ  小田原ダイヤ街店,,飲食店営業,第2022-001-0170号,R04.07.15,新規
35,有限会社  牧智商店,代表取締役,牧  邦夫,0460-84-9762,足柄下郡箱根町仙石原９２８－１,,0460-84-4040,居酒屋  まき,,飲食店営業,第2022-001-0185号,R04.07.15,新規
36,合資会社  籠常商店,代表社員,石黒  玲子,0465-23-1807,小田原市本町３－２－１２,,0465-23-1807,合資会社  籠常商店,,水産製品製造業,第2022-071-0010号,R04.07.15,新規
37,株式会社  樹龍,代表取締役,杉山直樹,0465-21-5785,小田原市栄町１－１４－５４,込山ビル３Ｆ,0465-21-5778,ふわり,,飲食店営業,第2022-001-0182号,R04.07.19,新規
38,竹内  茉耶,,,*,小田原市栄町３－５－１４,,*,＠ＹｏＬｏ’ｚ  Ｓｔａ．,,飲食店営業,第2022-001-0190号,R04.07.19,新規
