№,営業所所在地,営業所方書,屋号,営業者名,代表者名,営業所電話,許可番号,業種,法人番号,営業者住所,営業者電話,初回許可年月日,許可年月日,許可満了日
1,東京都墨田区両国四丁目３７番１３号,,Ｈａｗａｉｉａｎ  Ｋｉｔｃｈｅｎ Ｍｏａｎａ,株式会社ＨｅＡｒｔ,石原志織,,4墨福衛生食ほ第0097号,飲食店営業,7011001125935,東京都渋谷区本町四丁目４７番１１号,,R04/05/11,R04/05/11,R11/05/31
2,東京都墨田区緑一丁目６番３号,あさみパレス１階,どぅみぐら道場,株式会社ファインフードシステムズ,三宅伸幸,03-5669-0260,4墨福衛生食ほ第0127号,飲食店営業,8010401025587,東京都港区赤坂三丁目２１番６号,03-3505-2288,R04/05/30,R04/05/30,R11/05/31
3,東京都墨田区緑四丁目１３番２号,高澤ビル１階,ウッドギャラリー  樹,株式会社山康商店,山﨑尚,,4墨福衛生食ほ第0077号,飲食店営業,3010601007282,東京都江東区木場三丁目７番１６号,03-6240-3475,R04/05/02,R04/05/02,R10/05/31
4,東京都墨田区菊川二丁目５番１０号,,ファミリーマート墨田菊川駅前店,株式会社ｙｏｓｈｉ美,石﨑賢,,4墨福衛生食ほ第0126号,飲食店営業,4011801039247,東京都足立区大谷田三丁目１２番２ ９号,,R04/05/26,R04/05/26,R10/05/31
5,東京都墨田区菊川三丁目９番６‐１ ０１号,,味彩  悠,鈴木  英行,,,4墨福衛生食ほ第0046号,飲食店営業,,※※※※※,,R04/05/19,R04/05/19,R10/05/31
6,東京都墨田区江東橋二丁目６番１２号,三経８５ビル６階６０１号室,ＢＡＲ  Ｎｉｋａ,林  龍一,,,4墨福衛生食ほ第0112号,飲食店営業,,※※※※※※※※※※,,R04/05/20,R04/05/20,R10/05/31
7,東京都墨田区江東橋三丁目５番１号,第一立田ビル３階３０２号室,ＢＡＲ  Ｈ,井口  郁哉,,,4墨福衛生食ほ第0085号,飲食店営業,,※※※※※※※※※※,,R04/05/10,R04/05/10,R10/05/31
8,東京都墨田区江東橋三丁目５番２号,サーストンビル３階３０３号室,３５２,株式会社Ａｖｅｎｃｉａ,松原  秀人,,4墨福衛生食ほ第0055号,飲食店営業,9010601056522,東京都墨田区江東橋三丁目５番２号サーストンビル３階３０３号室,,R04/05/02,R04/05/02,R10/05/31
9,東京都墨田区江東橋三丁目５番８号,Ｋ．ビル３階（３Ｂ）,Ｍ’ｓ,阿部  里美,,03-6240-2184,4墨福衛生食ほ第0113号,飲食店営業,,※※※※※,,R04/05/20,R04/05/20,R10/05/31
10,東京都墨田区江東橋三丁目５番８号,Ｋビル９階ＤＥ号室,ＳＥＮＣＥ,橋口  一星,,,4墨福衛生食ほ第0115号,飲食店営業,,※※※※※,,R04/05/27,R04/05/27,R10/05/31
11,東京都墨田区江東橋三丁目６番１号,１階,呑気,鈴木  範子,,03-3632-8484,4墨福衛生食ほ第0064号,飲食店営業,,※※※※※※※※※※,※※※※※,R04/05/19,R04/05/19,R10/05/31
12,東京都墨田区江東橋三丁目９番１０号,丸井錦糸町店７Ｆ,パステルイタリアーナ丸井錦糸町店,株式会社フードリーム,関川周平,03-5625-6461,4墨福衛生食ほ第0087号,飲食店営業,8010001177242,東京都新宿区早稲田鶴巻町５１９番地,03-5155-6926,R04/05/19,R04/05/19,R11/05/31
13,東京都墨田区江東橋四丁目６番１５号,ＹＳビル２階Ｃ（２０３）,ＨＥＲＡ,金  秀錬,,,4墨福衛生食ほ第0111号,飲食店営業,,※※※※※,,R04/05/19,R04/05/19,R10/05/31
14,東京都墨田区江東橋四丁目１３番１ ２号,ホテルサンシャイン１Ｆ,ひまわり,株式会社旭日,趙  叔麗,,3墨福衛生食ほ第0859号,飲食店営業,6010501039828,東京都台東区東上野６－４－４,03-6802-7506,R04/05/16,R04/05/16,R11/05/31
15,東京都墨田区江東橋四丁目１６番５号,ＳＫビル３階３０１号室,ＰＵＢ  ＭＩＮＥ＆Ｒｅｓｔｏ Ｂａｒ,ＳＡＳＡＫＩ  ＬＩＬＩＢＥＴＨ ＲＯＤＲＩＧＵＥＺ,,,4墨福衛生食ほ第0094号,飲食店営業,,※※※※※,,R04/05/16,R04/05/16,R10/05/31
16,東京都墨田区江東橋四丁目１８番８号,,立喰そばささ,高田  礼奈,,3634-3250,4墨福衛生食ほ第0037号,飲食店営業,,※※※※※,,R04/05/19,R04/05/19,R10/05/31
17,東京都墨田区江東橋四丁目２１番６号,錦糸町ハイタウン１階（１３１号）,さろん高遠,有限会社シャルム,黒河内  三千代,03-3634-1933,4墨福衛生食ほ第0053号,飲食店営業,9010602019239,東京都墨田区江東橋四丁目２１番 ６‐１３１号,03-3634-1933,R04/05/10,R04/05/10,R10/05/31
18,東京都墨田区江東橋四丁目２１番６号,錦糸町ハイタウン１１８号,ＤＩＡ３．１６,株式会社ＤＩＡ３．１６,郭  英淑,03-6659-6432,4墨福衛生食ほ第0084号,飲食店営業,6010601060650,東京都墨田区江東橋４－２ １－６、ハイタウン１１８,03-6659-6432,R04/05/09,R04/05/09,R10/05/31
19,東京都墨田区江東橋四丁目２１番６号,錦糸町ハイタウン１２３号室,Ｆａｃｉｌｅ,細川  弘之,,,4墨福衛生食ほ第0125号,飲食店営業,,※※※※※,,R04/05/27,R04/05/27,R10/05/31
20,東京都墨田区横網一丁目３番３号,ＪＲ両国駅改札外,いろり庵きらく両国店,株式会社ＪＲ東日本クロスステーション,西野史尚,0336255595,4墨福衛生食ほ第0057号,飲食店営業,3011101042662,東京都渋谷区千駄ヶ谷五丁目３３番 ８号,0358072395,R04/05/18,R04/05/18,R11/05/31
21,東京都墨田区横網一丁目３番９号,,肉のヤマキ商店  両国店,株式会社肉のヤマキ商店,恩田和樹,03-3631-3708,3墨福衛生食ほ第0559号,食肉販売業,3140001115730,東京都渋谷区道玄坂一丁目２１番１号,03-4221-8900,R04/05/02,R04/05/02,R11/05/31
22,東京都墨田区横網二丁目１番１１号,,エーム４９４７,エームサービス株式会社,小谷周,,4墨福衛生食ほ第0105号,飲食店営業,2010401004266,東京都港区赤坂二丁目２３番１号,03-6234-7552,R04/05/17,R04/05/17,R11/05/31
23,東京都墨田区亀沢一丁目６番５号,,江戸蕎麦  ほそ川,有限会社江戸蕎麦ほそ川,細川貴志,,4墨福衛生食ほ第0056号,飲食店営業,4010602032007,東京都墨田区亀沢一丁目６番５号,03-3626-1125,R04/05/02,R04/05/02,R11/05/31
24,東京都墨田区亀沢四丁目１７番１７号,,ＣＡＹＵ  ｄｅｓ  ＲＯＩＳ,東京鋼材株式会社,伊藤  博一,,4墨福衛生食ほ第0086号,飲食店営業,3010601022463,東京都墨田区亀沢四丁目１７番１７号,03-3829-3481,R04/05/13,R04/05/13,R11/05/31
25,東京都墨田区石原一丁目３４番２号,,スカイシ―ル印刷株式会社  第２工場,スカイシ―ル印刷株式会社,大西啓子,03-3624-0569,4墨福衛生食ほ第0070号,菓子製造業,1010601011393,東京都墨田区石原一丁目４０番１２号,03-3624-0181,R04/05/13,R04/05/13,R10/05/31
26,東京都墨田区石原二丁目１７番９号,,キッチンはやし,林  良一,,3622-3520,4墨福衛生食ほ第0047号,飲食店営業,,※※※※※,※※※※※,R04/05/13,R04/05/13,R10/05/31
27,東京都墨田区石原四丁目１６番４号,,こんの,今野  則夫,,03-3621-5847,4墨福衛生食ほ第0041号,飲食店営業,,※※※※※,※※※※※,R04/05/13,R04/05/13,R10/05/31
28,東京都墨田区本所二丁目８番６号,,喫茶＆スナック下町,伊藤  英夫,,3623-6856,4墨福衛生食ほ第0062号,飲食店営業,,※※※※※,※※※※※,R04/05/24,R04/05/24,R10/05/31
29,東京都墨田区本所二丁目１６番５号,ＫＡＩＫＡ東京１Ｆ,ｓａｆｎ°,株式会社ＴＨＥ ＤＡＹＳ,小林弘樹,03-5637-7170,4墨福衛生食ほ第0106号,飲食店営業,7021001063894,神奈川県藤沢市辻堂西海岸一丁目９番１号,0466-47-9770,R04/05/17,R04/05/17,R11/05/31
30,東京都墨田区本所三丁目５番１号,,喫茶  ポプラ,佐々木  啓蘭,,3626-1638,4墨福衛生食ほ第0091号,飲食店営業,,※※※※※,※※※※※,R04/05/13,R04/05/13,R10/05/31
31,東京都墨田区本所三丁目１７番１号,,株式会社  やはぎ商店,株式会社やはぎ商店,矢作信克,03-3624-2941,4墨福衛生食ほ第0088号,食肉販売業,9010601022276,東京都墨田区本所三丁目１７番１号,03-3624-2941,R04/05/26,R04/05/26,R11/05/31
32,東京都墨田区本所三丁目１７番１号,,株式会社  やはぎ商店,株式会社やはぎ商店,矢作信克,03-3624-2941,4墨福衛生食ほ第0089号,食肉処理業,9010601022276,東京都墨田区本所三丁目１７番１号,03-3624-2941,R04/05/26,R04/05/26,R11/05/31
33,東京都墨田区本所四丁目１９番９号,,もつ焼きわかば,有限会社わかば,樺沢  輝美,03-3623-1459,4墨福衛生食ほ第0028号,飲食店営業,9010602024247,東京都墨田区本所四丁目１９番９号,03-3623-1459,R04/05/13,R04/05/13,R11/05/31
34,東京都墨田区吾妻橋二丁目７番８号,,レストラン吾妻,竹山  正昭,,03-3622-7857,4墨福衛生食ほ第0042号,飲食店営業,,※※※※※,,R04/05/30,R04/05/30,R10/05/31
35,東京都墨田区吾妻橋三丁目１番７号,ローヤルシティ本所吾妻橋１０１,Ｖｏｙａｇｅ  Ｓｉｄｅ  ボヤージュサイド,株式会社ボヤージュサイド,藤﨑賢太郎,03-6240-4077,4墨福衛生食ほ第0107号,飲食店営業,9010601058510,東京都墨田区吾妻橋三丁目１番７号,03-6240-4077,R04/05/10,R04/05/10,R11/04/30
36,東京都墨田区吾妻橋三丁目７番１３号,,ローソン吾妻橋三丁目店,林  友宏,,03-3621-1023,4墨福衛生食ほ第0101号,飲食店営業,,※※※※※,,R04/05/20,R04/05/20,R11/05/31
37,東京都墨田区錦糸二丁目６番１１号,,中華料理  百花亭,金澤  喜義,,3624-8686,4墨福衛生食ほ第0078号,飲食店営業,,※※※※※,※※※※※,R04/05/30,R04/05/30,R10/05/31
38,東京都墨田区錦糸二丁目９番５号,,串揚げ  一喝  錦糸町店,有限会社一喝,水野  一志,5637-9877,4墨福衛生食ほ第0082号,飲食店営業,7010602028638,東京都江東区亀戸五丁目３番９号,03-5628-6868,R04/05/24,R04/05/24,R11/05/31
39,東京都墨田区錦糸三丁目５番１０号,石川ビル１Ｆ,ひょつとこ  しま,嶋  昇,,03-3625-5155,4墨福衛生食ほ第0031号,飲食店営業,,※※※※※,※※※※※,R04/05/19,R04/05/19,R11/05/31
40,東京都墨田区太平三丁目４番８号,グレイスＭＭ１階,すき家  錦糸公園前店,株式会社すき家,浅沼幹典,3623-1656,4墨福衛生食ほ第0033号,飲食店営業,2010401093920,東京都港区港南二丁目１８番１号,0357838850,R04/05/12,R04/05/12,R11/05/31
41,東京都墨田区太平三丁目１９番３号,田中ビル１階,もんじゃ・お好み焼き  ねこ,金子  利之,,,4墨福衛生食ほ第0099号,飲食店営業,,※※※※※,※※※※※,R04/05/19,R04/05/19,R10/05/31
42,東京都墨田区太平四丁目２番１‐１ ２号,,星宿飯店,株式会社北辰,楊  貴彬,3829-5283,4墨福衛生食ほ第0027号,飲食店営業,1010601049269,東京都墨田区太平四丁目２番１‐１ ２号,03-3829-5283,R04/05/12,R04/05/12,R10/05/31
43,東京都墨田区横川三丁目１０番６号,,上むら,山内  義光,,03-3623-0490,4墨福衛生食ほ第0036号,飲食店営業,,※※※※※,※※※※※,R04/05/13,R04/05/13,R10/05/31
44,東京都墨田区業平一丁目２２番４号,業平パークマンション１０３,オリーブの木,市原  順子,,03-6456-1182,3墨福衛生食ほ第1073号,飲食店営業,,※※※※※,※※※※※,R04/05/30,R04/05/30,R10/05/31
45,東京都墨田区業平一丁目２２番４号,業平パークマンション１０３,オリーブの木,市原  順子,,03-6456-1182,3墨福衛生食ほ第1074号,菓子製造業,,※※※※※,※※※※※,R04/05/30,R04/05/30,R10/05/31
46,東京都墨田区業平五丁目７番７号,,法性寺,法性寺,鈴木良敬,3625-3838,3墨福衛生食ほ第1100号,飲食店営業,9010605000410,東京都墨田区業平五丁目７番７号,03-3625-3838,R04/05/13,R04/05/13,R10/05/31
47,東京都墨田区業平五丁目１０番２号,,黒柴カフェ,羽鳥  太郎,,,4墨福衛生食ほ第0109号,飲食店営業,,※※※※※,,R04/05/23,R04/05/23,R10/05/31
48,東京都墨田区向島二丁目１５番７号,,スナック  メモリー,野村  美智子,,03-3621-8773,4墨福衛生食ほ第0128号,飲食店営業,,※※※※※,,R04/05/31,R04/05/31,R10/05/31
49,東京都墨田区向島三丁目４１番１３号,,ｄｅｌｉｌｉｆｅ／町弁／トリ味ダス／丼なもんだ／かれー民（かなちゃん店）,伊木  悌,,,3墨福衛生食ほ第1043号,飲食店営業,,※※※※※,,R04/05/17,R04/05/17,R10/05/31
50,東京都墨田区向島五丁目５０番１１号,村田荘１Ｆ,ｄｅｌｉｌｉｆｅ／町弁／トリ味ダス／丼なもんだ／かれー民（ハングリー店）,伊木  悌,,,3墨福衛生食ほ第1044号,飲食店営業,,※※※※※,,R04/05/17,R04/05/17,R10/05/31
51,東京都墨田区東向島二丁目３０番１ １号,,うたごえ広場Ｚｅｎ,全  惠子,,,4墨福衛生食ほ第0076号,飲食店営業,,※※※※※※※※※※,,R04/05/31,R04/05/31,R10/05/31
52,東京都墨田区東向島二丁目４７番１ １号,ビッグウエスト向島ビル７０４,Ｇｉｒｌ’ｓ  ｂａｒ Ｔｒｉｐｌｅ  Ｏ,加  龍弥,,,4墨福衛生食ほ第0132号,飲食店営業,,※※※※※※※※※※,,R04/05/30,R04/05/30,R11/05/31
53,東京都墨田区東向島四丁目２５番２号,,ドミノ・ピザ東向島店,株式会社ドミノ・ピザジャパン,ジョシュア・ピー ター・キリムニック,03-5631-8013,4墨福衛生食ほ第0090号,飲食店営業,5010001140979,東京都千代田区岩本町一丁目１０番 ３号,03-5820-3094,R04/05/18,R04/05/18,R11/05/31
54,東京都墨田区押上一丁目１番２号,東京スカイツリータウン東京ソラマチ２階,全国物産展,森田企画株式会社,森田康弘,,4墨福衛生食ほ第0083号,飲食店営業,6030001030319,埼玉県入間市大字中神５７６番地１,04-2937-2020,R04/05/12,R04/05/12,R10/05/31
55,東京都墨田区押上一丁目１番２号,東京ソラマチ６階,沖縄地料理  波照間  東京ソラマチ店（Ｅ０６０２）,株式会社ジェイシーシー,淵邉俊紀,03-6658-5540,4墨福衛生食ほ第0100号,飲食店営業,6360001005246,沖縄県糸満市西崎町四丁目１６番地 １６,098-992-6259,R04/05/17,R04/05/17,R11/05/31
56,東京都墨田区押上一丁目１番２号,東京スカイツリータウン東京ソラマチ２階,発酵バター専門店ハネル＆生クリーム専門店ミルク（Ｔ０２１３）,株式会社オペレーションファクトリー,笠島明裕,03-6456-1415,4墨福衛生食ほ第0124号,飲食店営業,7120001042171,大阪府大阪市西区北堀江一丁目１２番１０号,06-6535-9006,R04/05/25,R04/05/25,R11/05/31
57,東京都墨田区押上二丁目１９番１８号,,すみ田,荒川  弘,,03-3625-5084,4墨福衛生食ほ第0052号,飲食店営業,,※※※※※,※※※※※,R04/05/20,R04/05/20,R10/05/31
58,東京都墨田区押上三丁目３番８号,カノン押上１階,カノン押上,菅野  聡明,,,3墨福衛生食ほ第1109号,飲食店営業,,※※※※※,,R04/05/13,R04/05/13,R10/05/31
59,東京都墨田区京島一丁目３０番５号,コーポ幸１Ｆ,よね屋,米山  大輝,,3616-5054,4墨福衛生食ほ第0030号,飲食店営業,,※※※※※,※※※※※,R04/05/31,R04/05/31,R10/05/31
60,東京都墨田区京島三丁目５２番３号,,豚丼天山,株式会社天山,天野  雅史,03-5600-4530,4墨福衛生食ほ第0045号,飲食店営業,7010001180718,東京都中央区新川二丁目１１番１号,03-3551-4431,R04/05/02,R04/05/02,R10/05/31
61,東京都墨田区八広六丁目２１番１２号,,美好,有限会社美好,中島義孝,,4墨福衛生食ほ第0075号,飲食店営業,9010602028652,東京都墨田区八広六丁目２１番１２号,03-3616-1266,R04/05/06,R04/05/06,R10/05/31
62,東京都墨田区八広六丁目５５番１７号,,エームＳＪ４０９２,エームサービスジャパン株式会社,小谷周,03-3616-1028,4墨福衛生食ほ第0010号,飲食店営業,7010401055214,東京都港区赤坂二丁目２３番１号,03-6234-7500,R04/05/11,R04/05/11,R11/05/31
63,東京都墨田区立花三丁目２番１号,,光うさぎＣａｆｅ,中島  悦子,,,4墨福衛生食ほ第0024号,菓子製造業,,※※※※※,,R04/05/17,R04/05/17,R10/05/31
64,東京都墨田区立花四丁目１番５号,アネックス１Ｆ,Ｆｏｏｄ＆Ｂｅｖｅｒａｇｅ ｍｏｎａ  モナ,丸源飲料工業株式会社,阿部貴明,03-3617-0127,3墨福衛生食ほ第1122号,飲食店営業,8010601015504,東京都墨田区立花四丁目７番８号,03-3617-0121,R04/05/09,R04/05/09,R11/05/31
65,東京都墨田区立花四丁目７番８号,,カラオケスナックハッピー,工藤  重志,,03-6338-8552,4墨福衛生食ほ第0073号,飲食店営業,,※※※※※,※※※※※,R04/05/11,R04/05/11,R10/05/31
66,東京都墨田区立花四丁目２５番２号,武田マンション１０２,インドネパールアジアンダイニング＆バーザ  カトマンズ  ＴＨＥ ＫＡＴＨＭＡＮＤＵ,ＨＡＶＩＳＨ株式会社,ティワリダーナンタイ,03-3617-9590,4墨福衛生食ほ第0116号,飲食店営業,4020001135376,東京都墨田区立花四丁目２５番２号武田マンション１０２,03-3617-9590,R04/05/27,R04/05/27,R10/05/31
