要許可台帳一覧表,,,,,
"指令番号 
業種","受付日 
決裁日",有効期間,"営業者住所 
申請者名","営業所所在地 
屋号",許可条件
指保 34 26 飲食店営業 (一般食堂·レ ストラン等),令和04/06/23 令和04/06/28,令和04/06/28 令和10/07/31,"鹿児島県鹿児島市宮之浦町2438
株式会社 新日本科学 
代表取締役 永田 良一","指宿市東方5000 
創作和食　一 
0993-23-5552",
指保 34 24 飲食店営業 (その他),令和04/05/23 令和04/06/03,令和04/06/03 令和10/07/31,,"指宿市山川小川1549-5 
カラオケ まち",
,,,八代 まち子,,
指保 34 23 そうざい製造業,令和04/05/12 令和04/05/13,令和04/05/13 令和10/07/31,"鹿児島県指宿市大牟礼4-1- 4 
有限会社 肉の上高原 
代表取締役 上高原 和也","指宿市大牟礼4-1-4 
有限会社肉の上高原 
0993-22-2810",
指保 34 25 そうざい製造 業,令和04/06/13 令和04/06/14,令和04/06/14 令和10/07/31,"鹿児島県指宿市十町2875 
有限会社 長寿庵 
代表取締役 南 荒生","指宿市十町2875 
有限会社 長寿庵 
0993-22-4155",
加保 34 78 飲食店営業 (一般食堂·レ ストラン等),令和04/05/06 令和04/05/06,令和04/05/06 令和10/07/31,,"枕崎市松之尾町4 
K&H sari sari Store 
090-5734-7906",
,,,高橋 マリ,,
加保 34 85 飲食店営業 (一般食堂·レ ストラン等),令和04/06/21 令和04/06/21,令和04/06/21 令和10/07/31,,"枕崎市中央町3 
カラオケ モカジイ 
090-7440-8878",
,,,森 育代,,
加保 34 86 飲食店営業 (その他),令和04/06/23 令和04/06/23,令和04/06/23 令和10/07/31,,"南九州市知覧町郡17212- 1 
スナック 花",
,,,有田 恵子,,
加保 34 81 飲食店営業 (その他),令和04/05/13 令和04/05/13,令和04/05/13 令和10/07/31,,"枕崎市岩戸町509 
ブラック&ホワイト",
,,,松下 淑子,,
加保 34 83 飲食店営業 (その他),令和04/06/03 令和04/06/03,令和04/06/03 令和10/07/31,,"枕崎市千代田町1番地 
AMUSEMENT BAR NINE",
,,,神園 貴史,,
加保 34 84 菓子製造業,令和04/06/14 令和04/06/15,令和04/06/15 令和10/07/31,,"南九州市川辺町清水3068- 2 
料理教室 チャノマ 
090-5732-7564",
,,,中塩屋 悠,,
加保 34 80 水産製品製造業,令和04/05/12 令和04/05/12,令和04/05/12 令和10/07/31,"鹿児島県枕崎市立神北町329 
立石水産株式会社 
代表取締役 市田 恵八朗","枕崎市立神北町329 
立石水産株式会社 
0993-72-1338",
加保 34 79 漬物製造業,令和04/05/11 令和04/05/12,令和04/05/12 令和09/07/31,"鹿児島県南さつま市金峰町宮崎2940 
水溜食品株式会社 
代表取締役 水溜 政典","南さつま市金峰町宮崎2940 
薩摩かんぼし屋 
0993-77-0108",
加保 34 82 密封包装食品製造業,令和04/05/18 令和04/05/18,令和04/05/18 令和10/07/31,,"南さつま市坊津町泊161-2 
坊津蔵 
080-1436-4340",
,,,村主 賢治,,
伊保 34 69 飲食店営業 (一般食堂·レ ストラン等),令和04/05/20 令和04/05/23,令和04/05/23 令和10/07/31,,"いちき串木野市東島平町673 
Sea Seven 0996-41-5278",
,,,弓削 智子,,
伊保 34 82 飲食店営業 (一般食堂·レ ストラン等),令和04/06/14 令和04/06/20,令和04/06/20 令和10/07/31,"鹿児島県鹿児島市武岡1-5- 8 
株式会社ノギエボ 
代表取締役 窪 恭彦",日置市伊集院町飯牟礼1581 穂庵,
伊保 34 72 飲食店営業 (一般食堂·レ ストラン等),令和04/05/27 令和04/05/31,令和04/05/31 令和10/07/31,"鹿児島県鹿児島市城山町16- 18 
株式会社ナインズ 
代表取締役 筒井 俊郎","日置市東市来町美山1936 
cocoNotsu LAB 
099-298-9791",
伊保 34 67 飲食店営業 (その他),令和04/05/10 令和04/05/13,令和04/05/13 令和10/07/31,"鹿児島県日置市伊集院町下谷口2129-5 
H&WORKERS株式会社 
代表取締役 橋口 雅宏","日置市伊集院町下谷口2129 -5 
おこめの菓子店 
099-248-7601",
伊保 34 80 菓子製造業,令和04/06/13 令和04/06/16,令和04/06/16 令和10/07/31,,"いちき串木野市薩摩山3142 -10 
kitchen よしみつ",
,,,𠮷滿 裕文,,
伊保 34 77 菓子製造業,令和04/06/07 令和04/06/08,令和04/06/08 令和10/07/31,,"日置市伊集院町郡1341-7 
Roco pain 
090-3016-6424",
,,,上園 心太郎,,
伊保 34 78 菓子製造業,令和04/06/07 令和04/06/08,令和04/06/08 令和09/07/31,,"日置市伊集院町飯牟礼892- 2 
川﨑",
,,,川﨑 喜代子,,
伊保 34 84 菓子製造業,令和04/06/14 令和04/06/20,令和04/06/20 令和10/07/31,"鹿児島県鹿児島市武岡1-5- 8 
株式会社ノギエボ 
代表取締役 窪 恭彦","日置市伊集院町飯牟礼1581 
穂庵",
伊保 34 73 菓子製造業,令和04/05/27 令和04/05/31,令和04/05/31 令和10/07/31,"鹿児島県鹿児島市城山町16-18 
株式会社ナインズ 
代表取締役 筒井 俊郎","日置市東市来町美山1936 
cocoNotsu LAB 
099-298-9791",
伊保 34 79 そうざい製造業,令和04/06/13 令和04/06/16,令和04/06/16 令和10/07/31,,"いちき串木野市薩摩山3142-10 
kitchen よしみつ",
,,,𠮷滿 裕文,,
伊保 34 76 そうざい製造業,令和04/06/02 令和04/06/06,令和04/06/06 令和10/07/31,"長崎県諫早市幸町22-12 
株式会社ほっとキッチン 
代表取締役 園田 光春","日置市日吉町日置3203-4 
株式会社ほっとキッチン 鹿児島工場",
伊保 34 85 そうざい製造業,令和04/06/16 令和04/06/21,令和04/06/21 令和10/07/31,"鹿児島県いちき串木野市西薩町17-4 
センターフーズ株式会社 
代表取締役 岩崎 和也","いちき串木野市西薩町17-4 
センターフーズ株式会社 
0996-33-1950",
伊保 34 83 そうざい製造業,令和04/06/14 令和04/06/20,令和04/06/20 令和10/07/31,"鹿児島県鹿児島市武岡1-5- 8 
株式会社ノギエボ 
代表取締役 窪 恭彦","日置市伊集院町飯牟礼1581 
穂庵",
伊保 34 81 水産製品製造業,令和04/06/13 令和04/06/16,令和04/06/16 令和10/07/31,,"いちき串木野市薩摩山3142 -10 
kitchen よしみつ",
,,,𠮷滿 裕文,,
伊保 34 64 水産製品製造 業,令和04/05/06 令和04/05/09,令和04/05/09 令和10/07/31,,"日置市伊集院町中川238-1 
錦江水産 
090-8419-3943",
,,,衣川 正敏,,
伊保 34 68 みそ又はしょ うゆ製造業,令和04/05/13 令和04/05/16,令和04/05/16 令和09/07/31,,"いちき串木野市冠嶽13517 -3 
冠岳農産加工センター 
0996-32-0760",
,,,川畑 千秋,,
伊保 34 74 密封包装食品製造業,令和04/05/31 令和04/06/02,令和04/06/02 令和10/07/31,,"日置市伊集院町中川238-1 
ヨツハトマトファーム 
090-8419-3943",
,,,神志那 清,,
川保 34 85 飲食店営業 (一般食堂·レ ストラン等),令和04/06/10 令和04/06/15,令和04/06/15 令和10/07/31,,"薩摩郡さつま町柏原55 
ママニエ 
090-7544-5255",
,,,久保田 美奈子,,
川保 34 81 飲食店営業 (一般食堂·レ ストラン等),令和04/06/03 令和04/06/06,令和04/06/06 令和10/07/31,"鹿児島県薩摩川内市東向田町14-12 
株式会社Chest Company 
代表取締役 坂口 聡","薩摩川内市向田本町4-22 ルーセント21 1F 
海鮮浜焼きながら 
0996-26-1177",
川保 34 82 飲食店営業 (一般食堂·レ ストラン等),令和04/06/03 令和04/06/06,令和04/06/06 令和10/07/31,"鹿児島県薩摩川内市東向田町14-12 
株式会社Chest Company 
代表取締役 坂口 聡","薩摩川内市東向田町14-12 
鹿' tariyan 
0996-22-7206",
川保 34 71 飲食店営業 (一般食堂·レ ストラン等),令和04/05/10 令和04/05/13,令和04/05/13 令和10/07/31,"鹿児島県いちき串木野市西薩町 12 
九州海運株式会社 
代表取締役社長 鈴木 一浩","薩摩川内市港町京泊6131- 23 
こしきしまがみえるafe Port de coffee 0996-41-5100",
